time,0_rod(payload_bars compound_254q9J).X,0_rod(payload_bars compound_254q9J).Y,0_rod(payload_bars compound_254q9J).Z,0_rod(payload_bars compound_254q9J).Euler1,0_rod(payload_bars compound_254q9J).Euler2,0_rod(payload_bars compound_254q9J).Euler3,0_rod(payload_bars compound_254q9J).mass,1_rod(payload_bars compound_254q9J).X,1_rod(payload_bars compound_254q9J).Y,1_rod(payload_bars compound_254q9J).Z,1_rod(payload_bars compound_254q9J).Euler1,1_rod(payload_bars compound_254q9J).Euler2,1_rod(payload_bars compound_254q9J).Euler3,1_rod(payload_bars compound_254q9J).mass,2_rod(payload_bars compound_254q9J).X,2_rod(payload_bars compound_254q9J).Y,2_rod(payload_bars compound_254q9J).Z,2_rod(payload_bars compound_254q9J).Euler1,2_rod(payload_bars compound_254q9J).Euler2,2_rod(payload_bars compound_254q9J).Euler3,2_rod(payload_bars compound_254q9J).mass,3_rod(payload_bars compound_254q9J).X,3_rod(payload_bars compound_254q9J).Y,3_rod(payload_bars compound_254q9J).Z,3_rod(payload_bars compound_254q9J).Euler1,3_rod(payload_bars compound_254q9J).Euler2,3_rod(payload_bars compound_254q9J).Euler3,3_rod(payload_bars compound_254q9J).mass,4_rod(payload_bars compound_254q9J).X,4_rod(payload_bars compound_254q9J).Y,4_rod(payload_bars compound_254q9J).Z,4_rod(payload_bars compound_254q9J).Euler1,4_rod(payload_bars compound_254q9J).Euler2,4_rod(payload_bars compound_254q9J).Euler3,4_rod(payload_bars compound_254q9J).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.94637,14.6131,2.44331,0.17719,-0.216733,-1.8204,0.199491,3.10328,16.4056,2.18786,-0.0441354,0.274421,-1.88374,0.199491,1.67034,15.2547,3.00002,0.252817,0.317237,-0.135991,0.199491,2.08874,15.868,4.82134,0.323959,-0.093447,-0.2733,0.199491,1.98547,14.2393,3.63709,-1.30893,0.496622,-0.157624,0.199645,0.356287,17.1883,2.5491,-1.31163,0.542761,-0.0665255,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.82607,15.5216,2.66655,0.303509,-0.16568,-1.82429,0.199491,3.14279,17.3645,2.57778,0.360848,0.366604,-1.78014,0.199491,1.80089,16.2485,3.3776,0.240763,0.452307,-0.173676,0.199491,2.23483,16.9088,4.93777,0.308496,0.0615544,-0.235021,0.199491,2.06471,15.4218,3.88515,-1.26329,0.562569,-0.149842,0.199645,0.436086,18.1378,2.86355,-1.29093,0.481943,-0.0586993,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.98255,16.4543,2.84939,0.332267,-0.125853,-1.80862,0.199491,3.40468,18.4899,2.7882,0.113047,0.276973,-1.87431,0.199491,1.89267,17.2414,3.62617,0.319625,0.356887,-0.158062,0.199491,2.33268,17.9242,5.35372,0.320867,0.14167,-0.279474,0.199491,2.38963,16.3658,4.23456,-1.24113,0.511592,-0.131978,0.199645,0.411421,19.1013,3.12595,-1.2909,0.67107,-0.0656925,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.94031,17.3323,3.08562,0.331866,-0.142204,-1.80577,0.199491,3.55509,19.6335,2.99236,0.457075,0.378308,-1.76026,0.199491,2.00213,18.2484,3.79899,0.404059,0.0641586,-0.130154,0.199491,2.39752,18.9957,5.93372,0.416795,-0.0990213,-0.310881,0.199491,2.56125,17.1932,4.49788,-1.23664,0.532871,-0.139042,0.199645,0.468237,20.0879,3.33909,-1.27915,0.830732,-0.0831418,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.6469,18.1712,3.47404,0.419163,-0.173899,-1.83647,0.199491,3.60758,20.6252,3.2234,0.14236,0.30071,-1.85891,0.199491,2.0987,19.378,4.05394,0.382879,0.285188,-0.151508,0.199491,2.42323,19.9301,6.21566,0.318796,0.262077,-0.301139,0.199491,2.61679,18.1035,4.7834,-1.21892,0.477166,-0.146466,0.199645,0.540022,21.1369,3.56688,-1.20756,0.575706,-0.0707861,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.27622,19.0677,3.86476,0.51737,-0.189284,-1.87919,0.199491,3.59934,21.5934,3.53029,0.424285,0.358458,-1.77221,0.199491,2.17204,20.3391,4.34801,0.369164,0.35664,-0.157046,0.199491,2.47511,20.8889,6.3439,0.435825,-0.0687259,-0.267555,0.199491,2.64209,19.182,5.04575,-1.20559,0.534308,-0.155883,0.199645,0.622589,22.0675,3.85426,-1.16516,0.518546,-0.0632349,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.10797,20.0174,4.15539,0.487156,-0.199254,-1.882,0.199491,3.58433,22.6805,3.81998,0.209757,0.271535,-1.85577,0.199491,2.29274,21.0999,4.58422,0.386681,0.27708,-0.100343,0.199491,2.56392,21.9113,6.51255,0.417332,0.104837,-0.298949,0.199491,2.72724,20.3146,5.3855,-1.16005,0.510419,-0.148835,0.199645,0.770158,22.8485,4.19895,-1.14042,0.584874,-0.0602665,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.03243,20.9339,4.41292,0.408679,-0.222394,-1.85965,0.199491,3.65478,23.7666,4.05982,0.483075,0.316341,-1.78465,0.199491,2.42199,22.0273,4.82767,0.423676,0.270266,-0.0788471,0.199491,2.64416,22.8686,6.79912,0.455311,0.0680608,-0.341865,0.199491,2.89321,21.2126,5.7356,-1.12735,0.485641,-0.144207,0.199645,0.844131,23.7369,4.49106,-1.11435,0.588604,-0.061795,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.909955,21.6951,4.67443,0.542051,-0.205308,-1.88174,0.199491,3.81898,24.6889,4.32867,0.285075,0.286061,-1.84834,0.199491,2.48784,23.0526,5.09913,0.452557,0.217131,-0.108714,0.199491,2.71204,23.8553,7.25699,0.511296,-0.030454,-0.307397,0.199491,3.04932,22.1546,5.94276,-1.1202,0.514847,-0.14791,0.199645,0.863034,24.7131,4.69391,-1.0895,0.637745,-0.0633024,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.767738,22.5294,4.92861,0.549828,-0.213579,-1.87249,0.199491,3.90872,25.5944,4.63088,0.48987,0.340265,-1.7959,0.199491,2.59876,24.13,5.43625,0.474497,0.362469,-0.156095,0.199491,2.7977,24.7554,7.5264,0.449025,0.232032,-0.305781,0.199491,3.20142,23.0187,6.2009,-1.08832,0.456537,-0.139589,0.199645,0.877823,25.6856,4.94252,-1.05519,0.491623,-0.0553804,0.199491,
