tgDataLogger2 started logging at time 01232019_205854, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,1.07212,9.78875,3.40404,-3.00843,-0.736072,2.57644,0.193414,
0.2,1.10434,12.6205,4.28418,1.21345,1.09335,1.41891,0.193414,
0.3,1.13656,14.4712,5.16431,-0.636349,-0.863896,0.661676,0.193414,
0.4,1.16877,15.341,6.04445,2.91238,0.240769,2.8097,0.193414,
0.5,1.20099,15.2297,6.92458,-0.074386,0.456356,0.381332,0.193414,
0.6,1.23321,14.1375,7.80472,-2.57289,-1.00187,2.23293,0.193414,
0.7,1.26542,12.0642,8.68486,2.00246,1.03022,2.08408,0.193414,
0.8,1.29764,9.01,9.56499,-0.346416,-0.549748,0.446117,0.193414,
0.9,1.37763,5.82212,10.4163,-2.47138,-0.912356,2.27741,0.193414,
1,1.3604,5.82789,10.806,0.155706,0.0962029,0.478295,0.193414,
1.1,1.42258,5.70636,10.8353,3.13203,0.263911,2.59951,0.193414,
1.2,1.6425,5.84061,10.6646,0.625397,0.691726,0.547484,0.193414,
1.3,1.88385,5.93148,10.6025,0.454851,0.427201,0.35127,0.193414,
1.4,1.9253,5.89787,10.7605,0.417791,0.141741,0.25525,0.193414,
1.5,1.76456,5.76386,11.022,0.266937,-0.876873,0.28185,0.193414,
1.6,1.84127,5.79399,11.1253,-2.65683,0.580643,3.11126,0.193414,
1.7,2.08867,5.91941,11.2992,-2.47996,1.24969,-2.90539,0.193414,
