time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_5KJ2Nf).X,6_rod(payload_bars compound_5KJ2Nf).Y,6_rod(payload_bars compound_5KJ2Nf).Z,6_rod(payload_bars compound_5KJ2Nf).Euler1,6_rod(payload_bars compound_5KJ2Nf).Euler2,6_rod(payload_bars compound_5KJ2Nf).Euler3,6_rod(payload_bars compound_5KJ2Nf).mass,7_rod(payload_bars compound_5KJ2Nf).X,7_rod(payload_bars compound_5KJ2Nf).Y,7_rod(payload_bars compound_5KJ2Nf).Z,7_rod(payload_bars compound_5KJ2Nf).Euler1,7_rod(payload_bars compound_5KJ2Nf).Euler2,7_rod(payload_bars compound_5KJ2Nf).Euler3,7_rod(payload_bars compound_5KJ2Nf).mass,8_rod(payload_bars compound_5KJ2Nf).X,8_rod(payload_bars compound_5KJ2Nf).Y,8_rod(payload_bars compound_5KJ2Nf).Z,8_rod(payload_bars compound_5KJ2Nf).Euler1,8_rod(payload_bars compound_5KJ2Nf).Euler2,8_rod(payload_bars compound_5KJ2Nf).Euler3,8_rod(payload_bars compound_5KJ2Nf).mass,9_rod(payload_bars compound_5KJ2Nf).X,9_rod(payload_bars compound_5KJ2Nf).Y,9_rod(payload_bars compound_5KJ2Nf).Z,9_rod(payload_bars compound_5KJ2Nf).Euler1,9_rod(payload_bars compound_5KJ2Nf).Euler2,9_rod(payload_bars compound_5KJ2Nf).Euler3,9_rod(payload_bars compound_5KJ2Nf).mass,10_rod(payload_bars compound_5KJ2Nf).X,10_rod(payload_bars compound_5KJ2Nf).Y,10_rod(payload_bars compound_5KJ2Nf).Z,10_rod(payload_bars compound_5KJ2Nf).Euler1,10_rod(payload_bars compound_5KJ2Nf).Euler2,10_rod(payload_bars compound_5KJ2Nf).Euler3,10_rod(payload_bars compound_5KJ2Nf).mass,
0.1111,-4.31468,14.7085,1.23943,-0.291979,0.0261,-1.98449,0.199491,3.52967,14.6171,0.756525,-0.348854,-0.134537,-2.04394,0.199491,0.158115,13.7866,0.255463,-0.0499724,0.034354,-0.437336,0.199491,0.803546,15.687,4.17424,0.0244485,-0.11169,-0.561396,0.199491,0.479968,13.2115,3.30714,-1.6184,0.313287,-0.0306413,0.199645,-0.192329,17.0492,1.27456,-1.62226,0.512795,-0.10303,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1212,-4.26084,15.6379,1.44592,-0.0289123,0.183427,-1.939,0.199491,3.39502,15.5333,0.894279,0.169777,0.149798,-2.02543,0.199491,0.159657,14.7747,0.518009,-0.00619982,-0.106705,-0.41402,0.199491,0.825089,16.4862,4.16723,-0.137684,0.121557,-0.555327,0.199491,0.409519,14.1542,3.42743,-1.62072,0.17753,-0.042288,0.199645,-0.101269,17.8659,1.54074,-1.59024,0.0794953,-0.0995765,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1313,-4.11679,16.5659,1.63561,-0.276275,0.0943138,-1.95322,0.199491,3.19944,16.4083,1.03234,-0.382445,-0.0864986,-2.02749,0.199491,0.134272,15.7534,0.807182,-0.197958,0.301813,-0.41864,0.199491,0.871383,17.2675,4.24114,-0.105323,0.0604648,-0.531146,0.199491,0.360159,15.0966,3.50184,-1.65159,0.46218,-0.0696252,0.199645,-0.0584112,18.6927,1.76181,-1.65884,0.518953,-0.12757,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1414,-3.99043,17.5271,1.8345,-0.194117,0.122227,-1.93041,0.199491,3.0184,17.2804,1.14863,-0.0306048,0.123732,-2.00155,0.199491,0.133149,16.7236,1.10361,-0.124532,0.126547,-0.377592,0.199491,0.877146,18.0229,4.31684,-0.0684553,-0.0163147,-0.519807,0.199491,0.379584,16.0312,3.57556,-1.6702,0.398556,-0.0861445,0.199645,-0.0649813,19.4715,1.98709,-1.65423,0.300096,-0.125592,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1515,-3.91557,18.494,2.05524,-0.101518,0.146601,-1.90862,0.199491,2.85965,18.1504,1.295,-0.306984,0.0266836,-2.00404,0.199491,0.138087,17.6641,1.36658,-0.0391377,-0.124454,-0.359273,0.199491,0.922922,18.7465,4.33991,-0.0963974,0.0302885,-0.500407,0.199491,0.365958,16.9389,3.69035,-1.68685,0.422039,-0.112625,0.199645,-0.0553408,20.2749,2.20541,-1.68848,0.374952,-0.136072,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1616,-3.89625,19.4284,2.29823,-0.452413,0.0135251,-1.94217,0.199491,2.7227,18.9857,1.45018,-0.0822162,0.141027,-1.95972,0.199491,0.169058,18.5759,1.58498,-0.190429,0.264539,-0.353707,0.199491,0.962979,19.4602,4.35899,-0.150667,0.12967,-0.461874,0.199491,0.369437,17.8528,3.82432,-1.67511,0.239974,-0.129979,0.199645,-0.0493826,21.118,2.42205,-1.72692,0.456732,-0.143233,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1717,-3.92608,20.3831,2.55173,0.0948735,0.202025,-1.88377,0.199491,2.65133,19.7738,1.60783,-0.300574,0.0716589,-1.95744,0.199491,0.180251,19.4766,1.77433,-0.11212,0.0388767,-0.331139,0.199491,0.997728,20.1734,4.4149,-0.0647298,-0.0512501,-0.411469,0.199491,0.417712,18.7294,3.95863,-1.76453,0.634283,-0.184759,0.199645,-0.0796006,21.9768,2.61757,-1.72098,0.238385,-0.136014,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1818,-4.02598,21.3319,2.80584,-0.284577,0.0512791,-1.94098,0.199491,2.6074,20.5413,1.74891,-0.0505301,0.188384,-1.89723,0.199491,0.19976,20.3341,1.93593,-0.188988,0.264628,-0.333473,0.199491,1.05026,20.9181,4.53809,-0.170902,0.2147,-0.361876,0.199491,0.484531,19.5535,4.09148,-1.70835,0.250837,-0.178687,0.199645,-0.111859,22.8663,2.791,-1.79495,0.530497,-0.156807,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1919,-4.12365,22.2381,3.04402,0.0491482,0.190352,-1.88285,0.199491,2.62203,21.2854,1.88049,-0.361768,0.100966,-1.92272,0.199491,0.189744,21.1828,2.06396,-0.158342,0.176254,-0.322286,0.199491,1.0713,21.7003,4.72936,-0.0964528,-0.00770843,-0.311472,0.199491,0.528771,20.3538,4.21029,-1.83818,0.692809,-0.243977,0.199645,-0.12128,23.757,2.9694,-1.78596,0.336281,-0.157759,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.202,-4.21927,23.1543,3.25746,0.451817,0.321495,-1.73401,0.199491,2.6865,22.0563,1.9927,-0.0677394,0.217189,-1.86892,0.199491,0.129647,21.9828,2.17228,-0.115014,0.0525318,-0.315413,0.199491,1.08695,22.5013,4.94829,-0.166023,0.202768,-0.303133,0.199491,0.543782,21.108,4.34043,-1.76284,0.314843,-0.205819,0.199645,-0.0978673,24.6267,3.17262,-1.81472,0.441203,-0.191525,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
