time,0_rod(payload_bars compound_x8fOgA).X,0_rod(payload_bars compound_x8fOgA).Y,0_rod(payload_bars compound_x8fOgA).Z,0_rod(payload_bars compound_x8fOgA).Euler1,0_rod(payload_bars compound_x8fOgA).Euler2,0_rod(payload_bars compound_x8fOgA).Euler3,0_rod(payload_bars compound_x8fOgA).mass,1_rod(payload_bars compound_x8fOgA).X,1_rod(payload_bars compound_x8fOgA).Y,1_rod(payload_bars compound_x8fOgA).Z,1_rod(payload_bars compound_x8fOgA).Euler1,1_rod(payload_bars compound_x8fOgA).Euler2,1_rod(payload_bars compound_x8fOgA).Euler3,1_rod(payload_bars compound_x8fOgA).mass,2_rod(payload_bars compound_x8fOgA).X,2_rod(payload_bars compound_x8fOgA).Y,2_rod(payload_bars compound_x8fOgA).Z,2_rod(payload_bars compound_x8fOgA).Euler1,2_rod(payload_bars compound_x8fOgA).Euler2,2_rod(payload_bars compound_x8fOgA).Euler3,2_rod(payload_bars compound_x8fOgA).mass,3_rod(payload_bars compound_x8fOgA).X,3_rod(payload_bars compound_x8fOgA).Y,3_rod(payload_bars compound_x8fOgA).Z,3_rod(payload_bars compound_x8fOgA).Euler1,3_rod(payload_bars compound_x8fOgA).Euler2,3_rod(payload_bars compound_x8fOgA).Euler3,3_rod(payload_bars compound_x8fOgA).mass,4_rod(sense_bar compound_x8fOgA).X,4_rod(sense_bar compound_x8fOgA).Y,4_rod(sense_bar compound_x8fOgA).Z,4_rod(sense_bar compound_x8fOgA).Euler1,4_rod(sense_bar compound_x8fOgA).Euler2,4_rod(sense_bar compound_x8fOgA).Euler3,4_rod(sense_bar compound_x8fOgA).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.000272161,49.4011,0.00841757,-0.00107519,0.00127806,0.00040498,0.24652,-0.728137,49.3835,0.0153124,0.00616004,0.0139191,-2.35196,0.0592915,0.752983,49.3792,0.0111635,0.00550621,0.0130782,-2.35197,0.0592915,0.00854803,48.8598,-0.512677,0.01689,0.00557504,-0.78891,0.0592915,0.0165988,49.9028,0.539023,0.0160464,0.00641049,-0.788904,0.0592915,0.024293,48.8597,0.538745,-1.57366,-0.00332122,-0.00300142,0.0592915,0.000727451,49.903,-0.512204,-1.57382,-0.0031263,-0.00284424,0.0592915,
0.1212,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.000190858,49.2862,0.00855599,0.000333345,7.92352e-05,9.49468e-06,0.24652,-0.728617,49.2686,0.0153557,0.00597407,0.013635,-2.35193,0.0592915,0.75324,49.2639,0.0109035,0.0047984,0.0126407,-2.35195,0.0592915,0.00843268,48.7446,-0.512938,0.0175116,0.00494247,-0.788857,0.0592915,0.0166556,49.788,0.53926,0.0141839,0.00824816,-0.788929,0.0592915,0.0242632,48.7443,0.538809,-1.57378,-0.00360544,-0.00311707,0.0592915,0.000701077,49.7881,-0.512603,-1.57396,-0.00253048,-0.00294191,0.0592915,
0.1313,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.000243014,49.1611,0.00850974,0.000985378,-0.000803154,-0.000326001,0.24652,-0.728238,49.1436,0.0154849,0.00488189,0.0127537,-2.35192,0.0592915,0.753014,49.1388,0.0108359,0.00571709,0.0134573,-2.35191,0.0592915,0.00839298,48.6197,-0.512809,0.014803,0.00765174,-0.788895,0.0592915,0.0167174,49.6627,0.539104,0.0156456,0.00681498,-0.788887,0.0592915,0.0242871,48.6195,0.538671,-1.57385,-0.0023528,-0.0031897,0.0592915,0.000719243,49.6629,-0.512306,-1.574,-0.00326954,-0.00303395,0.0592915,
0.1414,-0.000228381,49.0261,0.00853257,0.000562075,-0.000318919,-0.000136166,0.24652,-0.000228381,49.0261,0.00853257,0.000562075,-0.000318919,-0.000136166,0.24652,-0.000228381,49.0261,0.00853257,0.000562075,-0.000318919,-0.000136166,0.24652,-0.000228381,49.0261,0.00853257,0.000562075,-0.000318919,-0.000136166,0.24652,-0.000228381,49.0261,0.00853257,0.000562075,-0.000318919,-0.000136166,0.24652,-0.728246,49.0085,0.0154058,0.00517842,0.0129604,-2.35193,0.0592915,0.753018,49.0038,0.0108845,0.00634042,0.0141303,-2.35192,0.0592915,0.00839474,48.4846,-0.512777,0.0138795,0.00856065,-0.788903,0.0592915,0.0166666,49.5276,0.539093,0.0172146,0.00524935,-0.788883,0.0592915,0.0242807,48.4844,0.53863,-1.57382,-0.00229615,-0.00313272,0.0592915,0.000717449,49.5278,-0.512351,-1.57396,-0.00342233,-0.00299712,0.0592915,
0.1515,-0.000201822,48.881,0.00851152,-0.000281003,0.000587726,0.00019122,0.24652,-0.000201822,48.881,0.00851152,-0.000281003,0.000587726,0.00019122,0.24652,-0.000201822,48.881,0.00851152,-0.000281003,0.000587726,0.00019122,0.24652,-0.000201822,48.881,0.00851152,-0.000281003,0.000587726,0.00019122,0.24652,-0.000201822,48.881,0.00851152,-0.000281003,0.000587726,0.00019122,0.24652,-0.728542,48.8633,0.0153087,0.00617991,0.0139317,-2.35195,0.0592915,0.753192,48.8589,0.0110105,0.00558798,0.0133218,-2.35196,0.0592915,0.008464,48.3394,-0.512881,0.0166305,0.00582351,-0.788869,0.0592915,0.0166255,49.3828,0.539201,0.0160818,0.00636813,-0.788911,0.0592915,0.0242723,48.3393,0.538829,-1.57372,-0.00341072,-0.00306856,0.0592915,0.000709264,49.383,-0.512495,-1.5739,-0.00296969,-0.00289478,0.0592915,
0.1616,-0.000237595,48.7259,0.00848084,-0.000506539,0.000741092,0.000166978,0.24652,-0.000237595,48.7259,0.00848084,-0.000506539,0.000741092,0.000166978,0.24652,-0.000237595,48.7259,0.00848084,-0.000506539,0.000741092,0.000166978,0.24652,-0.000237595,48.7259,0.00848084,-0.000506539,0.000741092,0.000166978,0.24652,-0.000237595,48.7259,0.00848084,-0.000506539,0.000741092,0.000166978,0.24652,-0.728316,48.7083,0.015328,0.00596393,0.0136755,-2.35195,0.0592915,0.753062,48.7038,0.0110556,0.00487707,0.0125926,-2.35196,0.0592915,0.00850036,48.1845,-0.51277,0.0180036,0.00446882,-0.788875,0.0592915,0.0166261,49.2276,0.53911,0.0147744,0.00767462,-0.788904,0.0592915,0.0242819,48.1843,0.53873,-1.57371,-0.00372126,-0.00305135,0.0592915,0.000715578,49.2278,-0.512353,-1.57387,-0.00280419,-0.00289341,0.0592915,
0.1717,-0.000220706,48.5609,0.0084934,-5.1226e-05,0.000279949,-9.98778e-05,0.24652,-0.000220706,48.5609,0.0084934,-5.1226e-05,0.000279949,-9.98778e-05,0.24652,-0.000220706,48.5609,0.0084934,-5.1226e-05,0.000279949,-9.98778e-05,0.24652,-0.000220706,48.5609,0.0084934,-5.1226e-05,0.000279949,-9.98778e-05,0.24652,-0.000220706,48.5609,0.0084934,-5.1226e-05,0.000279949,-9.98778e-05,0.24652,-0.72833,48.5433,0.0153775,0.00500222,0.0127304,-2.35194,0.0592915,0.753056,48.5387,0.0109844,0.00551047,0.0132449,-2.35193,0.0592915,0.00844874,48.0194,-0.512792,0.0154959,0.00696067,-0.788891,0.0592915,0.0166317,49.0625,0.539131,0.0157935,0.00666486,-0.788892,0.0592915,0.0242805,48.0192,0.538701,-1.57376,-0.00265789,-0.00308606,0.0592915,0.000713176,49.0627,-0.512354,-1.5739,-0.00318427,-0.00294152,0.0592915,
0.1818,-0.000201488,48.3858,0.00851569,0.000395859,-0.000104064,-0.000182261,0.24652,-0.000201488,48.3858,0.00851569,0.000395859,-0.000104064,-0.000182261,0.24652,-0.000201488,48.3858,0.00851569,0.000395859,-0.000104064,-0.000182261,0.24652,-0.000201488,48.3858,0.00851569,0.000395859,-0.000104064,-0.000182261,0.24652,-0.000201488,48.3858,0.00851569,0.000395859,-0.000104064,-0.000182261,0.24652,-0.728498,48.3682,0.0154095,0.00517936,0.0129276,-2.35193,0.0592915,0.753166,48.3636,0.0109057,0.00631726,0.014065,-2.35191,0.0592915,0.00841505,47.8443,-0.512897,0.0137303,0.00870544,-0.788891,0.0592915,0.0166497,48.8875,0.53922,0.0170314,0.00542795,-0.788897,0.0592915,0.0242751,47.8441,0.538786,-1.57379,-0.00213383,-0.00312943,0.0592915,0.000711208,48.8877,-0.512469,-1.57396,-0.00334373,-0.00296214,0.0592915,
0.1919,-0.000218334,48.2007,0.00851353,0.000272911,-7.46835e-06,9.60718e-07,0.24652,-0.000218334,48.2007,0.00851353,0.000272911,-7.46835e-06,9.60718e-07,0.24652,-0.000218334,48.2007,0.00851353,0.000272911,-7.46835e-06,9.60718e-07,0.24652,-0.000218334,48.2007,0.00851353,0.000272911,-7.46835e-06,9.60718e-07,0.24652,-0.000218334,48.2007,0.00851353,0.000272911,-7.46835e-06,9.60718e-07,0.24652,-0.728364,48.1831,0.0153885,0.00609765,0.013874,-2.35193,0.0592915,0.753074,48.1785,0.010933,0.00581731,0.0135663,-2.35193,0.0592915,0.00842937,47.6592,-0.512812,0.0159395,0.00651228,-0.788881,0.0592915,0.0166576,48.7024,0.539124,0.016,0.00645215,-0.788898,0.0592915,0.0242774,47.6591,0.538715,-1.57379,-0.00313109,-0.00311333,0.0592915,0.000715355,48.7026,-0.512384,-1.57394,-0.00297196,-0.00296061,0.0592915,
0.202,-0.000218469,48.0056,0.00849816,-6.25998e-05,0.000290969,0.000132214,0.24652,-0.000218469,48.0056,0.00849816,-6.25998e-05,0.000290969,0.000132214,0.24652,-0.000218469,48.0056,0.00849816,-6.25998e-05,0.000290969,0.000132214,0.24652,-0.000218469,48.0056,0.00849816,-6.25998e-05,0.000290969,0.000132214,0.24652,-0.000218469,48.0056,0.00849816,-6.25998e-05,0.000290969,0.000132214,0.24652,-0.728388,47.988,0.0153751,0.00602659,0.013745,-2.35194,0.0592915,0.753085,47.9834,0.0109821,0.00490799,0.0126648,-2.35196,0.0592915,0.00846256,47.4641,-0.512795,0.0179478,0.00452447,-0.788878,0.0592915,0.0166426,48.5073,0.539133,0.0146936,0.00775553,-0.788902,0.0592915,0.0242771,47.464,0.538731,-1.57375,-0.00380909,-0.00309117,0.0592915,0.000710839,48.5075,-0.512398,-1.57391,-0.0028276,-0.00293643,0.0592915,
