time,0_rod(payload_bars compound_0msTde).X,0_rod(payload_bars compound_0msTde).Y,0_rod(payload_bars compound_0msTde).Z,0_rod(payload_bars compound_0msTde).Euler1,0_rod(payload_bars compound_0msTde).Euler2,0_rod(payload_bars compound_0msTde).Euler3,0_rod(payload_bars compound_0msTde).mass,1_rod(payload_bars compound_0msTde).X,1_rod(payload_bars compound_0msTde).Y,1_rod(payload_bars compound_0msTde).Z,1_rod(payload_bars compound_0msTde).Euler1,1_rod(payload_bars compound_0msTde).Euler2,1_rod(payload_bars compound_0msTde).Euler3,1_rod(payload_bars compound_0msTde).mass,2_rod(payload_bars compound_0msTde).X,2_rod(payload_bars compound_0msTde).Y,2_rod(payload_bars compound_0msTde).Z,2_rod(payload_bars compound_0msTde).Euler1,2_rod(payload_bars compound_0msTde).Euler2,2_rod(payload_bars compound_0msTde).Euler3,2_rod(payload_bars compound_0msTde).mass,3_rod(payload_bars compound_0msTde).X,3_rod(payload_bars compound_0msTde).Y,3_rod(payload_bars compound_0msTde).Z,3_rod(payload_bars compound_0msTde).Euler1,3_rod(payload_bars compound_0msTde).Euler2,3_rod(payload_bars compound_0msTde).Euler3,3_rod(payload_bars compound_0msTde).mass,4_rod(payload_bars compound_0msTde).X,4_rod(payload_bars compound_0msTde).Y,4_rod(payload_bars compound_0msTde).Z,4_rod(payload_bars compound_0msTde).Euler1,4_rod(payload_bars compound_0msTde).Euler2,4_rod(payload_bars compound_0msTde).Euler3,4_rod(payload_bars compound_0msTde).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,1.66059,35.8658,-0.633373,0.33461,0.293046,-3.02447,0.199491,8.54736,37.5506,1.34825,0.169261,-0.428226,-2.98909,0.199491,5.85817,36.3016,0.918694,0.269416,-0.282258,-1.43232,0.199491,5.22786,39.7978,1.729,0.0582426,-0.249635,-1.40745,0.199491,5.29596,37.9543,2.7926,-1.36359,-0.0540371,0.278887,0.199645,5.29513,38.2261,-1.27625,-1.29337,0.124844,0.252616,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,2.48708,38.8615,-0.523443,0.331934,-0.378839,-3.02645,0.199491,8.63448,40.4685,1.3517,0.202356,-0.222034,-3.00127,0.199491,6.33403,39.5854,1.0864,0.0230325,-0.240024,-1.37246,0.199491,5.89566,42.2738,1.73603,0.483077,-0.303731,-1.50621,0.199491,5.74485,40.8756,2.6723,-1.23435,0.339352,0.260965,0.199645,5.77576,41.118,-1.07869,-1.20754,0.339994,0.306247,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,3.22231,41.8175,-0.396813,0.404255,0.0824595,-3.05345,0.199491,8.79606,43.3529,1.36245,0.225705,-0.246709,-3.01185,0.199491,6.90706,42.7257,1.19527,0.256266,-0.302547,-1.43798,0.199491,6.52968,44.879,1.73123,0.497249,-0.318911,-1.50333,0.199491,6.14777,43.8458,2.493,-1.2295,0.31324,0.229787,0.199645,6.25582,43.9884,-0.775414,-1.24931,0.130802,0.31811,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,3.79032,44.6453,-0.298364,0.316569,-0.651594,-3.04022,0.199491,9.25851,46.3035,1.40132,0.253945,-0.322703,-3.01903,0.199491,7.40596,45.6719,1.23494,-0.0395639,-0.263716,-1.35001,0.199491,7.0573,47.65,1.78121,0.536495,-0.333169,-1.53454,0.199491,6.54885,46.7706,2.52976,-1.20877,0.304491,0.230894,0.199645,6.7846,46.9345,-0.673857,-1.19048,0.232994,0.337934,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,4.08425,47.3994,-0.313454,0.359582,-0.259504,-3.06967,0.199491,9.99404,49.2807,1.51216,0.294642,-0.266469,-3.02852,0.199491,7.97313,48.3432,1.27496,0.550248,-0.348724,-1.51995,0.199491,7.41906,50.7507,1.85535,0.47865,-0.334205,-1.53045,0.199491,7.04405,49.6719,2.71861,-1.21476,0.205274,0.253352,0.199645,7.31776,49.8364,-0.707464,-1.17769,0.217414,0.338725,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,4.33777,50.1372,-0.380572,0.307225,-0.882351,-3.03907,0.199491,10.8476,52.2569,1.71753,0.308833,-0.395768,-3.02832,0.199491,8.52791,50.92,1.24894,0.0420521,-0.278912,-1.36276,0.199491,7.691,53.9541,1.97595,0.167969,-0.30395,-1.44489,0.199491,7.58678,52.5513,2.98419,-1.27605,-0.0524193,0.287775,0.199645,7.82796,52.7092,-0.840783,-1.28477,-0.134254,0.316733,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,4.58176,52.8408,-0.411555,0.340201,-0.649232,-3.06105,0.199491,11.6945,55.2512,1.92747,0.33858,-0.278763,-3.0381,0.199491,9.09603,53.4644,1.25811,0.267885,-0.316098,-1.4361,0.199491,7.9648,57.1712,2.05951,0.229529,-0.309176,-1.45761,0.199491,8.10924,55.3926,3.24219,-1.1992,0.161626,0.33219,0.199645,8.35949,55.5948,-1.00537,-1.23891,-0.0436155,0.297174,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,4.84713,55.5265,-0.426787,0.369536,-0.115631,-3.07135,0.199491,12.4771,58.2078,2.10783,0.355431,-0.35201,-3.04322,0.199491,9.71822,56.0169,1.28256,0.388175,-0.328467,-1.48032,0.199491,8.26614,60.3942,2.16236,0.282983,-0.315244,-1.47537,0.199491,8.58755,58.2097,3.49178,-1.25337,-0.0264399,0.348785,0.199645,8.89641,58.4863,-1.18229,-1.19227,0.0822838,0.297634,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,5.23129,58.2638,-0.466588,0.326757,-0.348355,-3.03944,0.199491,13.1587,61.1687,2.22687,0.382678,-0.340171,-3.05794,0.199491,10.2983,58.6593,1.35973,0.516446,-0.331875,-1.5202,0.199491,8.65155,63.4381,2.20956,0.413367,-0.324359,-1.53736,0.199491,9.03896,61.0225,3.70134,-1.22536,-0.00774578,0.357893,0.199645,9.40059,61.3554,-1.23031,-1.19149,0.066803,0.292353,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,5.84101,61.0741,-0.367247,0.278621,-0.535118,-3.00043,0.199491,13.5982,64.0464,2.28153,0.398837,-0.321748,-3.07339,0.199491,10.7905,61.521,1.46398,0.51567,-0.338473,-1.51735,0.199491,9.13942,66.2315,2.16873,0.452117,-0.339032,-1.56305,0.199491,9.48505,63.823,3.7202,-1.19728,0.00251209,0.357591,0.199645,9.91194,64.2179,-1.10131,-1.19239,0.0464758,0.290035,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,6.62702,63.9206,-0.210125,0.340274,-0.143453,-3.00505,0.199491,13.8695,66.8351,2.25168,0.398585,-0.266725,-3.08178,0.199491,11.2108,64.6031,1.5594,0.297794,-0.3325,-1.44259,0.199491,9.69961,68.8519,2.14572,0.202103,-0.347468,-1.49673,0.199491,9.89915,66.6196,3.63292,-1.16764,0.0330442,0.342038,0.199645,10.4469,67.0299,-0.848342,-1.15129,0.153755,0.291488,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,7.45527,66.7831,-0.0611425,0.287814,-0.490852,-2.97255,0.199491,14.0902,69.6142,2.19495,0.391411,-0.408194,-3.08986,0.199491,11.6041,67.6944,1.67672,0.598851,-0.36897,-1.53899,0.199491,10.3005,71.3965,2.12479,0.60558,-0.3595,-1.66527,0.199491,10.3564,69.4318,3.50184,-1.15861,0.00297934,0.33463,0.199645,10.9334,69.8264,-0.540512,-1.21615,-0.0960362,0.295527,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,8.28818,69.6525,0.0987351,0.238354,-0.725202,-2.93155,0.199491,14.3065,72.3818,2.13455,0.399367,-0.436287,-3.10356,0.199491,12.0106,70.7627,1.77516,0.446457,-0.374887,-1.48353,0.199491,10.9129,73.8963,2.14698,0.280604,-0.38856,-1.57153,0.199491,10.7832,72.253,3.36933,-1.10058,0.122701,0.326137,0.199645,11.4252,72.6262,-0.262705,-1.14491,0.0937748,0.301552,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,9.06058,72.4909,0.240427,0.349072,-0.29843,-2.97988,0.199491,14.5461,75.14,2.09046,0.406884,-0.514205,-3.11534,0.199491,12.4345,73.7983,1.87508,0.447465,-0.387988,-1.48563,0.199491,11.5221,76.4305,2.2035,0.611207,-0.378756,-1.71337,0.199491,11.2429,75.0742,3.24853,-1.09936,0.078765,0.31772,0.199645,11.9071,75.4046,-0.0305645,-1.1713,-0.0404018,0.315992,0.199491,
