time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_UEv9LJ).X,6_rod(payload_bars compound_UEv9LJ).Y,6_rod(payload_bars compound_UEv9LJ).Z,6_rod(payload_bars compound_UEv9LJ).Euler1,6_rod(payload_bars compound_UEv9LJ).Euler2,6_rod(payload_bars compound_UEv9LJ).Euler3,6_rod(payload_bars compound_UEv9LJ).mass,7_rod(payload_bars compound_UEv9LJ).X,7_rod(payload_bars compound_UEv9LJ).Y,7_rod(payload_bars compound_UEv9LJ).Z,7_rod(payload_bars compound_UEv9LJ).Euler1,7_rod(payload_bars compound_UEv9LJ).Euler2,7_rod(payload_bars compound_UEv9LJ).Euler3,7_rod(payload_bars compound_UEv9LJ).mass,8_rod(payload_bars compound_UEv9LJ).X,8_rod(payload_bars compound_UEv9LJ).Y,8_rod(payload_bars compound_UEv9LJ).Z,8_rod(payload_bars compound_UEv9LJ).Euler1,8_rod(payload_bars compound_UEv9LJ).Euler2,8_rod(payload_bars compound_UEv9LJ).Euler3,8_rod(payload_bars compound_UEv9LJ).mass,9_rod(payload_bars compound_UEv9LJ).X,9_rod(payload_bars compound_UEv9LJ).Y,9_rod(payload_bars compound_UEv9LJ).Z,9_rod(payload_bars compound_UEv9LJ).Euler1,9_rod(payload_bars compound_UEv9LJ).Euler2,9_rod(payload_bars compound_UEv9LJ).Euler3,9_rod(payload_bars compound_UEv9LJ).mass,10_rod(payload_bars compound_UEv9LJ).X,10_rod(payload_bars compound_UEv9LJ).Y,10_rod(payload_bars compound_UEv9LJ).Z,10_rod(payload_bars compound_UEv9LJ).Euler1,10_rod(payload_bars compound_UEv9LJ).Euler2,10_rod(payload_bars compound_UEv9LJ).Euler3,10_rod(payload_bars compound_UEv9LJ).mass,
0.1111,-0.433132,9.16379,0.326073,0.791431,0.879445,-2.91315,0.0199491,0.342303,9.69016,-0.363416,0.488053,0.743842,-2.99136,0.0199491,0.201044,9.85951,-0.124544,0.502134,0.789702,-1.45344,0.0199491,-0.117746,9.94749,0.0305994,0.756212,0.604727,-1.34408,0.0199491,0.229079,9.65614,0.297341,-0.155082,-0.886338,-1.17351,0.0199645,-0.328359,9.54235,-0.360352,-0.902291,-0.0343435,-0.790123,0.0199491,0.0194856,9.27872,0.0297827,0.753707,0.761821,-0.276698,0.256021,0.0194856,9.27872,0.0297827,0.753707,0.761821,-0.276698,0.256021,0.0194856,9.27872,0.0297827,0.753707,0.761821,-0.276698,0.256021,0.0194856,9.27872,0.0297827,0.753707,0.761821,-0.276698,0.256021,0.0194856,9.27872,0.0297827,0.753707,0.761821,-0.276698,0.256021,
0.1212,-0.411922,9.04565,0.363542,0.896614,0.966902,-2.8724,0.0199491,0.296006,9.57187,-0.396804,0.53587,0.84804,-3.01292,0.0199491,0.160933,9.74759,-0.157985,0.542907,0.880359,-1.47395,0.0199491,-0.160977,9.81805,0.0104346,0.812448,0.685876,-1.33486,0.0199491,0.22473,9.57265,0.267858,-0.0524555,-0.834378,-1.25526,0.0199645,-0.363925,9.39059,-0.341481,-0.843145,-0.0456757,-0.873692,0.0199491,0.0310447,9.16546,0.0344704,0.84738,0.847854,-0.243004,0.256021,0.0310447,9.16546,0.0344704,0.84738,0.847854,-0.243004,0.256021,0.0310447,9.16546,0.0344704,0.84738,0.847854,-0.243004,0.256021,0.0310447,9.16546,0.0344704,0.84738,0.847854,-0.243004,0.256021,0.0310447,9.16546,0.0344704,0.84738,0.847854,-0.243004,0.256021,
0.1313,-0.384916,8.92088,0.402821,1.03967,1.07293,-2.79227,0.0199491,0.244717,9.44006,-0.42816,0.581669,0.903947,-3.0372,0.0199491,0.118846,9.62299,-0.187184,0.617795,0.970546,-1.46306,0.0199491,-0.20459,9.67341,-0.00479295,0.855195,0.775986,-1.33574,0.0199491,0.218564,9.47665,0.235906,0.0558544,-0.780484,-1.33191,0.0199645,-0.394474,9.22848,-0.315649,-0.773193,-0.0545582,-0.964052,0.0199491,0.0424759,9.04305,0.0377935,0.953332,0.92878,-0.19437,0.256021,0.0424759,9.04305,0.0377935,0.953332,0.92878,-0.19437,0.256021,0.0424759,9.04305,0.0377935,0.953332,0.92878,-0.19437,0.256021,0.0424759,9.04305,0.0377935,0.953332,0.92878,-0.19437,0.256021,0.0424759,9.04305,0.0377935,0.953332,0.92878,-0.19437,0.256021,
0.1414,-0.354306,8.78845,0.441024,1.21614,1.15562,-2.67439,0.0199491,0.194145,9.29257,-0.451602,0.62066,1.01751,-3.06264,0.0199491,0.074715,9.48371,-0.214201,0.692699,1.06219,-1.44952,0.0199491,-0.245476,9.51672,-0.0146002,0.908939,0.86337,-1.32544,0.0199491,0.209008,9.36778,0.203632,0.150059,-0.71617,-1.39227,0.0199645,-0.421377,9.056,-0.28452,-0.709349,-0.0512812,-1.05856,0.0199491,0.0534973,8.91166,0.0396039,1.0796,1.00624,-0.122743,0.256021,0.0534973,8.91166,0.0396039,1.0796,1.00624,-0.122743,0.256021,0.0534973,8.91166,0.0396039,1.0796,1.00624,-0.122743,0.256021,0.0534973,8.91166,0.0396039,1.0796,1.00624,-0.122743,0.256021,0.0534973,8.91166,0.0396039,1.0796,1.00624,-0.122743,0.256021,
0.1515,-0.317951,8.6494,0.478469,1.44907,1.22412,-2.49526,0.0199491,0.142373,9.13426,-0.474111,0.689404,1.11516,-3.06008,0.0199491,0.0289343,9.33016,-0.23838,0.786758,1.15174,-1.41616,0.0199491,-0.283421,9.3477,-0.0185091,0.987039,0.948999,-1.29288,0.0199491,0.198974,9.24463,0.171727,0.241629,-0.637396,-1.43819,0.0199645,-0.443829,8.87247,-0.250081,-0.651235,-0.0336651,-1.14864,0.0199491,0.0637544,8.77098,0.0404332,1.23216,1.07837,-0.0207346,0.256021,0.0637544,8.77098,0.0404332,1.23216,1.07837,-0.0207346,0.256021,0.0637544,8.77098,0.0404332,1.23216,1.07837,-0.0207346,0.256021,0.0637544,8.77098,0.0404332,1.23216,1.07837,-0.0207346,0.256021,0.0637544,8.77098,0.0404332,1.23216,1.07837,-0.0207346,0.256021,
0.1616,-0.276031,8.50372,0.514492,1.72781,1.26541,-2.28537,0.0199491,0.0909302,8.96243,-0.490526,0.762081,1.20493,-3.04501,0.0199491,-0.0181223,9.16353,-0.258486,0.951938,1.23703,-1.30689,0.0199491,-0.318691,9.16609,-0.0157392,1.06271,1.02699,-1.24916,0.0199491,0.176991,9.11112,0.137069,0.349607,-0.579043,-1.50428,0.0199645,-0.461906,8.67982,-0.211292,-0.566819,-0.0159101,-1.23668,0.0199491,0.074034,8.62072,0.0399363,1.43029,1.14181,0.132729,0.256021,0.074034,8.62072,0.0399363,1.43029,1.14181,0.132729,0.256021,0.074034,8.62072,0.0399363,1.43029,1.14181,0.132729,0.256021,0.074034,8.62072,0.0399363,1.43029,1.14181,0.132729,0.256021,0.074034,8.62072,0.0399363,1.43029,1.14181,0.132729,0.256021,
0.1717,-0.229221,8.35092,0.546591,2.10277,1.28225,-1.96001,0.0199491,0.0368414,8.77005,-0.503874,0.85709,1.27064,-3.01412,0.0199491,-0.0661021,8.98379,-0.273771,1.17713,1.3146,-1.13548,0.0199491,-0.350257,8.9733,-0.00916209,1.19115,1.11525,-1.18026,0.0199491,0.158884,8.96229,0.106283,0.422579,-0.496346,-1.52684,0.0199645,-0.475967,8.47814,-0.167709,-0.481451,0.00772696,-1.31845,0.0199491,0.083307,8.46171,0.0381585,1.67835,1.18706,0.335982,0.256021,0.083307,8.46171,0.0381585,1.67835,1.18706,0.335982,0.256021,0.083307,8.46171,0.0381585,1.67835,1.18706,0.335982,0.256021,0.083307,8.46171,0.0381585,1.67835,1.18706,0.335982,0.256021,0.083307,8.46171,0.0381585,1.67835,1.18706,0.335982,0.256021,
0.1818,-0.178223,8.19189,0.574783,2.4599,1.26526,-1.65917,0.0199491,-0.0171467,8.57316,-0.51231,1.06362,1.35768,-2.87097,0.0199491,-0.115733,8.79005,-0.284965,1.60598,1.3655,-0.764513,0.0199491,-0.378549,8.77005,0.00240969,1.3836,1.18151,-1.03315,0.0199491,0.136842,8.80072,0.0745008,0.523788,-0.406422,-1.55164,0.0199645,-0.484055,8.2656,-0.122999,-0.397951,0.0449986,-1.39325,0.0199491,0.0919607,8.2926,0.0355841,1.97331,1.21162,0.587556,0.256021,0.0919607,8.2926,0.0355841,1.97331,1.21162,0.587556,0.256021,0.0919607,8.2926,0.0355841,1.97331,1.21162,0.587556,0.256021,0.0919607,8.2926,0.0355841,1.97331,1.21162,0.587556,0.256021,0.0919607,8.2926,0.0355841,1.97331,1.21162,0.587556,0.256021,
0.1919,-0.12404,8.02551,0.596697,2.75991,1.21953,-1.41676,0.0199491,-0.0699612,8.35913,-0.517604,1.46585,1.4198,-2.52728,0.0199491,-0.162865,8.58212,-0.291844,2.09906,1.40104,-0.323944,0.0199491,-0.40486,8.55662,0.0187833,1.62453,1.2377,-0.831096,0.0199491,0.115787,8.62525,0.0468337,0.565661,-0.314839,-1.54279,0.0199645,-0.48462,8.04243,-0.0735801,-0.328845,0.106096,-1.45597,0.0199491,0.0992627,8.11452,0.0318562,2.2797,1.20685,0.849512,0.256021,0.0992627,8.11452,0.0318562,2.2797,1.20685,0.849512,0.256021,0.0992627,8.11452,0.0318562,2.2797,1.20685,0.849512,0.256021,0.0992627,8.11452,0.0318562,2.2797,1.20685,0.849512,0.256021,0.0992627,8.11452,0.0318562,2.2797,1.20685,0.849512,0.256021,
0.202,-0.0686085,7.85068,0.613433,2.95248,1.15413,-1.26964,0.0199491,-0.120317,8.13399,-0.517738,2.16573,1.43346,-1.89282,0.0199491,-0.210693,8.36126,-0.292126,2.63879,1.37705,0.152239,0.0199491,-0.425452,8.33177,0.0392439,1.9636,1.26496,-0.550975,0.0199491,0.0863444,8.43733,0.022207,0.663102,-0.227413,-1.54398,0.0199645,-0.479432,7.81874,-0.0250504,-0.2763,0.163993,-1.53251,0.0199491,0.10609,7.92619,0.0271292,2.55864,1.17295,1.08447,0.256021,0.10609,7.92619,0.0271292,2.55864,1.17295,1.08447,0.256021,0.10609,7.92619,0.0271292,2.55864,1.17295,1.08447,0.256021,0.10609,7.92619,0.0271292,2.55864,1.17295,1.08447,0.256021,0.10609,7.92619,0.0271292,2.55864,1.17295,1.08447,0.256021,
