tgDataLogger2 started logging at time 01232019_205718, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_m7aSJ5).X,0_rod(rod compound_m7aSJ5).Y,0_rod(rod compound_m7aSJ5).Z,0_rod(rod compound_m7aSJ5).Euler1,0_rod(rod compound_m7aSJ5).Euler2,0_rod(rod compound_m7aSJ5).Euler3,0_rod(rod compound_m7aSJ5).mass,1_rod(rod compound_m7aSJ5).X,1_rod(rod compound_m7aSJ5).Y,1_rod(rod compound_m7aSJ5).Z,1_rod(rod compound_m7aSJ5).Euler1,1_rod(rod compound_m7aSJ5).Euler2,1_rod(rod compound_m7aSJ5).Euler3,1_rod(rod compound_m7aSJ5).mass,2_rod(rod compound_m7aSJ5).X,2_rod(rod compound_m7aSJ5).Y,2_rod(rod compound_m7aSJ5).Z,2_rod(rod compound_m7aSJ5).Euler1,2_rod(rod compound_m7aSJ5).Euler2,2_rod(rod compound_m7aSJ5).Euler3,2_rod(rod compound_m7aSJ5).mass,3_rod(strut compound_m7aSJ5).X,3_rod(strut compound_m7aSJ5).Y,3_rod(strut compound_m7aSJ5).Z,3_rod(strut compound_m7aSJ5).Euler1,3_rod(strut compound_m7aSJ5).Euler2,3_rod(strut compound_m7aSJ5).Euler3,3_rod(strut compound_m7aSJ5).mass,4_rod(strut compound_m7aSJ5).X,4_rod(strut compound_m7aSJ5).Y,4_rod(strut compound_m7aSJ5).Z,4_rod(strut compound_m7aSJ5).Euler1,4_rod(strut compound_m7aSJ5).Euler2,4_rod(strut compound_m7aSJ5).Euler3,4_rod(strut compound_m7aSJ5).mass,5_rod(strut compound_m7aSJ5).X,5_rod(strut compound_m7aSJ5).Y,5_rod(strut compound_m7aSJ5).Z,5_rod(strut compound_m7aSJ5).Euler1,5_rod(strut compound_m7aSJ5).Euler2,5_rod(strut compound_m7aSJ5).Euler3,5_rod(strut compound_m7aSJ5).mass,
1.1,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,2.47399,15.0029,3.80637,-0.104621,-0.0355661,-0.0137694,45.0463,
1.2,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,2.55861,10.6127,3.78647,-0.11817,-0.0394287,-0.0156107,45.0463,
1.3,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,2.86851,11.0026,3.738,-0.153116,-0.0458047,-0.0206975,45.0463,
1.4,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,3.17857,10.4134,3.6895,-0.188053,-0.0523558,-0.0257661,45.0463,
1.5,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,3.64413,10.3431,3.61968,-0.240244,-0.0595181,-0.0331069,45.0463,
1.6,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,4.24157,10.2135,3.5317,-0.307598,-0.0678334,-0.0424169,45.0463,
1.7,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,5.01133,9.98072,3.41976,-0.396084,-0.0780158,-0.0543079,45.0463,
1.8,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,5.99312,9.56651,3.27828,-0.513159,-0.0913066,-0.0693506,45.0463,
1.9,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,7.20684,8.8404,3.10444,-0.668355,-0.109714,-0.0877964,45.0463,
2,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,8.6066,7.59869,2.90471,-0.873796,-0.136571,-0.108906,45.0463,
2.1,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,10.0335,5.59727,2.7019,-1.14051,-0.176926,-0.12917,45.0463,
2.2,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,11.3952,2.73312,2.50944,-1.47072,-0.233019,-0.140285,45.0463,
2.3,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,11.6324,2.135,2.47141,-1.53502,-0.255585,-0.140624,45.0463,
2.4,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,11.6314,2.135,2.46444,-1.53341,-0.266554,-0.14104,45.0463,
2.5,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,11.6304,2.135,2.45727,-1.53175,-0.277849,-0.141488,45.0463,
2.6,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,11.6294,2.135,2.44988,-1.53002,-0.289465,-0.141971,45.0463,
2.7,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,11.6284,2.135,2.44229,-1.52823,-0.301421,-0.142492,45.0463,
