time,0_rod(payload_bars compound_4642aL).X,0_rod(payload_bars compound_4642aL).Y,0_rod(payload_bars compound_4642aL).Z,0_rod(payload_bars compound_4642aL).Euler1,0_rod(payload_bars compound_4642aL).Euler2,0_rod(payload_bars compound_4642aL).Euler3,0_rod(payload_bars compound_4642aL).mass,1_rod(payload_bars compound_4642aL).X,1_rod(payload_bars compound_4642aL).Y,1_rod(payload_bars compound_4642aL).Z,1_rod(payload_bars compound_4642aL).Euler1,1_rod(payload_bars compound_4642aL).Euler2,1_rod(payload_bars compound_4642aL).Euler3,1_rod(payload_bars compound_4642aL).mass,2_rod(payload_bars compound_4642aL).X,2_rod(payload_bars compound_4642aL).Y,2_rod(payload_bars compound_4642aL).Z,2_rod(payload_bars compound_4642aL).Euler1,2_rod(payload_bars compound_4642aL).Euler2,2_rod(payload_bars compound_4642aL).Euler3,2_rod(payload_bars compound_4642aL).mass,3_rod(payload_bars compound_4642aL).X,3_rod(payload_bars compound_4642aL).Y,3_rod(payload_bars compound_4642aL).Z,3_rod(payload_bars compound_4642aL).Euler1,3_rod(payload_bars compound_4642aL).Euler2,3_rod(payload_bars compound_4642aL).Euler3,3_rod(payload_bars compound_4642aL).mass,4_rod(payload_bars compound_4642aL).X,4_rod(payload_bars compound_4642aL).Y,4_rod(payload_bars compound_4642aL).Z,4_rod(payload_bars compound_4642aL).Euler1,4_rod(payload_bars compound_4642aL).Euler2,4_rod(payload_bars compound_4642aL).Euler3,4_rod(payload_bars compound_4642aL).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.3831,98.8085,-0.555014,-0.000613053,0.00784556,-2.35039,0.199491,3.36325,98.794,-0.601517,-0.00500227,-0.00407058,-2.35794,0.199491,0.465352,98.0314,-0.798813,-0.00312876,-2.47212e-05,-0.781494,0.199491,0.842337,100.412,1.95782,-0.000237661,-0.00458301,-0.794278,0.199491,0.744249,98.4237,1.88338,-1.57272,-0.00790687,-0.00657235,0.199645,-0.293242,101.071,-1.09517,-1.57031,0.00219306,-0.0026206,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37743,98.6928,-0.554894,-0.00155417,0.00785333,-2.34976,0.199491,3.3602,98.6805,-0.602748,-0.0056232,-0.00462306,-2.35813,0.199491,0.464913,97.9175,-0.797356,-0.00323118,-0.000293424,-0.781027,0.199491,0.841859,100.297,1.9554,-0.000646931,-0.00472206,-0.795325,0.199491,0.740699,98.3081,1.88299,-1.57228,-0.00932269,-0.00667784,0.199645,-0.291392,100.954,-1.09271,-1.57027,0.00349918,-0.00289517,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37176,98.567,-0.554773,-0.00249559,0.00786201,-2.34912,0.199491,3.35715,98.5571,-0.603979,-0.00624392,-0.00517576,-2.35831,0.199491,0.464475,97.7935,-0.795899,-0.00333376,-0.000562119,-0.78056,0.199491,0.841381,100.172,1.95298,-0.0010562,-0.00486168,-0.796371,0.199491,0.737149,98.1826,1.88261,-1.57184,-0.0107385,-0.00678335,0.199645,-0.289542,100.828,-1.09025,-1.57024,0.00480531,-0.00316974,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.36609,98.4312,-0.554652,-0.0034373,0.00787158,-2.34849,0.199491,3.3541,98.4237,-0.60521,-0.00686443,-0.0057287,-2.3585,0.199491,0.464036,97.6595,-0.794443,-0.00343651,-0.000830804,-0.780093,0.199491,0.840903,100.037,1.95056,-0.00146546,-0.00500188,-0.797418,0.199491,0.733599,98.047,1.88222,-1.5714,-0.0121542,-0.00688888,0.199645,-0.287693,100.691,-1.08779,-1.5702,0.00611145,-0.00344433,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.36042,98.2854,-0.554533,-0.00438186,0.00787962,-2.34785,0.199491,3.35105,98.2803,-0.606441,-0.00748473,-0.00628186,-2.35868,0.199491,0.463597,97.5156,-0.792986,-0.00353943,-0.00109948,-0.779627,0.199491,0.840426,99.892,1.94814,-0.00187472,-0.00514265,-0.798464,0.199491,0.73005,97.9015,1.88183,-1.57096,-0.0135659,-0.00699536,0.199645,-0.285843,100.544,-1.08533,-1.57017,0.00741759,-0.00371892,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.35475,98.1296,-0.554422,-0.00534006,0.00787585,-2.34721,0.199491,3.348,98.1268,-0.607673,-0.00810481,-0.00683524,-2.35887,0.199491,0.463158,97.3616,-0.79153,-0.00364251,-0.00136815,-0.77916,0.199491,0.839948,99.7371,1.94572,-0.00228398,-0.00528399,-0.79951,0.199491,0.7265,97.7459,1.88146,-1.57053,-0.0149567,-0.00710674,0.199645,-0.283994,100.388,-1.08287,-1.57014,0.00872375,-0.00399353,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34908,97.9638,-0.554311,-0.00629855,0.00787306,-2.34657,0.199491,3.34495,97.9634,-0.608904,-0.00872468,-0.00738885,-2.35905,0.199491,0.46272,97.1976,-0.790073,-0.00374575,-0.00163681,-0.778693,0.199491,0.83947,99.5722,1.9433,-0.00269323,-0.00542591,-0.800556,0.199491,0.72295,97.5804,1.88108,-1.57011,-0.0163476,-0.00721812,0.199645,-0.282144,100.221,-1.08041,-1.57011,0.0100299,-0.00426815,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34341,97.788,-0.554201,-0.00725875,0.00786985,-2.34592,0.199491,3.3419,97.7899,-0.610135,-0.00934435,-0.00794268,-2.35924,0.199491,0.462281,97.0236,-0.788616,-0.00384916,-0.00190545,-0.778227,0.199491,0.838993,99.3973,1.94088,-0.00310247,-0.0055684,-0.801601,0.199491,0.7194,97.4048,1.8807,-1.56969,-0.0177363,-0.00732995,0.199645,-0.280294,100.044,-1.07795,-1.57007,0.0113361,-0.00454279,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33774,97.6021,-0.554094,-0.00822626,0.00786085,-2.34528,0.199491,3.33885,97.6064,-0.611366,-0.0099638,-0.00849674,-2.35942,0.199491,0.461842,96.8396,-0.78716,-0.00395273,-0.00217409,-0.77776,0.199491,0.838515,99.2124,1.93846,-0.00351171,-0.00571147,-0.802647,0.199491,0.715849,97.2193,1.88033,-1.56927,-0.0191144,-0.00744394,0.199645,-0.278445,99.8574,-1.07549,-1.57004,0.0126422,-0.00481744,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33207,97.4062,-0.553986,-0.00919957,0.00784746,-2.34463,0.199491,3.3358,97.413,-0.612597,-0.010583,-0.00905102,-2.35961,0.199491,0.461403,96.6456,-0.785703,-0.00405647,-0.00244272,-0.777293,0.199491,0.838037,99.0174,1.93604,-0.00392093,-0.00585511,-0.803693,0.199491,0.712299,97.0237,1.87996,-1.56886,-0.0204855,-0.00755702,0.199645,-0.276595,99.6607,-1.07303,-1.57001,0.0139484,-0.00509211,0.199491,
