time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_X8Li41).X,6_rod(payload_bars compound_X8Li41).Y,6_rod(payload_bars compound_X8Li41).Z,6_rod(payload_bars compound_X8Li41).Euler1,6_rod(payload_bars compound_X8Li41).Euler2,6_rod(payload_bars compound_X8Li41).Euler3,6_rod(payload_bars compound_X8Li41).mass,7_rod(payload_bars compound_X8Li41).X,7_rod(payload_bars compound_X8Li41).Y,7_rod(payload_bars compound_X8Li41).Z,7_rod(payload_bars compound_X8Li41).Euler1,7_rod(payload_bars compound_X8Li41).Euler2,7_rod(payload_bars compound_X8Li41).Euler3,7_rod(payload_bars compound_X8Li41).mass,8_rod(payload_bars compound_X8Li41).X,8_rod(payload_bars compound_X8Li41).Y,8_rod(payload_bars compound_X8Li41).Z,8_rod(payload_bars compound_X8Li41).Euler1,8_rod(payload_bars compound_X8Li41).Euler2,8_rod(payload_bars compound_X8Li41).Euler3,8_rod(payload_bars compound_X8Li41).mass,9_rod(payload_bars compound_X8Li41).X,9_rod(payload_bars compound_X8Li41).Y,9_rod(payload_bars compound_X8Li41).Z,9_rod(payload_bars compound_X8Li41).Euler1,9_rod(payload_bars compound_X8Li41).Euler2,9_rod(payload_bars compound_X8Li41).Euler3,9_rod(payload_bars compound_X8Li41).mass,10_rod(payload_bars compound_X8Li41).X,10_rod(payload_bars compound_X8Li41).Y,10_rod(payload_bars compound_X8Li41).Z,10_rod(payload_bars compound_X8Li41).Euler1,10_rod(payload_bars compound_X8Li41).Euler2,10_rod(payload_bars compound_X8Li41).Euler3,10_rod(payload_bars compound_X8Li41).mass,
0.1111,-0.526665,9.40769,-0.303326,-0.270969,-0.0688563,2.0007,0.0199491,0.753136,9.37527,0.0677036,0.429752,0.468846,2.08452,0.0199491,0.454309,9.43697,-0.00366549,-0.0948481,0.370318,-2.98449,0.0199491,0.00591712,9.70303,-0.388063,-0.439668,-0.215009,-3.06268,0.0199491,0.116713,9.82245,0.0563116,1.99739,-0.805695,2.36396,0.0199645,0.259357,9.20585,-0.399657,2.05562,-0.664926,2.57965,0.0199491,-0.0716409,9.34947,0.0902941,-0.169167,-0.114796,-1.52124,0.256021,-0.0716409,9.34947,0.0902941,-0.169167,-0.114796,-1.52124,0.256021,-0.0716409,9.34947,0.0902941,-0.169167,-0.114796,-1.52124,0.256021,-0.0716409,9.34947,0.0902941,-0.169167,-0.114796,-1.52124,0.256021,-0.0716409,9.34947,0.0902941,-0.169167,-0.114796,-1.52124,0.256021,
0.1212,-0.539387,9.22934,-0.277622,-0.234874,-0.0618928,1.83615,0.0199491,0.752667,9.28181,0.0267254,0.449734,0.568286,1.98774,0.0199491,0.450318,9.32427,-0.0302997,-0.125439,0.446153,3.12986,0.0199491,-0.0214117,9.52479,-0.431134,-0.370536,-0.231209,3.05262,0.0199491,0.10572,9.71322,-0.01417,1.94076,-0.673929,2.49676,0.0199645,0.249801,9.03319,-0.373223,1.9937,-0.530042,2.73346,0.0199491,-0.0665708,9.24647,0.100352,-0.119385,-0.0926664,-1.68578,0.256021,-0.0665708,9.24647,0.100352,-0.119385,-0.0926664,-1.68578,0.256021,-0.0665708,9.24647,0.100352,-0.119385,-0.0926664,-1.68578,0.256021,-0.0665708,9.24647,0.100352,-0.119385,-0.0926664,-1.68578,0.256021,-0.0665708,9.24647,0.100352,-0.119385,-0.0926664,-1.68578,0.256021,
0.1313,-0.549088,9.04084,-0.239193,-0.183743,-0.0467721,1.6743,0.0199491,0.74952,9.17953,-0.0149484,0.439744,0.672444,1.87044,0.0199491,0.445083,9.2025,-0.0577034,-0.168282,0.49942,2.95205,0.0199491,-0.0514472,9.32951,-0.461915,-0.294566,-0.231222,2.8859,0.0199491,0.0873049,9.58308,-0.0849611,1.9074,-0.530253,2.61691,0.0199645,0.243618,8.85986,-0.340709,1.97201,-0.404506,2.86449,0.0199491,-0.0609036,9.13398,0.108125,-0.0668068,-0.0585492,-1.84542,0.256021,-0.0609036,9.13398,0.108125,-0.0668068,-0.0585492,-1.84542,0.256021,-0.0609036,9.13398,0.108125,-0.0668068,-0.0585492,-1.84542,0.256021,-0.0609036,9.13398,0.108125,-0.0668068,-0.0585492,-1.84542,0.256021,-0.0609036,9.13398,0.108125,-0.0668068,-0.0585492,-1.84542,0.256021,
0.1414,-0.553957,8.84617,-0.189688,-0.140385,-0.0193681,1.51764,0.0199491,0.743902,9.0689,-0.0605537,0.449599,0.774712,1.76572,0.0199491,0.437935,9.07064,-0.0859619,-0.215907,0.54345,2.77049,0.0199491,-0.0798666,9.1204,-0.479337,-0.220049,-0.222263,2.72383,0.0199491,0.0620406,9.43187,-0.152634,1.89563,-0.36604,2.72564,0.0199645,0.241062,8.68589,-0.30419,1.97426,-0.28655,2.98838,0.0199491,-0.0551458,9.0115,0.113813,-0.0131754,-0.0124896,-1.99861,0.256021,-0.0551458,9.0115,0.113813,-0.0131754,-0.0124896,-1.99861,0.256021,-0.0551458,9.0115,0.113813,-0.0131754,-0.0124896,-1.99861,0.256021,-0.0551458,9.0115,0.113813,-0.0131754,-0.0124896,-1.99861,0.256021,-0.0551458,9.0115,0.113813,-0.0131754,-0.0124896,-1.99861,0.256021,
0.1515,-0.55282,8.64585,-0.12936,-0.0890251,0.0202905,1.36618,0.0199491,0.734214,8.94532,-0.112529,0.431625,0.891594,1.64546,0.0199491,0.4286,8.92792,-0.115396,-0.268498,0.583053,2.58381,0.0199491,-0.106237,8.89855,-0.483336,-0.143372,-0.209666,2.56566,0.0199491,0.0298589,9.26141,-0.213033,1.91508,-0.226648,2.83086,0.0199645,0.241735,8.51138,-0.265819,1.99775,-0.184192,3.1141,0.0199491,-0.0492403,8.87915,0.117487,0.0394483,0.0464656,-2.14464,0.256021,-0.0492403,8.87915,0.117487,0.0394483,0.0464656,-2.14464,0.256021,-0.0492403,8.87915,0.117487,0.0394483,0.0464656,-2.14464,0.256021,-0.0492403,8.87915,0.117487,0.0394483,0.0464656,-2.14464,0.256021,-0.0492403,8.87915,0.117487,0.0394483,0.0464656,-2.14464,0.256021,
0.1616,-0.544208,8.44167,-0.0605348,-0.0353876,0.0750892,1.22043,0.0199491,0.719154,8.80728,-0.170138,0.393862,1.01126,1.51336,0.0199491,0.416818,8.77314,-0.146163,-0.329287,0.620265,2.38968,0.0199491,-0.134748,8.66691,-0.473621,-0.0609049,-0.164923,2.41491,0.0199491,-0.00763027,9.07219,-0.265221,1.95937,-0.123597,2.94141,0.0199645,0.2472,8.33516,-0.227363,2.03862,-0.0953605,-3.04264,0.0199491,-0.0431007,8.73685,0.119326,0.0885118,0.119147,-2.28352,0.256021,-0.0431007,8.73685,0.119326,0.0885118,0.119147,-2.28352,0.256021,-0.0431007,8.73685,0.119326,0.0885118,0.119147,-2.28352,0.256021,-0.0431007,8.73685,0.119326,0.0885118,0.119147,-2.28352,0.256021,-0.0431007,8.73685,0.119326,0.0885118,0.119147,-2.28352,0.256021,
0.1717,-0.528027,8.23797,0.0181558,0.00930115,0.144835,1.08367,0.0199491,0.697877,8.65454,-0.233278,0.298179,1.12997,1.32988,0.0199491,0.401766,8.60659,-0.179633,-0.391266,0.649669,2.19218,0.0199491,-0.162242,8.42714,-0.4506,0.0192047,-0.0990817,2.27334,0.0199491,-0.0497803,8.86474,-0.307993,2.0156,-0.0321093,3.063,0.0199645,0.256051,8.15607,-0.190794,2.0919,-0.015778,-2.90903,0.0199491,-0.0367912,8.58416,0.119415,0.131317,0.20652,-2.41473,0.256021,-0.0367912,8.58416,0.119415,0.131317,0.20652,-2.41473,0.256021,-0.0367912,8.58416,0.119415,0.131317,0.20652,-2.41473,0.256021,-0.0367912,8.58416,0.119415,0.131317,0.20652,-2.41473,0.256021,-0.0367912,8.58416,0.119415,0.131317,0.20652,-2.41473,0.256021,
0.1818,-0.502482,8.03481,0.104025,0.0599281,0.23685,0.955918,0.0199491,0.668723,8.48449,-0.300524,0.111131,1.23863,1.05976,0.0199491,0.382803,8.42638,-0.214525,-0.461683,0.676971,1.98942,0.0199491,-0.187914,8.18208,-0.414856,0.08979,-0.0100392,2.14608,0.0199491,-0.0949523,8.64139,-0.339178,2.08165,0.0404716,-3.08792,0.0199645,0.267621,7.97336,-0.157727,2.15784,0.0558238,-2.7686,0.0199491,-0.030411,8.42109,0.117753,0.164993,0.306208,-2.53746,0.256021,-0.030411,8.42109,0.117753,0.164993,0.306208,-2.53746,0.256021,-0.030411,8.42109,0.117753,0.164993,0.306208,-2.53746,0.256021,-0.030411,8.42109,0.117753,0.164993,0.306208,-2.53746,0.256021,-0.030411,8.42109,0.117753,0.164993,0.306208,-2.53746,0.256021,
0.1919,-0.467231,7.8336,0.190666,0.0921355,0.334061,0.83438,0.0199491,0.631855,8.29866,-0.368759,-0.240844,1.31896,0.62561,0.0199491,0.360116,8.23343,-0.249137,-0.530757,0.698364,1.78793,0.0199491,-0.208111,7.93368,-0.369136,0.152681,0.0912457,2.03277,0.0199491,-0.141629,8.40325,-0.358078,2.16207,0.107771,-2.94957,0.0199645,0.281618,7.78701,-0.129976,2.23481,0.109061,-2.62406,0.0199491,-0.0243943,8.24711,0.114764,0.190916,0.414601,-2.65193,0.256021,-0.0243943,8.24711,0.114764,0.190916,0.414601,-2.65193,0.256021,-0.0243943,8.24711,0.114764,0.190916,0.414601,-2.65193,0.256021,-0.0243943,8.24711,0.114764,0.190916,0.414601,-2.65193,0.256021,-0.0243943,8.24711,0.114764,0.190916,0.414601,-2.65193,0.256021,
0.202,-0.422303,7.63473,0.275297,0.115763,0.438682,0.720551,0.0199491,0.586805,8.09592,-0.436023,-0.769863,1.33948,0.0153483,0.0199491,0.333576,8.02748,-0.282386,-0.602126,0.716791,1.58692,0.0199491,-0.221846,7.68275,-0.315153,0.206204,0.203167,1.93429,0.0199491,-0.188246,8.15369,-0.363504,2.2498,0.148835,-2.80563,0.0199645,0.296938,7.59563,-0.108676,2.32172,0.142042,-2.47591,0.0199491,-0.0188051,8.06207,0.110559,0.208747,0.529167,-2.7591,0.256021,-0.0188051,8.06207,0.110559,0.208747,0.529167,-2.7591,0.256021,-0.0188051,8.06207,0.110559,0.208747,0.529167,-2.7591,0.256021,-0.0188051,8.06207,0.110559,0.208747,0.529167,-2.7591,0.256021,-0.0188051,8.06207,0.110559,0.208747,0.529167,-2.7591,0.256021,
