time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.1,-4.38933,98.9547,-0.512704,0.000420907,0.00783806,-2.35109,0.199491,3.3666,98.9376,-0.55772,-0.00431962,-0.00346366,-2.35773,0.199491,0.465834,98.1756,-0.75797,-0.00301639,0.000270596,-0.782007,0.199491,0.842861,100.557,2.00292,0.000212133,-0.00443086,-0.793128,0.199491,0.74815,98.5697,1.92625,-1.5732,-0.00635081,-0.00645643,0.199645,-0.295274,101.218,-1.05543,-1.57035,0.000757635,-0.00231885,0.199491,
0.2,-4.33319,97.4764,-0.511566,-0.00900496,0.00785185,-2.34476,0.199491,3.3364,97.4826,-0.56991,-0.0104604,-0.00894125,-2.35957,0.199491,0.46149,96.7154,-0.743548,-0.00403592,-0.00238953,-0.777385,0.199491,0.838132,99.0874,1.97896,-0.0038399,-0.00582662,-0.803485,0.199491,0.713002,97.0938,1.92248,-1.56894,-0.0202159,-0.00753603,0.199645,-0.276961,99.731,-1.03107,-1.57002,0.0136898,-0.00503771,0.199491,
0.3,-4.27649,95.0158,-0.509833,-0.0208342,0.00601365,-2.33832,0.199491,3.30622,95.0465,-0.582113,-0.0165793,-0.0144161,-2.36136,0.199491,0.456565,94.2745,-0.729219,-0.00503056,-0.0054512,-0.772959,0.199491,0.832547,96.6368,1.95522,-0.00804054,-0.00703295,-0.813641,0.199491,0.678694,94.6378,1.91801,-1.56522,-0.0307615,-0.00818918,0.199645,-0.258648,97.263,-1.00671,-1.56976,0.0266226,-0.00775838,0.199491,
0.4,-4.21888,91.5729,-0.507936,-0.0362499,0.00119557,-2.33187,0.199491,3.27661,91.6289,-0.594283,-0.0225029,-0.0194802,-2.36302,0.199491,0.450779,90.853,-0.714962,-0.00558916,-0.00896103,-0.768973,0.199491,0.825417,93.2051,1.93171,-0.0125986,-0.00833739,-0.823421,0.199491,0.645301,91.2022,1.91278,-1.56194,-0.0341696,-0.00849117,0.199645,-0.240303,93.8143,-0.98195,-1.56959,0.0386015,-0.0108132,0.199491,
0.5,-4.16098,87.148,-0.506514,-0.0551776,-0.00654241,-2.32527,0.199491,3.24836,87.2291,-0.605908,-0.0278653,-0.0233115,-2.36522,0.199491,0.443029,86.4523,-0.699295,-0.00592173,-0.0125608,-0.765051,0.199491,0.817104,88.7916,1.90941,-0.0172304,-0.0101194,-0.832716,0.199491,0.612646,86.7866,1.90568,-1.55927,-0.0230557,-0.00853711,0.199645,-0.221218,89.3848,-0.958012,-1.56839,0.0467684,-0.014562,0.199491,
0.6,-4.10771,81.7425,-0.506245,-0.0761393,-0.016258,-2.31873,0.199491,3.22197,81.8472,-0.616556,-0.0332211,-0.0268851,-2.36729,0.199491,0.435981,81.0694,-0.683471,-0.0182559,-0.00332779,-0.761369,0.199491,0.809148,83.3987,1.8884,0.00265089,-0.0329765,-0.841462,0.199491,0.583271,81.3902,1.89853,-1.55717,0.00906719,-0.00842391,0.199645,-0.203685,83.9742,-0.935299,-1.56569,-0.0509434,-0.0179709,0.199491,
0.7,-4.11623,75.3675,-0.508853,-0.0652727,-0.00519317,-2.31835,0.199491,3.22443,75.4695,-0.613982,-0.032609,-0.0266164,-2.36759,0.199491,0.438293,74.6918,-0.682222,-0.0100243,-0.010959,-0.762391,0.199491,0.810582,77.0227,1.88943,0.0049632,-0.0343688,-0.840607,0.199491,0.587954,75.0143,1.89783,-1.55684,0.0096294,-0.00814533,0.199645,-0.206054,77.6003,-0.936839,-1.56592,-0.0561952,-0.0176735,0.199491,
0.8,-4.16712,68.0198,-0.509719,-0.0690573,-0.0185088,-2.32426,0.199491,3.24986,68.0987,-0.603053,-0.0256263,-0.0203921,-2.36586,0.199491,0.44455,67.3245,-0.695651,-0.0387794,0.0226076,-0.766353,0.199491,0.817973,69.6647,1.90994,0.00639271,-0.0310578,-0.831931,0.199491,0.616887,67.6579,1.90316,-1.55874,-0.0499389,-0.00814493,0.199645,-0.223209,70.2585,-0.95932,-1.56933,0.105194,-0.0146105,0.199491,
0.9,-4.21999,59.6924,-0.511832,-0.0667714,-0.0269858,-2.33049,0.199491,3.27727,59.7481,-0.593224,-0.0223167,-0.0176292,-2.36393,0.199491,0.450127,58.9766,-0.70902,-0.0665787,0.0546519,-0.771102,0.199491,0.825114,61.3245,1.93155,0.00154418,-0.0216373,-0.823514,0.199491,0.647082,59.3209,1.90922,-1.56119,-0.100533,-0.00825382,0.199645,-0.240687,61.9335,-0.98134,-1.57125,0.238834,-0.0117752,0.199491,
1,-4.27241,50.3835,-0.512851,-0.062898,-0.0336702,-2.33692,0.199491,3.30463,50.4157,-0.583302,-0.0180221,-0.0145433,-2.36194,0.199491,0.455567,49.6464,-0.723191,-0.0869104,0.078584,-0.775857,0.199491,0.831248,52.0032,1.95261,-0.00517946,-0.0103607,-0.814717,0.199491,0.677864,50.0054,1.91532,-1.56445,-0.103133,-0.00794325,0.199645,-0.258006,52.6279,-1.00323,-1.57155,0.284205,-0.00883016,0.199491,
