time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_SPcWAS).X,6_rod(payload_bars compound_SPcWAS).Y,6_rod(payload_bars compound_SPcWAS).Z,6_rod(payload_bars compound_SPcWAS).Euler1,6_rod(payload_bars compound_SPcWAS).Euler2,6_rod(payload_bars compound_SPcWAS).Euler3,6_rod(payload_bars compound_SPcWAS).mass,7_rod(payload_bars compound_SPcWAS).X,7_rod(payload_bars compound_SPcWAS).Y,7_rod(payload_bars compound_SPcWAS).Z,7_rod(payload_bars compound_SPcWAS).Euler1,7_rod(payload_bars compound_SPcWAS).Euler2,7_rod(payload_bars compound_SPcWAS).Euler3,7_rod(payload_bars compound_SPcWAS).mass,8_rod(payload_bars compound_SPcWAS).X,8_rod(payload_bars compound_SPcWAS).Y,8_rod(payload_bars compound_SPcWAS).Z,8_rod(payload_bars compound_SPcWAS).Euler1,8_rod(payload_bars compound_SPcWAS).Euler2,8_rod(payload_bars compound_SPcWAS).Euler3,8_rod(payload_bars compound_SPcWAS).mass,9_rod(payload_bars compound_SPcWAS).X,9_rod(payload_bars compound_SPcWAS).Y,9_rod(payload_bars compound_SPcWAS).Z,9_rod(payload_bars compound_SPcWAS).Euler1,9_rod(payload_bars compound_SPcWAS).Euler2,9_rod(payload_bars compound_SPcWAS).Euler3,9_rod(payload_bars compound_SPcWAS).mass,10_rod(payload_bars compound_SPcWAS).X,10_rod(payload_bars compound_SPcWAS).Y,10_rod(payload_bars compound_SPcWAS).Z,10_rod(payload_bars compound_SPcWAS).Euler1,10_rod(payload_bars compound_SPcWAS).Euler2,10_rod(payload_bars compound_SPcWAS).Euler3,10_rod(payload_bars compound_SPcWAS).mass,
0.1111,-0.485166,9.16872,0.243746,0.724327,0.904113,-2.93503,0.0199491,0.384044,9.86167,-0.329553,1.03645,-0.236265,-2.5639,0.0199491,0.243089,9.69537,-0.211988,0.735526,0.661318,-1.71218,0.0199491,-0.159399,9.91072,0.0713949,0.918849,0.372092,-1.1637,0.0199491,0.213374,9.62029,0.337172,-0.154458,-0.943584,-1.10529,0.0199645,-0.249749,9.64876,-0.22774,-0.362315,-0.762303,-0.629057,0.0199491,0.0153564,9.27513,0.0237548,0.658205,0.6486,-0.356216,0.256021,0.0153564,9.27513,0.0237548,0.658205,0.6486,-0.356216,0.256021,0.0153564,9.27513,0.0237548,0.658205,0.6486,-0.356216,0.256021,0.0153564,9.27513,0.0237548,0.658205,0.6486,-0.356216,0.256021,0.0153564,9.27513,0.0237548,0.658205,0.6486,-0.356216,0.256021,
0.1212,-0.470933,9.03679,0.260087,0.761142,0.942771,-2.96846,0.0199491,0.348605,9.75429,-0.354354,1.10568,-0.1874,-2.57208,0.0199491,0.220555,9.58461,-0.227722,0.780531,0.700182,-1.7388,0.0199491,-0.191554,9.7859,0.0524451,0.965719,0.410634,-1.17897,0.0199491,0.203069,9.53029,0.324643,-0.0390009,-0.930937,-1.17163,0.0199645,-0.264173,9.51284,-0.233028,-0.250282,-0.761889,-0.698795,0.0199491,0.0231978,9.16092,0.0285056,0.70398,0.68604,-0.385276,0.256021,0.0231978,9.16092,0.0285056,0.70398,0.68604,-0.385276,0.256021,0.0231978,9.16092,0.0285056,0.70398,0.68604,-0.385276,0.256021,0.0231978,9.16092,0.0285056,0.70398,0.68604,-0.385276,0.256021,0.0231978,9.16092,0.0285056,0.70398,0.68604,-0.385276,0.256021,
0.1313,-0.456208,8.89519,0.27421,0.794529,0.973643,-3.00292,0.0199491,0.315456,9.63423,-0.375468,1.16889,-0.146528,-2.58023,0.0199491,0.19779,9.46158,-0.241851,0.858754,0.737823,-1.74036,0.0199491,-0.222466,9.64876,0.0352424,1.01125,0.444618,-1.19394,0.0199491,0.190398,9.42768,0.313045,0.0615138,-0.916538,-1.22446,0.0199645,-0.27658,9.36704,-0.238393,-0.146792,-0.757781,-0.76009,0.0199491,0.0307706,9.03744,0.0328142,0.748037,0.71963,-0.413408,0.256021,0.0307706,9.03744,0.0328142,0.748037,0.71963,-0.413408,0.256021,0.0307706,9.03744,0.0328142,0.748037,0.71963,-0.413408,0.256021,0.0307706,9.03744,0.0328142,0.748037,0.71963,-0.413408,0.256021,0.0307706,9.03744,0.0328142,0.748037,0.71963,-0.413408,0.256021,
0.1414,-0.441334,8.74431,0.286986,0.829413,1.00067,-3.03284,0.0199491,0.282232,9.50464,-0.39323,1.22008,-0.131515,-2.5809,0.0199491,0.175809,9.32657,-0.255197,0.914209,0.770778,-1.76156,0.0199491,-0.250912,9.49905,0.0209238,1.06399,0.47359,-1.20641,0.0199491,0.168991,9.31771,0.297808,0.258052,-0.932937,-1.36551,0.0199645,-0.287211,9.21081,-0.24263,-0.0493567,-0.753456,-0.812608,0.0199491,0.0386275,8.90403,0.0368766,0.792436,0.74964,-0.437182,0.256021,0.0386275,8.90403,0.0368766,0.792436,0.74964,-0.437182,0.256021,0.0386275,8.90403,0.0368766,0.792436,0.74964,-0.437182,0.256021,0.0386275,8.90403,0.0368766,0.792436,0.74964,-0.437182,0.256021,0.0386275,8.90403,0.0368766,0.792436,0.74964,-0.437182,0.256021,
0.1515,-0.426441,8.58469,0.29908,0.866751,1.03146,-3.05809,0.0199491,0.25103,9.36273,-0.40928,1.27844,-0.105287,-2.58314,0.0199491,0.15583,9.18182,-0.265794,0.956655,0.799754,-1.78102,0.0199491,-0.277982,9.33807,0.00873794,1.11342,0.500742,-1.21369,0.0199491,0.148328,9.1931,0.284139,0.412915,-0.93494,-1.47312,0.0199645,-0.297108,9.04483,-0.245792,0.0378932,-0.743995,-0.855554,0.0199491,0.0459467,8.76112,0.0402724,0.837333,0.77758,-0.457399,0.256021,0.0459467,8.76112,0.0402724,0.837333,0.77758,-0.457399,0.256021,0.0459467,8.76112,0.0402724,0.837333,0.77758,-0.457399,0.256021,0.0459467,8.76112,0.0402724,0.837333,0.77758,-0.457399,0.256021,0.0459467,8.76112,0.0402724,0.837333,0.77758,-0.457399,0.256021,
0.1616,-0.411231,8.41578,0.310096,0.903997,1.05725,-3.07976,0.0199491,0.221808,9.20971,-0.422089,1.3387,-0.0699356,-2.58612,0.0199491,0.137018,9.02693,-0.2745,0.991218,0.824604,-1.79736,0.0199491,-0.303326,9.16632,-0.00138952,1.16197,0.524035,-1.21556,0.0199491,0.131077,9.05332,0.272897,0.540892,-0.925232,-1.55271,0.0199645,-0.306255,8.86964,-0.247834,0.115823,-0.732192,-0.88985,0.0199491,0.0525372,8.60864,0.0429154,0.881675,0.803728,-0.47413,0.256021,0.0525372,8.60864,0.0429154,0.881675,0.803728,-0.47413,0.256021,0.0525372,8.60864,0.0429154,0.881675,0.803728,-0.47413,0.256021,0.0525372,8.60864,0.0429154,0.881675,0.803728,-0.47413,0.256021,0.0525372,8.60864,0.0429154,0.881675,0.803728,-0.47413,0.256021,
0.1717,-0.395375,8.23783,0.32067,0.942957,1.07945,-3.09553,0.0199491,0.19375,9.04439,-0.4345,1.38404,-0.0510307,-2.58522,0.0199491,0.118765,8.86141,-0.282267,1.0274,0.846966,-1.80873,0.0199491,-0.326545,8.984,-0.00940124,1.20967,0.54549,-1.21572,0.0199491,0.114502,8.90009,0.264144,0.621849,-0.909922,-1.59012,0.0199645,-0.314438,8.68544,-0.249007,0.185235,-0.717116,-0.918213,0.0199491,0.0586495,8.44655,0.045062,0.926067,0.828412,-0.48613,0.256021,0.0586495,8.44655,0.045062,0.926067,0.828412,-0.48613,0.256021,0.0586495,8.44655,0.045062,0.926067,0.828412,-0.48613,0.256021,0.0586495,8.44655,0.045062,0.926067,0.828412,-0.48613,0.256021,0.0586495,8.44655,0.045062,0.926067,0.828412,-0.48613,0.256021,
0.1818,-0.378252,8.05109,0.331998,0.987689,1.1028,-3.10132,0.0199491,0.165256,8.86775,-0.446847,1.4304,-0.0317983,-2.57793,0.0199491,0.100583,8.68508,-0.289748,1.0664,0.869347,-1.8139,0.0199491,-0.347817,8.79131,-0.0148505,1.25741,0.5668,-1.21159,0.0199491,0.0992292,8.73479,0.256255,0.683207,-0.891327,-1.60925,0.0199645,-0.322311,8.49184,-0.248779,0.248331,-0.698209,-0.942061,0.0199491,0.0644143,8.27465,0.0467463,0.972605,0.853148,-0.491063,0.256021,0.0644143,8.27465,0.0467463,0.972605,0.853148,-0.491063,0.256021,0.0644143,8.27465,0.0467463,0.972605,0.853148,-0.491063,0.256021,0.0644143,8.27465,0.0467463,0.972605,0.853148,-0.491063,0.256021,0.0644143,8.27465,0.0467463,0.972605,0.853148,-0.491063,0.256021,
0.1919,-0.359752,7.85585,0.344443,1.04045,1.12642,-3.0941,0.0199491,0.136435,8.68042,-0.458363,1.4721,-0.0158421,-2.56491,0.0199491,0.0820312,8.49779,-0.297018,1.11059,0.892601,-1.81012,0.0199491,-0.366952,8.58881,-0.0172662,1.30656,0.587476,-1.20013,0.0199491,0.0857194,8.55798,0.248427,0.734827,-0.86917,-1.61922,0.0199645,-0.330399,8.28897,-0.246275,0.306469,-0.676755,-0.960939,0.0199491,0.0698387,8.0928,0.0478439,1.02219,0.878907,-0.487205,0.256021,0.0698387,8.0928,0.0478439,1.02219,0.878907,-0.487205,0.256021,0.0698387,8.0928,0.0478439,1.02219,0.878907,-0.487205,0.256021,0.0698387,8.0928,0.0478439,1.02219,0.878907,-0.487205,0.256021,0.0698387,8.0928,0.0478439,1.02219,0.878907,-0.487205,0.256021,
0.202,-0.340027,7.6525,0.358157,1.10434,1.1504,-3.06987,0.0199491,0.107703,8.48094,-0.470054,1.50765,-0.00456631,-2.54664,0.0199491,0.0632266,8.30002,-0.303619,1.15619,0.915486,-1.79724,0.0199491,-0.383881,8.3769,-0.0166156,1.35261,0.611036,-1.18549,0.0199491,0.0744565,8.36962,0.241265,0.772927,-0.844768,-1.61882,0.0199645,-0.338792,8.07737,-0.24159,0.356596,-0.649866,-0.97458,0.0199491,0.0748572,7.90098,0.0483433,1.07618,0.905527,-0.472236,0.256021,0.0748572,7.90098,0.0483433,1.07618,0.905527,-0.472236,0.256021,0.0748572,7.90098,0.0483433,1.07618,0.905527,-0.472236,0.256021,0.0748572,7.90098,0.0483433,1.07618,0.905527,-0.472236,0.256021,0.0748572,7.90098,0.0483433,1.07618,0.905527,-0.472236,0.256021,
