time,0_rod(payload_bars compound_XIIxJa).X,0_rod(payload_bars compound_XIIxJa).Y,0_rod(payload_bars compound_XIIxJa).Z,0_rod(payload_bars compound_XIIxJa).Euler1,0_rod(payload_bars compound_XIIxJa).Euler2,0_rod(payload_bars compound_XIIxJa).Euler3,0_rod(payload_bars compound_XIIxJa).mass,1_rod(payload_bars compound_XIIxJa).X,1_rod(payload_bars compound_XIIxJa).Y,1_rod(payload_bars compound_XIIxJa).Z,1_rod(payload_bars compound_XIIxJa).Euler1,1_rod(payload_bars compound_XIIxJa).Euler2,1_rod(payload_bars compound_XIIxJa).Euler3,1_rod(payload_bars compound_XIIxJa).mass,2_rod(payload_bars compound_XIIxJa).X,2_rod(payload_bars compound_XIIxJa).Y,2_rod(payload_bars compound_XIIxJa).Z,2_rod(payload_bars compound_XIIxJa).Euler1,2_rod(payload_bars compound_XIIxJa).Euler2,2_rod(payload_bars compound_XIIxJa).Euler3,2_rod(payload_bars compound_XIIxJa).mass,3_rod(payload_bars compound_XIIxJa).X,3_rod(payload_bars compound_XIIxJa).Y,3_rod(payload_bars compound_XIIxJa).Z,3_rod(payload_bars compound_XIIxJa).Euler1,3_rod(payload_bars compound_XIIxJa).Euler2,3_rod(payload_bars compound_XIIxJa).Euler3,3_rod(payload_bars compound_XIIxJa).mass,4_rod(payload_bars compound_XIIxJa).X,4_rod(payload_bars compound_XIIxJa).Y,4_rod(payload_bars compound_XIIxJa).Z,4_rod(payload_bars compound_XIIxJa).Euler1,4_rod(payload_bars compound_XIIxJa).Euler2,4_rod(payload_bars compound_XIIxJa).Euler3,4_rod(payload_bars compound_XIIxJa).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0.0263707,13.3251,0.047797,0.00405188,-0.00509345,0.00373212,4000.24,0.0263707,13.3251,0.047797,0.00405188,-0.00509345,0.00373212,4000.24,0.0263707,13.3251,0.047797,0.00405188,-0.00509345,0.00373212,4000.24,0.0263707,13.3251,0.047797,0.00405188,-0.00509345,0.00373212,4000.24,0.0263707,13.3251,0.047797,0.00405188,-0.00509345,0.00373212,4000.24,-9.9758,16.3936,5.92603,1.84898,0.766731,-1.38649,0.199491,10.2793,17.9339,4.597,0.368932,0.291135,-2.21047,0.199491,10.0821,15.2658,5.08157,-3.02942,0.277323,-2.76402,0.199491,10.0779,19.0179,8.3555,-0.0904484,0.123788,-0.649174,0.199491,4.17382,16.8846,10.177,-1.60486,-0.51615,0.00660815,0.199645,3.90153,23.4226,3.78222,-1.53564,-0.455803,-0.0698936,0.199491,
0.1212,0.0289124,13.4342,0.0446704,0.00458665,-0.00556303,0.0040228,4000.24,0.0289124,13.4342,0.0446704,0.00458665,-0.00556303,0.0040228,4000.24,0.0289124,13.4342,0.0446704,0.00458665,-0.00556303,0.0040228,4000.24,0.0289124,13.4342,0.0446704,0.00458665,-0.00556303,0.0040228,4000.24,0.0289124,13.4342,0.0446704,0.00458665,-0.00556303,0.0040228,4000.24,-10.108,20.0879,3.67987,-0.906098,-0.563429,-1.95458,0.199491,10.2412,17.8091,4.86497,0.0101401,0.0288215,-2.25492,0.199491,10.0562,15.4245,4.71114,-2.98432,0.328232,-2.68068,0.199491,10.0503,19.0103,8.00145,-0.697696,0.726947,-0.900704,0.199491,4.22038,15.6153,10.1772,-1.4838,-0.0102243,0.00413171,0.199645,3.94802,23.5311,4.13104,0.632085,-1.44265,-2.19435,0.199491,
0.1313,0.031446,13.5335,0.041211,0.00512065,-0.00613826,0.00429279,4000.24,0.031446,13.5335,0.041211,0.00512065,-0.00613826,0.00429279,4000.24,0.031446,13.5335,0.041211,0.00512065,-0.00613826,0.00429279,4000.24,0.031446,13.5335,0.041211,0.00512065,-0.00613826,0.00429279,4000.24,0.031446,13.5335,0.041211,0.00512065,-0.00613826,0.00429279,4000.24,-10.0585,16.8838,6.40779,-0.972286,-0.898055,-2.05322,0.199491,10.289,18.0154,4.79509,0.0973915,0.119018,-2.3172,0.199491,10.0425,16.4047,6.49508,0.199266,-0.354943,-0.51503,0.199491,10.0303,19.0421,7.93893,-1.10783,0.914415,-1.19491,0.199491,4.2535,16.0085,10.1781,-1.5076,-0.102455,0.00640249,0.199645,3.88282,23.6263,4.07219,-1.47786,-0.581904,-0.157598,0.199491,
0.1414,0.0339808,13.6228,0.0379886,0.00566094,-0.00671811,0.00457152,4000.24,0.0339808,13.6228,0.0379886,0.00566094,-0.00671811,0.00457152,4000.24,0.0339808,13.6228,0.0379886,0.00566094,-0.00671811,0.00457152,4000.24,0.0339808,13.6228,0.0379886,0.00566094,-0.00671811,0.00457152,4000.24,0.0339808,13.6228,0.0379886,0.00566094,-0.00671811,0.00457152,4000.24,-10.1009,16.9082,6.88032,3.04239,0.153924,-0.617762,0.199491,10.2832,17.8938,4.62519,0.139923,0.153767,-2.29897,0.199491,10.0755,15.901,5.19627,-2.80645,0.541202,-2.55114,0.199491,10.0357,19.5813,8.13468,1.05554,-0.901103,-1.15212,0.199491,4.23611,16.0655,10.1771,-1.50343,0.319981,0.00725385,0.199645,3.91646,23.7194,4.44095,-1.51142,-0.611575,-0.0917622,0.199491,
0.1515,0.0365136,13.7019,0.0348608,0.00624256,-0.00727238,0.00486491,4000.24,0.0365136,13.7019,0.0348608,0.00624256,-0.00727238,0.00486491,4000.24,0.0365136,13.7019,0.0348608,0.00624256,-0.00727238,0.00486491,4000.24,0.0365136,13.7019,0.0348608,0.00624256,-0.00727238,0.00486491,4000.24,0.0365136,13.7019,0.0348608,0.00624256,-0.00727238,0.00486491,4000.24,-10.0921,18.541,4.86816,-3.09154,-0.0617563,-0.588939,0.199491,10.3159,18.0356,4.41191,-0.0882001,-0.0397284,-2.28316,0.199491,10.0868,15.8526,4.99627,-3.00698,0.243013,-2.63686,0.199491,10.0369,19.695,8.10226,-0.278763,0.394201,-0.641304,0.199491,4.23309,16.1337,10.1762,-1.49915,0.299118,0.00780574,0.199645,3.91122,23.8037,4.57038,-1.67102,0.814627,-0.146735,0.199491,
0.1616,0.039053,13.7711,0.0314367,0.00677246,-0.00785863,0.00513574,4000.24,0.039053,13.7711,0.0314367,0.00677246,-0.00785863,0.00513574,4000.24,0.039053,13.7711,0.0314367,0.00677246,-0.00785863,0.00513574,4000.24,0.039053,13.7711,0.0314367,0.00677246,-0.00785863,0.00513574,4000.24,0.039053,13.7711,0.0314367,0.00677246,-0.00785863,0.00513574,4000.24,-10.0327,16.9911,7.35645,2.29588,0.835968,-0.994084,0.199491,10.2623,18.2464,4.72865,0.144587,0.163588,-2.3046,0.199491,10.0404,16.5963,5.96448,0.691467,-0.810176,-0.848501,0.199491,10.0345,19.9878,8.10757,1.03879,-0.9256,-1.12984,0.199491,4.22256,16.1828,10.1732,-1.50864,-0.0633591,0.0085087,0.199645,3.87961,23.863,4.4068,-1.64892,0.643965,-0.141965,0.199491,
0.1717,0.0415844,13.8302,0.0283814,0.00733965,-0.00843118,0.00544061,4000.24,0.0415844,13.8302,0.0283814,0.00733965,-0.00843118,0.00544061,4000.24,0.0415844,13.8302,0.0283814,0.00733965,-0.00843118,0.00544061,4000.24,0.0415844,13.8302,0.0283814,0.00733965,-0.00843118,0.00544061,4000.24,0.0415844,13.8302,0.0283814,0.00733965,-0.00843118,0.00544061,4000.24,-10.1621,19.3391,4.11613,-2.9053,-0.287237,-0.647527,0.199491,10.487,18.2343,4.61479,0.0433699,0.0537267,-2.3543,0.199491,10.0808,16.4817,5.65333,-2.73387,0.50672,-2.41581,0.199491,10.035,20.2739,8.2616,0.593645,-0.663679,-0.82823,0.199491,4.2057,16.327,10.1809,-1.50693,-0.840694,0.0101704,0.199645,3.83531,23.9304,4.12864,1.06414,-1.33003,-2.61401,0.199491,
0.1818,0.0441362,13.8795,0.0248733,0.00794461,-0.0091014,0.00568144,4000.24,0.0441362,13.8795,0.0248733,0.00794461,-0.0091014,0.00568144,4000.24,0.0441362,13.8795,0.0248733,0.00794461,-0.0091014,0.00568144,4000.24,0.0441362,13.8795,0.0248733,0.00794461,-0.0091014,0.00568144,4000.24,0.0441362,13.8795,0.0248733,0.00794461,-0.0091014,0.00568144,4000.24,-10.1374,16.5867,8.77691,0.666142,0.815106,-2.33203,0.199491,10.1788,18.5932,4.84741,0.346519,0.321619,-2.26932,0.199491,10.0165,16.4909,5.77072,0.469498,-0.503552,-0.809059,0.199491,10.017,20.424,8.41536,0.113986,-0.191954,-0.529451,0.199491,4.28885,16.3043,10.1778,-1.49888,0.0430076,0.00947091,0.199645,3.78482,23.9812,4.26326,-1.75065,0.88436,-0.242015,0.199491,
0.1919,0.0466648,13.9186,0.0216796,0.00853417,-0.00974822,0.00594298,4000.24,0.0466648,13.9186,0.0216796,0.00853417,-0.00974822,0.00594298,4000.24,0.0466648,13.9186,0.0216796,0.00853417,-0.00974822,0.00594298,4000.24,0.0466648,13.9186,0.0216796,0.00853417,-0.00974822,0.00594298,4000.24,0.0466648,13.9186,0.0216796,0.00853417,-0.00974822,0.00594298,4000.24,-10.1482,17.4154,7.69196,-2.95553,-0.216318,-0.685319,0.199491,10.2717,18.3772,4.85864,0.350534,0.332675,-2.33933,0.199491,10.0701,16.1935,5.49462,-2.032,0.863941,-1.93382,0.199491,10.0004,20.4104,8.39565,-1.81482,1.05795,-1.78837,0.199491,4.29703,16.3333,10.1793,-1.50066,0.0599366,0.0101257,0.199645,3.78878,24.0249,4.62473,-1.42586,-0.483217,-0.282795,0.199491,
0.202,0.0491825,13.9477,0.0183805,0.00906401,-0.0103508,0.00621126,4000.24,0.0491825,13.9477,0.0183805,0.00906401,-0.0103508,0.00621126,4000.24,0.0491825,13.9477,0.0183805,0.00906401,-0.0103508,0.00621126,4000.24,0.0491825,13.9477,0.0183805,0.00906401,-0.0103508,0.00621126,4000.24,0.0491825,13.9477,0.0183805,0.00906401,-0.0103508,0.00621126,4000.24,-10.129,18.3366,7.0042,-0.664443,-0.834103,-2.31462,0.199491,10.5909,18.5962,5.05969,-0.104545,-0.0280853,-2.40183,0.199491,10.0358,17.0533,6.66993,1.60515,-1.0046,-1.59744,0.199491,9.98459,20.7795,8.6688,1.17173,-1.03086,-1.22067,0.199491,4.28601,16.3524,10.1779,-1.50155,-0.309217,0.0112648,0.199645,3.86213,24.0512,4.76993,-2.28822,1.23,-0.757397,0.199491,
