tgDataLogger2 started logging at time 01232019_205922, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,1.01308,5.53417,0.999039,-0.0258402,0.0008323,-0.119047,0.0199491,
0.2,1.02588,8.11981,0.998727,-0.0519949,-0.00148425,-0.23838,0.0199491,
0.3,1.03867,9.72445,0.998414,-0.0779433,-0.00697445,-0.357554,0.0199491,
0.4,1.05147,10.3481,0.998101,-0.103301,-0.0156159,-0.476492,0.0199491,
0.5,1.06426,9.99073,0.997789,-0.127689,-0.0273374,-0.595133,0.0199491,
0.6,1.07706,8.65237,0.997476,-0.15074,-0.0420208,-0.713438,0.0199491,
0.7,1.08985,6.33301,0.997163,-0.172104,-0.0595026,-0.831397,0.0199491,
0.8,1.10265,3.03265,0.996851,-0.191452,-0.0795776,-0.949034,0.0199491,
0.9,1.15171,1.59999,0.869226,0.15287,-0.259406,-1.61029,0.0199491,
1,1.1409,1.5999,0.866278,0.270268,-0.253196,-1.64003,0.0199491,
1.1,1.1283,1.59992,0.86294,0.405706,-0.241616,-1.67319,0.0199491,
1.2,1.11442,1.59993,0.85926,0.552885,-0.224328,-1.7072,0.0199491,
1.3,1.09984,1.59992,0.855383,0.703658,-0.201915,-1.73934,0.0199491,
1.4,1.08498,1.59992,0.851436,0.856623,-0.174216,-1.76808,0.0199491,
1.5,1.07008,1.6,0.847485,1.01053,-0.141682,-1.7922,0.0199491,
1.6,1.05507,1.59995,0.843481,1.16213,-0.106329,-1.81112,0.0199491,
1.7,1.04011,1.59995,0.839511,1.31314,-0.0683295,-1.82428,0.0199491,
1.8,1.0253,1.59995,0.835574,1.46165,-0.0292508,-1.83152,0.0199491,
1.9,1.01052,1.59999,0.831648,1.60957,0.0104042,-1.83289,0.0199491,
2,0.995723,1.6,0.827716,1.75756,0.0498144,-1.82846,0.0199491,
2.1,0.980824,1.6,0.823746,1.90718,0.0883996,-1.81811,0.0199491,
2.2,0.965741,1.59998,0.819716,2.05978,0.125452,-1.80177,0.0199491,
2.3,0.950402,1.59997,0.815633,2.21629,0.160094,-1.77949,0.0199491,
2.4,0.934945,1.59997,0.811507,2.37574,0.191154,-1.75153,0.0199491,
2.5,0.919377,1.59998,0.807353,2.53806,0.217549,-1.71852,0.0199491,
2.6,0.903693,1.6,0.803169,2.7034,0.238479,-1.68104,0.0199491,
2.7,0.887811,1.59998,0.798924,2.87224,0.253233,-1.63984,0.0199491,
2.8,0.871872,1.6,0.794654,3.04264,0.261064,-1.59642,0.0199491,
2.9,0.855939,1.6,0.790387,-3.0698,0.261647,-1.5522,0.0199491,
3,0.840035,1.59999,0.786123,-2.89962,0.254987,-1.50863,0.0199491,
3.1,0.824096,1.6,0.781842,-2.72995,0.241262,-1.46686,0.0199491,
3.2,0.80805,1.59999,0.777535,-2.56057,0.22077,-1.428,0.0199491,
3.3,0.791916,1.6,0.773205,-2.39205,0.194053,-1.39321,0.0199491,
3.4,0.775693,1.6,0.768849,-2.22453,0.161851,-1.36348,0.0199491,
3.5,0.759369,1.6,0.764465,-2.05785,0.124998,-1.3396,0.0199491,
3.6,0.742878,1.6,0.760037,-1.89109,0.0843269,-1.32214,0.0199491,
3.7,0.726395,1.6,0.755612,-1.72558,0.041366,-1.31172,0.0199491,
3.8,0.710148,1.6,0.75125,-1.56303,-0.00208484,-1.30851,0.0199491,
3.9,0.694282,1.6,0.746991,-1.40427,-0.0444732,-1.31222,0.0199491,
4,0.678833,1.6,0.742843,-1.24911,-0.0846797,-1.32225,0.0199491,
4.1,0.663802,1.6,0.738808,-1.09718,-0.121848,-1.33795,0.0199491,
4.2,0.649162,1.6,0.734877,-0.947909,-0.155362,-1.35861,0.0199491,
4.3,0.634907,1.6,0.73105,-0.801138,-0.1847,-1.38349,0.0199491,
4.4,0.620974,1.6,0.727309,-0.656231,-0.209589,-1.41192,0.0199491,
4.5,0.607244,1.6,0.723623,-0.512058,-0.229902,-1.44341,0.0199491,
4.6,0.593661,1.6,0.719976,-0.368221,-0.24543,-1.47733,0.0199491,
4.7,0.580282,1.6,0.716385,-0.225636,-0.255932,-1.51275,0.0199491,
4.8,0.567197,1.6,0.712871,-0.0855958,-0.261373,-1.54863,0.0199491,
4.9,0.554413,1.6,0.709439,0.051435,-0.261959,-1.58413,0.0199491,
5,0.541912,1.6,0.706083,0.185315,-0.257997,-1.61859,0.0199491,
5.1,0.529643,1.6,0.702789,0.316288,-0.249827,-1.65153,0.0199491,
5.2,0.517632,1.6,0.699564,0.443851,-0.237871,-1.68237,0.0199491,
5.3,0.50588,1.6,0.696409,0.567842,-0.222591,-1.7107,0.0199491,
5.4,0.494399,1.6,0.693327,0.688062,-0.204492,-1.73621,0.0199491,
5.5,0.483137,1.6,0.690303,0.805049,-0.183969,-1.75882,0.0199491,
5.6,0.472128,1.6,0.687348,0.918502,-0.161547,-1.77834,0.0199491,
5.7,0.461369,1.6,0.684459,1.02854,-0.137675,-1.79476,0.0199491,
5.8,0.450845,1.6,0.681634,1.13545,-0.112742,-1.80813,0.0199491,
5.9,0.440559,1.6,0.678872,1.23935,-0.0871439,-1.8185,0.0199491,
