time,0_rod(payload_bars compound_GHtiUC).X,0_rod(payload_bars compound_GHtiUC).Y,0_rod(payload_bars compound_GHtiUC).Z,0_rod(payload_bars compound_GHtiUC).Euler1,0_rod(payload_bars compound_GHtiUC).Euler2,0_rod(payload_bars compound_GHtiUC).Euler3,0_rod(payload_bars compound_GHtiUC).mass,1_rod(payload_bars compound_GHtiUC).X,1_rod(payload_bars compound_GHtiUC).Y,1_rod(payload_bars compound_GHtiUC).Z,1_rod(payload_bars compound_GHtiUC).Euler1,1_rod(payload_bars compound_GHtiUC).Euler2,1_rod(payload_bars compound_GHtiUC).Euler3,1_rod(payload_bars compound_GHtiUC).mass,2_rod(payload_bars compound_GHtiUC).X,2_rod(payload_bars compound_GHtiUC).Y,2_rod(payload_bars compound_GHtiUC).Z,2_rod(payload_bars compound_GHtiUC).Euler1,2_rod(payload_bars compound_GHtiUC).Euler2,2_rod(payload_bars compound_GHtiUC).Euler3,2_rod(payload_bars compound_GHtiUC).mass,3_rod(payload_bars compound_GHtiUC).X,3_rod(payload_bars compound_GHtiUC).Y,3_rod(payload_bars compound_GHtiUC).Z,3_rod(payload_bars compound_GHtiUC).Euler1,3_rod(payload_bars compound_GHtiUC).Euler2,3_rod(payload_bars compound_GHtiUC).Euler3,3_rod(payload_bars compound_GHtiUC).mass,4_rod(sense_bar compound_GHtiUC).X,4_rod(sense_bar compound_GHtiUC).Y,4_rod(sense_bar compound_GHtiUC).Z,4_rod(sense_bar compound_GHtiUC).Euler1,4_rod(sense_bar compound_GHtiUC).Euler2,4_rod(sense_bar compound_GHtiUC).Euler3,4_rod(sense_bar compound_GHtiUC).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.0002459,49.4011,0.00842984,-0.00220406,0.00234322,0.000382708,0.24652,-0.0002459,49.4011,0.00842984,-0.00220406,0.00234322,0.000382708,0.24652,-0.0002459,49.4011,0.00842984,-0.00220406,0.00234322,0.000382708,0.24652,-0.0002459,49.4011,0.00842984,-0.00220406,0.00234322,0.000382708,0.24652,-0.0002459,49.4011,0.00842984,-0.00220406,0.00234322,0.000382708,0.24652,-0.728393,49.3834,0.0152301,0.00601246,0.0137017,-2.35189,0.0593527,0.753343,49.3792,0.0112215,0.00581147,0.0135089,-2.35189,0.0593527,0.00844077,48.8597,-0.512903,-0.0156098,0.0380944,2.35169,0.0593527,0.0165206,49.9029,0.539303,-0.0146166,0.0371102,2.35172,0.0593527,0.000554827,49.9031,-0.512664,-1.57364,-0.00223778,-0.00284784,0.0593527,0.0244364,48.8595,0.539125,-1.57365,-0.00379469,-0.00283714,0.0593527,
0.1212,-0.000233207,49.2861,0.00843991,-0.000594368,0.00072776,0.000113748,0.24652,-0.000233207,49.2861,0.00843991,-0.000594368,0.00072776,0.000113748,0.24652,-0.000233207,49.2861,0.00843991,-0.000594368,0.00072776,0.000113748,0.24652,-0.000233207,49.2861,0.00843991,-0.000594368,0.00072776,0.000113748,0.24652,-0.000233207,49.2861,0.00843991,-0.000594368,0.00072776,0.000113748,0.24652,-0.729151,49.2685,0.0153615,0.00570516,0.0136036,-2.35187,0.0593527,0.75399,49.2641,0.0110697,0.00507119,0.0129775,-2.35188,0.0593527,0.00834707,48.7442,-0.513331,-0.0164061,0.038888,2.3517,0.0593527,0.0166971,49.7883,0.539742,-0.0153959,0.0378877,2.35173,0.0593527,0.000538957,49.7885,-0.513085,-1.57384,-0.00178638,-0.00292129,0.0593527,0.0244287,48.7441,0.539513,-1.57372,-0.00416098,-0.00303696,0.0593527,
0.1313,-0.000184861,49.1612,0.00852084,0.00112998,-0.000952984,-0.000145843,0.24652,-0.000184861,49.1612,0.00852084,0.00112998,-0.000952984,-0.000145843,0.24652,-0.000184861,49.1612,0.00852084,0.00112998,-0.000952984,-0.000145843,0.24652,-0.000184861,49.1612,0.00852084,0.00112998,-0.000952984,-0.000145843,0.24652,-0.000184861,49.1612,0.00852084,0.00112998,-0.000952984,-0.000145843,0.24652,-0.729371,49.1436,0.0155199,0.00554865,0.013553,-2.35185,0.0593527,0.754085,49.1388,0.0107894,0.00571606,0.0137059,-2.35185,0.0593527,0.0082262,48.619,-0.513502,-0.015988,0.0384718,2.35175,0.0593527,0.0167831,49.6634,0.539816,-0.0179462,0.0404104,2.35166,0.0593527,0.000519297,49.6635,-0.513249,-1.574,-0.00397265,-0.00306837,0.0593527,0.0244074,48.6188,0.53956,-1.57388,-0.00207388,-0.00318995,0.0593527,
0.1414,-0.000265215,49.0262,0.00858372,0.00112371,-0.000966619,-0.000142805,0.24652,-0.000265215,49.0262,0.00858372,0.00112371,-0.000966619,-0.000142805,0.24652,-0.000265215,49.0262,0.00858372,0.00112371,-0.000966619,-0.000142805,0.24652,-0.000265215,49.0262,0.00858372,0.00112371,-0.000966619,-0.000142805,0.24652,-0.000265215,49.0262,0.00858372,0.00112371,-0.000966619,-0.000142805,0.24652,-0.72868,49.0085,0.0154094,0.00567752,0.0137735,-2.35185,0.0593527,0.753619,49.0037,0.0108087,0.00639307,0.0144819,-2.35185,0.0593527,0.00822809,48.4843,-0.513134,-0.015627,0.0381106,2.35176,0.0593527,0.0168339,49.5279,0.539374,-0.0176562,0.0401201,2.35168,0.0593527,0.000551312,49.528,-0.512901,-1.57396,-0.00470429,-0.0030867,0.0593527,0.0244313,48.4841,0.539116,-1.5739,-0.00143214,-0.00316027,0.0593527,
0.1515,-0.000237978,48.8811,0.00854551,0.000499927,-0.000306004,6.61657e-05,0.24652,-0.000237978,48.8811,0.00854551,0.000499927,-0.000306004,6.61657e-05,0.24652,-0.000237978,48.8811,0.00854551,0.000499927,-0.000306004,6.61657e-05,0.24652,-0.000237978,48.8811,0.00854551,0.000499927,-0.000306004,6.61657e-05,0.24652,-0.000237978,48.8811,0.00854551,0.000499927,-0.000306004,6.61657e-05,0.24652,-0.728824,48.8634,0.0153835,0.00584852,0.0138589,-2.35187,0.0593527,0.753746,48.8587,0.0108857,0.00575501,0.0137804,-2.35187,0.0593527,0.00824469,48.3392,-0.513188,-0.0160523,0.0385297,2.35172,0.0593527,0.0167416,49.3829,0.539483,-0.014871,0.0373597,2.35176,0.0593527,0.000539891,49.3831,-0.512966,-1.57391,-0.00252671,-0.00304495,0.0593527,0.0244218,48.339,0.539233,-1.57385,-0.00351271,-0.00309616,0.0593527,
0.1616,-0.0001863,48.7259,0.00845334,-0.000303853,0.000438293,0.000268836,0.24652,-0.0001863,48.7259,0.00845334,-0.000303853,0.000438293,0.000268836,0.24652,-0.0001863,48.7259,0.00845334,-0.000303853,0.000438293,0.000268836,0.24652,-0.0001863,48.7259,0.00845334,-0.000303853,0.000438293,0.000268836,0.24652,-0.0001863,48.7259,0.00845334,-0.000303853,0.000438293,0.000268836,0.24652,-0.729402,48.7083,0.0153866,0.00570065,0.0136714,-2.35188,0.0593527,0.754087,48.7038,0.0110148,0.00503435,0.0129333,-2.35189,0.0593527,0.00831901,48.1839,-0.513468,-0.016258,0.0387418,2.35169,0.0593527,0.0167007,49.2282,0.539847,-0.0148752,0.0373715,2.35173,0.0593527,0.000529007,49.2284,-0.513214,-1.57388,-0.00161952,-0.00293824,0.0593527,0.0244212,48.1837,0.539648,-1.57374,-0.00432827,-0.0030742,0.0593527,
0.1717,-0.000228703,48.5609,0.0084559,-0.000670191,0.000814181,0.000297059,0.24652,-0.000228703,48.5609,0.0084559,-0.000670191,0.000814181,0.000297059,0.24652,-0.000228703,48.5609,0.0084559,-0.000670191,0.000814181,0.000297059,0.24652,-0.000228703,48.5609,0.0084559,-0.000670191,0.000814181,0.000297059,0.24652,-0.000228703,48.5609,0.0084559,-0.000670191,0.000814181,0.000297059,0.24652,-0.72906,48.5432,0.0153499,0.00562071,0.0134722,-2.35189,0.0593527,0.753891,48.5388,0.0110661,0.00565385,0.0135653,-2.35189,0.0593527,0.00835085,48.019,-0.513272,-0.0155306,0.0380174,2.35171,0.0593527,0.016687,49.063,0.53967,-0.0176652,0.040131,2.35162,0.0593527,0.000537764,49.0631,-0.513053,-1.57382,-0.00365108,-0.00292343,0.0593527,0.0244253,48.0188,0.539443,-1.57373,-0.00240621,-0.003015,0.0593527,
0.1818,-0.000252139,48.3858,0.00842758,-0.000515106,0.00068969,0.000117881,0.24652,-0.000252139,48.3858,0.00842758,-0.000515106,0.00068969,0.000117881,0.24652,-0.000252139,48.3858,0.00842758,-0.000515106,0.00068969,0.000117881,0.24652,-0.000252139,48.3858,0.00842758,-0.000515106,0.00068969,0.000117881,0.24652,-0.000252139,48.3858,0.00842758,-0.000515106,0.00068969,0.000117881,0.24652,-0.728818,48.3682,0.0154002,0.005772,0.0136466,-2.35187,0.0593527,0.753736,48.3637,0.0110561,0.00650506,0.0143567,-2.35186,0.0593527,0.00834997,47.8441,-0.513127,-0.0153299,0.0378136,2.35174,0.0593527,0.0166871,48.8878,0.539543,-0.0176015,0.0400631,2.35165,0.0593527,0.000546715,48.888,-0.512878,-1.57382,-0.00482476,-0.00295027,0.0593527,0.0244279,47.8439,0.539327,-1.57377,-0.00134355,-0.00301382,0.0593527,
0.1919,-0.000208188,48.2007,0.0084567,-0.000281585,0.000418363,-9.00651e-05,0.24652,-0.000208188,48.2007,0.0084567,-0.000281585,0.000418363,-9.00651e-05,0.24652,-0.000208188,48.2007,0.0084567,-0.000281585,0.000418363,-9.00651e-05,0.24652,-0.000208188,48.2007,0.0084567,-0.000281585,0.000418363,-9.00651e-05,0.24652,-0.000208188,48.2007,0.0084567,-0.000281585,0.000418363,-9.00651e-05,0.24652,-0.729182,48.1831,0.0153973,0.00589717,0.0138157,-2.35185,0.0593527,0.753958,48.1786,0.0110073,0.00591931,0.0138274,-2.35185,0.0593527,0.00831768,47.6588,-0.513342,-0.0161667,0.0386494,2.35174,0.0593527,0.0166948,48.7029,0.539728,-0.0148613,0.037356,2.35178,0.0593527,0.000535898,48.7031,-0.513083,-1.57387,-0.0027149,-0.00295551,0.0593527,0.0244222,47.6586,0.539493,-1.57376,-0.00333101,-0.00306025,0.0593527,
0.202,-0.000196995,48.0057,0.00849412,-3.48264e-06,0.000153437,-0.000118976,0.24652,-0.000196995,48.0057,0.00849412,-3.48264e-06,0.000153437,-0.000118976,0.24652,-0.000196995,48.0057,0.00849412,-3.48264e-06,0.000153437,-0.000118976,0.24652,-0.000196995,48.0057,0.00849412,-3.48264e-06,0.000153437,-0.000118976,0.24652,-0.000196995,48.0057,0.00849412,-3.48264e-06,0.000153437,-0.000118976,0.24652,-0.729232,47.988,0.0153888,0.00573824,0.0136819,-2.35185,0.0593527,0.753982,47.9834,0.0109619,0.00504196,0.0130099,-2.35186,0.0593527,0.00828782,47.4636,-0.513384,-0.0163532,0.0388366,2.35173,0.0593527,0.0167115,48.5078,0.539731,-0.0149462,0.0374425,2.35178,0.0593527,0.000530657,48.508,-0.513134,-1.57389,-0.00148771,-0.00297917,0.0593527,0.0244199,47.4635,0.539482,-1.57378,-0.00440109,-0.00308349,0.0593527,
