tgDataLogger2 started logging at time 01262019_220656, with 6 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
1.2,-4.24778,5.35524,-1.26329,-0.0216618,-0.188807,-2.42854,0.199491,3.0577,5.32919,-0.360379,-0.0157233,-0.111526,-2.42259,0.199491,0.48869,4.79927,-0.717407,-0.00529744,-0.114055,-0.868641,0.199491,0.49885,6.98674,1.65505,-0.00974752,-0.125381,-0.855579,0.199491,0.315054,5.1725,1.73963,-1.57928,-0.0859683,0.10509,0.199645,-0.27049,7.48803,-1.41683,-1.58699,-0.0846861,0.135509,0.199491,
1.3,-4.18003,5.3782,-1.28121,-0.0331853,-0.182902,-2.43417,0.199491,3.00495,5.37705,-0.424231,-0.00357054,-0.115667,-2.43882,0.199491,0.489802,4.79765,-0.719296,-0.0116798,-0.108725,-0.868363,0.199491,0.581641,6.93653,1.47473,0.00864291,-0.1271,-0.863779,0.199491,0.364151,5.30176,1.64788,-1.55995,-0.0736784,0.0913741,0.199645,-0.262388,7.48735,-1.4219,-1.58785,-0.0947883,0.133794,0.199491,
1.4,-4.22282,5.36395,-1.27032,-0.0238055,-0.184306,-2.43102,0.199491,3.04025,5.34737,-0.384983,-0.0135063,-0.114896,-2.4284,0.199491,0.489404,4.79868,-0.719403,-0.0129893,-0.107462,-0.867949,0.199491,0.529748,6.96971,1.58845,0.038037,-0.160765,-0.864701,0.199491,0.335661,5.21994,1.70513,-1.56905,-0.0481275,0.0999557,0.199645,-0.266703,7.48745,-1.42014,-1.58512,-0.0728031,0.134434,0.199491,
1.5,-4.28283,5.34157,-1.25344,-0.0100446,-0.185524,-2.42625,0.199491,3.07651,5.30245,-0.325704,-0.0296771,-0.119667,-2.41285,0.199491,0.485707,4.80097,-0.714637,0.0127246,-0.129298,-0.870375,0.199491,0.451991,7.00567,1.74711,0.0092419,-0.149147,-0.854669,0.199491,0.280846,5.10437,1.78767,-1.58549,-0.0643686,0.111527,0.199645,-0.279312,7.48794,-1.40977,-1.58477,-0.066593,0.136849,0.199491,
1.6,-4.21627,5.3649,-1.26924,-0.0325549,-0.193306,-2.42972,0.199491,3.03142,5.35024,-0.384927,-0.0158939,-0.119261,-2.42903,0.199491,0.488418,4.79951,-0.713127,-0.0100883,-0.110344,-0.868038,0.199491,0.534734,6.96193,1.57711,0.021412,-0.14605,-0.862328,0.199491,0.33641,5.2292,1.70108,-1.56964,-0.0701439,0.0991676,0.199645,-0.267137,7.48528,-1.41473,-1.58619,-0.0798947,0.134889,0.199491,
1.7,-4.18626,5.37544,-1.27767,-0.0279585,-0.1792,-2.43416,0.199491,3.00648,5.37213,-0.4145,-0.0106155,-0.121731,-2.43643,0.199491,0.488085,4.79865,-0.714654,-0.00592263,-0.113835,-0.868734,0.199491,0.571424,6.93915,1.49431,0.0493542,-0.162981,-0.869127,0.199491,0.357314,5.28829,1.65897,-1.55915,-0.0462313,0.0927331,0.199645,-0.264547,7.4856,-1.41756,-1.58858,-0.0993376,0.13429,0.199491,
1.8,-4.25631,5.35157,-1.25955,-0.0108261,-0.17937,-2.42931,0.199491,3.05839,5.32263,-0.349891,-0.0234797,-0.118064,-2.41967,0.199491,0.486202,4.8005,-0.713134,0.00167598,-0.120109,-0.869127,0.199491,0.485741,6.99,1.67867,0.0123603,-0.146287,-0.85776,0.199491,0.304684,5.15563,1.7524,-1.57822,-0.0569915,0.1065,0.199645,-0.27435,7.48655,-1.41235,-1.58573,-0.0745075,0.135954,0.199491,
1.9,-4.26699,5.34654,-1.25545,-0.0206555,-0.194019,-2.42586,0.199491,3.05999,5.31389,-0.335144,-0.0243389,-0.117177,-2.41693,0.199491,0.483838,4.80165,-0.707887,0.0172954,-0.133601,-0.870802,0.199491,0.468876,6.99281,1.70864,0.0238686,-0.158769,-0.858233,0.199491,0.291089,5.13422,1.76927,-1.58084,-0.0595568,0.108809,0.199645,-0.278841,7.48499,-1.40601,-1.58503,-0.0685073,0.136855,0.199491,
2,-4.1942,5.37143,-1.27243,-0.0324036,-0.187311,-2.432,0.199491,3.00875,5.36482,-0.401709,-0.00806116,-0.116262,-2.43446,0.199491,0.486704,4.79996,-0.708807,-0.00739937,-0.1129,-0.868215,0.199491,0.55906,6.94188,1.52072,0.0409103,-0.158177,-0.866715,0.199491,0.348252,5.27009,1.6737,-1.56161,-0.0489434,0.0946256,0.199645,-0.266932,7.48341,-1.41137,-1.58799,-0.0932967,0.134843,0.199491,
2.1,-4.20772,5.36714,-1.26919,-0.0304736,-0.188991,-2.43087,0.199491,3.02001,5.35559,-0.389362,-0.0157616,-0.121362,-2.43066,0.199491,0.486928,4.8002,-0.709111,-0.0088399,-0.111662,-0.867989,0.199491,0.543267,6.95299,1.55667,0.0134551,-0.13783,-0.861642,0.199491,0.339355,5.24481,1.69168,-1.56625,-0.0597396,0.0974348,0.199645,-0.267964,7.48383,-1.41115,-1.58679,-0.0837145,0.135061,0.199491,
