tgDataLogger2 started logging at time 01242019_111943, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.0688503,9.73482,0.227556,-0.858665,0.232413,0.520007,0.00596188,-0.013836,9.22544,-0.227767,-1.53323,-0.807632,-0.831569,0.00605276,
0.2,0.0688746,8.26383,0.227388,-0.847945,0.250579,0.522353,0.00596188,-0.01386,7.75441,-0.227601,-1.55035,-0.796869,-0.819329,0.00605276,
0.3,0.0689006,5.81198,0.227313,-0.857807,0.233745,0.519597,0.00596188,-0.0138856,5.30225,-0.227527,-1.53622,-0.806371,-0.829577,0.00605276,
0.4,-0.00689608,2.88241,0.340031,-0.670587,0.483766,0.765609,0.00596188,-0.0353547,2.38522,-0.188598,-1.45835,-0.398456,-0.812801,0.00605276,
0.5,0.012273,1.56839,0.563715,-0.494606,0.74881,1.20509,0.00596188,-0.0676761,1.52,-0.118155,-1.54136,-0.0285022,-0.801774,0.00605276,
0.6,0.0135372,1.55524,0.564568,-0.498301,0.756489,1.22341,0.00596188,-0.067335,1.52,-0.117907,-1.55896,-0.011451,-0.8018,0.00605276,
0.7,0.013537,1.55519,0.564566,-0.498348,0.756485,1.22339,0.00596188,-0.067336,1.52,-0.117909,-1.55887,-0.0115414,-0.801801,0.00605276,
0.8,0.0135374,1.5552,0.564564,-0.498194,0.756516,1.22348,0.00596188,-0.0673351,1.52,-0.11791,-1.55887,-0.0115465,-0.801802,0.00605276,
0.9,0.0135396,1.55522,0.564564,-0.498322,0.75649,1.22341,0.00596188,-0.0673339,1.52,-0.117911,-1.55887,-0.0115449,-0.801802,0.00605276,
1,0.0135402,1.55519,0.564563,-0.498164,0.756522,1.22349,0.00596188,-0.0673326,1.52,-0.117911,-1.55889,-0.011524,-0.801803,0.00605276,
1.1,0.0135418,1.55519,0.564562,-0.498253,0.756503,1.22344,0.00596188,-0.0673319,1.52,-0.117912,-1.55887,-0.0115385,-0.801803,0.00605276,
1.2,0.0135431,1.55514,0.564562,-0.498379,0.756475,1.22336,0.00596188,-0.0673308,1.52,-0.117912,-1.55888,-0.0115293,-0.801804,0.00605276,
1.3,0.0135438,1.55518,0.564561,-0.498229,0.756507,1.22344,0.00596188,-0.0673298,1.52,-0.117913,-1.55888,-0.0115328,-0.801804,0.00605276,
1.4,0.013546,1.55522,0.564561,-0.498262,0.756502,1.22343,0.00596188,-0.0673291,1.52,-0.117913,-1.55887,-0.0115424,-0.801805,0.00605276,
1.5,0.0135481,1.55517,0.564561,-0.498448,0.756462,1.22332,0.00596188,-0.0673275,1.52,-0.117914,-1.5589,-0.0115137,-0.801805,0.00605276,
1.6,0.013548,1.5551,0.564558,-0.498234,0.756506,1.22344,0.00596188,-0.0673264,1.52,-0.117914,-1.5589,-0.0115153,-0.801806,0.00605276,
1.7,0.0135493,1.55518,0.564559,-0.498283,0.756506,1.22344,0.00596188,-0.0673265,1.52,-0.117916,-1.55885,-0.0115581,-0.801807,0.00605276,
1.8,0.0135503,1.55516,0.564557,-0.498203,0.756512,1.22345,0.00596188,-0.0673247,1.52,-0.117916,-1.55889,-0.0115241,-0.801807,0.00605276,
1.9,0.0135528,1.5552,0.564557,-0.498195,0.756522,1.22347,0.00596188,-0.0673236,1.52,-0.117916,-1.55889,-0.0115198,-0.801807,0.00605276,
2,0.0135542,1.55514,0.564557,-0.498379,0.756479,1.22336,0.00596188,-0.0673229,1.52,-0.117917,-1.55888,-0.0115353,-0.801808,0.00605276,
2.1,0.0135552,1.55518,0.564555,-0.498208,0.756519,1.22346,0.00596188,-0.0673219,1.52,-0.117918,-1.55886,-0.0115475,-0.801809,0.00605276,
2.2,0.0135567,1.55512,0.564555,-0.498229,0.756513,1.22345,0.00596188,-0.0673203,1.52,-0.117918,-1.55889,-0.0115237,-0.801809,0.00605276,
2.3,0.0135585,1.55519,0.564554,-0.498166,0.756534,1.2235,0.00596188,-0.0673196,1.52,-0.117919,-1.55888,-0.0115353,-0.80181,0.00605276,
2.4,0.0135598,1.55515,0.564553,-0.498258,0.756507,1.22343,0.00596188,-0.0673181,1.52,-0.11792,-1.5589,-0.0115142,-0.80181,0.00605276,
2.5,0.0135602,1.55517,0.564552,-0.498221,0.75652,1.22346,0.00596188,-0.067318,1.52,-0.117921,-1.55885,-0.0115578,-0.801811,0.00605276,
2.6,0.0135624,1.55519,0.564552,-0.49828,0.756502,1.22341,0.00596188,-0.0673167,1.52,-0.117921,-1.55887,-0.01154,-0.801812,0.00605276,
2.7,0.0135641,1.55523,0.564551,-0.498265,0.756508,1.22342,0.00596188,-0.0673158,1.52,-0.117922,-1.55887,-0.0115448,-0.801812,0.00605276,
2.8,0.0135652,1.55512,0.56455,-0.498437,0.756464,1.22331,0.00596188,-0.0673145,1.52,-0.117923,-1.55888,-0.0115366,-0.801813,0.00605276,
2.9,0.0135667,1.55522,0.56455,-0.498321,0.7565,1.2234,0.00596188,-0.0673138,1.52,-0.117923,-1.55886,-0.0115497,-0.801813,0.00605276,
3,0.013568,1.55511,0.56455,-0.498297,0.756502,1.2234,0.00596188,-0.067312,1.52,-0.117923,-1.5589,-0.0115092,-0.801813,0.00605276,
3.1,0.0135692,1.55522,0.564549,-0.498276,0.75651,1.22342,0.00596188,-0.0673118,1.52,-0.117925,-1.55886,-0.0115542,-0.801814,0.00605276,
3.2,0.0135708,1.55513,0.564548,-0.49835,0.756487,1.22336,0.00596188,-0.0673099,1.52,-0.117925,-1.5589,-0.0115135,-0.801814,0.00605276,
3.3,0.0135721,1.55521,0.564547,-0.498357,0.756487,1.22336,0.00596188,-0.0673099,1.52,-0.117926,-1.55885,-0.0115627,-0.801816,0.00605276,
3.4,0.0135739,1.55511,0.564546,-0.498414,0.756475,1.22333,0.00596188,-0.0673083,1.52,-0.117926,-1.55889,-0.0115233,-0.801816,0.00605276,
3.5,0.013575,1.55516,0.564546,-0.498359,0.75649,1.22336,0.00596188,-0.0673074,1.52,-0.117927,-1.55887,-0.0115399,-0.801816,0.00605276,
3.6,0.0135769,1.55513,0.564545,-0.498447,0.756469,1.22331,0.00596188,-0.067306,1.52,-0.117928,-1.55889,-0.0115214,-0.801817,0.00605276,
3.7,0.0135776,1.55511,0.564544,-0.498379,0.756485,1.22335,0.00596188,-0.0673053,1.52,-0.117929,-1.55887,-0.0115407,-0.801817,0.00605276,
3.8,0.0135796,1.5552,0.564543,-0.498264,0.756512,1.22342,0.00596188,-0.0673043,1.52,-0.11793,-1.55887,-0.0115441,-0.801818,0.00605276,
3.9,0.0135812,1.55508,0.564543,-0.498459,0.756464,1.22329,0.00596188,-0.067302,1.52,-0.117929,-1.55892,-0.0114936,-0.801818,0.00605276,
4,0.0135819,1.55511,0.564542,-0.498483,0.75645,1.22325,0.00596188,-0.0673013,1.52,-0.11793,-1.55891,-0.0115012,-0.801819,0.00605276,
4.1,0.0135831,1.55517,0.564541,-0.498343,0.756494,1.22337,0.00596188,-0.0673015,1.52,-0.117932,-1.55885,-0.0115642,-0.80182,0.00605276,
4.2,0.0135849,1.55511,0.564541,-0.498279,0.756514,1.22342,0.00596188,-0.0672995,1.52,-0.117932,-1.5589,-0.0115153,-0.80182,0.00605276,
4.3,0.0135868,1.55523,0.56454,-0.498297,0.756508,1.2234,0.00596188,-0.0672989,1.52,-0.117933,-1.55888,-0.0115359,-0.801821,0.00605276,
4.4,0.0135875,1.55517,0.564539,-0.49827,0.756514,1.22341,0.00596188,-0.0672977,1.52,-0.117934,-1.55888,-0.0115356,-0.801821,0.00605276,
4.5,0.0135904,1.5552,0.564539,-0.498133,0.756564,1.22354,0.00596188,-0.0672967,1.52,-0.117934,-1.55888,-0.0115314,-0.801822,0.00605276,
4.6,0.0135903,1.55512,0.564537,-0.498231,0.75652,1.22343,0.00596188,-0.0672952,1.52,-0.117934,-1.55891,-0.0115076,-0.801822,0.00605276,
4.7,0.0135926,1.55516,0.564537,-0.498424,0.756484,1.22333,0.00596188,-0.0672948,1.52,-0.117936,-1.55887,-0.01154,-0.801823,0.00605276,
4.8,0.0135934,1.55517,0.564537,-0.498522,0.756459,1.22326,0.00596188,-0.067294,1.52,-0.117936,-1.55886,-0.0115475,-0.801823,0.00605276,
4.9,0.0135944,1.55519,0.564535,-0.498293,0.756511,1.2234,0.00596188,-0.067293,1.52,-0.117937,-1.55886,-0.011553,-0.801824,0.00605276,
5,0.0135969,1.55521,0.564536,-0.498336,0.756513,1.2234,0.00596188,-0.0672915,1.52,-0.117937,-1.55888,-0.011531,-0.801824,0.00605276,
5.1,0.013597,1.55521,0.564534,-0.498254,0.756522,1.22342,0.00596188,-0.0672907,1.52,-0.117938,-1.55887,-0.0115456,-0.801825,0.00605276,
5.2,0.0135994,1.55524,0.564534,-0.498245,0.756526,1.22343,0.00596188,-0.0672896,1.52,-0.117939,-1.55887,-0.0115399,-0.801825,0.00605276,
