time,0_rod(payload_bars compound_3ZGoMv).X,0_rod(payload_bars compound_3ZGoMv).Y,0_rod(payload_bars compound_3ZGoMv).Z,0_rod(payload_bars compound_3ZGoMv).Euler1,0_rod(payload_bars compound_3ZGoMv).Euler2,0_rod(payload_bars compound_3ZGoMv).Euler3,0_rod(payload_bars compound_3ZGoMv).mass,1_rod(payload_bars compound_3ZGoMv).X,1_rod(payload_bars compound_3ZGoMv).Y,1_rod(payload_bars compound_3ZGoMv).Z,1_rod(payload_bars compound_3ZGoMv).Euler1,1_rod(payload_bars compound_3ZGoMv).Euler2,1_rod(payload_bars compound_3ZGoMv).Euler3,1_rod(payload_bars compound_3ZGoMv).mass,2_rod(payload_bars compound_3ZGoMv).X,2_rod(payload_bars compound_3ZGoMv).Y,2_rod(payload_bars compound_3ZGoMv).Z,2_rod(payload_bars compound_3ZGoMv).Euler1,2_rod(payload_bars compound_3ZGoMv).Euler2,2_rod(payload_bars compound_3ZGoMv).Euler3,2_rod(payload_bars compound_3ZGoMv).mass,3_rod(payload_bars compound_3ZGoMv).X,3_rod(payload_bars compound_3ZGoMv).Y,3_rod(payload_bars compound_3ZGoMv).Z,3_rod(payload_bars compound_3ZGoMv).Euler1,3_rod(payload_bars compound_3ZGoMv).Euler2,3_rod(payload_bars compound_3ZGoMv).Euler3,3_rod(payload_bars compound_3ZGoMv).mass,4_rod(sense_bar compound_3ZGoMv).X,4_rod(sense_bar compound_3ZGoMv).Y,4_rod(sense_bar compound_3ZGoMv).Z,4_rod(sense_bar compound_3ZGoMv).Euler1,4_rod(sense_bar compound_3ZGoMv).Euler2,4_rod(sense_bar compound_3ZGoMv).Euler3,4_rod(sense_bar compound_3ZGoMv).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,5.13934e-06,49.4012,0.00846227,-0.000685544,-0.000482164,8.45257e-05,0.24652,5.13934e-06,49.4012,0.00846227,-0.000685544,-0.000482164,8.45257e-05,0.24652,5.13934e-06,49.4012,0.00846227,-0.000685544,-0.000482164,8.45257e-05,0.24652,5.13934e-06,49.4012,0.00846227,-0.000685544,-0.000482164,8.45257e-05,0.24652,5.13934e-06,49.4012,0.00846227,-0.000685544,-0.000482164,8.45257e-05,0.24652,-0.722973,49.3835,0.0153789,0.00551925,0.0135423,-2.35187,0.0589629,0.747611,49.3791,0.0109872,0.00592663,0.0138101,-2.35187,0.0589629,0.00812588,48.8637,-0.508855,-0.015388,0.0380118,2.35176,0.0589629,0.0164833,49.8988,0.535182,-0.0167924,0.0394002,2.35166,0.0589629,0.000316943,49.8991,-0.50864,-1.5738,-0.00234882,-0.00305232,0.0589629,0.024296,48.8635,0.535125,-1.57381,-0.00354113,-0.00303993,0.0589629,
0.1212,5.40811e-05,49.2862,0.00852508,-0.00173699,-0.00119901,0.000355224,0.24652,5.40811e-05,49.2862,0.00852508,-0.00173699,-0.00119901,0.000355224,0.24652,5.40811e-05,49.2862,0.00852508,-0.00173699,-0.00119901,0.000355224,0.24652,5.40811e-05,49.2862,0.00852508,-0.00173699,-0.00119901,0.000355224,0.24652,5.40811e-05,49.2862,0.00852508,-0.00173699,-0.00119901,0.000355224,0.24652,-0.722451,49.2684,0.015402,0.00630443,0.0141716,-2.35188,0.0589629,0.747011,49.264,0.0109118,0.00582073,0.0137485,-2.35189,0.0589629,0.00811603,48.7491,-0.508443,-0.0163631,0.0391272,2.35165,0.0589629,0.0164224,49.7834,0.534777,-0.0154445,0.038219,2.3517,0.0589629,0.000191939,49.7836,-0.508343,-1.57372,-0.00328237,-0.00310352,0.0589629,0.0243657,48.7488,0.53461,-1.57374,-0.00293422,-0.00309309,0.0589629,
0.1313,8.92618e-05,49.1612,0.00854713,-0.00191301,-0.00116276,0.000490414,0.24652,8.92618e-05,49.1612,0.00854713,-0.00191301,-0.00116276,0.000490414,0.24652,8.92618e-05,49.1612,0.00854713,-0.00191301,-0.00116276,0.000490414,0.24652,8.92618e-05,49.1612,0.00854713,-0.00191301,-0.00116276,0.000490414,0.24652,8.92618e-05,49.1612,0.00854713,-0.00191301,-0.00116276,0.000490414,0.24652,-0.722813,49.1434,0.015349,0.00645089,0.0143279,-2.35189,0.0589629,0.747366,49.139,0.0109358,0.00598083,0.0139511,-2.3519,0.0589629,0.00806717,48.6238,-0.508714,-0.0161833,0.0389732,2.35165,0.0589629,0.0163794,49.6586,0.535018,-0.015409,0.0382063,2.35167,0.0589629,9.11661e-05,49.6588,-0.508631,-1.57372,-0.00372192,-0.00307864,0.0589629,0.0244175,48.6235,0.534866,-1.57378,-0.0024084,-0.00302464,0.0589629,
0.1414,-3.80458e-06,49.0261,0.00846149,-0.000750944,-0.00042201,0.000457581,0.24652,-3.80458e-06,49.0261,0.00846149,-0.000750944,-0.00042201,0.000457581,0.24652,-3.80458e-06,49.0261,0.00846149,-0.000750944,-0.00042201,0.000457581,0.24652,-3.80458e-06,49.0261,0.00846149,-0.000750944,-0.00042201,0.000457581,0.24652,-3.80458e-06,49.0261,0.00846149,-0.000750944,-0.00042201,0.000457581,0.24652,-0.723162,49.0084,0.0153734,0.00563762,0.0136309,-2.3519,0.0589629,0.747821,49.0039,0.0109925,0.00618952,0.0141005,-2.35189,0.0589629,0.00813513,48.4884,-0.509007,-0.0151955,0.0378176,2.3517,0.0589629,0.0164868,49.5239,0.535367,-0.0167016,0.0393081,2.35162,0.0589629,0.000313786,49.5241,-0.50882,-1.5738,-0.00276384,-0.00304266,0.0589629,0.0243039,48.4882,0.535276,-1.57381,-0.00299871,-0.00303679,0.0589629,
0.1515,-4.89988e-06,48.881,0.00846972,0.000643943,0.000322463,0.000307533,0.24652,-4.89988e-06,48.881,0.00846972,0.000643943,0.000322463,0.000307533,0.24652,-4.89988e-06,48.881,0.00846972,0.000643943,0.000322463,0.000307533,0.24652,-4.89988e-06,48.881,0.00846972,0.000643943,0.000322463,0.000307533,0.24652,-4.89988e-06,48.881,0.00846972,0.000643943,0.000322463,0.000307533,0.24652,-0.722948,48.8634,0.0153815,0.00513538,0.0131264,-2.35189,0.0589629,0.747569,48.8588,0.0109906,0.00570878,0.0136401,-2.35189,0.0589629,0.00813514,48.3436,-0.508818,-0.0153185,0.0377362,2.35172,0.0589629,0.01652,49.3786,0.535164,-0.0171585,0.0395577,2.35164,0.0589629,0.000545307,49.3789,-0.508663,-1.57386,-0.00201091,-0.00304903,0.0589629,0.0240813,48.3433,0.535091,-1.57384,-0.00386931,-0.0030662,0.0589629,
0.1616,2.18125e-05,48.726,0.00849197,0.000964269,0.000442667,0.000106569,0.24652,2.18125e-05,48.726,0.00849197,0.000964269,0.000442667,0.000106569,0.24652,2.18125e-05,48.726,0.00849197,0.000964269,0.000442667,0.000106569,0.24652,2.18125e-05,48.726,0.00849197,0.000964269,0.000442667,0.000106569,0.24652,2.18125e-05,48.726,0.00849197,0.000964269,0.000442667,0.000106569,0.24652,-0.722819,48.7084,0.0153734,0.00559271,0.0135244,-2.35187,0.0589629,0.747463,48.7037,0.0109735,0.00512661,0.013119,-2.35188,0.0589629,0.00807994,48.1886,-0.508717,-0.0165545,0.0389202,2.3517,0.0589629,0.0164731,49.2235,0.53507,-0.0160498,0.0384203,2.35171,0.0589629,0.000574709,49.2237,-0.508605,-1.57385,-0.00306698,-0.00308062,0.0589629,0.0240187,48.1883,0.534958,-1.57388,-0.00328816,-0.00304557,0.0589629,
0.1717,1.37467e-05,48.5609,0.00848124,0.000129014,-4.03133e-05,-4.28599e-05,0.24652,1.37467e-05,48.5609,0.00848124,0.000129014,-4.03133e-05,-4.28599e-05,0.24652,1.37467e-05,48.5609,0.00848124,0.000129014,-4.03133e-05,-4.28599e-05,0.24652,1.37467e-05,48.5609,0.00848124,0.000129014,-4.03133e-05,-4.28599e-05,0.24652,1.37467e-05,48.5609,0.00848124,0.000129014,-4.03133e-05,-4.28599e-05,0.24652,-0.722984,48.5433,0.0153827,0.00606316,0.0140182,-2.35185,0.0589629,0.747622,48.5387,0.0109784,0.00554027,0.0134967,-2.35186,0.0589629,0.00810177,48.0234,-0.508854,-0.0166363,0.0391265,2.35171,0.0589629,0.0164773,49.0585,0.535206,-0.0155038,0.0380046,2.35175,0.0589629,0.0004466,49.0588,-0.508695,-1.57382,-0.00403673,-0.00306416,0.0589629,0.0241603,48.0231,0.53508,-1.57385,-0.00222234,-0.00304648,0.0589629,
0.1818,6.00829e-06,48.3858,0.00847879,-0.000870773,-0.000597961,-5.49632e-05,0.24652,6.00829e-06,48.3858,0.00847879,-0.000870773,-0.000597961,-5.49632e-05,0.24652,6.00829e-06,48.3858,0.00847879,-0.000870773,-0.000597961,-5.49632e-05,0.24652,6.00829e-06,48.3858,0.00847879,-0.000870773,-0.000597961,-5.49632e-05,0.24652,6.00829e-06,48.3858,0.00847879,-0.000870773,-0.000597961,-5.49632e-05,0.24652,-0.722985,48.3681,0.015375,0.0058747,0.0138415,-2.35186,0.0589629,0.747623,48.3637,0.0109799,0.0063629,0.0142953,-2.35185,0.0589629,0.00812731,47.8483,-0.508858,-0.0152206,0.0378732,2.35177,0.0589629,0.0164791,48.8835,0.535204,-0.0165331,0.0391722,2.3517,0.0589629,0.000284355,48.8837,-0.508679,-1.5738,-0.00289968,-0.00305087,0.0589629,0.0243283,47.848,0.535087,-1.57381,-0.00275201,-0.00303724,0.0589629,
0.1919,7.89292e-06,48.2007,0.00848513,-0.00107779,-0.000733902,6.29591e-05,0.24652,7.89292e-06,48.2007,0.00848513,-0.00107779,-0.000733902,6.29591e-05,0.24652,7.89292e-06,48.2007,0.00848513,-0.00107779,-0.000733902,6.29591e-05,0.24652,7.89292e-06,48.2007,0.00848513,-0.00107779,-0.000733902,6.29591e-05,0.24652,7.89292e-06,48.2007,0.00848513,-0.00107779,-0.000733902,6.29591e-05,0.24652,-0.722906,48.183,0.015369,0.00562758,0.0135765,-2.35187,0.0589629,0.747546,48.1786,0.0109766,0.00624841,0.0141997,-2.35186,0.0589629,0.0081267,47.6633,-0.508793,-0.0149211,0.0376101,2.35176,0.0589629,0.0164745,48.6983,0.535138,-0.0169771,0.0396456,2.35167,0.0589629,0.000243311,48.6986,-0.508638,-1.57379,-0.0017627,-0.00305347,0.0589629,0.0243647,47.663,0.53503,-1.57381,-0.00383775,-0.00303359,0.0589629,
0.202,9.9465e-06,48.0057,0.00848208,-0.00045891,-0.000407207,0.000231768,0.24652,9.9465e-06,48.0057,0.00848208,-0.00045891,-0.000407207,0.000231768,0.24652,9.9465e-06,48.0057,0.00848208,-0.00045891,-0.000407207,0.000231768,0.24652,9.9465e-06,48.0057,0.00848208,-0.00045891,-0.000407207,0.000231768,0.24652,9.9465e-06,48.0057,0.00848208,-0.00045891,-0.000407207,0.000231768,0.24652,-0.722937,47.988,0.0153795,0.0058411,0.013794,-2.35188,0.0589629,0.747577,47.9835,0.0109773,0.00545751,0.013415,-2.35188,0.0589629,0.00811264,47.4682,-0.508817,-0.016305,0.0388898,2.35169,0.0589629,0.016477,48.5032,0.535165,-0.015913,0.0385014,2.35169,0.0589629,0.000343176,48.5035,-0.508673,-1.57381,-0.00284815,-0.00306005,0.0589629,0.0242672,47.4679,0.535064,-1.57383,-0.00337306,-0.00304348,0.0589629,
