time,0_rod(payload_bars compound_jI9Z3N).X,0_rod(payload_bars compound_jI9Z3N).Y,0_rod(payload_bars compound_jI9Z3N).Z,0_rod(payload_bars compound_jI9Z3N).Euler1,0_rod(payload_bars compound_jI9Z3N).Euler2,0_rod(payload_bars compound_jI9Z3N).Euler3,0_rod(payload_bars compound_jI9Z3N).mass,1_rod(payload_bars compound_jI9Z3N).X,1_rod(payload_bars compound_jI9Z3N).Y,1_rod(payload_bars compound_jI9Z3N).Z,1_rod(payload_bars compound_jI9Z3N).Euler1,1_rod(payload_bars compound_jI9Z3N).Euler2,1_rod(payload_bars compound_jI9Z3N).Euler3,1_rod(payload_bars compound_jI9Z3N).mass,2_rod(payload_bars compound_jI9Z3N).X,2_rod(payload_bars compound_jI9Z3N).Y,2_rod(payload_bars compound_jI9Z3N).Z,2_rod(payload_bars compound_jI9Z3N).Euler1,2_rod(payload_bars compound_jI9Z3N).Euler2,2_rod(payload_bars compound_jI9Z3N).Euler3,2_rod(payload_bars compound_jI9Z3N).mass,3_rod(payload_bars compound_jI9Z3N).X,3_rod(payload_bars compound_jI9Z3N).Y,3_rod(payload_bars compound_jI9Z3N).Z,3_rod(payload_bars compound_jI9Z3N).Euler1,3_rod(payload_bars compound_jI9Z3N).Euler2,3_rod(payload_bars compound_jI9Z3N).Euler3,3_rod(payload_bars compound_jI9Z3N).mass,4_rod(sense_bar compound_jI9Z3N).X,4_rod(sense_bar compound_jI9Z3N).Y,4_rod(sense_bar compound_jI9Z3N).Z,4_rod(sense_bar compound_jI9Z3N).Euler1,4_rod(sense_bar compound_jI9Z3N).Euler2,4_rod(sense_bar compound_jI9Z3N).Euler3,4_rod(sense_bar compound_jI9Z3N).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.8686,-0.000214098,13.0038,0.00850345,4.08065e-05,0.000217521,-7.94796e-06,0.24652,-0.000214098,13.0038,0.00850345,4.08065e-05,0.000217521,-7.94796e-06,0.24652,-0.000214098,13.0038,0.00850345,4.08065e-05,0.000217521,-7.94796e-06,0.24652,-0.000214098,13.0038,0.00850345,4.08065e-05,0.000217521,-7.94796e-06,0.24652,-0.000214098,13.0038,0.00850345,4.08065e-05,0.000217521,-7.94796e-06,0.24652,-0.728423,12.9862,0.0153736,0.00555464,0.0133008,-2.35194,0.0592915,0.753104,12.9816,0.0109661,0.00572898,0.0134685,-2.35193,0.0592915,0.00845433,12.4623,-0.512831,0.0173504,0.00511403,-0.788874,0.0592915,0.0166499,13.5055,0.539157,0.0146305,0.00781469,-0.788907,0.0592915,0.024276,12.4621,0.538749,-1.57376,-0.00328638,-0.00309812,0.0592915,0.000711347,13.5057,-0.512409,-1.57392,-0.00282936,-0.00293796,0.0592915,
0.8787,-0.000209593,12.1382,0.00850397,3.71847e-05,0.000227564,-6.7698e-06,0.24652,-0.000209593,12.1382,0.00850397,3.71847e-05,0.000227564,-6.7698e-06,0.24652,-0.000209593,12.1382,0.00850397,3.71847e-05,0.000227564,-6.7698e-06,0.24652,-0.000209593,12.1382,0.00850397,3.71847e-05,0.000227564,-6.7698e-06,0.24652,-0.000209593,12.1382,0.00850397,3.71847e-05,0.000227564,-6.7698e-06,0.24652,-0.72842,12.1206,0.0153706,0.00497024,0.0127178,-2.35195,0.0592915,0.753109,12.116,0.0109712,0.00482189,0.0125676,-2.35195,0.0592915,0.00843817,11.5967,-0.512831,0.0147855,0.00766546,-0.788891,0.0592915,0.0166357,12.6399,0.539159,0.0164557,0.00600685,-0.788895,0.0592915,0.02428,11.5965,0.538746,-1.57376,-0.00237073,-0.00309656,0.0592915,0.000710769,12.6401,-0.512412,-1.57392,-0.00335793,-0.00294041,0.0592915,
0.8888,-0.000207763,11.2626,0.00850406,3.67821e-05,0.000223194,-1.06322e-05,0.24652,-0.000207763,11.2626,0.00850406,3.67821e-05,0.000223194,-1.06322e-05,0.24652,-0.000207763,11.2626,0.00850406,3.67821e-05,0.000223194,-1.06322e-05,0.24652,-0.000207763,11.2626,0.00850406,3.67821e-05,0.000223194,-1.06322e-05,0.24652,-0.000207763,11.2626,0.00850406,3.67821e-05,0.000223194,-1.06322e-05,0.24652,-0.72842,11.245,0.0153725,0.00556057,0.013304,-2.35194,0.0592915,0.753111,11.2404,0.0109691,0.00537671,0.0131192,-2.35194,0.0592915,0.00843338,10.7211,-0.512832,0.0143022,0.008142,-0.788895,0.0592915,0.0166302,11.7643,0.53916,0.0172262,0.0052384,-0.78889,0.0592915,0.0242786,10.7209,0.538747,-1.57376,-0.00258736,-0.0030947,0.0592915,0.000712801,11.7645,-0.512413,-1.57392,-0.00337136,-0.00294007,0.0592915,
0.8989,-0.00021198,10.3771,0.00850337,3.99482e-05,0.000213068,-1.19818e-05,0.24652,-0.00021198,10.3771,0.00850337,3.99482e-05,0.000213068,-1.19818e-05,0.24652,-0.00021198,10.3771,0.00850337,3.99482e-05,0.000213068,-1.19818e-05,0.24652,-0.00021198,10.3771,0.00850337,3.99482e-05,0.000213068,-1.19818e-05,0.24652,-0.00021198,10.3771,0.00850337,3.99482e-05,0.000213068,-1.19818e-05,0.24652,-0.728424,10.3594,0.0153757,0.00618687,0.0139292,-2.35193,0.0592915,0.753106,10.3549,0.0109639,0.00635773,0.0140928,-2.35193,0.0592915,0.0084489,9.83554,-0.512833,0.0168262,0.005631,-0.788876,0.0592915,0.0166438,10.8787,0.539159,0.0154571,0.0069903,-0.788901,0.0592915,0.0242744,9.83536,0.53875,-1.57376,-0.00351353,-0.00309587,0.0592915,0.000713504,10.8789,-0.512409,-1.57393,-0.00284327,-0.00293768,0.0592915,
0.909,-0.000214299,9.48146,0.00850347,4.05063e-05,0.000216695,-8.12381e-06,0.24652,-0.000214299,9.48146,0.00850347,4.05063e-05,0.000216695,-8.12381e-06,0.24652,-0.000214299,9.48146,0.00850347,4.05063e-05,0.000216695,-8.12381e-06,0.24652,-0.000214299,9.48146,0.00850347,4.05063e-05,0.000216695,-8.12381e-06,0.24652,-0.000214299,9.48146,0.00850347,4.05063e-05,0.000216695,-8.12381e-06,0.24652,-0.728424,9.46384,0.0153738,0.00563943,0.0133852,-2.35194,0.0592915,0.753104,9.45927,0.0109653,0.00593529,0.0136731,-2.35193,0.0592915,0.00845517,8.93995,-0.512831,0.0175,0.00496461,-0.788873,0.0592915,0.0166506,9.98313,0.539157,0.0145487,0.00789501,-0.788908,0.0592915,0.0242754,8.93977,0.53875,-1.57376,-0.00336012,-0.0030979,0.0592915,0.000711685,9.98334,-0.512409,-1.57393,-0.00278395,-0.00293755,0.0592915,
0.9191,-0.000210085,8.57586,0.00850399,3.7587e-05,0.000226888,-6.63246e-06,0.24652,-0.000210085,8.57586,0.00850399,3.7587e-05,0.000226888,-6.63246e-06,0.24652,-0.000210085,8.57586,0.00850399,3.7587e-05,0.000226888,-6.63246e-06,0.24652,-0.000210085,8.57586,0.00850399,3.7587e-05,0.000226888,-6.63246e-06,0.24652,-0.000210085,8.57586,0.00850399,3.7587e-05,0.000226888,-6.63246e-06,0.24652,-0.72842,8.55823,0.0153706,0.00497341,0.0127212,-2.35195,0.0592915,0.753109,8.55367,0.0109707,0.00489898,0.012644,-2.35195,0.0592915,0.00843982,8.03435,-0.512831,0.0150323,0.00742016,-0.788889,0.0592915,0.0166372,9.07753,0.539158,0.0162504,0.00621042,-0.788896,0.0592915,0.0242797,8.03417,0.538747,-1.57376,-0.00242622,-0.00309676,0.0592915,0.00071073,9.07774,-0.512411,-1.57392,-0.00330932,-0.00294019,0.0592915,
0.9292,-0.000207607,7.66025,0.00850402,3.71495e-05,0.000223941,-1.04303e-05,0.24652,-0.000207607,7.66025,0.00850402,3.71495e-05,0.000223941,-1.04303e-05,0.24652,-0.000207607,7.66025,0.00850402,3.71495e-05,0.000223941,-1.04303e-05,0.24652,-0.000207607,7.66025,0.00850402,3.71495e-05,0.000223941,-1.04303e-05,0.24652,-0.000207607,7.66025,0.00850402,3.71495e-05,0.000223941,-1.04303e-05,0.24652,-0.72842,7.64262,0.0153723,0.00547565,0.0132195,-2.35194,0.0592915,0.753111,7.63806,0.0109699,0.00518108,0.0129251,-2.35194,0.0592915,0.00843269,7.11874,-0.512832,0.0141716,0.00827254,-0.788896,0.0592915,0.0166297,8.16192,0.53916,0.0172922,0.00517371,-0.78889,0.0592915,0.0242791,7.11856,0.538747,-1.57376,-0.00251758,-0.00309497,0.0592915,0.00071247,8.16213,-0.512413,-1.57392,-0.00341283,-0.00294043,0.0592915,
0.9393,-0.000211464,6.73464,0.00850337,3.98183e-05,0.000213578,-1.21206e-05,0.24652,-0.000211464,6.73464,0.00850337,3.98183e-05,0.000213578,-1.21206e-05,0.24652,-0.000211464,6.73464,0.00850337,3.98183e-05,0.000213578,-1.21206e-05,0.24652,-0.000211464,6.73464,0.00850337,3.98183e-05,0.000213578,-1.21206e-05,0.24652,-0.000211464,6.73464,0.00850337,3.98183e-05,0.000213578,-1.21206e-05,0.24652,-0.728423,6.71701,0.0153757,0.00617817,0.0139203,-2.35193,0.0592915,0.753107,6.71245,0.0109644,0.00625411,0.0139901,-2.35193,0.0592915,0.00844716,6.19313,-0.512833,0.0165697,0.00588602,-0.788878,0.0592915,0.0166422,7.2363,0.539159,0.0156676,0.00678162,-0.788899,0.0592915,0.0242748,6.19295,0.53875,-1.57376,-0.00345345,-0.00309572,0.0592915,0.000713499,7.23651,-0.51241,-1.57393,-0.00289529,-0.00293799,0.0592915,
0.9494,-0.000214409,5.79901,0.00850347,4.02933e-05,0.000215854,-8.35586e-06,0.24652,-0.000214409,5.79901,0.00850347,4.02933e-05,0.000215854,-8.35586e-06,0.24652,-0.000214409,5.79901,0.00850347,4.02933e-05,0.000215854,-8.35586e-06,0.24652,-0.000214409,5.79901,0.00850347,4.02933e-05,0.000215854,-8.35586e-06,0.24652,-0.000214409,5.79901,0.00850347,4.02933e-05,0.000215854,-8.35586e-06,0.24652,-0.728424,5.78139,0.0153741,0.00572423,0.0134696,-2.35193,0.0592915,0.753104,5.77683,0.0109645,0.00611661,0.013853,-2.35193,0.0592915,0.00845573,5.25751,-0.512831,0.0176109,0.00485371,-0.788872,0.0592915,0.016651,6.30068,0.539157,0.0144989,0.00794368,-0.788909,0.0592915,0.0242749,5.25733,0.53875,-1.57376,-0.00342552,-0.00309766,0.0592915,0.000712003,6.30089,-0.512408,-1.57393,-0.0027468,-0.00293722,0.0592915,
0.9595,-0.000210621,4.85339,0.00850402,3.75442e-05,0.000226424,-6.50029e-06,0.24652,-0.000210621,4.85339,0.00850402,3.75442e-05,0.000226424,-6.50029e-06,0.24652,-0.000210621,4.85339,0.00850402,3.75442e-05,0.000226424,-6.50029e-06,0.24652,-0.000210621,4.85339,0.00850402,3.75442e-05,0.000226424,-6.50029e-06,0.24652,-0.000210621,4.85339,0.00850402,3.75442e-05,0.000226424,-6.50029e-06,0.24652,-0.728421,4.83576,0.0153706,0.00498768,0.0127356,-2.35194,0.0592915,0.753108,4.8312,0.0109701,0.00502726,0.0127712,-2.35194,0.0592915,0.00844161,4.31188,-0.512831,0.0152968,0.00715703,-0.788887,0.0592915,0.0166388,5.35506,0.539158,0.0160358,0.00642307,-0.788898,0.0592915,0.0242793,4.31169,0.538747,-1.57376,-0.00249065,-0.00309686,0.0592915,0.00071078,5.35526,-0.512411,-1.57392,-0.00325412,-0.00293983,0.0592915,
