time,0_rod(payload_bars compound_qUAOXr).X,0_rod(payload_bars compound_qUAOXr).Y,0_rod(payload_bars compound_qUAOXr).Z,0_rod(payload_bars compound_qUAOXr).Euler1,0_rod(payload_bars compound_qUAOXr).Euler2,0_rod(payload_bars compound_qUAOXr).Euler3,0_rod(payload_bars compound_qUAOXr).mass,1_rod(payload_bars compound_qUAOXr).X,1_rod(payload_bars compound_qUAOXr).Y,1_rod(payload_bars compound_qUAOXr).Z,1_rod(payload_bars compound_qUAOXr).Euler1,1_rod(payload_bars compound_qUAOXr).Euler2,1_rod(payload_bars compound_qUAOXr).Euler3,1_rod(payload_bars compound_qUAOXr).mass,2_rod(payload_bars compound_qUAOXr).X,2_rod(payload_bars compound_qUAOXr).Y,2_rod(payload_bars compound_qUAOXr).Z,2_rod(payload_bars compound_qUAOXr).Euler1,2_rod(payload_bars compound_qUAOXr).Euler2,2_rod(payload_bars compound_qUAOXr).Euler3,2_rod(payload_bars compound_qUAOXr).mass,3_rod(payload_bars compound_qUAOXr).X,3_rod(payload_bars compound_qUAOXr).Y,3_rod(payload_bars compound_qUAOXr).Z,3_rod(payload_bars compound_qUAOXr).Euler1,3_rod(payload_bars compound_qUAOXr).Euler2,3_rod(payload_bars compound_qUAOXr).Euler3,3_rod(payload_bars compound_qUAOXr).mass,4_rod(payload_bars compound_qUAOXr).X,4_rod(payload_bars compound_qUAOXr).Y,4_rod(payload_bars compound_qUAOXr).Z,4_rod(payload_bars compound_qUAOXr).Euler1,4_rod(payload_bars compound_qUAOXr).Euler2,4_rod(payload_bars compound_qUAOXr).Euler3,4_rod(payload_bars compound_qUAOXr).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0.0887123,9.34799,0.091253,0.783156,1.00195,-1.01804,0.256021,0.0887123,9.34799,0.091253,0.783156,1.00195,-1.01804,0.256021,0.0887123,9.34799,0.091253,0.783156,1.00195,-1.01804,0.256021,0.0887123,9.34799,0.091253,0.783156,1.00195,-1.01804,0.256021,0.0887123,9.34799,0.091253,0.783156,1.00195,-1.01804,0.256021,-0.426406,9.0871,0.333758,0.44376,1.1172,2.02428,0.0199491,0.208568,9.73857,-0.609593,2.14506,0.527398,-2.77565,0.0199491,0.0891097,9.65057,-0.353418,2.34299,1.1977,-1.06092,0.0199491,-0.404707,9.35131,-0.0439589,0.675307,0.615919,-2.64394,0.0199491,-0.151731,9.80343,0.124412,1.25142,-0.847742,-2.18766,0.0199645,-0.309785,9.33939,-0.434257,1.53622,-0.345148,-2.3025,0.0199491,
0.1212,0.0962967,9.25308,0.0918497,0.880542,1.07763,-1.07096,0.256021,0.0962967,9.25308,0.0918497,0.880542,1.07763,-1.07096,0.256021,0.0962967,9.25308,0.0918497,0.880542,1.07763,-1.07096,0.256021,0.0962967,9.25308,0.0918497,0.880542,1.07763,-1.07096,0.256021,0.0962967,9.25308,0.0918497,0.880542,1.07763,-1.07096,0.256021,-0.373083,8.93937,0.36895,0.483323,1.17619,1.90895,0.0199491,0.143116,9.59665,-0.641078,2.34021,0.574944,-2.69365,0.0199491,0.0434758,9.51267,-0.374715,2.68512,1.22064,-0.848777,0.0199491,-0.389676,9.16501,-0.0301887,0.776087,0.653826,-2.69434,0.0199491,-0.207907,9.67077,0.100225,1.39918,-0.760433,-2.18373,0.0199645,-0.30817,9.13747,-0.413889,1.67211,-0.267797,-2.2773,0.0199491,
0.1313,0.101357,9.14829,0.0902211,1.01031,1.14948,-1.0922,0.256021,0.101357,9.14829,0.0902211,1.01031,1.14948,-1.0922,0.256021,0.101357,9.14829,0.0902211,1.01031,1.14948,-1.0922,0.256021,0.101357,9.14829,0.0902211,1.01031,1.14948,-1.0922,0.256021,0.101357,9.14829,0.0902211,1.01031,1.14948,-1.0922,0.256021,-0.309924,8.78608,0.402762,0.546441,1.23612,1.81577,0.0199491,0.0757164,9.44096,-0.664929,2.52901,0.573716,-2.61077,0.0199491,-0.000744351,9.36058,-0.390199,3.03138,1.20177,-0.639111,0.0199491,-0.363388,8.97371,-0.0122406,0.896858,0.687973,-2.72513,0.0199491,-0.26145,9.51663,0.0844681,1.5268,-0.691848,-2.15002,0.0199645,-0.297359,8.93377,-0.389643,1.81509,-0.211946,-2.22815,0.0199491,
0.1414,0.104095,9.03245,0.0865678,1.18386,1.21901,-1.06362,0.256021,0.104095,9.03245,0.0865678,1.18386,1.21901,-1.06362,0.256021,0.104095,9.03245,0.0865678,1.18386,1.21901,-1.06362,0.256021,0.104095,9.03245,0.0865678,1.18386,1.21901,-1.06362,0.256021,0.104095,9.03245,0.0865678,1.18386,1.21901,-1.06362,0.256021,-0.238703,8.63163,0.435491,0.6441,1.30059,1.76216,0.0199491,0.00769176,9.27041,-0.682222,2.70148,0.538679,-2.53132,0.0199491,-0.0431965,9.19491,-0.400176,-2.97149,1.1577,-0.493973,0.0199491,-0.327545,8.78303,0.00794611,1.05686,0.745298,-2.70769,0.0199491,-0.308566,9.34377,0.0776494,1.63302,-0.63883,-2.09245,0.0199645,-0.281925,8.73129,-0.361579,1.94971,-0.186088,-2.15671,0.0199491,
0.1515,0.104644,8.90539,0.0810994,1.42761,1.28219,-0.954162,0.256021,0.104644,8.90539,0.0810994,1.42761,1.28219,-0.954162,0.256021,0.104644,8.90539,0.0810994,1.42761,1.28219,-0.954162,0.256021,0.104644,8.90539,0.0810994,1.42761,1.28219,-0.954162,0.256021,0.104644,8.90539,0.0810994,1.42761,1.28219,-0.954162,0.256021,-0.162787,8.48007,0.466447,0.757677,1.37198,1.73565,0.0199491,-0.059313,9.083,-0.692817,2.86282,0.48923,-2.45759,0.0199491,-0.0834689,9.01601,-0.405184,-2.7534,1.09349,-0.40754,0.0199491,-0.28591,8.59287,0.0305651,1.2332,0.805273,-2.65906,0.0199491,-0.347565,9.15625,0.0786018,1.73395,-0.592588,-2.02538,0.0199645,-0.260218,8.52559,-0.330326,2.07466,-0.17295,-2.07296,0.0199491,
0.1616,0.102972,8.76718,0.0742042,1.7805,1.33008,-0.727272,0.256021,0.102972,8.76718,0.0742042,1.7805,1.33008,-0.727272,0.256021,0.102972,8.76718,0.0742042,1.7805,1.33008,-0.727272,0.256021,0.102972,8.76718,0.0742042,1.7805,1.33008,-0.727272,0.256021,0.102972,8.76718,0.0742042,1.7805,1.33008,-0.727272,0.256021,-0.0821982,8.32923,0.493434,1.14025,1.43957,1.98463,0.0199491,-0.124775,8.87953,-0.695899,3.00224,0.421621,-2.39576,0.0199491,-0.121733,8.82404,-0.404968,-2.58868,1.01907,-0.3709,0.0199491,-0.237723,8.40051,0.0534121,1.4399,0.851792,-2.5645,0.0199491,-0.378075,8.95646,0.0875119,1.81954,-0.557487,-1.94373,0.0199645,-0.233272,8.31735,-0.29772,2.18116,-0.183255,-1.97725,0.0199491,
0.1717,0.0993149,8.61734,0.0657532,2.24457,1.3425,-0.380835,0.256021,0.0993149,8.61734,0.0657532,2.24457,1.3425,-0.380835,0.256021,0.0993149,8.61734,0.0657532,2.24457,1.3425,-0.380835,0.256021,0.0993149,8.61734,0.0657532,2.24457,1.3425,-0.380835,0.256021,0.0993149,8.61734,0.0657532,2.24457,1.3425,-0.380835,0.256021,0.000568311,8.18164,0.51425,1.94364,1.48113,2.66489,0.0199491,-0.187817,8.6598,-0.691404,-3.12895,0.357351,-2.33845,0.0199491,-0.157916,8.61998,-0.399309,-2.46468,0.936493,-0.373353,0.0199491,-0.188217,8.20806,0.0779477,1.60377,0.86343,-2.49498,0.0199491,-0.399916,8.74625,0.104546,1.89384,-0.534428,-1.85058,0.0199645,-0.197531,8.10566,-0.261814,2.29538,-0.188085,-1.89201,0.0199491,
0.1818,0.0947447,8.45537,0.0563056,2.69165,1.31334,-0.0414999,0.256021,0.0947447,8.45537,0.0563056,2.69165,1.31334,-0.0414999,0.256021,0.0947447,8.45537,0.0563056,2.69165,1.31334,-0.0414999,0.256021,0.0947447,8.45537,0.0563056,2.69165,1.31334,-0.0414999,0.256021,0.0947447,8.45537,0.0563056,2.69165,1.31334,-0.0414999,0.256021,0.0810162,8.03436,0.5283,2.85774,1.44813,-2.81671,0.0199491,-0.247307,8.42529,-0.678636,-3.0089,0.269989,-2.29444,0.0199491,-0.190164,8.40382,-0.388551,-2.36587,0.85058,-0.396052,0.0199491,-0.141259,8.01672,0.101282,1.75764,0.856528,-2.41729,0.0199491,-0.410845,8.52874,0.127048,1.9556,-0.518751,-1.74603,0.0199645,-0.16361,7.89373,-0.223995,2.40144,-0.208797,-1.80074,0.0199491,
0.1919,0.0891692,8.28141,0.045988,3.02128,1.2515,0.19435,0.256021,0.0891692,8.28141,0.045988,3.02128,1.2515,0.19435,0.256021,0.0891692,8.28141,0.045988,3.02128,1.2515,0.19435,0.256021,0.0891692,8.28141,0.045988,3.02128,1.2515,0.19435,0.256021,0.0891692,8.28141,0.045988,3.02128,1.2515,0.19435,0.256021,0.155835,7.88635,0.535066,-2.99471,1.37481,-2.50501,0.0199491,-0.302857,8.17683,-0.657729,-2.90815,0.168624,-2.25376,0.0199491,-0.218518,8.17756,-0.372993,-2.28788,0.76149,-0.430217,0.0199491,-0.0919851,7.8233,0.122671,1.9694,0.873047,-2.27135,0.0199491,-0.414489,8.3072,0.153279,2.00478,-0.507119,-1.64121,0.0199645,-0.128598,7.67827,-0.182454,2.47733,-0.253854,-1.69725,0.0199491,
0.202,0.0826246,8.09563,0.0351603,-3.03676,1.16795,0.333977,0.256021,0.0826246,8.09563,0.0351603,-3.03676,1.16795,0.333977,0.256021,0.0826246,8.09563,0.0351603,-3.03676,1.16795,0.333977,0.256021,0.0826246,8.09563,0.0351603,-3.03676,1.16795,0.333977,0.256021,0.0826246,8.09563,0.0351603,-3.03676,1.16795,0.333977,0.256021,0.226705,7.73731,0.533661,-2.781,1.28543,-2.38378,0.0199491,-0.35291,7.91675,-0.627344,-2.82117,0.0638191,-2.2242,0.0199491,-0.243533,7.94106,-0.352105,-2.22268,0.668748,-0.474146,0.0199491,-0.044248,7.62576,0.142188,2.18043,0.865587,-2.11514,0.0199491,-0.410932,8.08073,0.18358,2.04732,-0.501204,-1.53238,0.0199645,-0.0917033,7.45789,-0.143203,2.53007,-0.296845,-1.58495,0.0199491,
0.2121,0.0755241,7.89802,0.0239405,-2.87632,1.0725,0.418576,0.256021,0.0755241,7.89802,0.0239405,-2.87632,1.0725,0.418576,0.256021,0.0755241,7.89802,0.0239405,-2.87632,1.0725,0.418576,0.256021,0.0755241,7.89802,0.0239405,-2.87632,1.0725,0.418576,0.256021,0.0755241,7.89802,0.0239405,-2.87632,1.0725,0.418576,0.256021,0.292584,7.58215,0.524322,-2.6789,1.17699,-2.36151,0.0199491,-0.397051,7.64549,-0.587505,-2.7374,-0.0398996,-2.20286,0.0199491,-0.265819,7.69468,-0.325416,-2.16435,0.57422,-0.523024,0.0199491,0.00027063,7.42519,0.157966,2.3448,0.834754,-1.98473,0.0199491,-0.400764,7.85021,0.216567,2.08971,-0.496751,-1.42308,0.0199645,-0.0547249,7.23518,-0.105193,2.58127,-0.347379,-1.47573,0.0199491,
0.2222,0.0682844,7.68881,0.0123722,-2.76,0.970411,0.470189,0.256021,0.0682844,7.68881,0.0123722,-2.76,0.970411,0.470189,0.256021,0.0682844,7.68881,0.0123722,-2.76,0.970411,0.470189,0.256021,0.0682844,7.68881,0.0123722,-2.76,0.970411,0.470189,0.256021,0.0682844,7.68881,0.0123722,-2.76,0.970411,0.470189,0.256021,0.351286,7.42009,0.507044,-2.60756,1.06483,-2.35836,0.0199491,-0.434423,7.36508,-0.538792,-2.67978,-0.158811,-2.18293,0.0199491,-0.282039,7.43977,-0.295103,-2.10958,0.475597,-0.574924,0.0199491,0.0390143,7.21893,0.171314,2.49122,0.787286,-1.85401,0.0199491,-0.385088,7.6154,0.250987,2.14519,-0.500754,-1.32488,0.0199645,-0.0213557,7.00725,-0.066271,2.6125,-0.403931,-1.35656,0.0199491,
0.2323,0.0608894,7.46732,0.000410182,-2.67333,0.864883,0.50093,0.256021,0.0608894,7.46732,0.000410182,-2.67333,0.864883,0.50093,0.256021,0.0608894,7.46732,0.000410182,-2.67333,0.864883,0.50093,0.256021,0.0608894,7.46732,0.000410182,-2.67333,0.864883,0.50093,0.256021,0.0608894,7.46732,0.000410182,-2.67333,0.864883,0.50093,0.256021,0.400998,7.24716,0.483545,-2.51139,0.973795,-2.34183,0.0199491,-0.467788,7.07815,-0.482339,-2.60908,-0.267943,-2.16642,0.0199491,-0.298368,7.1792,-0.259072,-2.07146,0.381873,-0.626585,0.0199491,0.0769334,7.00635,0.18331,2.65048,0.741502,-1.71187,0.0199491,-0.364326,7.38262,0.283197,2.14494,-0.496422,-1.2013,0.0199645,0.0148338,6.77596,-0.0259689,2.60887,-0.454392,-1.23036,0.0199491,
0.2424,0.0527416,7.23421,-0.0113341,-2.60167,0.75573,0.520309,0.256021,0.0527416,7.23421,-0.0113341,-2.60167,0.75573,0.520309,0.256021,0.0527416,7.23421,-0.0113341,-2.60167,0.75573,0.520309,0.256021,0.0527416,7.23421,-0.0113341,-2.60167,0.75573,0.520309,0.256021,0.0527416,7.23421,-0.0113341,-2.60167,0.75573,0.520309,0.256021,0.446118,7.06613,0.451489,-2.45774,0.864292,-2.34635,0.0199491,-0.492591,6.78479,-0.418357,-2.54739,-0.377233,-2.15856,0.0199491,-0.309806,6.91035,-0.218856,-2.03321,0.285101,-0.678661,0.0199491,0.11189,6.78665,0.194202,2.75503,0.684729,-1.60799,0.0199491,-0.340283,7.14568,0.314098,2.14026,-0.48895,-1.07632,0.0199645,0.0515042,6.53926,0.010793,2.60675,-0.497875,-1.10546,0.0199491,
