time,0_rod(payload_bars compound_pwV5YN).X,0_rod(payload_bars compound_pwV5YN).Y,0_rod(payload_bars compound_pwV5YN).Z,0_rod(payload_bars compound_pwV5YN).Euler1,0_rod(payload_bars compound_pwV5YN).Euler2,0_rod(payload_bars compound_pwV5YN).Euler3,0_rod(payload_bars compound_pwV5YN).mass,1_rod(payload_bars compound_pwV5YN).X,1_rod(payload_bars compound_pwV5YN).Y,1_rod(payload_bars compound_pwV5YN).Z,1_rod(payload_bars compound_pwV5YN).Euler1,1_rod(payload_bars compound_pwV5YN).Euler2,1_rod(payload_bars compound_pwV5YN).Euler3,1_rod(payload_bars compound_pwV5YN).mass,2_rod(payload_bars compound_pwV5YN).X,2_rod(payload_bars compound_pwV5YN).Y,2_rod(payload_bars compound_pwV5YN).Z,2_rod(payload_bars compound_pwV5YN).Euler1,2_rod(payload_bars compound_pwV5YN).Euler2,2_rod(payload_bars compound_pwV5YN).Euler3,2_rod(payload_bars compound_pwV5YN).mass,3_rod(payload_bars compound_pwV5YN).X,3_rod(payload_bars compound_pwV5YN).Y,3_rod(payload_bars compound_pwV5YN).Z,3_rod(payload_bars compound_pwV5YN).Euler1,3_rod(payload_bars compound_pwV5YN).Euler2,3_rod(payload_bars compound_pwV5YN).Euler3,3_rod(payload_bars compound_pwV5YN).mass,4_rod(payload_bars compound_pwV5YN).X,4_rod(payload_bars compound_pwV5YN).Y,4_rod(payload_bars compound_pwV5YN).Z,4_rod(payload_bars compound_pwV5YN).Euler1,4_rod(payload_bars compound_pwV5YN).Euler2,4_rod(payload_bars compound_pwV5YN).Euler3,4_rod(payload_bars compound_pwV5YN).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0.105792,9.32963,0.0796256,0.456857,1.27539,-1.09098,0.256021,0.105792,9.32963,0.0796256,0.456857,1.27539,-1.09098,0.256021,0.105792,9.32963,0.0796256,0.456857,1.27539,-1.09098,0.256021,0.105792,9.32963,0.0796256,0.456857,1.27539,-1.09098,0.256021,0.105792,9.32963,0.0796256,0.456857,1.27539,-1.09098,0.256021,-0.384848,9.25328,0.458012,-0.801763,1.30559,1.03555,0.0199491,0.0312334,9.67161,-0.648747,-2.50434,0.958846,-1.18095,0.0199491,0.0384763,9.58185,-0.417335,0.521367,1.31212,-2.74705,0.0199491,-0.389155,9.49977,0.0395535,0.255803,1.00556,-2.84285,0.0199491,-0.0651364,9.83697,0.0362362,1.0395,-0.448793,-2.0419,0.0199645,-0.444782,9.36239,-0.301484,1.30329,-0.183718,-2.03656,0.0199491,
0.1212,0.118317,9.23193,0.076746,0.244086,1.38899,-1.40795,0.256021,0.118317,9.23193,0.076746,0.244086,1.38899,-1.40795,0.256021,0.118317,9.23193,0.076746,0.244086,1.38899,-1.40795,0.256021,0.118317,9.23193,0.076746,0.244086,1.38899,-1.40795,0.256021,0.118317,9.23193,0.076746,0.244086,1.38899,-1.40795,0.256021,-0.340789,9.15463,0.499854,-1.16899,1.24566,0.556257,0.0199491,-0.0569653,9.48147,-0.667271,-2.45319,0.82504,-1.20809,0.0199491,-0.00925155,9.42018,-0.43633,0.281599,1.42288,-3.08534,0.0199491,-0.392776,9.34979,0.0618038,0.214133,1.12339,-3.00344,0.0199491,-0.107349,9.7127,-0.00442746,1.12992,-0.32319,-2.02966,0.0199645,-0.467798,9.17449,-0.250406,1.36288,-0.0657171,-1.96408,0.0199491,
0.1313,0.128331,9.12466,0.0710446,-0.495033,1.464,-2.24117,0.256021,0.128331,9.12466,0.0710446,-0.495033,1.464,-2.24117,0.256021,0.128331,9.12466,0.0710446,-0.495033,1.464,-2.24117,0.256021,0.128331,9.12466,0.0710446,-0.495033,1.464,-2.24117,0.256021,0.128331,9.12466,0.0710446,-0.495033,1.464,-2.24117,0.256021,-0.293417,9.05459,0.537722,-1.36596,1.17875,0.252263,0.0199491,-0.136709,9.27482,-0.669422,-2.41909,0.693298,-1.24023,0.0199491,-0.0545648,9.24502,-0.446253,-0.532641,1.47872,2.28918,0.0199491,-0.38927,9.18781,0.0853921,0.14159,1.21492,3.10549,0.0199491,-0.148073,9.57357,-0.0374246,1.205,-0.195554,-1.99878,0.0199645,-0.481372,8.9791,-0.193596,1.48491,0.0484433,-1.8708,0.0199491,
0.1414,0.135622,9.00644,0.0623679,-1.44822,1.41763,3.00156,0.256021,0.135622,9.00644,0.0623679,-1.44822,1.41763,3.00156,0.256021,0.135622,9.00644,0.0623679,-1.44822,1.41763,3.00156,0.256021,0.135622,9.00644,0.0623679,-1.44822,1.41763,3.00156,0.256021,0.135622,9.00644,0.0623679,-1.44822,1.41763,3.00156,0.256021,-0.244792,8.95383,0.569226,-1.49462,1.09415,0.0223278,0.0199491,-0.206009,9.05387,-0.655185,-2.39555,0.562449,-1.26601,0.0199491,-0.0955953,9.05659,-0.447173,-1.43233,1.43039,1.3059,0.0199491,-0.380467,9.0224,0.111959,-0.0304444,1.29057,2.83573,0.0199491,-0.187222,9.41805,-0.0646095,1.28788,-0.0727275,-1.96217,0.0199645,-0.482869,8.78404,-0.126423,1.58629,0.152712,-1.77442,0.0199491,
0.1515,0.140471,8.87672,0.0518258,-1.74765,1.30709,2.61889,0.256021,0.140471,8.87672,0.0518258,-1.74765,1.30709,2.61889,0.256021,0.140471,8.87672,0.0518258,-1.74765,1.30709,2.61889,0.256021,0.140471,8.87672,0.0518258,-1.74765,1.30709,2.61889,0.256021,0.140471,8.87672,0.0518258,-1.74765,1.30709,2.61889,0.256021,-0.196155,8.85055,0.592735,-1.57042,1.00606,-0.15192,0.0199491,-0.26444,8.82145,-0.626731,-2.39604,0.434486,-1.28857,0.0199491,-0.131391,8.85551,-0.439563,-1.70795,1.33435,0.94867,0.0199491,-0.36753,8.8538,0.138771,-0.336394,1.36466,2.44638,0.0199491,-0.222959,9.24891,-0.0863533,1.34258,0.0411783,-1.91362,0.0199645,-0.476675,8.59142,-0.055754,1.66808,0.248173,-1.66994,0.0199491,
0.1616,0.14318,8.73514,0.0395821,-1.83721,1.18851,2.4537,0.256021,0.14318,8.73514,0.0395821,-1.83721,1.18851,2.4537,0.256021,0.14318,8.73514,0.0395821,-1.83721,1.18851,2.4537,0.256021,0.14318,8.73514,0.0395821,-1.83721,1.18851,2.4537,0.256021,0.14318,8.73514,0.0395821,-1.83721,1.18851,2.4537,0.256021,-0.152927,8.74352,0.606646,-1.61218,0.906793,-0.283712,0.0199491,-0.310363,8.58253,-0.585948,-2.397,0.307103,-1.30349,0.0199491,-0.160532,8.64575,-0.425278,-1.78781,1.23741,0.792474,0.0199491,-0.352616,8.68279,0.167023,-0.753862,1.35751,1.94417,0.0199491,-0.258299,9.06594,-0.102689,1.44315,0.157261,-1.86369,0.0199645,-0.459149,8.39782,0.020495,1.78916,0.341384,-1.55623,0.0199491,
0.1717,0.143624,8.58158,0.0266227,-1.85785,1.07323,2.36169,0.256021,0.143624,8.58158,0.0266227,-1.85785,1.07323,2.36169,0.256021,0.143624,8.58158,0.0266227,-1.85785,1.07323,2.36169,0.256021,0.143624,8.58158,0.0266227,-1.85785,1.07323,2.36169,0.256021,0.143624,8.58158,0.0266227,-1.85785,1.07323,2.36169,0.256021,-0.115538,8.62928,0.610731,-1.62665,0.808309,-0.383468,0.0199491,-0.343435,8.33666,-0.533706,-2.3897,0.170521,-1.3042,0.0199491,-0.183136,8.42754,-0.405101,-1.82883,1.13164,0.677448,0.0199491,-0.334442,8.50658,0.194196,-1.21792,1.32032,1.40965,0.0199491,-0.287755,8.87204,-0.116816,1.52161,0.263398,-1.8023,0.0199645,-0.435259,8.20809,0.097274,1.91104,0.408517,-1.42949,0.0199491,
0.1818,0.142644,8.41609,0.0137956,-1.85018,0.964087,2.29965,0.256021,0.142644,8.41609,0.0137956,-1.85018,0.964087,2.29965,0.256021,0.142644,8.41609,0.0137956,-1.85018,0.964087,2.29965,0.256021,0.142644,8.41609,0.0137956,-1.85018,0.964087,2.29965,0.256021,0.142644,8.41609,0.0137956,-1.85018,0.964087,2.29965,0.256021,-0.084884,8.50426,0.607287,-1.62567,0.717904,-0.464797,0.0199491,-0.364433,8.09,-0.475569,-2.40859,0.0486313,-1.29191,0.0199491,-0.198391,8.20216,-0.38024,-1.83784,1.0258,0.596945,0.0199491,-0.31708,8.32541,0.218078,-1.4387,1.24992,1.11824,0.0199491,-0.315223,8.66551,-0.127332,1.60749,0.35941,-1.7387,0.0199645,-0.406958,8.01942,0.168981,2.03392,0.46629,-1.29871,0.0199491,
0.1919,0.140186,8.23842,0.000593173,-1.83246,0.864311,2.25178,0.256021,0.140186,8.23842,0.000593173,-1.83246,0.864311,2.25178,0.256021,0.140186,8.23842,0.000593173,-1.83246,0.864311,2.25178,0.256021,0.140186,8.23842,0.000593173,-1.83246,0.864311,2.25178,0.256021,0.140186,8.23842,0.000593173,-1.83246,0.864311,2.25178,0.256021,-0.0632979,8.37045,0.594144,-1.57588,0.585318,-0.519613,0.0199491,-0.367767,7.83786,-0.41291,-2.42064,-0.0422175,-1.24065,0.0199491,-0.207594,7.97064,-0.345596,-1.70098,0.978347,0.661778,0.0199491,-0.298544,8.13757,0.238766,-1.58292,1.16388,0.914078,0.0199491,-0.34132,8.45005,-0.128973,1.71171,0.441626,-1.66714,0.0199645,-0.376881,7.83453,0.23521,2.11224,0.536788,-1.19064,0.0199491,
0.202,0.136086,8.04957,-0.0124002,-1.80988,0.764161,2.21782,0.256021,0.136086,8.04957,-0.0124002,-1.80988,0.764161,2.21782,0.256021,0.136086,8.04957,-0.0124002,-1.80988,0.764161,2.21782,0.256021,0.136086,8.04957,-0.0124002,-1.80988,0.764161,2.21782,0.256021,0.136086,8.04957,-0.0124002,-1.80988,0.764161,2.21782,0.256021,-0.0452015,8.22289,0.579445,-1.58553,0.532212,-0.588377,0.0199491,-0.363752,7.58487,-0.343931,-2.52908,-0.0961036,-1.18355,0.0199491,-0.207379,7.72902,-0.310574,-1.65284,0.926162,0.629069,0.0199491,-0.279417,7.94157,0.25645,-1.53275,1.11227,0.89727,0.0199491,-0.363723,8.22902,-0.128249,1.85584,0.527041,-1.55766,0.0199645,-0.343293,7.64311,0.294253,2.23547,0.589593,-1.06089,0.0199491,
