time,0_rod(payload_bars compound_YPlf).X,0_rod(payload_bars compound_YPlf).Y,0_rod(payload_bars compound_YPlf).Z,0_rod(payload_bars compound_YPlf).Euler1,0_rod(payload_bars compound_YPlf).Euler2,0_rod(payload_bars compound_YPlf).Euler3,0_rod(payload_bars compound_YPlf).mass,1_rod(payload_bars compound_YPlf).X,1_rod(payload_bars compound_YPlf).Y,1_rod(payload_bars compound_YPlf).Z,1_rod(payload_bars compound_YPlf).Euler1,1_rod(payload_bars compound_YPlf).Euler2,1_rod(payload_bars compound_YPlf).Euler3,1_rod(payload_bars compound_YPlf).mass,2_rod(payload_bars compound_YPlf).X,2_rod(payload_bars compound_YPlf).Y,2_rod(payload_bars compound_YPlf).Z,2_rod(payload_bars compound_YPlf).Euler1,2_rod(payload_bars compound_YPlf).Euler2,2_rod(payload_bars compound_YPlf).Euler3,2_rod(payload_bars compound_YPlf).mass,3_rod(payload_bars compound_YPlf).X,3_rod(payload_bars compound_YPlf).Y,3_rod(payload_bars compound_YPlf).Z,3_rod(payload_bars compound_YPlf).Euler1,3_rod(payload_bars compound_YPlf).Euler2,3_rod(payload_bars compound_YPlf).Euler3,3_rod(payload_bars compound_YPlf).mass,4_rod(sense_bar compound_YPlf).X,4_rod(sense_bar compound_YPlf).Y,4_rod(sense_bar compound_YPlf).Z,4_rod(sense_bar compound_YPlf).Euler1,4_rod(sense_bar compound_YPlf).Euler2,4_rod(sense_bar compound_YPlf).Euler3,4_rod(sense_bar compound_YPlf).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.000208112,49.4011,0.00849846,-0.00043623,0.000994422,0.000543043,0.24652,-0.000208112,49.4011,0.00849846,-0.00043623,0.000994422,0.000543043,0.24652,-0.000208112,49.4011,0.00849846,-0.00043623,0.000994422,0.000543043,0.24652,-0.000208112,49.4011,0.00849846,-0.00043623,0.000994422,0.000543043,0.24652,-0.000208112,49.4011,0.00849846,-0.00043623,0.000994422,0.000543043,0.24652,-0.72939,49.3836,0.0152809,0.00644962,0.0142235,-2.35197,0.0593527,0.75413,49.3792,0.0110491,0.00522405,0.0128732,-2.35199,0.0593527,0.00846468,48.859,-0.513505,0.0171236,0.00531231,-0.788851,0.0593527,0.016591,49.9037,0.53981,0.0157355,0.0066906,-0.78895,0.0593527,0.0242636,48.8589,0.539521,-1.57373,-0.00364784,-0.0030156,0.0593527,0.000687501,49.9039,-0.513129,-1.57387,-0.00316628,-0.00287423,0.0593527,
0.1212,-0.000187796,49.2862,0.00853181,0.000746084,-0.000571925,-0.000163406,0.24652,-0.000187796,49.2862,0.00853181,0.000746084,-0.000571925,-0.000163406,0.24652,-0.000187796,49.2862,0.00853181,0.000746084,-0.000571925,-0.000163406,0.24652,-0.000187796,49.2862,0.00853181,0.000746084,-0.000571925,-0.000163406,0.24652,-0.000187796,49.2862,0.00853181,0.000746084,-0.000571925,-0.000163406,0.24652,-0.72952,49.2686,0.0154716,0.00550321,0.0131916,-2.35192,0.0593527,0.754188,49.2638,0.0108282,0.00513814,0.0129847,-2.35193,0.0593527,0.0083865,48.7439,-0.513603,0.0169976,0.00547233,-0.788884,0.0593527,0.0166695,49.7886,0.539967,0.0140898,0.00836076,-0.7889,0.0593527,0.0242627,48.7436,0.539479,-1.57382,-0.00339143,-0.00317244,0.0593527,0.000675317,49.7888,-0.513254,-1.57398,-0.00278371,-0.00301779,0.0593527,
0.1313,-0.000227427,49.1612,0.00851128,0.000837001,-0.000700549,-0.000481209,0.24652,-0.000227427,49.1612,0.00851128,0.000837001,-0.000700549,-0.000481209,0.24652,-0.000227427,49.1612,0.00851128,0.000837001,-0.000700549,-0.000481209,0.24652,-0.000227427,49.1612,0.00851128,0.000837001,-0.000700549,-0.000481209,0.24652,-0.000227427,49.1612,0.00851128,0.000837001,-0.000700549,-0.000481209,0.24652,-0.72916,49.1436,0.0154713,0.00463915,0.0125245,-2.35191,0.0593527,0.753969,49.1388,0.0108539,0.00595236,0.0136856,-2.35189,0.0593527,0.00836045,48.619,-0.51349,0.0143986,0.00805617,-0.7889,0.0593527,0.016687,49.6633,0.539776,0.015688,0.00677528,-0.788868,0.0593527,0.0242773,48.6188,0.539334,-1.57385,-0.0019953,-0.00316345,0.0593527,0.000692398,49.6636,-0.512971,-1.57397,-0.003084,-0.00304388,0.0593527,
0.1414,-0.000183092,49.0261,0.00855419,0.000133471,0.000288125,-7.13712e-05,0.24652,-0.000183092,49.0261,0.00855419,0.000133471,0.000288125,-7.13712e-05,0.24652,-0.000183092,49.0261,0.00855419,0.000133471,0.000288125,-7.13712e-05,0.24652,-0.000183092,49.0261,0.00855419,0.000133471,0.000288125,-7.13712e-05,0.24652,-0.000183092,49.0261,0.00855419,0.000133471,0.000288125,-7.13712e-05,0.24652,-0.729442,49.0085,0.0153233,0.00567029,0.0133648,-2.35193,0.0593527,0.754131,49.0039,0.0109209,0.00600047,0.0138021,-2.35193,0.0593527,0.00839609,48.4839,-0.51357,0.0143939,0.00803372,-0.788867,0.0593527,0.0166098,49.5285,0.539891,0.0173233,0.00512634,-0.78892,0.0593527,0.0242618,48.4836,0.539424,-1.57378,-0.00241818,-0.00307627,0.0593527,0.000685691,49.5286,-0.513195,-1.57392,-0.00304432,-0.00294382,0.0593527,
0.1515,-0.000196887,48.881,0.00847747,-0.000524595,0.000695904,0.000330798,0.24652,-0.000196887,48.881,0.00847747,-0.000524595,0.000695904,0.000330798,0.24652,-0.000196887,48.881,0.00847747,-0.000524595,0.000695904,0.000330798,0.24652,-0.000196887,48.881,0.00847747,-0.000524595,0.000695904,0.000330798,0.24652,-0.000196887,48.881,0.00847747,-0.000524595,0.000695904,0.000330798,0.24652,-0.729479,48.8633,0.0153373,0.00634089,0.0141049,-2.35196,0.0593527,0.754171,48.8589,0.0110538,0.00537843,0.013072,-2.35197,0.0593527,0.00845508,48.3387,-0.513554,0.0172042,0.00526466,-0.788886,0.0593527,0.0166017,49.3835,0.539879,0.0162718,0.00618911,-0.78889,0.0593527,0.0242672,48.3386,0.539555,-1.57371,-0.00370533,-0.00305448,0.0593527,0.000683662,49.3837,-0.513156,-1.57387,-0.00315986,-0.00290075,0.0593527,
0.1616,-0.000211099,48.726,0.00849004,-0.000187679,0.000388008,0.000131463,0.24652,-0.000211099,48.726,0.00849004,-0.000187679,0.000388008,0.000131463,0.24652,-0.000211099,48.726,0.00849004,-0.000187679,0.000388008,0.000131463,0.24652,-0.000211099,48.726,0.00849004,-0.000187679,0.000388008,0.000131463,0.24652,-0.000211099,48.726,0.00849004,-0.000187679,0.000388008,0.000131463,0.24652,-0.729279,48.7083,0.0153792,0.00559472,0.0132918,-2.35195,0.0593527,0.754026,48.7038,0.0109921,0.00510947,0.0128544,-2.35195,0.0593527,0.00844204,48.1838,-0.513451,0.0176304,0.00484168,-0.78888,0.0593527,0.0166132,49.2283,0.5398,0.0147086,0.00774266,-0.788901,0.0593527,0.0242703,48.1836,0.539394,-1.57375,-0.00374822,-0.0030693,0.0593527,0.000686003,49.2285,-0.513052,-1.57388,-0.00308783,-0.0029475,0.0593527,
0.1717,-0.00018241,48.5609,0.00852129,0.000352793,-4.48339e-05,-0.000236215,0.24652,-0.00018241,48.5609,0.00852129,0.000352793,-4.48339e-05,-0.000236215,0.24652,-0.00018241,48.5609,0.00852129,0.000352793,-4.48339e-05,-0.000236215,0.24652,-0.00018241,48.5609,0.00852129,0.000352793,-4.48339e-05,-0.000236215,0.24652,-0.00018241,48.5609,0.00852129,0.000352793,-4.48339e-05,-0.000236215,0.24652,-0.729493,48.5433,0.0153979,0.00480332,0.0125637,-2.35193,0.0593527,0.754159,48.5387,0.0109097,0.00575986,0.0135054,-2.35191,0.0593527,0.00839021,48.0187,-0.513614,0.0147928,0.00765119,-0.78888,0.0593527,0.0166384,49.0633,0.539925,0.0154797,0.00696956,-0.78891,0.0593527,0.0242643,48.0184,0.539492,-1.57379,-0.00226694,-0.00311515,0.0593527,0.000681044,49.0635,-0.513178,-1.57394,-0.00301976,-0.00296958,0.0593527,
0.1818,-0.000188621,48.3858,0.00851074,0.000301912,-6.93744e-05,-0.000163727,0.24652,-0.000188621,48.3858,0.00851074,0.000301912,-6.93744e-05,-0.000163727,0.24652,-0.000188621,48.3858,0.00851074,0.000301912,-6.93744e-05,-0.000163727,0.24652,-0.000188621,48.3858,0.00851074,0.000301912,-6.93744e-05,-0.000163727,0.24652,-0.000188621,48.3858,0.00851074,0.000301912,-6.93744e-05,-0.000163727,0.24652,-0.729425,48.3682,0.015408,0.00548363,0.0132546,-2.35193,0.0593527,0.754118,48.3636,0.0109181,0.006137,0.0138782,-2.35192,0.0593527,0.00838691,47.8436,-0.513567,0.0139005,0.00854005,-0.788899,0.0593527,0.0166316,48.8882,0.539889,0.0169795,0.00548262,-0.788891,0.0593527,0.0242676,47.8434,0.539461,-1.5738,-0.00199024,-0.00311392,0.0593527,0.00068631,48.8884,-0.513133,-1.57393,-0.00296024,-0.00297529,0.0593527,
0.1919,-0.000195125,48.2007,0.00850384,-4.03752e-05,0.000257827,0.000142334,0.24652,-0.000195125,48.2007,0.00850384,-4.03752e-05,0.000257827,0.000142334,0.24652,-0.000195125,48.2007,0.00850384,-4.03752e-05,0.000257827,0.000142334,0.24652,-0.000195125,48.2007,0.00850384,-4.03752e-05,0.000257827,0.000142334,0.24652,-0.000195125,48.2007,0.00850384,-4.03752e-05,0.000257827,0.000142334,0.24652,-0.729376,48.1831,0.0153804,0.00635437,0.0140737,-2.35194,0.0593527,0.754086,48.1785,0.0109657,0.00550263,0.0132599,-2.35195,0.0593527,0.00841884,47.6585,-0.513503,0.0167046,0.00575594,-0.788882,0.0593527,0.0166129,48.7031,0.539839,0.0163194,0.00613821,-0.788894,0.0593527,0.0242659,47.6583,0.539437,-1.57377,-0.00351012,-0.00308251,0.0593527,0.000685241,48.7033,-0.513114,-1.5739,-0.00304516,-0.00295377,0.0593527,
0.202,-0.000194734,48.0056,0.00849935,-0.000179686,0.000443453,0.000155561,0.24652,-0.000194734,48.0056,0.00849935,-0.000179686,0.000443453,0.000155561,0.24652,-0.000194734,48.0056,0.00849935,-0.000179686,0.000443453,0.000155561,0.24652,-0.000194734,48.0056,0.00849935,-0.000179686,0.000443453,0.000155561,0.24652,-0.000194734,48.0056,0.00849935,-0.000179686,0.000443453,0.000155561,0.24652,-0.729459,47.988,0.0153528,0.00571478,0.0134682,-2.35195,0.0593527,0.754139,47.9835,0.0109952,0.00504707,0.0127748,-2.35196,0.0593527,0.00844158,47.4634,-0.513553,0.017937,0.004532,-0.788867,0.0593527,0.0166214,48.5081,0.539874,0.014884,0.00756315,-0.78891,0.0593527,0.024266,47.4632,0.539505,-1.57374,-0.00396742,-0.00307522,0.0593527,0.000682274,48.5083,-0.513151,-1.57389,-0.00324062,-0.00292707,0.0593527,
