time,0_rod(payload_bars compound_9ZVkH9).X,0_rod(payload_bars compound_9ZVkH9).Y,0_rod(payload_bars compound_9ZVkH9).Z,0_rod(payload_bars compound_9ZVkH9).Euler1,0_rod(payload_bars compound_9ZVkH9).Euler2,0_rod(payload_bars compound_9ZVkH9).Euler3,0_rod(payload_bars compound_9ZVkH9).mass,1_rod(payload_bars compound_9ZVkH9).X,1_rod(payload_bars compound_9ZVkH9).Y,1_rod(payload_bars compound_9ZVkH9).Z,1_rod(payload_bars compound_9ZVkH9).Euler1,1_rod(payload_bars compound_9ZVkH9).Euler2,1_rod(payload_bars compound_9ZVkH9).Euler3,1_rod(payload_bars compound_9ZVkH9).mass,2_rod(payload_bars compound_9ZVkH9).X,2_rod(payload_bars compound_9ZVkH9).Y,2_rod(payload_bars compound_9ZVkH9).Z,2_rod(payload_bars compound_9ZVkH9).Euler1,2_rod(payload_bars compound_9ZVkH9).Euler2,2_rod(payload_bars compound_9ZVkH9).Euler3,2_rod(payload_bars compound_9ZVkH9).mass,3_rod(payload_bars compound_9ZVkH9).X,3_rod(payload_bars compound_9ZVkH9).Y,3_rod(payload_bars compound_9ZVkH9).Z,3_rod(payload_bars compound_9ZVkH9).Euler1,3_rod(payload_bars compound_9ZVkH9).Euler2,3_rod(payload_bars compound_9ZVkH9).Euler3,3_rod(payload_bars compound_9ZVkH9).mass,4_rod(sense_bar compound_9ZVkH9).X,4_rod(sense_bar compound_9ZVkH9).Y,4_rod(sense_bar compound_9ZVkH9).Z,4_rod(sense_bar compound_9ZVkH9).Euler1,4_rod(sense_bar compound_9ZVkH9).Euler2,4_rod(sense_bar compound_9ZVkH9).Euler3,4_rod(sense_bar compound_9ZVkH9).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.00028805,49.4011,0.00840914,-0.00129343,0.00157596,0.000481466,0.24652,-0.00028805,49.4011,0.00840914,-0.00129343,0.00157596,0.000481466,0.24652,-0.00028805,49.4011,0.00840914,-0.00129343,0.00157596,0.000481466,0.24652,-0.00028805,49.4011,0.00840914,-0.00129343,0.00157596,0.000481466,0.24652,-0.00028805,49.4011,0.00840914,-0.00129343,0.00157596,0.000481466,0.24652,-0.727972,49.3835,0.0152842,0.00635123,0.0140574,-2.35197,0.0592915,0.752907,49.3792,0.0111967,0.00543781,0.01301,-2.35198,0.0592915,0.00855591,48.8599,-0.512567,0.0171403,0.00531883,-0.788918,0.0592915,0.0165682,49.9028,0.538957,0.0163523,0.00609943,-0.788912,0.0592915,0.0242901,48.8598,0.53866,-1.57366,-0.0037797,-0.00295747,0.0592915,0.000730198,49.903,-0.512131,-1.57379,-0.00286667,-0.00283574,0.0592915,
0.1212,-0.000185867,49.2862,0.00855484,0.000547654,-4.53504e-07,0.00016392,0.24652,-0.000185867,49.2862,0.00855484,0.000547654,-4.53504e-07,0.00016392,0.24652,-0.000185867,49.2862,0.00855484,0.000547654,-4.53504e-07,0.00016392,0.24652,-0.000185867,49.2862,0.00855484,0.000547654,-4.53504e-07,0.00016392,0.24652,-0.000185867,49.2862,0.00855484,0.000547654,-4.53504e-07,0.00016392,0.24652,-0.728617,49.2686,0.0153634,0.00589836,0.0136279,-2.35195,0.0592915,0.753213,49.2639,0.0108881,0.00490549,0.0126932,-2.35196,0.0592915,0.00842283,48.7445,-0.512935,0.0172788,0.00516192,-0.788841,0.0592915,0.0166701,49.7879,0.539206,0.0139608,0.00845781,-0.78895,0.0592915,0.0242595,48.7444,0.538823,-1.57379,-0.00410825,-0.00312612,0.0592915,0.000705856,49.7881,-0.512553,-1.57398,-0.00205246,-0.00294514,0.0592915,
0.1313,-0.000233886,49.1612,0.00851218,0.00105943,-0.000959248,-0.000297702,0.24652,-0.000233886,49.1612,0.00851218,0.00105943,-0.000959248,-0.000297702,0.24652,-0.000233886,49.1612,0.00851218,0.00105943,-0.000959248,-0.000297702,0.24652,-0.000233886,49.1612,0.00851218,0.00105943,-0.000959248,-0.000297702,0.24652,-0.000233886,49.1612,0.00851218,0.00105943,-0.000959248,-0.000297702,0.24652,-0.728307,49.1436,0.0155127,0.00469945,0.0125256,-2.35192,0.0592915,0.753059,49.1388,0.0108135,0.00579176,0.0135681,-2.35191,0.0592915,0.00838583,48.6197,-0.512829,0.0144618,0.00799729,-0.78891,0.0592915,0.0167221,49.6627,0.539152,0.0152536,0.00721123,-0.788879,0.0592915,0.0242802,48.6194,0.538689,-1.57385,-0.00170316,-0.00321197,0.0592915,0.00071384,49.6629,-0.512369,-1.57401,-0.00374042,-0.00304382,0.0592915,
0.1414,-0.000229887,49.0261,0.00853357,0.00039948,-0.000137592,-0.000262621,0.24652,-0.000229887,49.0261,0.00853357,0.00039948,-0.000137592,-0.000262621,0.24652,-0.000229887,49.0261,0.00853357,0.00039948,-0.000137592,-0.000262621,0.24652,-0.000229887,49.0261,0.00853357,0.00039948,-0.000137592,-0.000262621,0.24652,-0.000229887,49.0261,0.00853357,0.00039948,-0.000137592,-0.000262621,0.24652,-0.728181,49.0085,0.0153793,0.0052359,0.0130464,-2.35192,0.0592915,0.752969,49.0038,0.0109161,0.00626309,0.0140266,-2.35191,0.0592915,0.00839879,48.4847,-0.512756,0.0140342,0.00840534,-0.788898,0.0592915,0.0166543,49.5276,0.539048,0.017399,0.00506409,-0.788877,0.0592915,0.0242775,48.4845,0.538587,-1.57381,-0.00134216,-0.00311131,0.0592915,0.000718746,49.5278,-0.512294,-1.57393,-0.0043522,-0.00298576,0.0592915,
0.1515,-0.000204135,48.881,0.00851813,-0.000462927,0.000832225,0.000104663,0.24652,-0.000204135,48.881,0.00851813,-0.000462927,0.000832225,0.000104663,0.24652,-0.000204135,48.881,0.00851813,-0.000462927,0.000832225,0.000104663,0.24652,-0.000204135,48.881,0.00851813,-0.000462927,0.000832225,0.000104663,0.24652,-0.000204135,48.881,0.00851813,-0.000462927,0.000832225,0.000104663,0.24652,-0.728541,48.8633,0.0152707,0.00638241,0.0141181,-2.35194,0.0592915,0.753206,48.8589,0.0110353,0.00548051,0.0132198,-2.35195,0.0592915,0.00847622,48.3394,-0.512899,0.0170741,0.00537711,-0.788859,0.0592915,0.0166113,49.3828,0.539219,0.0165435,0.00590401,-0.788913,0.0592915,0.0242675,48.3393,0.538829,-1.57371,-0.00372328,-0.00304667,0.0592915,0.000710161,49.383,-0.51251,-1.57389,-0.00270802,-0.00287349,0.0592915,
0.1616,-0.000235752,48.7259,0.00847552,-0.00054084,0.000750388,0.000239161,0.24652,-0.000235752,48.7259,0.00847552,-0.00054084,0.000750388,0.000239161,0.24652,-0.000235752,48.7259,0.00847552,-0.00054084,0.000750388,0.000239161,0.24652,-0.000235752,48.7259,0.00847552,-0.00054084,0.000750388,0.000239161,0.24652,-0.000235752,48.7259,0.00847552,-0.00054084,0.000750388,0.000239161,0.24652,-0.72833,48.7083,0.0153294,0.00587111,0.0135906,-2.35196,0.0592915,0.75307,48.7038,0.0110623,0.00495858,0.0126668,-2.35197,0.0592915,0.0085013,48.1845,-0.512768,0.0179497,0.00452422,-0.78888,0.0592915,0.016626,49.2276,0.539109,0.0146945,0.00775557,-0.788902,0.0592915,0.0242794,48.1843,0.538746,-1.5737,-0.0042879,-0.00305286,0.0592915,0.000716209,49.2278,-0.512356,-1.57387,-0.00215327,-0.00289207,0.0592915,
0.1717,-0.000218634,48.5609,0.00849684,6.4011e-05,0.000178659,-1.67495e-06,0.24652,-0.000218634,48.5609,0.00849684,6.4011e-05,0.000178659,-1.67495e-06,0.24652,-0.000218634,48.5609,0.00849684,6.4011e-05,0.000178659,-1.67495e-06,0.24652,-0.000218634,48.5609,0.00849684,6.4011e-05,0.000178659,-1.67495e-06,0.24652,-0.000218634,48.5609,0.00849684,6.4011e-05,0.000178659,-1.67495e-06,0.24652,-0.728308,48.5433,0.0153842,0.0048009,0.0125462,-2.35195,0.0592915,0.75304,48.5387,0.0109695,0.00561576,0.0133479,-2.35194,0.0592915,0.008436,48.0194,-0.512771,0.0150446,0.0074076,-0.788894,0.0592915,0.0166355,49.0625,0.539108,0.0153286,0.00712525,-0.788897,0.0592915,0.0242758,48.0193,0.538687,-1.57377,-0.00212306,-0.00309227,0.0592915,0.000712723,49.0627,-0.512343,-1.57391,-0.00369479,-0.00295295,0.0592915,
0.1818,-0.000200826,48.3858,0.00852263,0.000446277,-0.000121242,-0.000200823,0.24652,-0.000200826,48.3858,0.00852263,0.000446277,-0.000121242,-0.000200823,0.24652,-0.000200826,48.3858,0.00852263,0.000446277,-0.000121242,-0.000200823,0.24652,-0.000200826,48.3858,0.00852263,0.000446277,-0.000121242,-0.000200823,0.24652,-0.000200826,48.3858,0.00852263,0.000446277,-0.000121242,-0.000200823,0.24652,-0.728494,48.3682,0.0154084,0.00524898,0.0129913,-2.35192,0.0592915,0.753162,48.3636,0.0108962,0.00624724,0.0140039,-2.35191,0.0592915,0.008414,47.8443,-0.512896,0.0137135,0.00871895,-0.788888,0.0592915,0.0166519,48.8875,0.539222,0.017039,0.00541742,-0.7889,0.0592915,0.0242709,47.8441,0.538771,-1.5738,-0.00127297,-0.00313332,0.0592915,0.000711786,48.8877,-0.512475,-1.57396,-0.00434231,-0.00296278,0.0592915,
0.1919,-0.000211072,48.2007,0.00850682,0.000125904,0.000140261,-7.97866e-05,0.24652,-0.000211072,48.2007,0.00850682,0.000125904,0.000140261,-7.97866e-05,0.24652,-0.000211072,48.2007,0.00850682,0.000125904,0.000140261,-7.97866e-05,0.24652,-0.000211072,48.2007,0.00850682,0.000125904,0.000140261,-7.97866e-05,0.24652,-0.000211072,48.2007,0.00850682,0.000125904,0.000140261,-7.97866e-05,0.24652,-0.728382,48.1831,0.0153795,0.00628681,0.0140587,-2.35192,0.0592915,0.75308,48.1785,0.0109564,0.00570946,0.0134474,-2.35193,0.0592915,0.00843429,47.6592,-0.512825,0.0163852,0.00606933,-0.788879,0.0592915,0.016642,48.7024,0.539139,0.0164455,0.00600912,-0.788893,0.0592915,0.0242718,47.6591,0.538723,-1.57377,-0.00325647,-0.00310109,0.0592915,0.000713961,48.7026,-0.512381,-1.57393,-0.00284476,-0.00295045,0.0592915,
0.202,-0.000224124,48.0056,0.00848903,-0.00030532,0.00054021,0.000121782,0.24652,-0.000224124,48.0056,0.00848903,-0.00030532,0.00054021,0.000121782,0.24652,-0.000224124,48.0056,0.00848903,-0.00030532,0.00054021,0.000121782,0.24652,-0.000224124,48.0056,0.00848903,-0.00030532,0.00054021,0.000121782,0.24652,-0.000224124,48.0056,0.00848903,-0.00030532,0.00054021,0.000121782,0.24652,-0.728365,47.988,0.0153472,0.00597535,0.0136966,-2.35194,0.0592915,0.753084,47.9835,0.0110213,0.00496006,0.012694,-2.35196,0.0592915,0.00847837,47.4641,-0.512793,0.0180403,0.00443187,-0.788877,0.0592915,0.01663,48.5073,0.539133,0.0147812,0.00766748,-0.788902,0.0592915,0.0242745,47.464,0.53874,-1.57373,-0.0043483,-0.00306936,0.0592915,0.000712293,48.5075,-0.512382,-1.57389,-0.00205638,-0.00291396,0.0592915,
