tgDataLogger2 started logging at time 01242019_111124, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.0290937,9.41822,0.0796189,-1.0373,-0.158504,0.453193,0.0149047,0.0258832,9.54055,-0.0787862,-0.760183,-1.08177,-1.47705,0.0151319,
0.2,0.0289723,7.94622,0.0787603,-1.02101,-0.127349,0.449844,0.0149047,0.0260028,8.07052,-0.0779404,-0.845118,-1.07752,-1.4026,0.0151319,
0.3,0.0289221,5.49383,0.0784645,-1.01666,-0.113256,0.452189,0.0149047,0.0260523,5.61888,-0.0776491,-0.878393,-1.07167,-1.37209,0.0151319,
0.4,0.0288616,2.0604,0.0781233,-1.01627,-0.106132,0.455561,0.0149047,0.0261119,2.18629,-0.077313,-0.891916,-1.0668,-1.35868,0.0151319,
0.5,0.175918,1.6002,0.286839,-0.598872,1.00311,1.04921,0.0149047,0.126438,1.78331,0.352333,-1.03816,0.239361,-0.924946,0.0151319,
0.6,0.144707,1.6,0.382061,0.358263,1.10827,1.89412,0.0149047,0.0839034,1.78751,0.440533,-1.10026,0.403828,-0.956066,0.0151319,
0.7,0.145976,1.6,0.381731,0.339939,1.11251,1.87793,0.0149047,0.0840989,1.78721,0.440199,-1.0889,0.394481,-0.949162,0.0151319,
0.8,0.147163,1.6,0.381225,0.321103,1.11601,1.86116,0.0149047,0.0849798,1.78691,0.439965,-1.08695,0.390893,-0.947904,0.0151319,
0.9,0.14818,1.6,0.380729,0.301525,1.11945,1.84368,0.0149047,0.0858585,1.78663,0.439841,-1.0872,0.389884,-0.948131,0.0151319,
1,0.144653,1.60017,0.384832,0.287154,1.14113,1.83328,0.0149047,0.0828355,1.78651,0.444694,-1.10029,0.401264,-0.968632,0.0151319,
