tgDataLogger2 started logging at time 01232019_205944, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,0.99492,4.22995,1.09797,-0.0696862,0.000965201,0.240517,1.99491,
0.2,0.985388,5.50431,1.20315,-0.136648,0.0181219,0.482553,1.99491,
0.3,0.975856,5.79767,1.30833,-0.196835,0.0502709,0.723428,1.99491,
0.4,0.966324,5.11003,1.41351,-0.247129,0.0951159,0.962963,1.99491,
0.5,0.956793,3.44139,1.51869,-0.285089,0.149747,1.20177,1.99491,
0.6,1.00284,2.51648,1.83627,-0.312205,0.268676,1.52446,1.99491,
0.7,1.02086,2.52913,2.02782,-0.297019,0.326093,1.54409,1.99491,
0.8,0.950896,2.50131,1.93997,-0.275956,0.352113,1.47051,1.99491,
0.9,0.919202,2.5,1.93445,-0.245146,0.361614,1.48252,1.99491,
1,0.892866,2.5,1.94471,-0.215016,0.363956,1.49321,1.99491,
1.1,0.866506,2.5,1.95499,-0.184806,0.365997,1.50399,1.99491,
1.2,0.840118,2.5,1.96528,-0.154521,0.367734,1.51486,1.99491,
1.3,0.813702,2.5,1.97558,-0.124167,0.369165,1.52579,1.99491,
1.4,0.787258,2.5,1.98589,-0.0937508,0.370286,1.53678,1.99491,
1.5,0.760785,2.5,1.99621,-0.063278,0.371095,1.54782,1.99491,
1.6,0.734285,2.5,2.00654,-0.0327586,0.371591,1.5589,1.99491,
1.7,0.707759,2.5,2.01689,-0.00220166,0.371772,1.57,1.99491,
