time,0_rod(payload_bars compound_37m).X,0_rod(payload_bars compound_37m).Y,0_rod(payload_bars compound_37m).Z,0_rod(payload_bars compound_37m).Euler1,0_rod(payload_bars compound_37m).Euler2,0_rod(payload_bars compound_37m).Euler3,0_rod(payload_bars compound_37m).mass,1_rod(payload_bars compound_37m).X,1_rod(payload_bars compound_37m).Y,1_rod(payload_bars compound_37m).Z,1_rod(payload_bars compound_37m).Euler1,1_rod(payload_bars compound_37m).Euler2,1_rod(payload_bars compound_37m).Euler3,1_rod(payload_bars compound_37m).mass,2_rod(payload_bars compound_37m).X,2_rod(payload_bars compound_37m).Y,2_rod(payload_bars compound_37m).Z,2_rod(payload_bars compound_37m).Euler1,2_rod(payload_bars compound_37m).Euler2,2_rod(payload_bars compound_37m).Euler3,2_rod(payload_bars compound_37m).mass,3_rod(payload_bars compound_37m).X,3_rod(payload_bars compound_37m).Y,3_rod(payload_bars compound_37m).Z,3_rod(payload_bars compound_37m).Euler1,3_rod(payload_bars compound_37m).Euler2,3_rod(payload_bars compound_37m).Euler3,3_rod(payload_bars compound_37m).mass,4_rod(sense_bar compound_37m).X,4_rod(sense_bar compound_37m).Y,4_rod(sense_bar compound_37m).Z,4_rod(sense_bar compound_37m).Euler1,4_rod(sense_bar compound_37m).Euler2,4_rod(sense_bar compound_37m).Euler3,4_rod(sense_bar compound_37m).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.000205345,49.4011,0.0084811,-0.000519841,0.000872108,0.000280996,0.24652,-0.000205345,49.4011,0.0084811,-0.000519841,0.000872108,0.000280996,0.24652,-0.000205345,49.4011,0.0084811,-0.000519841,0.000872108,0.000280996,0.24652,-0.000205345,49.4011,0.0084811,-0.000519841,0.000872108,0.000280996,0.24652,-0.000205345,49.4011,0.0084811,-0.000519841,0.000872108,0.000280996,0.24652,-0.729407,49.3835,0.015313,0.00624293,0.0140199,-2.35195,0.0593527,0.754135,49.3791,0.0110645,0.00529307,0.0129485,-2.35197,0.0593527,0.00846315,48.8589,-0.513541,0.017162,0.00529321,-0.788863,0.0593527,0.0165934,49.9036,0.53985,0.0157361,0.00670816,-0.788917,0.0593527,0.0242703,48.8589,0.539529,-1.57372,-0.00346919,-0.00302923,0.0593527,0.000680291,49.9039,-0.513117,-1.57387,-0.00292197,-0.00288415,0.0593527,
0.1212,-0.000189028,49.2862,0.00854148,0.000814694,-0.000555165,-0.000191205,0.24652,-0.000189028,49.2862,0.00854148,0.000814694,-0.000555165,-0.000191205,0.24652,-0.000189028,49.2862,0.00854148,0.000814694,-0.000555165,-0.000191205,0.24652,-0.000189028,49.2862,0.00854148,0.000814694,-0.000555165,-0.000191205,0.24652,-0.000189028,49.2862,0.00854148,0.000814694,-0.000555165,-0.000191205,0.24652,-0.729512,49.2686,0.015458,0.00574229,0.0134348,-2.35192,0.0593527,0.754183,49.2638,0.010817,0.00490515,0.0127506,-2.35193,0.0593527,0.00838587,48.7439,-0.513611,0.0169676,0.00549576,-0.788869,0.0593527,0.0166723,49.7886,0.539961,0.0140684,0.00837612,-0.788915,0.0593527,0.0242658,48.7436,0.539473,-1.57383,-0.00327217,-0.00316836,0.0593527,0.000672178,49.7888,-0.51325,-1.57399,-0.00267481,-0.00301257,0.0593527,
0.1313,-0.000227357,49.1612,0.00850885,0.000844778,-0.000698863,-0.000282322,0.24652,-0.000227357,49.1612,0.00850885,0.000844778,-0.000698863,-0.000282322,0.24652,-0.000227357,49.1612,0.00850885,0.000844778,-0.000698863,-0.000282322,0.24652,-0.000227357,49.1612,0.00850885,0.000844778,-0.000698863,-0.000282322,0.24652,-0.000227357,49.1612,0.00850885,0.000844778,-0.000698863,-0.000282322,0.24652,-0.72915,49.1436,0.0154715,0.0048075,0.0126937,-2.35192,0.0593527,0.753964,49.1388,0.0108572,0.00589074,0.0136251,-2.35191,0.0593527,0.00835831,48.619,-0.513469,0.0143692,0.00808535,-0.788906,0.0593527,0.0166858,49.6633,0.539756,0.0156802,0.00678295,-0.788872,0.0593527,0.0242809,48.6188,0.539336,-1.57385,-0.00220773,-0.00315942,0.0593527,0.000687621,49.6636,-0.512968,-1.57397,-0.00335283,-0.00304241,0.0593527,
0.1414,-0.000178868,49.0261,0.00853422,4.88557e-05,0.000256595,4.22158e-05,0.24652,-0.000178868,49.0261,0.00853422,4.88557e-05,0.000256595,4.22158e-05,0.24652,-0.000178868,49.0261,0.00853422,4.88557e-05,0.000256595,4.22158e-05,0.24652,-0.000178868,49.0261,0.00853422,4.88557e-05,0.000256595,4.22158e-05,0.24652,-0.000178868,49.0261,0.00853422,4.88557e-05,0.000256595,4.22158e-05,0.24652,-0.729479,49.0084,0.0153468,0.00544552,0.0131388,-2.35194,0.0593527,0.75415,49.0039,0.0109364,0.00623491,0.0140277,-2.35193,0.0593527,0.00840016,48.4838,-0.513564,0.0144224,0.00801624,-0.788884,0.0593527,0.016608,49.5285,0.5399,0.0173336,0.00512634,-0.788902,0.0593527,0.0242668,48.4836,0.539459,-1.57377,-0.0026472,-0.00308244,0.0593527,0.000679289,49.5287,-0.5132,-1.57391,-0.00329441,-0.00294309,0.0593527,
0.1515,-0.00019948,48.881,0.00848229,-0.000531585,0.00074661,0.000212399,0.24652,-0.00019948,48.881,0.00848229,-0.000531585,0.00074661,0.000212399,0.24652,-0.00019948,48.881,0.00848229,-0.000531585,0.00074661,0.000212399,0.24652,-0.00019948,48.881,0.00848229,-0.000531585,0.00074661,0.000212399,0.24652,-0.00019948,48.881,0.00848229,-0.000531585,0.00074661,0.000212399,0.24652,-0.729453,48.8633,0.0153245,0.00620773,0.0139629,-2.35195,0.0593527,0.754155,48.8589,0.0110509,0.00545965,0.0131541,-2.35196,0.0593527,0.008458,48.3387,-0.513555,0.017238,0.00522837,-0.788876,0.0593527,0.0165989,49.3834,0.539877,0.0162924,0.00616641,-0.788898,0.0593527,0.024271,48.3386,0.539536,-1.57371,-0.00358294,-0.00304657,0.0593527,0.000680353,49.3837,-0.51314,-1.57387,-0.0029909,-0.0028953,0.0593527,
0.1616,-0.000210676,48.726,0.00848534,-0.00020403,0.000392425,6.25512e-06,0.24652,-0.000210676,48.726,0.00848534,-0.00020403,0.000392425,6.25512e-06,0.24652,-0.000210676,48.726,0.00848534,-0.00020403,0.000392425,6.25512e-06,0.24652,-0.000210676,48.726,0.00848534,-0.00020403,0.000392425,6.25512e-06,0.24652,-0.000210676,48.726,0.00848534,-0.00020403,0.000392425,6.25512e-06,0.24652,-0.729279,48.7083,0.0153823,0.00578387,0.0134806,-2.35193,0.0593527,0.754026,48.7038,0.010999,0.00492163,0.0126658,-2.35195,0.0593527,0.00844214,48.1838,-0.513463,0.0176311,0.0048431,-0.788882,0.0593527,0.0166123,49.2283,0.539814,0.0147076,0.00774569,-0.788896,0.0593527,0.0242742,48.1836,0.539394,-1.57376,-0.00349317,-0.00306721,0.0593527,0.000681243,49.2285,-0.513044,-1.57388,-0.00283351,-0.0029451,0.0593527,
0.1717,-0.000180572,48.5609,0.00851322,0.000336222,-7.58441e-05,-0.000178636,0.24652,-0.000180572,48.5609,0.00851322,0.000336222,-7.58441e-05,-0.000178636,0.24652,-0.000180572,48.5609,0.00851322,0.000336222,-7.58441e-05,-0.000178636,0.24652,-0.000180572,48.5609,0.00851322,0.000336222,-7.58441e-05,-0.000178636,0.24652,-0.000180572,48.5609,0.00851322,0.000336222,-7.58441e-05,-0.000178636,0.24652,-0.729508,48.5433,0.0154096,0.00497666,0.0127319,-2.35193,0.0593527,0.754167,48.5387,0.0109132,0.00565059,0.0133967,-2.35192,0.0593527,0.00839065,48.0186,-0.513612,0.0147601,0.00768845,-0.788886,0.0593527,0.016638,49.0633,0.539929,0.0154623,0.00699144,-0.788904,0.0593527,0.0242684,48.0184,0.539507,-1.57379,-0.00236268,-0.00311797,0.0593527,0.000675521,49.0635,-0.513181,-1.57394,-0.00317126,-0.00296967,0.0593527,
0.1818,-0.000189721,48.3858,0.00851212,0.000310517,-6.74625e-05,-5.64346e-05,0.24652,-0.000189721,48.3858,0.00851212,0.000310517,-6.74625e-05,-5.64346e-05,0.24652,-0.000189721,48.3858,0.00851212,0.000310517,-6.74625e-05,-5.64346e-05,0.24652,-0.000189721,48.3858,0.00851212,0.000310517,-6.74625e-05,-5.64346e-05,0.24652,-0.000189721,48.3858,0.00851212,0.000310517,-6.74625e-05,-5.64346e-05,0.24652,-0.72941,48.3682,0.0154026,0.00532439,0.0130997,-2.35194,0.0593527,0.754109,48.3636,0.0109168,0.00631438,0.0140554,-2.35192,0.0593527,0.00838604,47.8436,-0.51355,0.013894,0.00854645,-0.788896,0.0593527,0.0166318,48.8882,0.539869,0.0169837,0.00547855,-0.788893,0.0593527,0.0242716,47.8434,0.539457,-1.5738,-0.00231303,-0.00311074,0.0593527,0.000682113,48.8884,-0.513125,-1.57393,-0.00330143,-0.00297344,0.0593527,
0.1919,-0.000194336,48.2007,0.0085004,-4.40478e-05,0.000242579,0.000116062,0.24652,-0.000194336,48.2007,0.0085004,-4.40478e-05,0.000242579,0.000116062,0.24652,-0.000194336,48.2007,0.0085004,-4.40478e-05,0.000242579,0.000116062,0.24652,-0.000194336,48.2007,0.0085004,-4.40478e-05,0.000242579,0.000116062,0.24652,-0.000194336,48.2007,0.0085004,-4.40478e-05,0.000242579,0.000116062,0.24652,-0.72938,48.1831,0.0153834,0.00616248,0.0138837,-2.35194,0.0593527,0.754087,48.1785,0.0109672,0.00565265,0.0134096,-2.35195,0.0593527,0.00841864,47.6585,-0.513506,0.0167439,0.00571967,-0.788884,0.0593527,0.0166132,48.7031,0.539845,0.0163371,0.00612336,-0.78889,0.0593527,0.02427,47.6583,0.539441,-1.57377,-0.00350781,-0.00308296,0.0593527,0.000680278,48.7033,-0.513112,-1.5739,-0.0030055,-0.00295288,0.0593527,
0.202,-0.000193722,48.0056,0.00849628,-0.00018607,0.000426041,5.90536e-05,0.24652,-0.000193722,48.0056,0.00849628,-0.00018607,0.000426041,5.90536e-05,0.24652,-0.000193722,48.0056,0.00849628,-0.00018607,0.000426041,5.90536e-05,0.24652,-0.000193722,48.0056,0.00849628,-0.00018607,0.000426041,5.90536e-05,0.24652,-0.000193722,48.0056,0.00849628,-0.00018607,0.000426041,5.90536e-05,0.24652,-0.729464,47.988,0.0153562,0.00586848,0.0136217,-2.35194,0.0593527,0.754141,47.9835,0.0109972,0.00489469,0.0126238,-2.35195,0.0593527,0.00844088,47.4634,-0.513564,0.017943,0.00452908,-0.78887,0.0593527,0.0166217,48.508,0.539886,0.0148816,0.00756854,-0.788907,0.0593527,0.02427,47.4632,0.539507,-1.57374,-0.00366776,-0.00307564,0.0593527,0.000677211,48.5083,-0.513146,-1.5739,-0.00293322,-0.00292633,0.0593527,
