tgDataLogger2 started logging at time 01262019_220712, with 6 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.1,-4.38933,8.95473,-0.512704,0.000420907,0.00783806,-2.35109,0.199491,3.3666,8.9376,-0.55772,-0.00431962,-0.00346366,-2.35773,0.199491,0.465834,8.17561,-0.75797,-0.00301639,0.000270596,-0.782007,0.199491,0.842861,10.5569,2.00292,0.000212133,-0.00443086,-0.793128,0.199491,0.74815,8.56967,1.92625,-1.5732,-0.00635081,-0.00645643,0.199645,-0.295274,11.218,-1.05543,-1.57035,0.000757635,-0.00231885,0.199491,
0.2,-4.33319,7.47635,-0.511566,-0.00900496,0.00785185,-2.34476,0.199491,3.3364,7.48259,-0.56991,-0.0104604,-0.00894125,-2.35957,0.199491,0.46149,6.71539,-0.743548,-0.00403592,-0.00238953,-0.777385,0.199491,0.838132,9.08735,1.97896,-0.0038399,-0.00582662,-0.803485,0.199491,0.713002,7.09376,1.92248,-1.56894,-0.0202159,-0.00753603,0.199645,-0.276961,9.73101,-1.03107,-1.57002,0.0136898,-0.00503771,0.199491,
0.3,-4.20521,5.15718,-0.601723,-0.072842,-0.152028,-2.36368,0.199491,3.12469,5.149,-0.607346,-0.00676424,0.103835,-2.37029,0.199491,0.513104,4.85659,-0.658688,-0.0811273,0.0767385,-0.857383,0.199491,0.861746,6.83919,1.96895,-0.014199,0.0124345,-0.812911,0.199491,0.705433,4.74158,1.81216,-1.57891,-0.0557723,-0.0257257,0.199645,-0.299611,7.33166,-1.23477,-1.57193,-0.0163537,0.00025849,0.199491,
0.4,-4.32921,5.53882,-0.770206,0.0700229,0.0438109,-2.46175,0.199491,3.12923,5.49599,-0.468674,0.0552733,0.0159715,-2.46442,0.199491,0.433225,4.81963,-0.643445,-0.165607,0.0868922,-0.894145,0.199491,0.723749,7.16344,1.58621,-0.0208412,-0.027113,-0.878035,0.199491,0.544221,5.46529,1.87005,-1.57071,-0.272616,0.0259473,0.199645,-0.330568,7.67279,-1.3089,-1.57866,-0.0598455,0.0507651,0.199491,
0.5,-4.37596,5.5722,-0.896605,-0.0696237,-0.10434,-2.49963,0.199491,3.44237,5.71001,-0.663335,0.00667869,-0.0557631,-2.54628,0.199491,0.323463,4.7058,-0.899287,0.113359,-0.135752,-0.955198,0.199491,0.55011,7.97173,1.58866,-0.0500123,-0.0341387,-1.0172,0.199491,0.426663,5.60962,1.89383,-1.56959,-0.125039,0.0553477,0.199645,-0.295185,7.8279,-1.69523,-1.55627,-0.25965,0.0189236,0.199491,
0.6,-3.95733,5.31875,-1.04611,-0.128499,-0.141957,-2.41192,0.199491,3.13495,5.5396,-0.70388,-0.000618844,-0.0698758,-2.49236,0.199491,0.437888,4.76518,-0.792463,-0.0610172,-0.0361258,-0.874497,0.199491,0.629646,7.28507,1.38735,0.0389303,-0.124271,-0.984276,0.199491,0.352546,5.33765,1.65562,-1.55056,-0.160547,0.05805,0.199645,-0.143329,7.508,-1.41063,-1.56606,-0.194504,0.0448552,0.199491,
0.7,-4.17074,5.35256,-1.18498,0.0473,-0.0960087,-2.43141,0.199491,3.01836,5.29264,-0.457001,-0.0149937,-0.0684252,-2.41197,0.199491,0.518021,4.83466,-0.708733,-0.200224,0.0730548,-0.85701,0.199491,0.580029,6.90638,1.61678,-0.0552779,-0.0721131,-0.845255,0.199491,0.361086,5.11819,1.69144,-1.57532,0.00213588,0.0790047,0.199645,-0.251073,7.43719,-1.39359,-1.58972,-0.064673,0.115614,0.199491,
0.8,-4.3086,5.34972,-1.25109,0.00763847,-0.159262,-2.43186,0.199491,3.07409,5.32157,-0.364271,-0.0337249,-0.12731,-2.41734,0.199491,0.467155,4.7912,-0.745832,0.0517827,-0.154489,-0.878273,0.199491,0.448591,7.02751,1.71126,0.0180545,-0.147582,-0.859777,0.199491,0.285266,5.13416,1.76837,-1.58236,-0.0701212,0.106044,0.199645,-0.305175,7.5034,-1.43754,-1.58096,-0.0576815,0.130484,0.199491,
0.9,-4.18927,5.37695,-1.27467,0.0045277,-0.139654,-2.43983,0.199491,3.02295,5.37227,-0.421394,-0.00374594,-0.112121,-2.4373,0.199491,0.4918,4.79602,-0.725137,-0.0709612,-0.05723,-0.863934,0.199491,0.576742,6.94872,1.49639,0.0787483,-0.186149,-0.874104,0.199491,0.367951,5.28681,1.65886,-1.56608,-0.108367,0.092632,0.199645,-0.259879,7.49104,-1.42653,-1.59136,-0.122514,0.132698,0.199491,
1,-4.19449,5.37602,-1.27713,0.0150453,-0.128659,-2.44094,0.199491,3.02342,5.37171,-0.421077,0.00318397,-0.103386,-2.43784,0.199491,0.490301,4.79618,-0.72695,-0.0524688,-0.0730636,-0.865086,0.199491,0.571707,6.95518,1.50394,-0.00439176,-0.116992,-0.862075,0.199491,0.363752,5.28248,1.66075,-1.56358,-0.0759838,0.0930148,0.199645,-0.261827,7.49133,-1.42917,-1.59127,-0.122516,0.132875,0.199491,
