time,0_rod(payload_bars compound_2kFFvD).X,0_rod(payload_bars compound_2kFFvD).Y,0_rod(payload_bars compound_2kFFvD).Z,0_rod(payload_bars compound_2kFFvD).Euler1,0_rod(payload_bars compound_2kFFvD).Euler2,0_rod(payload_bars compound_2kFFvD).Euler3,0_rod(payload_bars compound_2kFFvD).mass,1_rod(payload_bars compound_2kFFvD).X,1_rod(payload_bars compound_2kFFvD).Y,1_rod(payload_bars compound_2kFFvD).Z,1_rod(payload_bars compound_2kFFvD).Euler1,1_rod(payload_bars compound_2kFFvD).Euler2,1_rod(payload_bars compound_2kFFvD).Euler3,1_rod(payload_bars compound_2kFFvD).mass,2_rod(payload_bars compound_2kFFvD).X,2_rod(payload_bars compound_2kFFvD).Y,2_rod(payload_bars compound_2kFFvD).Z,2_rod(payload_bars compound_2kFFvD).Euler1,2_rod(payload_bars compound_2kFFvD).Euler2,2_rod(payload_bars compound_2kFFvD).Euler3,2_rod(payload_bars compound_2kFFvD).mass,3_rod(payload_bars compound_2kFFvD).X,3_rod(payload_bars compound_2kFFvD).Y,3_rod(payload_bars compound_2kFFvD).Z,3_rod(payload_bars compound_2kFFvD).Euler1,3_rod(payload_bars compound_2kFFvD).Euler2,3_rod(payload_bars compound_2kFFvD).Euler3,3_rod(payload_bars compound_2kFFvD).mass,4_rod(payload_bars compound_2kFFvD).X,4_rod(payload_bars compound_2kFFvD).Y,4_rod(payload_bars compound_2kFFvD).Z,4_rod(payload_bars compound_2kFFvD).Euler1,4_rod(payload_bars compound_2kFFvD).Euler2,4_rod(payload_bars compound_2kFFvD).Euler3,4_rod(payload_bars compound_2kFFvD).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.92593,14.6842,2.49385,0.175533,-0.20181,-1.77211,0.199491,3.08629,16.4853,2.19774,-0.03993,0.295801,-1.83622,0.199491,1.66793,15.281,2.98505,0.269713,0.313751,-0.0765809,0.199491,2.14097,15.8121,4.80278,0.298976,0.00145356,-0.221394,0.199491,2.00589,14.2644,3.57226,-1.31523,0.54541,-0.169691,0.199645,0.365567,17.2216,2.66683,-1.31881,0.614446,-0.0796055,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.83882,15.5898,2.69499,0.304452,-0.153973,-1.76303,0.199491,3.13826,17.431,2.59348,0.384044,0.373438,-1.71539,0.199491,1.81435,16.3012,3.36849,0.261263,0.516036,-0.11748,0.199491,2.29727,16.8539,4.94799,0.330189,-0.0345902,-0.172727,0.199491,2.08993,15.4247,3.80867,-1.26794,0.630132,-0.160301,0.199645,0.443784,18.1989,2.98152,-1.30107,0.570925,-0.071133,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.00953,16.5335,2.87392,0.32204,-0.116096,-1.74168,0.199491,3.406,18.5572,2.81777,0.132597,0.301881,-1.81013,0.199491,1.89784,17.305,3.62166,0.359315,0.273202,-0.0921621,0.199491,2.40725,17.8573,5.36563,0.31111,0.237555,-0.213173,0.199491,2.43649,16.3678,4.13351,-1.24901,0.59624,-0.140094,0.199645,0.4106,19.1698,3.25918,-1.30032,0.713301,-0.075789,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.92728,17.422,3.13668,0.295238,-0.143627,-1.73263,0.199491,3.54466,19.7378,3.00871,0.473659,0.373012,-1.68533,0.199491,2.00931,18.3218,3.77613,0.403886,0.151585,-0.061004,0.199491,2.47212,18.8974,5.95181,0.408683,-0.10085,-0.240698,0.199491,2.58153,17.1807,4.39487,-1.23897,0.586005,-0.146864,0.199645,0.472311,20.1619,3.48006,-1.28389,0.841245,-0.093501,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.61991,18.2641,3.52346,0.386779,-0.184437,-1.76225,0.199491,3.58873,20.7535,3.24312,0.162064,0.321341,-1.77902,0.199491,2.10178,19.4334,4.02581,0.401524,0.285546,-0.0655501,0.199491,2.49105,19.8304,6.23279,0.352541,0.202031,-0.221557,0.199491,2.6374,18.0987,4.67338,-1.23021,0.567731,-0.157637,0.199645,0.557695,21.2124,3.72628,-1.20916,0.684728,-0.0802992,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.23091,19.1637,3.91364,0.488004,-0.208381,-1.80329,0.199491,3.57805,21.7299,3.55172,0.440512,0.352185,-1.68567,0.199491,2.1705,20.3853,4.31321,0.396899,0.350512,-0.0591377,0.199491,2.54613,20.7931,6.3564,0.408841,0.0336241,-0.189571,0.199491,2.65958,19.1917,4.94211,-1.21092,0.602411,-0.16402,0.199645,0.637498,22.1396,4.02436,-1.16482,0.61952,-0.0660133,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.06311,20.1196,4.20267,0.449173,-0.217421,-1.79717,0.199491,3.55721,22.8196,3.86139,0.241228,0.289277,-1.76146,0.199491,2.29746,21.163,4.54056,0.405598,0.312379,-0.00237047,0.199491,2.63251,21.8146,6.51909,0.449255,-0.0123733,-0.214064,0.199491,2.74594,20.3134,5.28701,-1.1644,0.58879,-0.152934,0.199645,0.794901,22.9239,4.36724,-1.13505,0.67387,-0.0620961,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.00219,21.035,4.44779,0.395956,-0.225422,-1.77255,0.199491,3.63576,23.9036,4.11967,0.491739,0.309676,-1.69166,0.199491,2.4217,22.1053,4.78497,0.445796,0.293312,0.0189645,0.199491,2.72876,22.7692,6.82835,0.431103,0.177813,-0.253701,0.199491,2.92801,21.2046,5.61569,-1.13166,0.580693,-0.146901,0.199645,0.856867,23.827,4.65802,-1.11406,0.721658,-0.0622307,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.911771,21.8043,4.67743,0.514934,-0.215738,-1.78339,0.199491,3.80733,24.8296,4.39157,0.319689,0.303009,-1.74609,0.199491,2.4913,23.1392,5.07566,0.475775,0.194113,-0.0119088,0.199491,2.8187,23.7384,7.29365,0.520576,-0.095697,-0.213694,0.199491,3.09981,22.1504,5.81337,-1.12126,0.605136,-0.148013,0.199645,0.867539,24.8137,4.87946,-1.08865,0.7549,-0.0600642,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.795868,22.6477,4.90628,0.516571,-0.218506,-1.76309,0.199491,3.8983,25.7252,4.70389,0.520261,0.33641,-1.69246,0.199491,2.6149,24.2232,5.44006,0.516176,0.376311,-0.0569237,0.199491,2.91916,24.6349,7.5531,0.478438,0.203473,-0.201394,0.199491,3.26256,23.0222,6.05511,-1.0865,0.565104,-0.135735,0.199645,0.877856,25.793,5.14932,-1.05518,0.595158,-0.04851,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.747029,23.4846,5.08306,0.552879,-0.189141,-1.74752,0.199491,3.96032,26.6398,5.0577,0.397772,0.309493,-1.74851,0.199491,2.74072,25.1393,5.7759,0.562225,0.203133,-0.0667165,0.199491,3.06564,25.5909,7.78689,0.559214,-0.0619776,-0.191607,0.199491,3.41628,24.0302,6.33128,-1.04827,0.634895,-0.124824,0.199645,0.944981,26.6719,5.4495,-1.0477,0.646163,-0.0388907,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.717449,24.3656,5.26028,0.544866,-0.16519,-1.71888,0.199491,4.03252,27.5664,5.40589,0.590294,0.321496,-1.71429,0.199491,2.88056,25.9504,6.11099,0.584636,0.250744,-0.0657484,0.199491,3.18674,26.5655,7.99833,0.572402,0.0434105,-0.193261,0.199491,3.57073,25.1073,6.60323,-0.995751,0.607803,-0.100521,0.199645,1.03182,27.4521,5.78218,-1.03433,0.747086,-0.0308942,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.539768,25.2192,5.53412,0.604233,-0.160372,-1.72592,0.199491,4.06011,28.4998,5.71819,0.491979,0.284962,-1.74968,0.199491,2.99815,26.8307,6.40176,0.611666,0.168719,-0.0560118,0.199491,3.2852,27.4726,8.18318,0.583606,0.102285,-0.19355,0.199491,3.65931,26.0763,6.91382,-0.960821,0.631311,-0.0922399,0.199645,1.12599,28.2992,6.08639,-1.00565,0.723403,-0.019368,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.281656,26.0398,5.85892,0.632168,-0.193698,-1.73854,0.199491,4.10674,29.4322,5.98196,0.592388,0.297232,-1.71663,0.199491,3.09001,27.7658,6.64951,0.616581,0.287481,-0.0509914,0.199491,3.3361,28.3552,8.49671,0.64568,-0.122815,-0.184466,0.199491,3.73701,26.9437,7.18047,-0.941953,0.637964,-0.0958056,0.199645,1.20485,29.1917,6.34649,-0.964075,0.695638,-0.0146798,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.0635514,26.8361,6.18807,0.666009,-0.22804,-1.75712,0.199491,4.20032,30.4318,6.20367,0.525069,0.283943,-1.72573,0.199491,3.1566,28.6933,6.85601,0.63995,0.258046,-0.0339708,0.199491,3.36468,29.208,8.89594,0.608728,0.172209,-0.190901,0.199491,3.88098,27.7536,7.45963,-0.935162,0.59512,-0.0978532,0.199645,1.25805,30.0761,6.58731,-0.91774,0.702948,-0.0118267,0.199491,
0.2626,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.11544,27.6289,6.49891,0.669506,-0.257644,-1.76479,0.199491,4.27313,31.4395,6.4316,0.635058,0.285166,-1.68694,0.199491,3.2447,29.5846,7.05034,0.664136,0.217585,-0.00779781,0.199491,3.41351,30.0668,9.28262,0.678309,-0.0787884,-0.206405,0.199491,4.02444,28.5567,7.7677,-0.92402,0.623663,-0.101454,0.199645,1.32987,30.9328,6.83602,-0.87933,0.728987,-0.00679442,0.199491,
0.2727,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.320099,28.452,6.78977,0.686679,-0.277464,-1.77068,0.199491,4.30339,32.3577,6.72062,0.575687,0.265751,-1.70601,0.199491,3.35227,30.4234,7.30235,0.677777,0.229407,0.00824464,0.199491,3.47696,30.9348,9.55807,0.67086,0.0631035,-0.209485,0.199491,4.11986,29.4494,8.05402,-0.89127,0.580518,-0.0923953,0.199645,1.43256,31.7424,7.11894,-0.841755,0.722553,0.0028682,0.199491,
0.2828,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0.526927,29.2837,7.06717,0.731206,-0.27908,-1.77928,0.199491,4.32195,33.1983,7.05211,0.66817,0.255779,-1.69227,0.199491,3.47236,31.2363,7.61039,0.691924,0.262605,0.0121057,0.199491,3.56682,31.7939,9.71375,0.698638,0.0452019,-0.200752,0.199491,4.17975,30.4155,8.34863,-0.855979,0.62524,-0.0808198,0.199645,1.54142,32.5223,7.42827,-0.811232,0.682291,0.0164013,0.199491,
