time,0_rod(payload_bars compound_6rRHNu).X,0_rod(payload_bars compound_6rRHNu).Y,0_rod(payload_bars compound_6rRHNu).Z,0_rod(payload_bars compound_6rRHNu).Euler1,0_rod(payload_bars compound_6rRHNu).Euler2,0_rod(payload_bars compound_6rRHNu).Euler3,0_rod(payload_bars compound_6rRHNu).mass,1_rod(payload_bars compound_6rRHNu).X,1_rod(payload_bars compound_6rRHNu).Y,1_rod(payload_bars compound_6rRHNu).Z,1_rod(payload_bars compound_6rRHNu).Euler1,1_rod(payload_bars compound_6rRHNu).Euler2,1_rod(payload_bars compound_6rRHNu).Euler3,1_rod(payload_bars compound_6rRHNu).mass,2_rod(payload_bars compound_6rRHNu).X,2_rod(payload_bars compound_6rRHNu).Y,2_rod(payload_bars compound_6rRHNu).Z,2_rod(payload_bars compound_6rRHNu).Euler1,2_rod(payload_bars compound_6rRHNu).Euler2,2_rod(payload_bars compound_6rRHNu).Euler3,2_rod(payload_bars compound_6rRHNu).mass,3_rod(payload_bars compound_6rRHNu).X,3_rod(payload_bars compound_6rRHNu).Y,3_rod(payload_bars compound_6rRHNu).Z,3_rod(payload_bars compound_6rRHNu).Euler1,3_rod(payload_bars compound_6rRHNu).Euler2,3_rod(payload_bars compound_6rRHNu).Euler3,3_rod(payload_bars compound_6rRHNu).mass,4_rod(sense_bar compound_6rRHNu).X,4_rod(sense_bar compound_6rRHNu).Y,4_rod(sense_bar compound_6rRHNu).Z,4_rod(sense_bar compound_6rRHNu).Euler1,4_rod(sense_bar compound_6rRHNu).Euler2,4_rod(sense_bar compound_6rRHNu).Euler3,4_rod(sense_bar compound_6rRHNu).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,4.75675e-05,49.4012,0.00854205,-0.00214665,-0.00165563,0.000431121,0.24652,-0.729091,49.3834,0.0154421,0.00673627,0.0146358,-2.35189,0.0593527,0.753679,49.3791,0.0108346,0.00630253,0.0142136,-2.35189,0.0593527,0.00807174,48.8593,-0.513252,-0.0164793,0.0393104,2.35165,0.0593527,0.016459,49.9032,0.539548,-0.0151946,0.0380381,2.35168,0.0593527,3.66015e-05,49.9033,-0.513044,-1.57371,-0.00348866,-0.00311976,0.0593527,0.0245301,48.8592,0.539318,-1.57374,-0.00249899,-0.00309337,0.0593527,
0.1212,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,4.66214e-07,49.2862,0.00846855,-0.000371606,-8.28424e-05,0.000153075,0.24652,-0.72962,49.2685,0.0154043,0.006242,0.0142166,-2.35187,0.0593527,0.754293,49.264,0.0109659,0.00568855,0.0136145,-2.35188,0.0593527,0.00808267,48.7439,-0.513642,-0.0169605,0.0394936,2.35167,0.0593527,0.0165058,49.7886,0.540007,-0.0149254,0.0374778,2.35174,0.0593527,0.000305278,49.7888,-0.513415,-1.5738,-0.00417205,-0.00304321,0.0593527,0.0243138,48.7437,0.53983,-1.57383,-0.00213483,-0.00302596,0.0593527,
0.1313,-3.37567e-06,49.1611,0.0084877,0.00137815,0.00106693,-0.00012313,0.24652,-3.37567e-06,49.1611,0.0084877,0.00137815,0.00106693,-0.00012313,0.24652,-3.37567e-06,49.1611,0.0084877,0.00137815,0.00106693,-0.00012313,0.24652,-3.37567e-06,49.1611,0.0084877,0.00137815,0.00106693,-0.00012313,0.24652,-3.37567e-06,49.1611,0.0084877,0.00137815,0.00106693,-0.00012313,0.24652,-0.729329,49.1436,0.0153784,0.00477341,0.0127362,-2.35187,0.0593527,0.753963,49.1388,0.0109747,0.00523846,0.0132005,-2.35186,0.0593527,0.00809159,48.6191,-0.513386,-0.0151857,0.0374726,2.35178,0.0593527,0.0165423,49.6633,0.539742,-0.0172692,0.0395354,2.3517,0.0593527,0.000589637,49.6635,-0.513183,-1.57388,-0.00239717,-0.00303105,0.0593527,0.024039,48.6189,0.539546,-1.57388,-0.00367093,-0.00302436,0.0593527,
0.1414,-8.54467e-06,49.0261,0.00849864,0.00114207,0.000537652,-0.000187264,0.24652,-8.54467e-06,49.0261,0.00849864,0.00114207,0.000537652,-0.000187264,0.24652,-8.54467e-06,49.0261,0.00849864,0.00114207,0.000537652,-0.000187264,0.24652,-8.54467e-06,49.0261,0.00849864,0.00114207,0.000537652,-0.000187264,0.24652,-8.54467e-06,49.0261,0.00849864,0.00114207,0.000537652,-0.000187264,0.24652,-0.729151,49.0085,0.015375,0.0047112,0.0127061,-2.35186,0.0593527,0.753789,49.0038,0.0109633,0.00534822,0.0133544,-2.35185,0.0593527,0.00808192,48.4842,-0.513285,-0.014857,0.0372235,2.3518,0.0593527,0.0165665,49.5281,0.539625,-0.0177743,0.0401121,2.35168,0.0593527,0.00049267,49.5283,-0.513069,-1.5739,-0.00175003,-0.00303461,0.0593527,0.0241389,48.4839,0.539417,-1.57389,-0.00414077,-0.00303293,0.0593527,
0.1515,6.75452e-06,48.881,0.00847763,-0.000329992,-0.000658694,-5.17067e-06,0.24652,6.75452e-06,48.881,0.00847763,-0.000329992,-0.000658694,-5.17067e-06,0.24652,6.75452e-06,48.881,0.00847763,-0.000329992,-0.000658694,-5.17067e-06,0.24652,6.75452e-06,48.881,0.00847763,-0.000329992,-0.000658694,-5.17067e-06,0.24652,6.75452e-06,48.881,0.00847763,-0.000329992,-0.000658694,-5.17067e-06,0.24652,-0.729544,48.8634,0.01546,0.00635885,0.0143244,-2.35185,0.0593527,0.754168,48.8588,0.0109038,0.00597346,0.0139137,-2.35186,0.0593527,0.00807805,48.3388,-0.51356,-0.0166893,0.0392745,2.3517,0.0593527,0.0165288,49.3834,0.539914,-0.0155072,0.0381035,2.35174,0.0593527,0.000261595,49.3836,-0.513333,-1.57384,-0.00346901,-0.0030699,0.0593527,0.0243614,48.3386,0.53973,-1.57385,-0.00254714,-0.00306312,0.0593527,
0.1616,1.64952e-05,48.726,0.00849166,-0.00118477,-0.000797409,0.000265743,0.24652,1.64952e-05,48.726,0.00849166,-0.00118477,-0.000797409,0.000265743,0.24652,1.64952e-05,48.726,0.00849166,-0.00118477,-0.000797409,0.000265743,0.24652,1.64952e-05,48.726,0.00849166,-0.00118477,-0.000797409,0.000265743,0.24652,1.64952e-05,48.726,0.00849166,-0.00118477,-0.000797409,0.000265743,0.24652,-0.729416,48.7082,0.0154161,0.00695356,0.0148901,-2.35187,0.0593527,0.754058,48.7038,0.0109349,0.00634462,0.0142962,-2.35188,0.0593527,0.00807732,48.1839,-0.513465,-0.016948,0.0396183,2.35165,0.0593527,0.016493,49.2282,0.539816,-0.0148131,0.0375043,2.35173,0.0593527,0.000152014,49.2284,-0.513279,-1.57378,-0.00407892,-0.00305142,0.0593527,0.0244496,48.1837,0.539633,-1.57381,-0.00193362,-0.00303442,0.0593527,
0.1717,2.63601e-05,48.5609,0.0085027,-0.000410477,-1.38652e-05,0.000359752,0.24652,2.63601e-05,48.5609,0.0085027,-0.000410477,-1.38652e-05,0.000359752,0.24652,2.63601e-05,48.5609,0.0085027,-0.000410477,-1.38652e-05,0.000359752,0.24652,2.63601e-05,48.5609,0.0085027,-0.000410477,-1.38652e-05,0.000359752,0.24652,2.63601e-05,48.5609,0.0085027,-0.000410477,-1.38652e-05,0.000359752,0.24652,-0.729332,48.5432,0.015382,0.00550217,0.0134444,-2.3519,0.0593527,0.753919,48.5387,0.010951,0.00589927,0.0138373,-2.35189,0.0593527,0.00809224,48.0189,-0.513393,-0.0150215,0.0375689,2.35172,0.0593527,0.0164984,49.063,0.539725,-0.0168296,0.0393591,2.35164,0.0593527,0.000308001,49.0632,-0.513222,-1.5738,-0.00251662,-0.0030423,0.0593527,0.0242868,48.0187,0.539567,-1.57381,-0.00337178,-0.00302939,0.0593527,
0.1818,-5.48516e-07,48.3858,0.00847935,0.000542401,0.000401633,0.000202462,0.24652,-5.48516e-07,48.3858,0.00847935,0.000542401,0.000401633,0.000202462,0.24652,-5.48516e-07,48.3858,0.00847935,0.000542401,0.000401633,0.000202462,0.24652,-5.48516e-07,48.3858,0.00847935,0.000542401,0.000401633,0.000202462,0.24652,-5.48516e-07,48.3858,0.00847935,0.000542401,0.000401633,0.000202462,0.24652,-0.729516,48.3682,0.0154043,0.00451943,0.0124961,-2.3519,0.0593527,0.754135,48.3636,0.010956,0.00520144,0.0131513,-2.35189,0.0593527,0.00810078,47.8437,-0.513538,-0.0146646,0.0370927,2.35175,0.0593527,0.0165442,48.8881,0.539895,-0.017657,0.0400557,2.35163,0.0593527,0.000457748,48.8883,-0.513331,-1.57385,-0.00185746,-0.00304663,0.0593527,0.0241627,47.8435,0.53972,-1.57383,-0.00418137,-0.00305297,0.0593527,
0.1919,8.18321e-06,48.2007,0.00848345,0.000279194,-5.14357e-05,-2.8686e-05,0.24652,8.18321e-06,48.2007,0.00848345,0.000279194,-5.14357e-05,-2.8686e-05,0.24652,8.18321e-06,48.2007,0.00848345,0.000279194,-5.14357e-05,-2.8686e-05,0.24652,8.18321e-06,48.2007,0.00848345,0.000279194,-5.14357e-05,-2.8686e-05,0.24652,8.18321e-06,48.2007,0.00848345,0.000279194,-5.14357e-05,-2.8686e-05,0.24652,-0.729385,48.1831,0.0154293,0.0056872,0.0136448,-2.35186,0.0593527,0.754021,48.1785,0.0109282,0.00539456,0.0133515,-2.35187,0.0593527,0.00807239,47.6587,-0.513436,-0.0166384,0.0391128,2.35171,0.0593527,0.0165253,48.7029,0.539789,-0.0159117,0.0383928,2.35173,0.0593527,0.000382751,48.7032,-0.513235,-1.57384,-0.00327693,-0.00306664,0.0593527,0.0242314,47.6584,0.539613,-1.57385,-0.00296698,-0.00305517,0.0593527,
0.202,8.19134e-06,48.0057,0.00848859,-0.000561888,-0.000507091,-0.0001254,0.24652,8.19134e-06,48.0057,0.00848859,-0.000561888,-0.000507091,-0.0001254,0.24652,8.19134e-06,48.0057,0.00848859,-0.000561888,-0.000507091,-0.0001254,0.24652,8.19134e-06,48.0057,0.00848859,-0.000561888,-0.000507091,-0.0001254,0.24652,8.19134e-06,48.0057,0.00848859,-0.000561888,-0.000507091,-0.0001254,0.24652,-0.729424,47.988,0.0154266,0.00689031,0.0148266,-2.35184,0.0593527,0.754065,47.9835,0.0109307,0.00623692,0.0141917,-2.35185,0.0593527,0.00807787,47.4635,-0.513472,-0.017208,0.0397937,2.35169,0.0593527,0.0165107,48.5079,0.539824,-0.0149415,0.0375492,2.35178,0.0593527,0.000250798,48.5081,-0.513266,-1.57381,-0.00411767,-0.00305469,0.0593527,0.024368,47.4633,0.539624,-1.57383,-0.00189932,-0.00304079,0.0593527,
0.2121,3.36199e-06,47.8006,0.00848397,-0.0005724,-0.000309291,-7.58773e-06,0.24652,3.36199e-06,47.8006,0.00848397,-0.0005724,-0.000309291,-7.58773e-06,0.24652,3.36199e-06,47.8006,0.00848397,-0.0005724,-0.000309291,-7.58773e-06,0.24652,3.36199e-06,47.8006,0.00848397,-0.0005724,-0.000309291,-7.58773e-06,0.24652,3.36199e-06,47.8006,0.00848397,-0.0005724,-0.000309291,-7.58773e-06,0.24652,-0.729446,47.7829,0.0154051,0.00602486,0.013983,-2.35186,0.0593527,0.75408,47.7784,0.0109484,0.00632204,0.0142625,-2.35186,0.0593527,0.00809784,47.2584,-0.513488,-0.0151599,0.0377494,2.35176,0.0593527,0.0165193,48.3028,0.539838,-0.0165328,0.0391086,2.3517,0.0593527,0.000267196,48.303,-0.513272,-1.57381,-0.00273198,-0.003043,0.0593527,0.0243506,47.2582,0.539657,-1.57382,-0.00291855,-0.00303434,0.0593527,
0.2222,2.99476e-06,47.5855,0.00848478,0.000113527,0.00010249,0.000195612,0.24652,2.99476e-06,47.5855,0.00848478,0.000113527,0.00010249,0.000195612,0.24652,2.99476e-06,47.5855,0.00848478,0.000113527,0.00010249,0.000195612,0.24652,2.99476e-06,47.5855,0.00848478,0.000113527,0.00010249,0.000195612,0.24652,2.99476e-06,47.5855,0.00848478,0.000113527,0.00010249,0.000195612,0.24652,-0.729409,47.5678,0.0154024,0.00471145,0.0126734,-2.35189,0.0593527,0.754036,47.5632,0.0109504,0.00543912,0.0133994,-2.35188,0.0593527,0.00809633,47.0434,-0.513453,-0.0144035,0.0369019,2.35176,0.0593527,0.0165321,48.0877,0.539804,-0.0175764,0.0400438,2.35164,0.0593527,0.000377389,48.0879,-0.513261,-1.57383,-0.0017045,-0.00305097,0.0593527,0.0242363,47.0431,0.53964,-1.57383,-0.00417151,-0.00304536,0.0593527,
0.2323,6.17972e-06,47.3603,0.00848261,0.000305516,8.9288e-05,0.000285385,0.24652,6.17972e-06,47.3603,0.00848261,0.000305516,8.9288e-05,0.000285385,0.24652,6.17972e-06,47.3603,0.00848261,0.000305516,8.9288e-05,0.000285385,0.24652,6.17972e-06,47.3603,0.00848261,0.000305516,8.9288e-05,0.000285385,0.24652,6.17972e-06,47.3603,0.00848261,0.000305516,8.9288e-05,0.000285385,0.24652,-0.729441,47.3427,0.0154184,0.00529705,0.0132603,-2.35189,0.0593527,0.754073,47.3381,0.0109407,0.00510349,0.0130604,-2.35189,0.0593527,0.00807935,46.8182,-0.513481,-0.0164746,0.0389347,2.35168,0.0593527,0.016528,47.8626,0.539834,-0.0161188,0.0385822,2.35168,0.0593527,0.000399742,47.8628,-0.51329,-1.57384,-0.00307171,-0.00305872,0.0593527,0.0242172,46.818,0.539671,-1.57384,-0.00333046,-0.00305223,0.0593527,
