time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.1111,-4.3831,98.8391,-0.512571,-0.000613053,0.00784556,-2.35039,0.199491,3.36325,98.8245,-0.559073,-0.00500227,-0.00407058,-2.35794,0.199491,0.465352,98.0619,-0.756369,-0.00312876,-2.47212e-05,-0.781494,0.199491,0.842337,100.442,2.00026,-0.000237661,-0.00458301,-0.794278,0.199491,0.744249,98.4542,1.92582,-1.57272,-0.00790687,-0.00657235,0.199645,-0.293242,101.101,-1.05273,-1.57031,0.00219306,-0.0026206,0.199491,
0.1212,-4.37743,98.7233,-0.51245,-0.00155417,0.00785333,-2.34976,0.199491,3.3602,98.7111,-0.560305,-0.0056232,-0.00462306,-2.35813,0.199491,0.464913,97.948,-0.754913,-0.00323118,-0.000293424,-0.781027,0.199491,0.841859,100.327,1.99784,-0.000646931,-0.00472206,-0.795325,0.199491,0.740699,98.3387,1.92544,-1.57228,-0.00932269,-0.00667784,0.199645,-0.291392,100.985,-1.05027,-1.57027,0.00349918,-0.00289517,0.199491,
0.1313,-4.37176,98.5975,-0.51233,-0.00249559,0.00786201,-2.34912,0.199491,3.35715,98.5877,-0.561536,-0.00624392,-0.00517576,-2.35831,0.199491,0.464475,97.824,-0.753456,-0.00333376,-0.000562119,-0.78056,0.199491,0.841381,100.202,1.99542,-0.0010562,-0.00486168,-0.796371,0.199491,0.737149,98.2131,1.92505,-1.57184,-0.0107385,-0.00678335,0.199645,-0.289542,100.858,-1.04781,-1.57024,0.00480531,-0.00316974,0.199491,
0.1414,-4.36609,98.4618,-0.512209,-0.0034373,0.00787158,-2.34849,0.199491,3.3541,98.4542,-0.562767,-0.00686443,-0.0057287,-2.3585,0.199491,0.464036,97.6901,-0.752,-0.00343651,-0.000830804,-0.780093,0.199491,0.840903,100.067,1.993,-0.00146546,-0.00500188,-0.797418,0.199491,0.733599,98.0776,1.92466,-1.5714,-0.0121542,-0.00688888,0.199645,-0.287693,100.721,-1.04535,-1.5702,0.00611145,-0.00344433,0.199491,
0.1515,-4.36042,98.316,-0.51209,-0.00438186,0.00787962,-2.34785,0.199491,3.35105,98.3108,-0.563998,-0.00748473,-0.00628186,-2.35868,0.199491,0.463597,97.5461,-0.750543,-0.00353943,-0.00109948,-0.779627,0.199491,0.840426,99.9226,1.99058,-0.00187472,-0.00514265,-0.798464,0.199491,0.73005,97.932,1.92428,-1.57096,-0.0135659,-0.00699536,0.199645,-0.285843,100.575,-1.04289,-1.57017,0.00741759,-0.00371892,0.199491,
0.1616,-4.35475,98.1602,-0.511979,-0.00534006,0.00787585,-2.34721,0.199491,3.348,98.1573,-0.565229,-0.00810481,-0.00683524,-2.35887,0.199491,0.463158,97.3921,-0.749086,-0.00364251,-0.00136815,-0.77916,0.199491,0.839948,99.7677,1.98816,-0.00228398,-0.00528399,-0.79951,0.199491,0.7265,97.7765,1.9239,-1.57053,-0.0149567,-0.00710674,0.199645,-0.283994,100.418,-1.04043,-1.57014,0.00872375,-0.00399353,0.199491,
0.1717,-4.34908,97.9943,-0.511868,-0.00629855,0.00787306,-2.34657,0.199491,3.34495,97.9939,-0.566461,-0.00872468,-0.00738885,-2.35905,0.199491,0.46272,97.2282,-0.74763,-0.00374575,-0.00163681,-0.778693,0.199491,0.83947,99.6027,1.98574,-0.00269323,-0.00542591,-0.800556,0.199491,0.72295,97.6109,1.92352,-1.57011,-0.0163476,-0.00721812,0.199645,-0.282144,100.251,-1.03797,-1.57011,0.0100299,-0.00426815,0.199491,
0.1818,-4.34341,97.8185,-0.511758,-0.00725875,0.00786985,-2.34592,0.199491,3.3419,97.8204,-0.567692,-0.00934435,-0.00794268,-2.35924,0.199491,0.462281,97.0542,-0.746173,-0.00384916,-0.00190545,-0.778227,0.199491,0.838993,99.4278,1.98332,-0.00310247,-0.0055684,-0.801601,0.199491,0.7194,97.4354,1.92315,-1.56969,-0.0177363,-0.00732995,0.199645,-0.280294,100.075,-1.03551,-1.57007,0.0113361,-0.00454279,0.199491,
0.1919,-4.33774,97.6326,-0.511651,-0.00822626,0.00786085,-2.34528,0.199491,3.33885,97.637,-0.568923,-0.0099638,-0.00849674,-2.35942,0.199491,0.461842,96.8702,-0.744716,-0.00395273,-0.00217409,-0.77776,0.199491,0.838515,99.2429,1.98091,-0.00351171,-0.00571147,-0.802647,0.199491,0.715849,97.2498,1.92278,-1.56927,-0.0191144,-0.00744394,0.199645,-0.278445,99.888,-1.03305,-1.57004,0.0126422,-0.00481744,0.199491,
0.202,-4.33207,97.4368,-0.511543,-0.00919957,0.00784746,-2.34463,0.199491,3.3358,97.4435,-0.570154,-0.010583,-0.00905102,-2.35961,0.199491,0.461403,96.6762,-0.74326,-0.00405647,-0.00244272,-0.777293,0.199491,0.838037,99.048,1.97849,-0.00392093,-0.00585511,-0.803693,0.199491,0.712299,97.0542,1.9224,-1.56886,-0.0204855,-0.00755702,0.199645,-0.276595,99.6913,-1.03059,-1.57001,0.0139484,-0.00509211,0.199491,
