time,0_rod(payload_bars compound_Bt1H).X,0_rod(payload_bars compound_Bt1H).Y,0_rod(payload_bars compound_Bt1H).Z,0_rod(payload_bars compound_Bt1H).Euler1,0_rod(payload_bars compound_Bt1H).Euler2,0_rod(payload_bars compound_Bt1H).Euler3,0_rod(payload_bars compound_Bt1H).mass,1_rod(payload_bars compound_Bt1H).X,1_rod(payload_bars compound_Bt1H).Y,1_rod(payload_bars compound_Bt1H).Z,1_rod(payload_bars compound_Bt1H).Euler1,1_rod(payload_bars compound_Bt1H).Euler2,1_rod(payload_bars compound_Bt1H).Euler3,1_rod(payload_bars compound_Bt1H).mass,2_rod(payload_bars compound_Bt1H).X,2_rod(payload_bars compound_Bt1H).Y,2_rod(payload_bars compound_Bt1H).Z,2_rod(payload_bars compound_Bt1H).Euler1,2_rod(payload_bars compound_Bt1H).Euler2,2_rod(payload_bars compound_Bt1H).Euler3,2_rod(payload_bars compound_Bt1H).mass,3_rod(payload_bars compound_Bt1H).X,3_rod(payload_bars compound_Bt1H).Y,3_rod(payload_bars compound_Bt1H).Z,3_rod(payload_bars compound_Bt1H).Euler1,3_rod(payload_bars compound_Bt1H).Euler2,3_rod(payload_bars compound_Bt1H).Euler3,3_rod(payload_bars compound_Bt1H).mass,4_rod(sense_bar compound_Bt1H).X,4_rod(sense_bar compound_Bt1H).Y,4_rod(sense_bar compound_Bt1H).Z,4_rod(sense_bar compound_Bt1H).Euler1,4_rod(sense_bar compound_Bt1H).Euler2,4_rod(sense_bar compound_Bt1H).Euler3,4_rod(sense_bar compound_Bt1H).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.606,-0.000186499,31.9961,0.00850086,-1.6748e-06,0.000238211,-1.14111e-05,0.24652,-0.000186499,31.9961,0.00850086,-1.6748e-06,0.000238211,-1.14111e-05,0.24652,-0.000186499,31.9961,0.00850086,-1.6748e-06,0.000238211,-1.14111e-05,0.24652,-0.000186499,31.9961,0.00850086,-1.6748e-06,0.000238211,-1.14111e-05,0.24652,-0.000186499,31.9961,0.00850086,-1.6748e-06,0.000238211,-1.14111e-05,0.24652,-0.729435,31.9785,0.0153832,0.00631368,0.014152,-2.35187,0.0593527,0.754117,31.9739,0.0109599,0.00630567,0.0141354,-2.35187,0.0593527,0.00836581,31.4539,-0.513576,0.0169781,0.00575576,-0.788918,0.0593527,0.0166643,32.4985,0.539904,0.0167364,0.00599549,-0.788935,0.0593527,0.0244085,31.4537,0.539495,-1.57377,-0.0036906,-0.00308903,0.0593527,0.000536228,32.4987,-0.51315,-1.57391,-0.00253305,-0.00295089,0.0593527,
0.6161,-0.000190145,31.3907,0.00849995,-7.48523e-06,0.000248632,-7.43311e-06,0.24652,-0.000190145,31.3907,0.00849995,-7.48523e-06,0.000248632,-7.43311e-06,0.24652,-0.000190145,31.3907,0.00849995,-7.48523e-06,0.000248632,-7.43311e-06,0.24652,-0.000190145,31.3907,0.00849995,-7.48523e-06,0.000248632,-7.43311e-06,0.24652,-0.000190145,31.3907,0.00849995,-7.48523e-06,0.000248632,-7.43311e-06,0.24652,-0.729433,31.3731,0.0153798,0.00581335,0.0136503,-2.35188,0.0593527,0.754112,31.3686,0.0109654,0.00549271,0.0133239,-2.35189,0.0593527,0.00837396,30.8486,-0.513574,0.0176225,0.00511984,-0.788915,0.0593527,0.0166765,31.8931,0.539902,0.0145841,0.00813636,-0.78895,0.0593527,0.0244095,30.8484,0.539495,-1.57376,-0.00411295,-0.00308909,0.0593527,0.000533329,31.8933,-0.513147,-1.57391,-0.00217416,-0.0029485,0.0593527,
0.6262,-0.00018777,30.7754,0.00850183,-2.09613e-05,0.000267844,-1.33535e-06,0.24652,-0.00018777,30.7754,0.00850183,-2.09613e-05,0.000267844,-1.33535e-06,0.24652,-0.00018777,30.7754,0.00850183,-2.09613e-05,0.000267844,-1.33535e-06,0.24652,-0.00018777,30.7754,0.00850183,-2.09613e-05,0.000267844,-1.33535e-06,0.24652,-0.00018777,30.7754,0.00850183,-2.09613e-05,0.000267844,-1.33535e-06,0.24652,-0.72943,30.7577,0.0153738,0.00499222,0.0128284,-2.35189,0.0593527,0.754115,30.7532,0.0109717,0.00501544,0.012847,-2.35189,0.0593527,0.00836224,30.2332,-0.513571,0.0152887,0.00744088,-0.78893,0.0593527,0.0166684,31.2777,0.539903,0.015362,0.00736786,-0.788945,0.0593527,0.024413,30.233,0.539489,-1.57376,-0.00199373,-0.00308569,0.0593527,0.000532802,31.2779,-0.513153,-1.5739,-0.00384851,-0.00294762,0.0593527,
0.6363,-0.000183958,30.15,0.0085035,-1.79444e-05,0.000261002,-5.05078e-06,0.24652,-0.000183958,30.15,0.0085035,-1.79444e-05,0.000261002,-5.05078e-06,0.24652,-0.000183958,30.15,0.0085035,-1.79444e-05,0.000261002,-5.05078e-06,0.24652,-0.000183958,30.15,0.0085035,-1.79444e-05,0.000261002,-5.05078e-06,0.24652,-0.000183958,30.15,0.0085035,-1.79444e-05,0.000261002,-5.05078e-06,0.24652,-0.72943,30.1323,0.0153761,0.00543206,0.0132676,-2.35189,0.0593527,0.75412,30.1278,0.0109667,0.00576399,0.0135962,-2.35188,0.0593527,0.00835328,29.6078,-0.513572,0.0144699,0.00825032,-0.788937,0.0593527,0.0166554,30.6523,0.539905,0.017586,0.00515628,-0.788931,0.0593527,0.0244123,29.6076,0.539487,-1.57377,-0.00143251,-0.00308521,0.0593527,0.000535609,30.6525,-0.513157,-1.5739,-0.00434466,-0.00294984,0.0593527,
0.6464,-0.000186195,29.5145,0.00850103,-7.9625e-06,0.000244421,-1.05202e-05,0.24652,-0.000186195,29.5145,0.00850103,-7.9625e-06,0.000244421,-1.05202e-05,0.24652,-0.000186195,29.5145,0.00850103,-7.9625e-06,0.000244421,-1.05202e-05,0.24652,-0.000186195,29.5145,0.00850103,-7.9625e-06,0.000244421,-1.05202e-05,0.24652,-0.000186195,29.5145,0.00850103,-7.9625e-06,0.000244421,-1.05202e-05,0.24652,-0.729434,29.4969,0.0153823,0.00628316,0.014121,-2.35187,0.0593527,0.754117,29.4924,0.0109608,0.00634535,0.0141747,-2.35187,0.0593527,0.00836455,28.9724,-0.513575,0.0167266,0.00600543,-0.78892,0.0593527,0.0166624,30.0169,0.539904,0.0169705,0.0057631,-0.788934,0.0593527,0.0244087,28.9722,0.539494,-1.57377,-0.00350868,-0.00308818,0.0593527,0.000536475,30.0171,-0.51315,-1.57391,-0.00271461,-0.00295049,0.0593527,
0.6565,-0.000190166,28.8691,0.00849982,-1.01609e-05,0.000250208,-6.67993e-06,0.24652,-0.000190166,28.8691,0.00849982,-1.01609e-05,0.000250208,-6.67993e-06,0.24652,-0.000190166,28.8691,0.00849982,-1.01609e-05,0.000250208,-6.67993e-06,0.24652,-0.000190166,28.8691,0.00849982,-1.01609e-05,0.000250208,-6.67993e-06,0.24652,-0.000190166,28.8691,0.00849982,-1.01609e-05,0.000250208,-6.67993e-06,0.24652,-0.729433,28.8515,0.0153799,0.00590742,0.0137442,-2.35188,0.0593527,0.754112,28.8469,0.0109649,0.00567416,0.0135042,-2.35188,0.0593527,0.00837435,28.3269,-0.513574,0.0177148,0.00502734,-0.788914,0.0593527,0.0166759,29.3715,0.539901,0.0146891,0.00803132,-0.788949,0.0593527,0.0244091,28.3268,0.539495,-1.57376,-0.00421089,-0.00308878,0.0593527,0.000533756,29.3717,-0.513146,-1.57391,-0.00207997,-0.00294822,0.0593527,
0.6666,-0.000188146,28.2137,0.00850167,-1.74112e-05,0.000264217,-1.80757e-06,0.24652,-0.000188146,28.2137,0.00850167,-1.74112e-05,0.000264217,-1.80757e-06,0.24652,-0.000188146,28.2137,0.00850167,-1.74112e-05,0.000264217,-1.80757e-06,0.24652,-0.000188146,28.2137,0.00850167,-1.74112e-05,0.000264217,-1.80757e-06,0.24652,-0.000188146,28.2137,0.00850167,-1.74112e-05,0.000264217,-1.80757e-06,0.24652,-0.72943,28.1961,0.0153744,0.00502916,0.0128656,-2.35189,0.0593527,0.754115,28.1915,0.0109711,0.00500092,0.0128326,-2.35189,0.0593527,0.00836369,27.6715,-0.513571,0.0155473,0.00718403,-0.788928,0.0593527,0.0166701,28.7161,0.539903,0.0151358,0.00759237,-0.788947,0.0593527,0.0244128,27.6713,0.539489,-1.57376,-0.00218289,-0.00308625,0.0593527,0.000532619,28.7163,-0.513152,-1.5739,-0.00365942,-0.00294777,0.0593527,
0.6767,-0.000183964,27.5483,0.00850354,-1.4242e-05,0.000258405,-5.75271e-06,0.24652,-0.000183964,27.5483,0.00850354,-1.4242e-05,0.000258405,-5.75271e-06,0.24652,-0.000183964,27.5483,0.00850354,-1.4242e-05,0.000258405,-5.75271e-06,0.24652,-0.000183964,27.5483,0.00850354,-1.4242e-05,0.000258405,-5.75271e-06,0.24652,-0.000183964,27.5483,0.00850354,-1.4242e-05,0.000258405,-5.75271e-06,0.24652,-0.729431,27.5307,0.0153762,0.00534093,0.0131768,-2.35189,0.0593527,0.75412,27.5261,0.0109671,0.00558044,0.0134138,-2.35189,0.0593527,0.00835297,27.0061,-0.513572,0.014397,0.0083235,-0.788937,0.0593527,0.0166561,28.0506,0.539906,0.0174623,0.00527991,-0.788932,0.0593527,0.0244127,27.0059,0.539487,-1.57377,-0.00134703,-0.00308565,0.0593527,0.000535167,28.0509,-0.513158,-1.5739,-0.00442365,-0.00295017,0.0593527,
0.6868,-0.00018571,26.8728,0.00850134,-8.79085e-06,0.000245513,-1.03673e-05,0.24652,-0.00018571,26.8728,0.00850134,-8.79085e-06,0.000245513,-1.03673e-05,0.24652,-0.00018571,26.8728,0.00850134,-8.79085e-06,0.000245513,-1.03673e-05,0.24652,-0.00018571,26.8728,0.00850134,-8.79085e-06,0.000245513,-1.03673e-05,0.24652,-0.00018571,26.8728,0.00850134,-8.79085e-06,0.000245513,-1.03673e-05,0.24652,-0.729433,26.8552,0.0153819,0.00624005,0.0140777,-2.35188,0.0593527,0.754118,26.8507,0.010961,0.0063345,0.0141641,-2.35187,0.0593527,0.00836287,26.3307,-0.513575,0.0164621,0.00626826,-0.788921,0.0593527,0.0166608,27.3752,0.539905,0.017187,0.00554831,-0.788933,0.0593527,0.024409,26.3305,0.539494,-1.57377,-0.00331336,-0.00308788,0.0593527,0.000536581,27.3754,-0.513151,-1.57391,-0.00290977,-0.00295061,0.0593527,
0.6969,-0.000190126,26.1874,0.00849971,-1.33602e-05,0.000252326,-6.12051e-06,0.24652,-0.000190126,26.1874,0.00849971,-1.33602e-05,0.000252326,-6.12051e-06,0.24652,-0.000190126,26.1874,0.00849971,-1.33602e-05,0.000252326,-6.12051e-06,0.24652,-0.000190126,26.1874,0.00849971,-1.33602e-05,0.000252326,-6.12051e-06,0.24652,-0.000190126,26.1874,0.00849971,-1.33602e-05,0.000252326,-6.12051e-06,0.24652,-0.729433,26.1698,0.01538,0.00599521,0.0138319,-2.35188,0.0593527,0.754112,26.1652,0.0109645,0.00585638,0.0136851,-2.35188,0.0593527,0.0083745,25.6452,-0.513574,0.0177671,0.00497467,-0.788914,0.0593527,0.0166751,26.6898,0.539901,0.01483,0.00789062,-0.788948,0.0593527,0.0244088,25.645,0.539496,-1.57376,-0.00428268,-0.00308839,0.0593527,0.00053421,26.69,-0.513146,-1.57391,-0.00201722,-0.00294793,0.0593527,
