time,0_rod(payload_bars compound_iq7KN5).X,0_rod(payload_bars compound_iq7KN5).Y,0_rod(payload_bars compound_iq7KN5).Z,0_rod(payload_bars compound_iq7KN5).Euler1,0_rod(payload_bars compound_iq7KN5).Euler2,0_rod(payload_bars compound_iq7KN5).Euler3,0_rod(payload_bars compound_iq7KN5).mass,1_rod(payload_bars compound_iq7KN5).X,1_rod(payload_bars compound_iq7KN5).Y,1_rod(payload_bars compound_iq7KN5).Z,1_rod(payload_bars compound_iq7KN5).Euler1,1_rod(payload_bars compound_iq7KN5).Euler2,1_rod(payload_bars compound_iq7KN5).Euler3,1_rod(payload_bars compound_iq7KN5).mass,2_rod(payload_bars compound_iq7KN5).X,2_rod(payload_bars compound_iq7KN5).Y,2_rod(payload_bars compound_iq7KN5).Z,2_rod(payload_bars compound_iq7KN5).Euler1,2_rod(payload_bars compound_iq7KN5).Euler2,2_rod(payload_bars compound_iq7KN5).Euler3,2_rod(payload_bars compound_iq7KN5).mass,3_rod(payload_bars compound_iq7KN5).X,3_rod(payload_bars compound_iq7KN5).Y,3_rod(payload_bars compound_iq7KN5).Z,3_rod(payload_bars compound_iq7KN5).Euler1,3_rod(payload_bars compound_iq7KN5).Euler2,3_rod(payload_bars compound_iq7KN5).Euler3,3_rod(payload_bars compound_iq7KN5).mass,4_rod(payload_bars compound_iq7KN5).X,4_rod(payload_bars compound_iq7KN5).Y,4_rod(payload_bars compound_iq7KN5).Z,4_rod(payload_bars compound_iq7KN5).Euler1,4_rod(payload_bars compound_iq7KN5).Euler2,4_rod(payload_bars compound_iq7KN5).Euler3,4_rod(payload_bars compound_iq7KN5).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.3225,14.7088,1.2423,-0.31123,0.0204574,-1.9898,0.199491,3.53178,14.6283,0.764555,-0.336086,-0.132186,-2.05037,0.199491,0.156698,13.7874,0.263496,-0.0468914,0.0278091,-0.441757,0.199491,0.797855,15.7168,4.17507,0.0211331,-0.105244,-0.567644,0.199491,0.470262,13.2273,3.31996,-1.61693,0.328358,-0.0304584,0.199645,-0.193159,17.0562,1.27053,-1.62261,0.524992,-0.103868,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.26756,15.6349,1.44938,-0.04619,0.179716,-1.94677,0.199491,3.3951,15.5466,0.902069,0.166107,0.148055,-2.03217,0.199491,0.155132,14.7772,0.523105,-0.00890429,-0.0995596,-0.418141,0.199491,0.817466,16.5199,4.17151,-0.139621,0.121532,-0.563289,0.199491,0.401858,14.1685,3.44426,-1.61903,0.167249,-0.0408268,0.199645,-0.100672,17.876,1.53448,-1.58731,0.0622054,-0.099143,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.1166,16.5651,1.63858,-0.292389,0.0872917,-1.95976,0.199491,3.20375,16.418,1.0375,-0.378339,-0.0891423,-2.0338,0.199491,0.12767,15.7567,0.813731,-0.188912,0.280072,-0.421155,0.199491,0.860149,17.3043,4.25163,-0.104644,0.0582468,-0.539281,0.199491,0.351544,15.1138,3.51887,-1.65314,0.502115,-0.0698881,0.199645,-0.0647998,18.7032,1.75342,-1.6568,0.514396,-0.127605,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.99932,17.5236,1.8358,-0.186847,0.12472,-1.93515,0.199491,3.01977,17.2944,1.15664,-0.00164355,0.136399,-2.0056,0.199491,0.128104,16.7273,1.1112,-0.125367,0.126602,-0.383742,0.199491,0.868657,18.0624,4.3287,-0.0791433,0.0022517,-0.529534,0.199491,0.371373,16.05,3.59267,-1.66403,0.347011,-0.0820667,0.199645,-0.0665505,19.4816,1.97767,-1.65232,0.303379,-0.125297,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.92732,18.4895,2.05386,-0.0931447,0.152351,-1.91553,0.199491,2.86205,18.1663,1.30434,-0.32259,0.0141555,-2.01147,0.199491,0.136178,17.6677,1.375,-0.0434282,-0.10996,-0.364859,0.199491,0.914723,18.7851,4.34962,-0.0847758,0.00830286,-0.510529,0.199491,0.354666,16.9598,3.71189,-1.68939,0.462299,-0.112643,0.199645,-0.0579076,20.2887,2.19686,-1.68323,0.351488,-0.132865,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.9052,19.4307,2.29744,-0.409023,0.0288664,-1.94743,0.199491,2.72519,18.9998,1.46259,-0.0659108,0.143312,-1.96745,0.199491,0.162298,18.5791,1.59011,-0.174833,0.220977,-0.359583,0.199491,0.952534,19.495,4.36673,-0.157329,0.140726,-0.473928,0.199491,0.362032,17.8788,3.84765,-1.6687,0.207362,-0.125753,0.199645,-0.0541343,21.1318,2.41593,-1.72557,0.467539,-0.142552,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-3.93471,20.3844,2.54719,0.0304619,0.182708,-1.90336,0.199491,2.65283,19.7869,1.62249,-0.293819,0.0672641,-1.9663,0.199491,0.17658,19.4806,1.78608,-0.121558,0.070585,-0.341574,0.199491,0.986159,20.2116,4.42236,-0.0566887,-0.0647481,-0.422348,0.199491,0.412997,18.7562,3.98056,-1.75885,0.628063,-0.179131,0.199645,-0.0908319,21.9933,2.61066,-1.71773,0.229528,-0.133209,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.03885,21.3363,2.79601,-0.253952,0.0601216,-1.94686,0.199491,2.60304,20.5549,1.76807,-0.0703842,0.178643,-1.91215,0.199491,0.200519,20.3389,1.95327,-0.166518,0.202182,-0.339135,0.199491,1.04258,20.9565,4.54959,-0.175576,0.22558,-0.373855,0.199491,0.478902,19.5837,4.11178,-1.70657,0.261648,-0.175423,0.199645,-0.122871,22.8806,2.77952,-1.78765,0.512411,-0.151356,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.13716,22.2429,3.03116,0.0129311,0.175286,-1.89877,0.199491,2.61573,21.298,1.90449,-0.347002,0.0999025,-1.93109,0.199491,0.194025,21.1901,2.08573,-0.172937,0.221486,-0.336797,0.199491,1.06237,21.7381,4.73905,-0.0882644,-0.0230665,-0.321049,0.199491,0.527888,20.3869,4.23083,-1.81898,0.651825,-0.230579,0.199645,-0.139229,23.7728,2.95587,-1.78274,0.333602,-0.152394,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.23174,23.1552,3.24041,0.396023,0.3129,-1.76254,0.199491,2.68008,22.071,2.02027,-0.0720969,0.21118,-1.88049,0.199491,0.138586,21.996,2.19677,-0.118487,0.0737705,-0.327376,0.199491,1.07254,22.5397,4.95499,-0.169875,0.217442,-0.312379,0.199491,0.541172,21.1406,4.3633,-1.75159,0.284254,-0.197788,0.199645,-0.116677,24.6443,3.16027,-1.80481,0.41669,-0.183012,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31712,24.0558,3.49052,-0.475124,0.0762414,-1.92455,0.199491,2.74716,22.8678,2.10872,-0.359314,0.124797,-1.91385,0.199491,0.0539645,22.7704,2.24873,-0.203765,0.306336,-0.316843,0.199491,1.11257,23.3324,5.20344,-0.168899,0.203624,-0.310726,0.199491,0.561829,21.8811,4.51802,-1.80593,0.429557,-0.222849,0.199645,-0.114125,25.4971,3.35545,-1.80523,0.314777,-0.192051,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.41249,24.9334,3.74539,-0.684555,0.0211339,-1.9205,0.199491,2.82464,23.6421,2.18647,-0.286783,0.167084,-1.89188,0.199491,-0.00588622,23.577,2.3148,-0.191575,0.254493,-0.298324,0.199491,1.1213,24.1104,5.46651,-0.122636,0.0481434,-0.300149,0.199491,0.556916,22.5896,4.66397,-1.86673,0.556488,-0.253475,0.199645,-0.0798604,26.35,3.53662,-1.91699,0.685835,-0.261559,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.49929,25.7661,3.99508,-0.0838396,0.24483,-1.82945,0.199491,2.89651,24.3969,2.28072,-0.0184849,0.260105,-1.81761,0.199491,-0.082135,24.3734,2.38326,-0.139311,0.0519341,-0.275306,0.199491,1.14761,24.8936,5.73601,-0.176663,0.1873,-0.292773,0.199491,0.548653,23.3003,4.80009,-1.82829,0.315574,-0.236172,0.199645,-0.0463723,27.2099,3.70748,-1.94819,0.721378,-0.292451,0.199491,
