tgDataLogger2 started logging at time 01242019_105049, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.287815,2.21183,0.158372,-0.952215,0.288091,0.537903,0.0600995,-0.253809,1.97169,-0.162456,-1.91656,-0.936579,-0.610544,0.0610156,
0.2,0.352938,2.09451,0.0299032,-1.0794,0.0709161,0.421228,0.0600995,-0.204646,1.84235,-0.25168,2.72708,-0.972926,0.810002,0.0610156,
0.3,0.472161,2.10206,-0.24025,-1.2396,-0.351277,0.159336,0.0600995,-0.153149,1.86469,-0.321026,-1.47757,-1.24628,-1.21145,0.0610156,
0.4,0.48571,2.09934,-0.483373,-1.13521,-0.726357,-0.0605557,0.0600995,-0.143201,1.86009,-0.454125,1.73448,-1.22852,1.83354,0.0610156,
0.5,0.476272,2.09541,-0.669794,-0.836415,-0.971871,-0.371996,0.0600995,-0.128885,1.83494,-0.530251,0.865019,-1.30766,2.75258,0.0610156,
0.6,0.472039,2.08837,-0.686284,-0.825125,-0.988795,-0.347336,0.0600995,-0.133383,1.83052,-0.541769,0.860716,-1.29643,2.74634,0.0610156,
0.7,0.496515,2.08794,-0.559423,-1.0276,-0.809182,-0.132205,0.0600995,-0.118061,1.82178,-0.491968,1.13536,-1.39814,2.46027,0.0610156,
0.8,0.508585,2.08729,-0.347326,-1.1399,-0.483406,0.0371009,0.0600995,-0.10547,1.814,-0.382566,-1.51927,-1.50237,-1.16828,0.0610156,
0.9,0.510784,2.08893,-0.225805,-1.15564,-0.299568,0.0941577,0.0600995,-0.100112,1.81793,-0.305132,-1.85063,-1.4263,-0.841826,0.0610156,
1,0.512365,2.08759,-0.241634,-1.15004,-0.330208,0.0845062,0.0600995,-0.0958494,1.80834,-0.310531,-2.92561,-1.48969,0.233025,0.0610156,
1.1,0.522312,2.08784,-0.307682,-1.13464,-0.432935,0.0228829,0.0600995,-0.0883731,1.80735,-0.34168,2.62107,-1.52395,0.966352,0.0610156,
1.2,0.531624,2.08832,-0.362271,-1.1326,-0.515457,0.0110425,0.0600995,-0.0796187,1.80773,-0.368429,1.70948,-1.50905,1.8755,0.0610156,
1.3,0.535222,2.08831,-0.385266,-1.11656,-0.544992,-0.0201924,0.0600995,-0.0753228,1.80637,-0.37846,0.960931,-1.52719,2.62487,0.0610156,
1.4,0.537694,2.08857,-0.362718,-1.12974,-0.508041,0.00319558,0.0600995,-0.0727775,1.80648,-0.367829,1.67585,-1.51355,1.90748,0.0610156,
1.5,0.537317,2.08821,-0.31465,-1.14572,-0.432841,0.0463556,0.0600995,-0.0722157,1.80554,-0.344317,-2.26747,-1.55084,-0.430654,0.0610156,
1.6,0.539228,2.08851,-0.278075,-1.15163,-0.381117,0.0659636,0.0600995,-0.0691847,1.80587,-0.325361,-2.45051,-1.52491,-0.247258,0.0610156,
1.7,0.542052,2.0886,-0.275309,-1.15126,-0.382886,0.0635362,0.0600995,-0.0660154,1.80517,-0.322293,-2.76049,-1.52699,0.0618884,0.0610156,
