tgDataLogger2 started logging at time 01232019_205856, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,1.07181,9.84468,3.41575,-3.03265,-0.699926,2.58956,0.193414,
0.2,1.1048,12.733,4.30819,1.04832,1.07367,1.26451,0.193414,
0.3,1.13779,14.6404,5.20064,-0.748078,-0.962241,0.746072,0.193414,
0.4,1.17078,15.5667,6.09308,2.84478,0.38613,2.7994,0.193414,
0.5,1.20377,15.512,6.98553,-0.156648,0.274063,0.372691,0.193414,
0.6,1.23676,14.4764,7.87797,-2.82369,-0.818562,2.43858,0.193414,
0.7,1.26975,12.4597,8.77042,1.44384,1.1221,1.5671,0.193414,
0.8,1.30274,9.46204,9.66286,-0.525719,-0.834736,0.530395,0.193414,
0.9,1.43072,5.94507,10.5045,-1.22844,-1.13345,1.06261,0.193414,
1,2.11974,6.10247,10.4958,-0.805234,-0.985803,0.533775,0.193414,
1.1,2.5072,5.93985,10.3527,2.82758,-0.243478,2.90754,0.193414,
1.2,2.51999,5.95871,10.206,2.77485,-0.573497,3.05064,0.193414,
1.3,2.46805,5.97882,10.0601,2.69629,-0.492409,-3.05822,0.193414,
1.4,2.4314,5.96958,9.91234,2.71155,-0.310078,-2.91524,0.193414,
1.5,2.37034,5.95098,9.77157,2.68134,-0.505755,-2.75046,0.193414,
1.6,2.23017,5.96355,9.72991,2.51304,-0.856536,-2.49324,0.193414,
1.7,2.08385,5.99212,9.78519,2.59278,-0.930457,-2.42955,0.193414,
1.8,1.9467,5.99568,9.84003,2.93635,-0.831017,-2.60926,0.193414,
1.9,1.80181,5.97455,9.89481,3.13885,-0.896618,-2.7251,0.193414,
2,1.71987,5.96788,10.0159,-3.1397,-1.28472,-2.72552,0.193414,
2.1,1.76357,5.99201,10.1668,-2.23226,-1.4858,2.63359,0.193414,
2.2,1.84509,6.00724,10.3014,-2.15914,-1.26664,2.49056,0.193414,
2.3,1.9172,5.9941,10.4415,-2.23024,-1.08577,2.43744,0.193414,
2.4,2.03162,5.97533,10.5512,-1.81016,-1.15109,1.90944,0.193414,
2.5,2.19132,5.98463,10.5388,-1.18196,-1.12789,1.17603,0.193414,
2.6,2.33546,6.00297,10.4436,-1.37858,-1.19586,1.20654,0.193414,
2.7,2.47238,5.99952,10.3409,-2.11618,-1.31464,1.79223,0.193414,
2.8,2.58984,5.98216,10.212,-2.21743,-1.45364,1.82068,0.193414,
2.9,2.59826,5.98353,10.0433,-0.182994,-1.36406,-0.228701,0.193414,
3,2.49701,6.00245,9.89219,0.462745,-1.30753,-0.831499,0.193414,
3.1,2.37086,6.01053,9.76702,1.35156,-1.26056,-1.59816,0.193414,
3.2,2.22527,6.00116,9.66359,1.64573,-1.17844,-1.73664,0.193414,
3.3,2.0558,5.9985,9.64381,1.26051,-1.14824,-1.22335,0.193414,
3.4,1.90946,6.01419,9.74084,1.07793,-1.1484,-0.903099,0.193414,
3.5,1.8041,6.02572,9.88526,1.39291,-1.33014,-1.08006,0.193414,
3.6,1.71901,6.01878,10.0434,2.72302,-1.47473,-2.33667,0.193414,
