tgDataLogger2 started logging at time 01232019_205721, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_Gp6g6N).X,0_rod(rod compound_Gp6g6N).Y,0_rod(rod compound_Gp6g6N).Z,0_rod(rod compound_Gp6g6N).Euler1,0_rod(rod compound_Gp6g6N).Euler2,0_rod(rod compound_Gp6g6N).Euler3,0_rod(rod compound_Gp6g6N).mass,1_rod(rod compound_Gp6g6N).X,1_rod(rod compound_Gp6g6N).Y,1_rod(rod compound_Gp6g6N).Z,1_rod(rod compound_Gp6g6N).Euler1,1_rod(rod compound_Gp6g6N).Euler2,1_rod(rod compound_Gp6g6N).Euler3,1_rod(rod compound_Gp6g6N).mass,2_rod(rod compound_Gp6g6N).X,2_rod(rod compound_Gp6g6N).Y,2_rod(rod compound_Gp6g6N).Z,2_rod(rod compound_Gp6g6N).Euler1,2_rod(rod compound_Gp6g6N).Euler2,2_rod(rod compound_Gp6g6N).Euler3,2_rod(rod compound_Gp6g6N).mass,3_rod(strut compound_Gp6g6N).X,3_rod(strut compound_Gp6g6N).Y,3_rod(strut compound_Gp6g6N).Z,3_rod(strut compound_Gp6g6N).Euler1,3_rod(strut compound_Gp6g6N).Euler2,3_rod(strut compound_Gp6g6N).Euler3,3_rod(strut compound_Gp6g6N).mass,4_rod(strut compound_Gp6g6N).X,4_rod(strut compound_Gp6g6N).Y,4_rod(strut compound_Gp6g6N).Z,4_rod(strut compound_Gp6g6N).Euler1,4_rod(strut compound_Gp6g6N).Euler2,4_rod(strut compound_Gp6g6N).Euler3,4_rod(strut compound_Gp6g6N).mass,5_rod(strut compound_Gp6g6N).X,5_rod(strut compound_Gp6g6N).Y,5_rod(strut compound_Gp6g6N).Z,5_rod(strut compound_Gp6g6N).Euler1,5_rod(strut compound_Gp6g6N).Euler2,5_rod(strut compound_Gp6g6N).Euler3,5_rod(strut compound_Gp6g6N).mass,
1.1,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,2.47414,15.0029,3.80624,-0.104653,-0.0355989,-0.0137927,45.0463,
1.2,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,2.5588,10.6126,3.78631,-0.118209,-0.0394647,-0.0156373,45.0463,
1.3,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,2.86892,11.0025,3.73775,-0.153179,-0.0458443,-0.0207337,45.0463,
1.4,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,3.17921,10.4133,3.68917,-0.188141,-0.0523995,-0.0258119,45.0463,
1.5,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,3.64504,10.3428,3.61921,-0.240403,-0.0595394,-0.0331648,45.0463,
1.6,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,4.24292,10.213,3.53107,-0.307808,-0.067868,-0.0424926,45.0463,
1.7,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,5.01324,9.97983,3.41892,-0.396364,-0.0780746,-0.0544059,45.0463,
1.8,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,5.99569,9.56493,3.27718,-0.51353,-0.0913971,-0.0694761,45.0463,
1.9,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,7.21005,8.83765,3.10305,-0.668848,-0.109844,-0.0879531,45.0463,
2,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,8.61015,7.59407,2.90304,-0.874442,-0.136768,-0.109092,45.0463,
