time,0_rod(payload_bars compound_p62G42).X,0_rod(payload_bars compound_p62G42).Y,0_rod(payload_bars compound_p62G42).Z,0_rod(payload_bars compound_p62G42).Euler1,0_rod(payload_bars compound_p62G42).Euler2,0_rod(payload_bars compound_p62G42).Euler3,0_rod(payload_bars compound_p62G42).mass,1_rod(payload_bars compound_p62G42).X,1_rod(payload_bars compound_p62G42).Y,1_rod(payload_bars compound_p62G42).Z,1_rod(payload_bars compound_p62G42).Euler1,1_rod(payload_bars compound_p62G42).Euler2,1_rod(payload_bars compound_p62G42).Euler3,1_rod(payload_bars compound_p62G42).mass,2_rod(payload_bars compound_p62G42).X,2_rod(payload_bars compound_p62G42).Y,2_rod(payload_bars compound_p62G42).Z,2_rod(payload_bars compound_p62G42).Euler1,2_rod(payload_bars compound_p62G42).Euler2,2_rod(payload_bars compound_p62G42).Euler3,2_rod(payload_bars compound_p62G42).mass,3_rod(payload_bars compound_p62G42).X,3_rod(payload_bars compound_p62G42).Y,3_rod(payload_bars compound_p62G42).Z,3_rod(payload_bars compound_p62G42).Euler1,3_rod(payload_bars compound_p62G42).Euler2,3_rod(payload_bars compound_p62G42).Euler3,3_rod(payload_bars compound_p62G42).mass,4_rod(payload_bars compound_p62G42).X,4_rod(payload_bars compound_p62G42).Y,4_rod(payload_bars compound_p62G42).Z,4_rod(payload_bars compound_p62G42).Euler1,4_rod(payload_bars compound_p62G42).Euler2,4_rod(payload_bars compound_p62G42).Euler3,4_rod(payload_bars compound_p62G42).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0.0054648,9.51863,0.147346,0.0798439,-0.0795906,-0.00318079,0.00640547,0.0054648,9.51863,0.147346,0.0798439,-0.0795906,-0.00318079,0.00640547,0.0054648,9.51863,0.147346,0.0798439,-0.0795906,-0.00318079,0.00640547,0.0054648,9.51863,0.147346,0.0798439,-0.0795906,-0.00318079,0.00640547,0.0054648,9.51863,0.147346,0.0798439,-0.0795906,-0.00318079,0.00640547,-4.38285,8.80831,-0.555384,-0.000545856,0.00798606,-2.35043,0.199491,3.36308,8.79354,-0.601711,-0.00497087,-0.0040931,-2.35794,0.199491,0.465546,8.03132,-0.798969,-0.00315868,3.9014e-05,-0.781565,0.199491,0.842254,10.4109,1.95715,-0.000177065,-0.00460602,-0.79421,0.199491,0.744297,8.42356,1.88309,-1.57268,-0.00788367,-0.00661429,0.199645,-0.293207,11.0704,-1.0955,-1.5703,0.00205076,-0.00260675,0.199491,
0.1212,0.00469847,9.40929,0.153039,0.0871493,-0.0868203,-0.00378795,0.00640547,0.00469847,9.40929,0.153039,0.0871493,-0.0868203,-0.00378795,0.00640547,0.00469847,9.40929,0.153039,0.0871493,-0.0868203,-0.00378795,0.00640547,0.00469847,9.40929,0.153039,0.0871493,-0.0868203,-0.00378795,0.00640547,0.00469847,9.40929,0.153039,0.0871493,-0.0868203,-0.00378795,0.00640547,-4.37715,8.69256,-0.555293,-0.00147882,0.00803148,-2.3498,0.199491,3.36004,8.68006,-0.60295,-0.00557655,-0.00464836,-2.35813,0.199491,0.465138,7.91738,-0.797553,-0.00326176,-0.000219933,-0.781116,0.199491,0.84172,10.2959,1.95467,-0.000584077,-0.00473641,-0.79524,0.199491,0.740743,8.308,1.88272,-1.57223,-0.00929926,-0.00673184,0.199645,-0.291348,10.9538,-1.0931,-1.57025,0.0033421,-0.00288289,0.199491,
0.1313,0.00393213,9.28994,0.158731,0.094464,-0.0940453,-0.00444854,0.00640547,0.00393213,9.28994,0.158731,0.094464,-0.0940453,-0.00444854,0.00640547,0.00393213,9.28994,0.158731,0.094464,-0.0940453,-0.00444854,0.00640547,0.00393213,9.28994,0.158731,0.094464,-0.0940453,-0.00444854,0.00640547,0.00393213,9.28994,0.158731,0.094464,-0.0940453,-0.00444854,0.00640547,-4.37144,8.56679,-0.555205,-0.00241662,0.00807346,-2.34917,0.199491,3.357,8.55658,-0.60419,-0.00618203,-0.00520383,-2.35831,0.199491,0.46473,7.79344,-0.796137,-0.00336499,-0.000478869,-0.780667,0.199491,0.841186,10.1709,1.95218,-0.000991099,-0.00486736,-0.796271,0.199491,0.737189,8.18245,1.88236,-1.57178,-0.0107075,-0.00685137,0.199645,-0.289488,10.8271,-1.09069,-1.57021,0.00463345,-0.00315903,0.199491,
0.1414,0.00316579,9.16059,0.164424,0.101789,-0.101265,-0.0051627,0.00640547,0.00316579,9.16059,0.164424,0.101789,-0.101265,-0.0051627,0.00640547,0.00316579,9.16059,0.164424,0.101789,-0.101265,-0.0051627,0.00640547,0.00316579,9.16059,0.164424,0.101789,-0.101265,-0.0051627,0.00640547,0.00316579,9.16059,0.164424,0.101789,-0.101265,-0.0051627,0.00640547,-4.36574,8.431,-0.555121,-0.00335928,0.008112,-2.34853,0.199491,3.35395,8.42309,-0.605429,-0.00678729,-0.00575952,-2.35849,0.199491,0.464323,7.65949,-0.79472,-0.00346837,-0.000737793,-0.780218,0.199491,0.840652,10.0359,1.94969,-0.00139813,-0.00499888,-0.797301,0.199491,0.733634,8.04689,1.882,-1.57135,-0.0121084,-0.0069729,0.199645,-0.287629,10.6904,-1.08829,-1.57016,0.00592482,-0.00343518,0.199491,
0.1515,0.00239946,9.02123,0.170117,0.109124,-0.10848,-0.00593059,0.00640547,0.00239946,9.02123,0.170117,0.109124,-0.10848,-0.00593059,0.00640547,0.00239946,9.02123,0.170117,0.109124,-0.10848,-0.00593059,0.00640547,0.00239946,9.02123,0.170117,0.109124,-0.10848,-0.00593059,0.00640547,0.00239946,9.02123,0.170117,0.109124,-0.10848,-0.00593059,0.00640547,-4.36003,8.2852,-0.555023,-0.00431595,0.00813797,-2.3479,0.199491,3.35091,8.2796,-0.606668,-0.00739235,-0.00631543,-2.35867,0.199491,0.463915,7.51553,-0.793304,-0.0035719,-0.000996707,-0.779769,0.199491,0.840118,9.89093,1.9472,-0.00180517,-0.00513097,-0.79833,0.199491,0.730079,7.90134,1.88162,-1.57091,-0.013496,-0.00708615,0.199645,-0.28577,10.5437,-1.08589,-1.57012,0.00721619,-0.00371134,0.199491,
0.1616,0.00163312,8.87186,0.175809,0.116471,-0.115689,-0.00675235,0.00640547,0.00163312,8.87186,0.175809,0.116471,-0.115689,-0.00675235,0.00640547,0.00163312,8.87186,0.175809,0.116471,-0.115689,-0.00675235,0.00640547,0.00163312,8.87186,0.175809,0.116471,-0.115689,-0.00675235,0.00640547,0.00163312,8.87186,0.175809,0.116471,-0.115689,-0.00675235,0.00640547,-4.35432,8.12937,-0.554894,-0.0053115,0.00812719,-2.34726,0.199491,3.34787,8.1261,-0.607907,-0.0079972,-0.00687156,-2.35885,0.199491,0.463507,7.36156,-0.791888,-0.00367559,-0.00125561,-0.779319,0.199491,0.839584,9.73593,1.94472,-0.00221221,-0.00526362,-0.79936,0.199491,0.726522,7.7458,1.88122,-1.57049,-0.0148432,-0.00718112,0.199645,-0.283911,10.387,-1.08348,-1.57008,0.00850758,-0.00398751,0.199491,
0.1717,0.000866782,8.71248,0.181502,0.12383,-0.122892,-0.00762817,0.00640547,0.000866782,8.71248,0.181502,0.12383,-0.122892,-0.00762817,0.00640547,0.000866782,8.71248,0.181502,0.12383,-0.122892,-0.00762817,0.00640547,0.000866782,8.71248,0.181502,0.12383,-0.122892,-0.00762817,0.00640547,0.000866782,8.71248,0.181502,0.12383,-0.122892,-0.00762817,0.00640547,-4.34862,7.96352,-0.554764,-0.00630893,0.00811586,-2.34662,0.199491,3.34483,7.96259,-0.609147,-0.00860185,-0.00742791,-2.35904,0.199491,0.463099,7.19759,-0.790471,-0.00377942,-0.0015145,-0.77887,0.199491,0.83905,9.57091,1.94223,-0.00261927,-0.00539683,-0.80039,0.199491,0.722965,7.58026,1.88081,-1.57007,-0.0161887,-0.0072755,0.199645,-0.282051,10.2202,-1.08108,-1.57004,0.00979897,-0.00426369,0.199491,
0.1818,0.000100445,8.5431,0.187195,0.131203,-0.130088,-0.00855822,0.00640547,0.000100445,8.5431,0.187195,0.131203,-0.130088,-0.00855822,0.00640547,0.000100445,8.5431,0.187195,0.131203,-0.130088,-0.00855822,0.00640547,0.000100445,8.5431,0.187195,0.131203,-0.130088,-0.00855822,0.00640547,0.000100445,8.5431,0.187195,0.131203,-0.130088,-0.00855822,0.00640547,-4.34291,7.78767,-0.554637,-0.00731176,0.00810064,-2.34598,0.199491,3.34179,7.78907,-0.610386,-0.00920629,-0.00798447,-2.35922,0.199491,0.462691,7.02361,-0.789055,-0.00388341,-0.00177338,-0.778421,0.199491,0.838516,9.39589,1.93974,-0.00302632,-0.00553062,-0.801419,0.199491,0.719409,7.40472,1.88041,-1.56966,-0.0175266,-0.0073715,0.199645,-0.280192,10.0435,-1.07867,-1.57,0.0110904,-0.00453989,0.199491,
0.1919,-0.000665892,8.36371,0.192887,0.138589,-0.137277,-0.0095427,0.00640547,-0.000665892,8.36371,0.192887,0.138589,-0.137277,-0.0095427,0.00640547,-0.000665892,8.36371,0.192887,0.138589,-0.137277,-0.0095427,0.00640547,-0.000665892,8.36371,0.192887,0.138589,-0.137277,-0.0095427,0.00640547,-0.000665892,8.36371,0.192887,0.138589,-0.137277,-0.0095427,0.00640547,-4.3372,7.6018,-0.554511,-0.00831907,0.00808239,-2.34534,0.199491,3.33875,7.60555,-0.611625,-0.00981052,-0.00854125,-2.3594,0.199491,0.462283,6.83963,-0.787639,-0.00398755,-0.00203224,-0.777972,0.199491,0.837982,9.21086,1.93725,-0.00343339,-0.00566497,-0.802448,0.199491,0.715852,7.21918,1.88001,-1.56925,-0.0188586,-0.00746822,0.199645,-0.278333,9.85679,-1.07627,-1.56996,0.0123818,-0.0048161,0.199491,
0.202,-0.00143223,8.17431,0.19858,0.14599,-0.144458,-0.0105818,0.00640547,-0.00143223,8.17431,0.19858,0.14599,-0.144458,-0.0105818,0.00640547,-0.00143223,8.17431,0.19858,0.14599,-0.144458,-0.0105818,0.00640547,-0.00143223,8.17431,0.19858,0.14599,-0.144458,-0.0105818,0.00640547,-0.00143223,8.17431,0.19858,0.14599,-0.144458,-0.0105818,0.00640547,-4.33149,7.4059,-0.554368,-0.00935946,0.0080332,-2.34469,0.199491,3.33571,7.41201,-0.612864,-0.0104145,-0.00909824,-2.35958,0.199491,0.461862,6.64565,-0.786225,-0.00409292,-0.00230252,-0.777527,0.199491,0.837448,9.01583,1.93477,-0.00384046,-0.00579989,-0.803478,0.199491,0.712309,7.02363,1.87959,-1.56884,-0.0201507,-0.00755615,0.199645,-0.276474,9.66005,-1.07386,-1.56992,0.0136732,-0.00509233,0.199491,
