tgDataLogger2 started logging at time 01242019_111056, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,-0.404727,19.9272,2.43969,-0.403351,0.744028,0.886119,1.49047,-1.53723,20.0155,-1.18897,0.133265,-0.906646,-2.08447,1.51319,
0.2,-1.01622,21.1189,3.00343,-1.41301,-0.380667,0.751811,1.49047,-1.23274,20.0485,-1.93344,-1.87041,-0.188896,-0.573587,1.51319,
0.3,-1.506,21.5521,3.88785,0.460946,0.813918,1.55549,1.49047,-1.04814,18.8812,-2.99379,-0.104895,-0.941517,-1.79469,1.51319,
0.4,-1.87218,20.3211,4.06428,-0.823129,0.273358,0.865679,1.49047,-0.985277,17.4061,-3.35676,-1.17615,-0.770222,-0.885931,1.51319,
0.5,-1.82646,17.559,3.87204,-1.23088,-0.0445407,0.869381,1.49047,-1.32814,15.4917,-3.35661,-1.72827,-0.152558,-0.559288,1.51319,
0.6,-1.95857,13.7782,3.54609,-2.41746,-0.696671,1.42974,1.49047,-1.49583,12.6334,-3.22476,-1.24488,-0.707318,-0.748578,1.51319,
0.7,-1.84219,11.0545,3.55401,0.266688,0.697536,1.48305,1.49047,-1.56773,9.14399,-3.03182,-1.30681,-0.61181,-0.706815,1.51319,
0.8,-0.958786,11.888,2.51939,-2.51161,-0.754265,1.41786,1.49047,-1.73393,10.0952,-3.36138,-2.26688,0.582427,-0.787688,1.51319,
0.9,-0.895798,13.1367,2.20448,0.794513,0.730593,1.82814,1.49047,-1.61095,11.2685,-4.46918,-0.939582,-0.707589,-1.01387,1.51319,
1,-0.856169,13.2496,1.62463,-0.807806,0.369977,0.889401,1.49047,-1.4653,11.6142,-5.31574,-1.21381,-0.519162,-0.852607,1.51319,
1.1,-0.832883,12.2788,0.901631,1.24252,0.57132,2.17947,1.49047,-1.30354,11.0801,-6.02131,0.932276,-0.477353,-2.28473,1.51319,
1.2,-0.576538,10.7351,0.133211,1.7484,0.172957,2.40736,1.49047,-1.22942,9.55821,-6.70762,-0.497345,-0.777315,-1.32883,1.51319,
1.3,0.46001,9.60811,-0.748721,0.711168,0.846586,1.90372,1.49047,-1.05925,8.15519,-7.2518,-0.888135,-0.625086,-1.0824,1.51319,
1.4,1.41464,9.49882,-1.91808,-1.17913,0.174745,0.636248,1.49047,-0.50982,8.37722,-7.85403,-2.49451,0.573843,-1.1266,1.51319,
1.5,2.12864,9.23137,-2.79561,-0.251747,0.915853,1.1613,1.49047,-0.0199297,8.39785,-8.66624,-2.19547,0.414811,-1.08095,1.51319,
1.6,2.955,8.50339,-3.57268,1.68156,0.173605,2.58132,1.49047,0.388584,7.5546,-9.86328,0.0457399,-0.578124,-1.62119,1.51319,
1.7,3.57562,7.11468,-4.5925,-1.21641,0.289278,0.570355,1.49047,1.10812,6.12958,-11.0473,-1.76839,0.0166367,-1.02143,1.51319,
1.8,4.23436,4.83965,-5.52735,-1.02892,0.634864,0.672838,1.49047,1.77636,4.27512,-12.0871,-0.927145,-0.395258,-1.20134,1.51319,
1.9,5.19,4.80633,-7.33008,1.46777,0.391533,2.6568,1.49047,2.26158,4.45913,-12.7528,-2.3426,0.347145,-1.197,1.51319,
2,5.63563,5.84764,-8.59412,2.04986,-0.67466,2.56684,1.49047,3.11612,5.74131,-13.7798,-0.517493,-0.424133,-1.35549,1.51319,
2.1,6.27128,5.92051,-9.41571,-2.04112,-0.84949,0.694981,1.49047,3.7835,6.03012,-15.2426,-1.75283,0.036622,-1.11639,1.51319,
2.2,7.01881,5.0351,-10.1252,-1.69576,-0.422904,0.472971,1.49047,4.34067,5.31556,-16.8158,-1.25933,-0.185749,-1.17262,1.51319,
2.3,7.68207,3.63331,-11.1388,-1.14666,0.679263,0.545971,1.49047,4.85222,3.64408,-17.8847,-0.813356,-0.343542,-1.29575,1.51319,
2.4,8.29293,1.60645,-12.134,-1.18038,0.707649,0.564245,1.49047,5.21594,1.78483,-18.4773,-1.78199,0.0959576,-1.13095,1.51319,
2.5,8.50761,1.6,-12.5101,3.07798,-1.14487,1.62874,1.49047,5.52863,1.887,-19.0107,-1.73005,0.084589,-1.12878,1.51319,
2.6,8.61509,1.6,-12.747,1.11221,0.77347,2.52641,1.49047,5.70507,1.78062,-19.3821,-1.80051,0.103352,-1.13615,1.51319,
2.7,8.68245,1.6,-12.8956,-1.27339,0.573821,0.513999,1.49047,5.80087,1.77693,-19.6299,-1.55576,-0.0123556,-1.12521,1.51319,
2.8,8.68585,1.6,-12.9033,-1.31995,0.500929,0.490145,1.49047,5.79389,1.77689,-19.6519,-1.40567,-0.0834939,-1.13216,1.51319,
2.9,8.6543,1.6,-12.8338,-0.556707,1.08032,1.06872,1.49047,5.74101,1.77721,-19.5079,-1.51197,-0.0332614,-1.12604,1.51319,
3,8.61319,1.6,-12.7431,1.1495,0.733929,2.55193,1.49047,5.67254,1.77762,-19.3199,-1.66802,0.0411608,-1.12708,1.51319,
3.1,8.58122,1.6,-12.6722,1.55064,0.044431,2.71549,1.49047,5.62604,1.77795,-19.1698,-1.89895,0.1474,-1.15017,1.51319,
3.2,8.56251,1.6,-12.6306,1.74756,-0.370006,2.68277,1.49047,5.59411,1.77814,-19.0838,-1.99148,0.186999,-1.16634,1.51319,
