time,0_rod(payload_bars compound_bgKi3l).X,0_rod(payload_bars compound_bgKi3l).Y,0_rod(payload_bars compound_bgKi3l).Z,0_rod(payload_bars compound_bgKi3l).Euler1,0_rod(payload_bars compound_bgKi3l).Euler2,0_rod(payload_bars compound_bgKi3l).Euler3,0_rod(payload_bars compound_bgKi3l).mass,1_rod(payload_bars compound_bgKi3l).X,1_rod(payload_bars compound_bgKi3l).Y,1_rod(payload_bars compound_bgKi3l).Z,1_rod(payload_bars compound_bgKi3l).Euler1,1_rod(payload_bars compound_bgKi3l).Euler2,1_rod(payload_bars compound_bgKi3l).Euler3,1_rod(payload_bars compound_bgKi3l).mass,2_rod(payload_bars compound_bgKi3l).X,2_rod(payload_bars compound_bgKi3l).Y,2_rod(payload_bars compound_bgKi3l).Z,2_rod(payload_bars compound_bgKi3l).Euler1,2_rod(payload_bars compound_bgKi3l).Euler2,2_rod(payload_bars compound_bgKi3l).Euler3,2_rod(payload_bars compound_bgKi3l).mass,3_rod(payload_bars compound_bgKi3l).X,3_rod(payload_bars compound_bgKi3l).Y,3_rod(payload_bars compound_bgKi3l).Z,3_rod(payload_bars compound_bgKi3l).Euler1,3_rod(payload_bars compound_bgKi3l).Euler2,3_rod(payload_bars compound_bgKi3l).Euler3,3_rod(payload_bars compound_bgKi3l).mass,4_rod(payload_bars compound_bgKi3l).X,4_rod(payload_bars compound_bgKi3l).Y,4_rod(payload_bars compound_bgKi3l).Z,4_rod(payload_bars compound_bgKi3l).Euler1,4_rod(payload_bars compound_bgKi3l).Euler2,4_rod(payload_bars compound_bgKi3l).Euler3,4_rod(payload_bars compound_bgKi3l).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.00654852,13.2527,0.0821965,0.000718857,0.00100955,-0.00107784,4000.24,-0.00654852,13.2527,0.0821965,0.000718857,0.00100955,-0.00107784,4000.24,-0.00654852,13.2527,0.0821965,0.000718857,0.00100955,-0.00107784,4000.24,-0.00654852,13.2527,0.0821965,0.000718857,0.00100955,-0.00107784,4000.24,-0.00654852,13.2527,0.0821965,0.000718857,0.00100955,-0.00107784,4000.24,-10.0412,17.8492,4.40137,0.949905,0.738177,-2.02188,0.199491,10.5215,18.1321,4.0156,0.241236,0.389151,-2.63105,0.199491,10.0604,17.3976,2.05714,-1.75642,0.322564,-1.63645,0.199491,10.0868,22.0063,5.53071,1.11177,-0.336332,-1.40778,0.199491,4.60328,19.3914,10.1633,-1.71889,0.367102,-0.000537094,0.199645,4.14749,23.3546,1.82596,-1.59284,-0.837539,0.0307451,0.199491,
0.1212,-0.00701719,13.3557,0.0820413,0.000835273,0.00118957,-0.00118175,4000.24,-0.00701719,13.3557,0.0820413,0.000835273,0.00118957,-0.00118175,4000.24,-0.00701719,13.3557,0.0820413,0.000835273,0.00118957,-0.00118175,4000.24,-0.00701719,13.3557,0.0820413,0.000835273,0.00118957,-0.00118175,4000.24,-0.00701719,13.3557,0.0820413,0.000835273,0.00118957,-0.00118175,4000.24,-10.0463,19.1376,3.70889,-1.10976,-0.844234,-1.91957,0.199491,10.2587,18.3769,4.31405,-0.0396901,-0.0262081,-2.62181,0.199491,10.0632,18.8998,2.75959,1.78209,-0.259228,-1.62463,0.199491,10.0689,22.0446,5.72234,-0.535747,0.199012,-1.25341,0.199491,4.39982,17.6076,10.1674,1.61949,1.50573,-3.1195,0.199645,4.15275,23.4584,1.99988,-1.58137,0.269803,-0.0425627,0.199491,
0.1313,-0.00750761,13.4485,0.081878,0.000883646,0.00131127,-0.00126433,4000.24,-0.00750761,13.4485,0.081878,0.000883646,0.00131127,-0.00126433,4000.24,-0.00750761,13.4485,0.081878,0.000883646,0.00131127,-0.00126433,4000.24,-0.00750761,13.4485,0.081878,0.000883646,0.00131127,-0.00126433,4000.24,-0.00750761,13.4485,0.081878,0.000883646,0.00131127,-0.00126433,4000.24,-10.0276,19.7975,4.08657,2.91558,0.24356,-0.762059,0.199491,10.2944,18.9067,4.18794,-0.159838,-0.204971,-2.62811,0.199491,10.0559,19.4695,3.0412,0.532008,-0.113507,-1.38427,0.199491,10.0795,22.4693,5.97744,1.80507,-0.274139,-1.63414,0.199491,4.31262,19.0068,10.1507,1.47493,0.268623,-3.14091,0.199645,4.13698,23.5518,2.06934,-1.58924,0.389498,-0.0506128,0.199491,
0.1414,-0.00799908,13.5316,0.0817148,0.000916866,0.00143185,-0.00139233,4000.24,-0.00799908,13.5316,0.0817148,0.000916866,0.00143185,-0.00139233,4000.24,-0.00799908,13.5316,0.0817148,0.000916866,0.00143185,-0.00139233,4000.24,-0.00799908,13.5316,0.0817148,0.000916866,0.00143185,-0.00139233,4000.24,-0.00799908,13.5316,0.0817148,0.000916866,0.00143185,-0.00139233,4000.24,-10.0599,19.1264,5.16265,2.46725,0.636202,-0.926862,0.199491,10.2709,18.5201,4.01885,-0.127513,-0.172457,-2.65129,0.199491,10.0859,18.8861,2.87784,-1.18265,0.198487,-1.48903,0.199491,10.1331,22.4041,6.03191,-0.598977,0.167861,-1.34514,0.199491,4.25592,19.5058,10.1728,-1.62524,-1.49124,-0.0376002,0.199645,4.14155,23.642,2.08712,-1.59984,0.595001,-0.0538451,0.199491,
0.1515,-0.0084827,13.6044,0.0816323,0.000935075,0.00154677,-0.0015117,4000.24,-0.0084827,13.6044,0.0816323,0.000935075,0.00154677,-0.0015117,4000.24,-0.0084827,13.6044,0.0816323,0.000935075,0.00154677,-0.0015117,4000.24,-0.0084827,13.6044,0.0816323,0.000935075,0.00154677,-0.0015117,4000.24,-0.0084827,13.6044,0.0816323,0.000935075,0.00154677,-0.0015117,4000.24,-10.1781,20.4535,3.7512,-3.00125,-0.16274,-0.700574,0.199491,10.2865,19.0048,4.1473,-0.227151,-0.362597,-2.63369,0.199491,10.0867,19.0626,3.09514,0.684952,-0.130211,-1.40858,0.199491,10.0999,22.4752,6.34276,1.29345,-0.279545,-1.49059,0.199491,4.23826,19.667,10.1566,-1.62033,-0.733706,-0.000981681,0.199645,4.11246,23.7153,2.07968,-1.56406,-0.159996,-0.0360696,0.199491,
0.1616,-0.00897917,13.6675,0.0814249,0.000966389,0.0016085,-0.00165223,4000.24,-0.00897917,13.6675,0.0814249,0.000966389,0.0016085,-0.00165223,4000.24,-0.00897917,13.6675,0.0814249,0.000966389,0.0016085,-0.00165223,4000.24,-0.00897917,13.6675,0.0814249,0.000966389,0.0016085,-0.00165223,4000.24,-0.00897917,13.6675,0.0814249,0.000966389,0.0016085,-0.00165223,4000.24,-10.0577,18.6316,5.31752,-0.704099,-0.562793,-2.13092,0.199491,10.3407,18.6469,4.20441,-0.111575,-0.105572,-2.65458,0.199491,10.0601,19.2313,3.07482,1.52936,-0.244425,-1.55974,0.199491,10.0686,22.3761,6.37237,2.06838,-0.132517,-1.64088,0.199491,4.1941,19.6734,10.1726,-1.63181,-0.0868016,-0.00174398,0.199645,4.11611,23.7738,2.15588,-1.57414,0.149681,-0.0294762,0.199491,
0.1717,-0.00948085,13.7204,0.0813903,0.00121021,0.00147268,-0.00173095,4000.24,-0.00948085,13.7204,0.0813903,0.00121021,0.00147268,-0.00173095,4000.24,-0.00948085,13.7204,0.0813903,0.00121021,0.00147268,-0.00173095,4000.24,-0.00948085,13.7204,0.0813903,0.00121021,0.00147268,-0.00173095,4000.24,-0.00948085,13.7204,0.0813903,0.00121021,0.00147268,-0.00173095,4000.24,-10.095,20.9932,3.77169,2.58842,0.518432,-0.898197,0.199491,10.578,18.9381,4.20262,-0.265371,-0.451335,-2.68536,0.199491,10.0859,18.3932,2.89151,1.05031,-0.204515,-1.45342,0.199491,10.0572,22.7668,6.55022,-0.521046,0.102079,-1.41261,0.199491,4.17792,19.6193,10.1564,-1.63658,0.440971,-0.00275764,0.199645,4.09825,23.8284,1.98473,-1.52599,-0.725146,-0.0662888,0.199491,
0.1818,-0.00998037,13.7635,0.08114,0.00141012,0.00133483,-0.00184313,4000.24,-0.00998037,13.7635,0.08114,0.00141012,0.00133483,-0.00184313,4000.24,-0.00998037,13.7635,0.08114,0.00141012,0.00133483,-0.00184313,4000.24,-0.00998037,13.7635,0.08114,0.00141012,0.00133483,-0.00184313,4000.24,-0.00998037,13.7635,0.08114,0.00141012,0.00133483,-0.00184313,4000.24,-10.0603,18.6283,6.36239,-2.92212,-0.262854,-0.718549,0.199491,10.6367,18.375,4.01626,-0.195404,-0.113739,-2.60125,0.199491,10.1071,18.1844,2.86268,-1.97493,0.228871,-1.67051,0.199491,10.076,22.9791,6.66344,1.60313,-0.191755,-1.57027,0.199491,4.18087,19.5345,10.1661,-1.65355,0.396337,-0.000985352,0.199645,4.09919,23.8799,2.07322,-1.57702,0.134652,-0.0520308,0.199491,
0.1919,-0.0104481,13.7961,0.0811351,0.00169751,0.0011743,-0.00190738,4000.24,-0.0104481,13.7961,0.0811351,0.00169751,0.0011743,-0.00190738,4000.24,-0.0104481,13.7961,0.0811351,0.00169751,0.0011743,-0.00190738,4000.24,-0.0104481,13.7961,0.0811351,0.00169751,0.0011743,-0.00190738,4000.24,-0.0104481,13.7961,0.0811351,0.00169751,0.0011743,-0.00190738,4000.24,-10.0877,20.9785,2.9378,-1.61763,-1.07286,-1.53002,0.199491,10.2824,20.1048,4.49134,-0.39055,-0.633264,-2.56201,0.199491,10.0558,19.9346,3.43022,2.20063,-0.19601,-1.71023,0.199491,10.0559,22.6598,6.69717,-0.926476,0.18545,-1.43243,0.199491,4.13428,19.8502,10.2406,-1.65993,-1.21904,0.0413318,0.199645,4.09918,23.9068,2.01088,-1.54842,-0.364717,-0.0581925,0.199491,
0.202,-0.0109428,13.8191,0.080956,0.0019922,0.000945912,-0.00200088,4000.24,-0.0109428,13.8191,0.080956,0.0019922,0.000945912,-0.00200088,4000.24,-0.0109428,13.8191,0.080956,0.0019922,0.000945912,-0.00200088,4000.24,-0.0109428,13.8191,0.080956,0.0019922,0.000945912,-0.00200088,4000.24,-0.0109428,13.8191,0.080956,0.0019922,0.000945912,-0.00200088,4000.24,-10.1299,20.3811,4.22291,0.0784916,0.157866,-2.77499,0.199491,10.335,19.1445,4.21183,0.0663991,0.21475,-2.63011,0.199491,10.0776,19.6543,3.57733,2.15018,-0.259072,-1.72759,0.199491,10.0626,23.1149,6.77714,1.62966,-0.059856,-1.5669,0.199491,4.14417,19.8519,10.1586,-1.70588,0.42425,0.00186569,0.199645,4.09007,23.9345,2.01742,-1.55641,-0.254338,-0.0546101,0.199491,
0.2121,-0.0114272,13.8321,0.0807437,0.00227832,0.000702998,-0.00208928,4000.24,-0.0114272,13.8321,0.0807437,0.00227832,0.000702998,-0.00208928,4000.24,-0.0114272,13.8321,0.0807437,0.00227832,0.000702998,-0.00208928,4000.24,-0.0114272,13.8321,0.0807437,0.00227832,0.000702998,-0.00208928,4000.24,-0.0114272,13.8321,0.0807437,0.00227832,0.000702998,-0.00208928,4000.24,-10.0771,19.7116,6.38009,1.8375,1.21372,-1.32295,0.199491,10.2683,18.9164,4.17206,-0.0178407,-0.0214945,-2.6075,0.199491,10.0368,18.6848,3.35382,-2.65222,0.164849,-1.86782,0.199491,10.0478,23.1859,6.69754,-0.273911,0.0122597,-1.52382,0.199491,4.06627,19.6687,10.1644,-1.79644,-0.186316,-0.000266427,0.199645,4.07186,23.9455,2.02083,-1.56159,-0.119712,-0.0597868,0.199491,
0.2222,-0.0119287,13.835,0.0806082,0.00265471,0.000432841,-0.00217842,4000.24,-0.0119287,13.835,0.0806082,0.00265471,0.000432841,-0.00217842,4000.24,-0.0119287,13.835,0.0806082,0.00265471,0.000432841,-0.00217842,4000.24,-0.0119287,13.835,0.0806082,0.00265471,0.000432841,-0.00217842,4000.24,-0.0119287,13.835,0.0806082,0.00265471,0.000432841,-0.00217842,4000.24,-10.0682,19.8779,6.05964,-2.63483,-0.864788,-0.613583,0.199491,10.4259,18.7221,4.13704,-0.184957,-0.180372,-2.60143,0.199491,10.05,19.8186,3.91817,1.65229,-0.224099,-1.58743,0.199491,10.0673,23.189,6.74762,1.50432,-0.159565,-1.55843,0.199491,4.06032,19.6383,10.1675,-1.79352,-0.00808223,5.12713e-05,0.199645,4.05482,23.9549,2.043,-1.57029,0.0366967,-0.0632311,0.199491,
