tgDataLogger2 started logging at time 01262019_220802, with 6 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,
0.1,-4.38933,8.95473,-0.512704,0.000420907,0.00783806,-2.35109,0.199491,3.3666,8.9376,-0.55772,-0.00431962,-0.00346366,-2.35773,0.199491,0.465834,8.17561,-0.75797,-0.00301639,0.000270596,-0.782007,0.199491,0.842861,10.5569,2.00292,0.000212133,-0.00443086,-0.793128,0.199491,0.74815,8.56967,1.92625,-1.5732,-0.00635081,-0.00645643,0.199645,-0.295274,11.218,-1.05543,-1.57035,0.000757635,-0.00231885,0.199491,
0.2,-4.33319,7.47635,-0.511566,-0.00900496,0.00785185,-2.34476,0.199491,3.3364,7.48259,-0.56991,-0.0104604,-0.00894125,-2.35957,0.199491,0.46149,6.71539,-0.743548,-0.00403592,-0.00238953,-0.777385,0.199491,0.838132,9.08735,1.97896,-0.0038399,-0.00582662,-0.803485,0.199491,0.713002,7.09376,1.92248,-1.56894,-0.0202159,-0.00753603,0.199645,-0.276961,9.73101,-1.03107,-1.57002,0.0136898,-0.00503771,0.199491,
0.3,-4.20521,5.15718,-0.601723,-0.072842,-0.152028,-2.36368,0.199491,3.12469,5.149,-0.607346,-0.00676424,0.103835,-2.37029,0.199491,0.513104,4.85659,-0.658688,-0.0811273,0.0767385,-0.857383,0.199491,0.861746,6.83919,1.96895,-0.014199,0.0124345,-0.812911,0.199491,0.705433,4.74158,1.81216,-1.57891,-0.0557723,-0.0257257,0.199645,-0.299611,7.33166,-1.23477,-1.57193,-0.0163537,0.00025849,0.199491,
0.4,-4.32921,5.53882,-0.770206,0.0700229,0.0438109,-2.46175,0.199491,3.12923,5.49599,-0.468674,0.0552733,0.0159715,-2.46442,0.199491,0.433225,4.81963,-0.643445,-0.165607,0.0868921,-0.894145,0.199491,0.723749,7.16344,1.58621,-0.0208412,-0.027113,-0.878035,0.199491,0.544221,5.46529,1.87005,-1.57071,-0.272616,0.0259473,0.199645,-0.330568,7.67279,-1.3089,-1.57866,-0.0598455,0.0507651,0.199491,
0.5,-4.37595,5.57221,-0.896586,-0.0694744,-0.104143,-2.49965,0.199491,3.44237,5.71001,-0.663331,0.00666612,-0.0557807,-2.54628,0.199491,0.323461,4.70581,-0.899282,0.11333,-0.135732,-0.955195,0.199491,0.550113,7.97174,1.58866,-0.0500422,-0.0341205,-1.0172,0.199491,0.426661,5.60963,1.89384,-1.56959,-0.125012,0.0553462,0.199645,-0.295183,7.82791,-1.69522,-1.55627,-0.259672,0.0189234,0.199491,
0.6,-3.95726,5.31876,-1.04615,-0.12831,-0.141769,-2.41194,0.199491,3.13493,5.53958,-0.703921,-0.000980647,-0.0703553,-2.49232,0.199491,0.43797,4.76518,-0.792474,-0.0607509,-0.0363458,-0.874506,0.199491,0.629708,7.28503,1.38735,0.0390248,-0.124333,-0.984291,0.199491,0.352594,5.33765,1.65561,-1.55055,-0.160383,0.0580431,0.199645,-0.143291,7.50796,-1.41062,-1.56606,-0.194395,0.0448639,0.199491,
0.7,-4.17063,5.3525,-1.18492,0.0475388,-0.0957145,-2.43143,0.199491,3.01842,5.29262,-0.457134,-0.0150734,-0.0684631,-2.41196,0.199491,0.518106,4.83467,-0.708788,-0.200734,0.073526,-0.857053,0.199491,0.580177,6.90636,1.61672,-0.0550423,-0.0722949,-0.84526,0.199491,0.361233,5.11813,1.69134,-1.5753,0.00238184,0.0789776,0.199645,-0.250987,7.43717,-1.39365,-1.58971,-0.0645703,0.115583,0.199491,
0.8,-4.30863,5.34971,-1.251,0.00758498,-0.159293,-2.43185,0.199491,3.07399,5.32159,-0.364469,-0.0336558,-0.127214,-2.41735,0.199491,0.467076,4.79118,-0.745919,0.0518401,-0.154493,-0.878283,0.199491,0.448638,7.02744,1.71107,0.0175051,-0.147064,-0.85969,0.199491,0.285313,5.13422,1.76824,-1.58228,-0.0696101,0.105998,0.199645,-0.30529,7.50338,-1.43759,-1.58096,-0.0577356,0.130444,0.199491,
0.9,-4.18937,5.37696,-1.2747,0.00421678,-0.139989,-2.43979,0.199491,3.02309,5.37231,-0.421539,-0.00393828,-0.112306,-2.43729,0.199491,0.491794,4.79599,-0.725311,-0.0712767,-0.0569272,-0.863926,0.199491,0.57677,6.94889,1.49638,0.0789542,-0.186288,-0.874151,0.199491,0.368066,5.28681,1.65878,-1.56609,-0.108387,0.0926203,0.199645,-0.259893,7.49109,-1.4267,-1.59138,-0.122726,0.132666,0.199491,
1,-4.19468,5.37601,-1.27722,0.0146106,-0.129178,-2.44089,0.199491,3.02338,5.37178,-0.421299,0.00321746,-0.103353,-2.43787,0.199491,0.490125,4.79611,-0.727169,-0.0518753,-0.0735231,-0.86515,0.199491,0.571552,6.95534,1.50378,-0.00431188,-0.117009,-0.862092,0.199491,0.363714,5.28255,1.66059,-1.56358,-0.0762127,0.0930001,0.199645,-0.262073,7.49139,-1.42941,-1.59128,-0.122818,0.132844,0.199491,
