time,0_rod(payload_bars compound_3cJZw9).X,0_rod(payload_bars compound_3cJZw9).Y,0_rod(payload_bars compound_3cJZw9).Z,0_rod(payload_bars compound_3cJZw9).Euler1,0_rod(payload_bars compound_3cJZw9).Euler2,0_rod(payload_bars compound_3cJZw9).Euler3,0_rod(payload_bars compound_3cJZw9).mass,1_rod(payload_bars compound_3cJZw9).X,1_rod(payload_bars compound_3cJZw9).Y,1_rod(payload_bars compound_3cJZw9).Z,1_rod(payload_bars compound_3cJZw9).Euler1,1_rod(payload_bars compound_3cJZw9).Euler2,1_rod(payload_bars compound_3cJZw9).Euler3,1_rod(payload_bars compound_3cJZw9).mass,2_rod(payload_bars compound_3cJZw9).X,2_rod(payload_bars compound_3cJZw9).Y,2_rod(payload_bars compound_3cJZw9).Z,2_rod(payload_bars compound_3cJZw9).Euler1,2_rod(payload_bars compound_3cJZw9).Euler2,2_rod(payload_bars compound_3cJZw9).Euler3,2_rod(payload_bars compound_3cJZw9).mass,3_rod(payload_bars compound_3cJZw9).X,3_rod(payload_bars compound_3cJZw9).Y,3_rod(payload_bars compound_3cJZw9).Z,3_rod(payload_bars compound_3cJZw9).Euler1,3_rod(payload_bars compound_3cJZw9).Euler2,3_rod(payload_bars compound_3cJZw9).Euler3,3_rod(payload_bars compound_3cJZw9).mass,4_rod(sense_bar compound_3cJZw9).X,4_rod(sense_bar compound_3cJZw9).Y,4_rod(sense_bar compound_3cJZw9).Z,4_rod(sense_bar compound_3cJZw9).Euler1,4_rod(sense_bar compound_3cJZw9).Euler2,4_rod(sense_bar compound_3cJZw9).Euler3,4_rod(sense_bar compound_3cJZw9).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
1.4645,-0.749428,11.2515,-1.86077,0.0982225,-0.054175,-2.23476,0.24652,-0.749428,11.2515,-1.86077,0.0982225,-0.054175,-2.23476,0.24652,-0.749428,11.2515,-1.86077,0.0982225,-0.054175,-2.23476,0.24652,-0.749428,11.2515,-1.86077,0.0982225,-0.054175,-2.23476,0.24652,-0.749428,11.2515,-1.86077,0.0982225,-0.054175,-2.23476,0.24652,-1.47831,11.1957,-1.89115,0.077721,-0.0575058,1.69681,0.0593527,-0.00064572,11.3411,-1.80352,0.0707114,-0.0565587,1.6972,0.0593527,-0.773782,11.1707,-1.11028,0.0897898,0.00666745,-3.0239,0.0593527,-0.704443,11.3663,-2.58432,0.0907231,0.0146139,-3.02397,0.0593527,-0.804962,12.0049,-1.75852,1.74643,-0.922507,3.04417,0.0593527,-0.673611,10.5319,-1.93627,1.75089,-0.943772,3.04116,0.0593527,
1.4746,-0.765256,11.1945,-1.89697,0.112559,-0.0471255,-2.41639,0.24652,-0.765256,11.1945,-1.89697,0.112559,-0.0471255,-2.41639,0.24652,-0.765256,11.1945,-1.89697,0.112559,-0.0471255,-2.41639,0.24652,-0.765256,11.1945,-1.89697,0.112559,-0.0471255,-2.41639,0.24652,-0.765256,11.1945,-1.89697,0.112559,-0.0471255,-2.41639,0.24652,-1.49341,11.1298,-1.92434,0.0717749,-0.0542057,1.51731,0.0593527,-0.0174487,11.297,-1.84913,0.0627214,-0.0545081,1.51779,0.0593527,-0.797666,11.249,-1.14435,0.0962449,-0.0380873,3.07891,0.0593527,-0.712108,11.1781,-2.62895,0.095471,-0.0258543,3.0787,0.0593527,-0.824735,11.9534,-1.93207,1.7295,-0.738112,3.07323,0.0593527,-0.685573,10.4736,-1.84152,1.73048,-0.73814,3.07331,0.0593527,
1.4847,-0.780912,11.1276,-1.9331,0.12506,-0.0358905,-2.59711,0.24652,-0.780912,11.1276,-1.9331,0.12506,-0.0358905,-2.59711,0.24652,-0.780912,11.1276,-1.9331,0.12506,-0.0358905,-2.59711,0.24652,-0.780912,11.1276,-1.9331,0.12506,-0.0358905,-2.59711,0.24652,-0.780912,11.1276,-1.9331,0.12506,-0.0358905,-2.59711,0.24652,-1.50857,11.0547,-1.95584,0.129837,-0.0402158,1.33479,0.0593527,-0.0341512,11.242,-1.8965,0.122622,-0.0420491,1.33508,0.0593527,-0.822464,11.3159,-1.20283,0.1213,-0.0860154,2.89774,0.0593527,-0.719357,10.981,-2.64958,0.121941,-0.0885625,2.89756,0.0593527,-0.843228,11.868,-2.10414,1.71936,-0.515084,3.09575,0.0593527,-0.69908,10.4289,-1.74804,1.71891,-0.492315,3.09656,0.0593527,
1.4948,-0.79672,11.0514,-1.96888,0.135294,-0.0224451,-2.77622,0.24652,-0.79672,11.0514,-1.96888,0.135294,-0.0224451,-2.77622,0.24652,-0.79672,11.0514,-1.96888,0.135294,-0.0224451,-2.77622,0.24652,-0.79672,11.0514,-1.96888,0.135294,-0.0224451,-2.77622,0.24652,-0.79672,11.0514,-1.96888,0.135294,-0.0224451,-2.77622,0.24652,-1.52359,10.9706,-1.98616,0.146489,-0.024719,1.15431,0.0593527,-0.0510081,11.1752,-1.9455,0.160128,-0.0185226,1.15402,0.0593527,-0.84722,11.3673,-1.28471,0.119197,-0.0248033,2.71807,0.0593527,-0.726257,10.7788,-2.64685,0.121277,-0.0294159,2.71784,0.0593527,-0.860164,11.7483,-2.27064,1.71851,-0.358352,3.11239,0.0593527,-0.713882,10.3976,-1.66112,1.71931,-0.359941,3.1128,0.0593527,
1.5049,-0.812448,10.9654,-2.0047,0.144268,-0.0087903,-2.95605,0.24652,-0.812448,10.9654,-2.0047,0.144268,-0.0087903,-2.95605,0.24652,-0.812448,10.9654,-2.0047,0.144268,-0.0087903,-2.95605,0.24652,-0.812448,10.9654,-2.0047,0.144268,-0.0087903,-2.95605,0.24652,-0.812448,10.9654,-2.0047,0.144268,-0.0087903,-2.95605,0.24652,-1.5388,10.8782,-2.0148,0.11823,-0.0335259,0.975127,0.0593527,-0.0675763,11.0964,-1.99613,0.133277,-0.0232654,0.974693,0.0593527,-0.872101,11.3986,-1.389,0.0975743,0.0314075,2.53744,0.0593527,-0.733351,10.5761,-2.62191,0.0932639,0.0376298,2.53716,0.0593527,-0.875883,11.5968,-2.42717,1.7204,-0.211618,3.12876,0.0593527,-0.730017,10.3778,-1.58385,1.72127,-0.228915,3.12924,0.0593527,
1.515,-0.828257,10.8699,-2.04054,0.151091,0.00643385,-3.13686,0.24652,-0.828257,10.8699,-2.04054,0.151091,0.00643385,-3.13686,0.24652,-0.828257,10.8699,-2.04054,0.151091,0.00643385,-3.13686,0.24652,-0.828257,10.8699,-2.04054,0.151091,0.00643385,-3.13686,0.24652,-0.828257,10.8699,-2.04054,0.151091,0.00643385,-3.13686,0.24652,-1.55398,10.7775,-2.04193,0.135228,-0.0156694,0.795053,0.0593527,-0.0841606,11.0049,-2.0482,0.118431,-0.0319265,0.79545,0.0593527,-0.896911,11.4058,-1.5128,0.136891,-0.00148332,2.35784,0.0593527,-0.740287,10.377,-2.57741,0.129398,0.00603358,2.35769,0.0593527,-0.890006,11.4147,-2.56988,1.7242,0.00479528,-3.13747,0.0593527,-0.747644,10.3679,-1.5204,1.72491,0.0142392,-3.13682,0.0593527,
1.5251,-0.844074,10.7646,-2.07651,0.153586,0.0241539,2.96665,0.24652,-0.844074,10.7646,-2.07651,0.153586,0.0241539,2.96665,0.24652,-0.844074,10.7646,-2.07651,0.153586,0.0241539,2.96665,0.24652,-0.844074,10.7646,-2.07651,0.153586,0.0241539,2.96665,0.24652,-0.844074,10.7646,-2.07651,0.153586,0.0241539,2.96665,0.24652,-1.56929,10.6685,-2.06829,0.165746,0.0319322,0.615552,0.0593527,-0.10058,10.9014,-2.10081,0.150428,0.0101209,0.615224,0.0593527,-0.921347,11.3859,-1.65404,0.182809,-0.0153818,2.178,0.0593527,-0.747553,10.1843,-2.51537,0.184243,-0.0163645,2.17773,0.0593527,-0.902723,11.2056,-2.6956,1.7322,0.20291,-3.11953,0.0593527,-0.766733,10.3647,-1.47374,1.73331,0.220328,-3.11866,0.0593527,
1.5352,-0.859906,10.6499,-2.11244,0.152777,0.0418553,2.7877,0.24652,-0.859906,10.6499,-2.11244,0.152777,0.0418553,2.7877,0.24652,-0.859906,10.6499,-2.11244,0.152777,0.0418553,2.7877,0.24652,-0.859906,10.6499,-2.11244,0.152777,0.0418553,2.7877,0.24652,-0.859906,10.6499,-2.11244,0.152777,0.0418553,2.7877,0.24652,-1.58464,10.5514,-2.09459,0.155852,0.032367,0.4353,0.0593527,-0.11704,10.7856,-2.15391,0.168982,0.0608738,0.435913,0.0593527,-0.944917,11.3364,-1.80932,0.137554,0.0316603,1.99768,0.0593527,-0.755688,10.0008,-2.43909,0.14166,0.0297943,1.99775,0.0593527,-0.914112,10.9721,-2.80101,1.74254,0.337198,-3.09965,0.0593527,-0.787005,10.3647,-1.44737,1.74286,0.328644,-3.09886,0.0593527,
1.5453,-0.875777,10.5254,-2.14874,0.151048,0.0590244,2.60757,0.24652,-0.875777,10.5254,-2.14874,0.151048,0.0590244,2.60757,0.24652,-0.875777,10.5254,-2.14874,0.151048,0.0590244,2.60757,0.24652,-0.875777,10.5254,-2.14874,0.151048,0.0590244,2.60757,0.24652,-0.875777,10.5254,-2.14874,0.151048,0.0590244,2.60757,0.24652,-1.60007,10.4266,-2.12036,0.146709,0.0194205,0.255272,0.0593527,-0.133214,10.6568,-2.20666,0.154548,0.0496163,0.255534,0.0593527,-0.967474,11.2545,-1.97438,0.0915729,0.0577661,1.81532,0.0593527,-0.764851,9.82911,-2.35267,0.0850452,0.0593782,1.81477,0.0593527,-0.924477,10.7188,-2.88456,1.7591,0.515866,-3.07506,0.0593527,-0.808323,10.3646,-1.44249,1.759,0.504834,-3.07444,0.0593527,
1.5554,-0.891652,10.3913,-2.18531,0.146227,0.0758677,2.42686,0.24652,-0.891652,10.3913,-2.18531,0.146227,0.0758677,2.42686,0.24652,-0.891652,10.3913,-2.18531,0.146227,0.0758677,2.42686,0.24652,-0.891652,10.3913,-2.18531,0.146227,0.0758677,2.42686,0.24652,-0.891652,10.3913,-2.18531,0.146227,0.0758677,2.42686,0.24652,-1.61581,10.2942,-2.14618,0.150165,0.0666106,0.0758408,0.0593527,-0.149145,10.5151,-2.25892,0.146983,0.0263466,0.0756926,0.0593527,-0.989177,11.1392,-2.14509,0.144563,0.0603267,1.63834,0.0593527,-0.774823,9.67044,-2.26036,0.134232,0.0610219,1.6376,0.0593527,-0.933804,10.4491,-2.94413,1.78959,0.740542,-3.039,0.0593527,-0.830651,10.3603,-1.46121,1.79263,0.755191,-3.0363,0.0593527,
