time,0_rod(payload_bars compound_).X,0_rod(payload_bars compound_).Y,0_rod(payload_bars compound_).Z,0_rod(payload_bars compound_).Euler1,0_rod(payload_bars compound_).Euler2,0_rod(payload_bars compound_).Euler3,0_rod(payload_bars compound_).mass,1_rod(payload_bars compound_).X,1_rod(payload_bars compound_).Y,1_rod(payload_bars compound_).Z,1_rod(payload_bars compound_).Euler1,1_rod(payload_bars compound_).Euler2,1_rod(payload_bars compound_).Euler3,1_rod(payload_bars compound_).mass,2_rod(payload_bars compound_).X,2_rod(payload_bars compound_).Y,2_rod(payload_bars compound_).Z,2_rod(payload_bars compound_).Euler1,2_rod(payload_bars compound_).Euler2,2_rod(payload_bars compound_).Euler3,2_rod(payload_bars compound_).mass,3_rod(payload_bars compound_).X,3_rod(payload_bars compound_).Y,3_rod(payload_bars compound_).Z,3_rod(payload_bars compound_).Euler1,3_rod(payload_bars compound_).Euler2,3_rod(payload_bars compound_).Euler3,3_rod(payload_bars compound_).mass,4_rod(sense_bar compound_).X,4_rod(sense_bar compound_).Y,4_rod(sense_bar compound_).Z,4_rod(sense_bar compound_).Euler1,4_rod(sense_bar compound_).Euler2,4_rod(sense_bar compound_).Euler3,4_rod(sense_bar compound_).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,5.11324e-06,49.4012,0.00848873,-0.000152499,-0.000508778,1.27272e-07,0.24652,5.11324e-06,49.4012,0.00848873,-0.000152499,-0.000508778,1.27272e-07,0.24652,5.11324e-06,49.4012,0.00848873,-0.000152499,-0.000508778,1.27272e-07,0.24652,5.11324e-06,49.4012,0.00848873,-0.000152499,-0.000508778,1.27272e-07,0.24652,5.11324e-06,49.4012,0.00848873,-0.000152499,-0.000508778,1.27272e-07,0.24652,-0.729672,49.3836,0.0154434,0.00529718,0.0130592,-2.35194,0.0593527,0.754302,49.379,0.0109035,0.00481491,0.0125636,-2.35195,0.0593527,0.00819108,48.8588,-0.513687,0.0169656,0.00558959,-0.788873,0.0593527,0.0164237,49.9037,0.540027,0.015213,0.00733016,-0.788903,0.0593527,0.0241777,48.8586,0.539682,-1.57385,-0.00299866,-0.00306147,0.0593527,0.000437831,49.904,-0.513301,-1.57383,-0.00347358,-0.0030737,0.0593527,
0.1212,6.1918e-06,49.2862,0.00848822,-0.000888587,-0.00178627,-0.000264863,0.24652,6.1918e-06,49.2862,0.00848822,-0.000888587,-0.00178627,-0.000264863,0.24652,6.1918e-06,49.2862,0.00848822,-0.000888587,-0.00178627,-0.000264863,0.24652,6.1918e-06,49.2862,0.00848822,-0.000888587,-0.00178627,-0.000264863,0.24652,6.1918e-06,49.2862,0.00848822,-0.000888587,-0.00178627,-0.000264863,0.24652,-0.729426,49.2685,0.0155425,0.00689905,0.0146309,-2.3519,0.0593527,0.754042,49.2639,0.0108299,0.00654618,0.0142969,-2.3519,0.0593527,0.00818414,48.744,-0.513524,0.0161116,0.0066132,-0.788894,0.0593527,0.0164454,49.7885,0.539877,0.0150712,0.00764672,-0.78888,0.0593527,0.0243601,48.7437,0.539454,-1.57384,-0.00287174,-0.00311865,0.0593527,0.000250358,49.7887,-0.51311,-1.57385,-0.00307924,-0.00310859,0.0593527,
0.1313,2.1648e-06,49.1611,0.00849037,-0.000248428,-3.98948e-05,-8.42041e-05,0.24652,2.1648e-06,49.1611,0.00849037,-0.000248428,-3.98948e-05,-8.42041e-05,0.24652,2.1648e-06,49.1611,0.00849037,-0.000248428,-3.98948e-05,-8.42041e-05,0.24652,2.1648e-06,49.1611,0.00849037,-0.000248428,-3.98948e-05,-8.42041e-05,0.24652,2.1648e-06,49.1611,0.00849037,-0.000248428,-3.98948e-05,-8.42041e-05,0.24652,-0.729607,49.1435,0.0153955,0.0064409,0.0141821,-2.35192,0.0593527,0.754252,49.139,0.0109436,0.00691078,0.0146361,-2.35191,0.0593527,0.00819707,48.6188,-0.513657,0.0145557,0.00793583,-0.788891,0.0593527,0.0164066,49.6636,0.539992,0.0165252,0.00598032,-0.788897,0.0593527,0.0241418,48.6185,0.539647,-1.57382,-0.00294196,-0.00302799,0.0593527,0.000482273,49.6639,-0.51326,-1.57382,-0.00244179,-0.00303595,0.0593527,
0.1414,-4.65785e-06,49.0261,0.00849373,0.000684112,0.00146757,0.000185174,0.24652,-4.65785e-06,49.0261,0.00849373,0.000684112,0.00146757,0.000185174,0.24652,-4.65785e-06,49.0261,0.00849373,0.000684112,0.00146757,0.000185174,0.24652,-4.65785e-06,49.0261,0.00849373,0.000684112,0.00146757,0.000185174,0.24652,-4.65785e-06,49.0261,0.00849373,0.000684112,0.00146757,0.000185174,0.24652,-0.729536,49.0084,0.0153056,0.00427447,0.0120284,-2.35197,0.0593527,0.754171,49.0039,0.0110421,0.00479215,0.0125435,-2.35196,0.0593527,0.00822739,48.4838,-0.513578,0.0153783,0.0069008,-0.788898,0.0593527,0.0164029,49.5285,0.539918,0.0170659,0.00522425,-0.788888,0.0593527,0.0238908,48.4835,0.539591,-1.5738,-0.00316869,-0.00300302,0.0593527,0.000745179,49.5288,-0.513232,-1.57381,-0.00280545,-0.0029971,0.0593527,
0.1515,-2.52421e-06,48.881,0.00849288,0.000419797,0.000403182,0.000105018,0.24652,-2.52421e-06,48.881,0.00849288,0.000419797,0.000403182,0.000105018,0.24652,-2.52421e-06,48.881,0.00849288,0.000419797,0.000403182,0.000105018,0.24652,-2.52421e-06,48.881,0.00849288,0.000419797,0.000403182,0.000105018,0.24652,-2.52421e-06,48.881,0.00849288,0.000419797,0.000403182,0.000105018,0.24652,-0.729567,48.8634,0.0153888,0.00416311,0.0119254,-2.35196,0.0593527,0.754192,48.8588,0.0109566,0.00381284,0.011579,-2.35197,0.0593527,0.00821333,48.3387,-0.513603,0.0171065,0.00531451,-0.788878,0.0593527,0.0164265,49.3835,0.539942,0.0156509,0.00675983,-0.788899,0.0593527,0.0240273,48.3385,0.53961,-1.57383,-0.00318735,-0.00304961,0.0593527,0.00059986,49.3837,-0.513243,-1.57383,-0.00361267,-0.00304645,0.0593527,
0.1616,-4.2608e-07,48.726,0.00848487,-0.000422332,-0.000976223,-0.000126337,0.24652,-4.2608e-07,48.726,0.00848487,-0.000422332,-0.000976223,-0.000126337,0.24652,-4.2608e-07,48.726,0.00848487,-0.000422332,-0.000976223,-0.000126337,0.24652,-4.2608e-07,48.726,0.00848487,-0.000422332,-0.000976223,-0.000126337,0.24652,-4.2608e-07,48.726,0.00848487,-0.000422332,-0.000976223,-0.000126337,0.24652,-0.729542,48.7083,0.0154831,0.00657882,0.0143221,-2.35191,0.0593527,0.754173,48.7037,0.010881,0.00613638,0.013877,-2.35192,0.0593527,0.00819257,48.1837,-0.513604,0.0162502,0.00636136,-0.788887,0.0593527,0.016438,49.2284,0.539948,0.0148444,0.00775753,-0.788893,0.0593527,0.0242574,48.1834,0.539585,-1.57385,-0.00293243,-0.00307433,0.0593527,0.000365716,49.2286,-0.51321,-1.57384,-0.00326555,-0.00307672,0.0593527,
0.1717,5.26457e-07,48.5609,0.00848924,-0.000432121,-0.000435874,-0.000124581,0.24652,5.26457e-07,48.5609,0.00848924,-0.000432121,-0.000435874,-0.000124581,0.24652,5.26457e-07,48.5609,0.00848924,-0.000432121,-0.000435874,-0.000124581,0.24652,5.26457e-07,48.5609,0.00848924,-0.000432121,-0.000435874,-0.000124581,0.24652,5.26457e-07,48.5609,0.00848924,-0.000432121,-0.000435874,-0.000124581,0.24652,-0.729536,48.5432,0.0154286,0.00730843,0.0150341,-2.3519,0.0593527,0.754173,48.5387,0.0109246,0.00768196,0.0154082,-2.3519,0.0593527,0.00819703,48.0186,-0.513603,0.0143892,0.00815127,-0.788902,0.0593527,0.016418,49.0633,0.539946,0.0161402,0.00641256,-0.788888,0.0593527,0.0242015,48.0183,0.53958,-1.57383,-0.00282393,-0.00304079,0.0593527,0.000426951,49.0636,-0.513211,-1.57383,-0.00232851,-0.00304277,0.0593527,
0.1818,-2.76196e-08,48.3858,0.00849287,0.000260036,0.000740031,5.90333e-05,0.24652,-2.76196e-08,48.3858,0.00849287,0.000260036,0.000740031,5.90333e-05,0.24652,-2.76196e-08,48.3858,0.00849287,0.000260036,0.000740031,5.90333e-05,0.24652,-2.76196e-08,48.3858,0.00849287,0.000260036,0.000740031,5.90333e-05,0.24652,-2.76196e-08,48.3858,0.00849287,0.000260036,0.000740031,5.90333e-05,0.24652,-0.729565,48.3682,0.01535,0.00481718,0.0125713,-2.35195,0.0593527,0.754202,48.3636,0.0109942,0.00538014,0.0131249,-2.35195,0.0593527,0.00821243,47.8435,-0.51361,0.0152044,0.00717949,-0.788894,0.0593527,0.0164033,48.8883,0.539949,0.0171797,0.00521764,-0.78889,0.0593527,0.0240099,47.8433,0.53961,-1.57381,-0.00305657,-0.00301885,0.0593527,0.00062016,48.8885,-0.513242,-1.57381,-0.0026143,-0.00301948,0.0593527,
0.1919,-3.28232e-06,48.2007,0.00849182,0.000449994,0.000569259,0.000107634,0.24652,-3.28232e-06,48.2007,0.00849182,0.000449994,0.000569259,0.000107634,0.24652,-3.28232e-06,48.2007,0.00849182,0.000449994,0.000569259,0.000107634,0.24652,-3.28232e-06,48.2007,0.00849182,0.000449994,0.000569259,0.000107634,0.24652,-3.28232e-06,48.2007,0.00849182,0.000449994,0.000569259,0.000107634,0.24652,-0.729554,48.1831,0.015377,0.00353408,0.0113025,-2.35197,0.0593527,0.754183,48.1785,0.0109743,0.00331115,0.0110815,-2.35197,0.0593527,0.00821685,47.6584,-0.513595,0.017192,0.00521496,-0.788882,0.0593527,0.0164218,48.7032,0.539936,0.0160344,0.00636417,-0.788892,0.0593527,0.0240107,47.6582,0.539599,-1.57382,-0.00325953,-0.00304467,0.0593527,0.000617153,48.7034,-0.513237,-1.57382,-0.00364011,-0.00304146,0.0593527,
0.202,-2.32032e-06,48.0057,0.00848873,-7.45841e-05,-0.00037463,-2.47532e-05,0.24652,-2.32032e-06,48.0057,0.00848873,-7.45841e-05,-0.00037463,-2.47532e-05,0.24652,-2.32032e-06,48.0057,0.00848873,-7.45841e-05,-0.00037463,-2.47532e-05,0.24652,-2.32032e-06,48.0057,0.00848873,-7.45841e-05,-0.00037463,-2.47532e-05,0.24652,-2.32032e-06,48.0057,0.00848873,-7.45841e-05,-0.00037463,-2.47532e-05,0.24652,-0.729552,47.988,0.0154415,0.00594406,0.0136892,-2.35193,0.0593527,0.754181,47.9834,0.0109153,0.00544675,0.0131949,-2.35194,0.0593527,0.00820266,47.4634,-0.513603,0.016477,0.00604989,-0.788885,0.0593527,0.016435,48.5081,0.539945,0.0147921,0.0077231,-0.788898,0.0593527,0.0241587,47.4631,0.539594,-1.57384,-0.00305162,-0.00306101,0.0593527,0.000466478,48.5083,-0.513225,-1.57384,-0.00346387,-0.00306021,0.0593527,
