time,0_rod(payload_bars compound_QU2E82).X,0_rod(payload_bars compound_QU2E82).Y,0_rod(payload_bars compound_QU2E82).Z,0_rod(payload_bars compound_QU2E82).Euler1,0_rod(payload_bars compound_QU2E82).Euler2,0_rod(payload_bars compound_QU2E82).Euler3,0_rod(payload_bars compound_QU2E82).mass,1_rod(payload_bars compound_QU2E82).X,1_rod(payload_bars compound_QU2E82).Y,1_rod(payload_bars compound_QU2E82).Z,1_rod(payload_bars compound_QU2E82).Euler1,1_rod(payload_bars compound_QU2E82).Euler2,1_rod(payload_bars compound_QU2E82).Euler3,1_rod(payload_bars compound_QU2E82).mass,2_rod(payload_bars compound_QU2E82).X,2_rod(payload_bars compound_QU2E82).Y,2_rod(payload_bars compound_QU2E82).Z,2_rod(payload_bars compound_QU2E82).Euler1,2_rod(payload_bars compound_QU2E82).Euler2,2_rod(payload_bars compound_QU2E82).Euler3,2_rod(payload_bars compound_QU2E82).mass,3_rod(payload_bars compound_QU2E82).X,3_rod(payload_bars compound_QU2E82).Y,3_rod(payload_bars compound_QU2E82).Z,3_rod(payload_bars compound_QU2E82).Euler1,3_rod(payload_bars compound_QU2E82).Euler2,3_rod(payload_bars compound_QU2E82).Euler3,3_rod(payload_bars compound_QU2E82).mass,4_rod(payload_bars compound_QU2E82).X,4_rod(payload_bars compound_QU2E82).Y,4_rod(payload_bars compound_QU2E82).Z,4_rod(payload_bars compound_QU2E82).Euler1,4_rod(payload_bars compound_QU2E82).Euler2,4_rod(payload_bars compound_QU2E82).Euler3,4_rod(payload_bars compound_QU2E82).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.00529375,99.4536,0.0827296,0.00135355,-0.00246353,-0.0012411,500.12,-0.00529375,99.4536,0.0827296,0.00135355,-0.00246353,-0.0012411,500.12,-0.00529375,99.4536,0.0827296,0.00135355,-0.00246353,-0.0012411,500.12,-0.00529375,99.4536,0.0827296,0.00135355,-0.00246353,-0.0012411,500.12,-0.00529375,99.4536,0.0827296,0.00135355,-0.00246353,-0.0012411,500.12,-5.10796,99.8501,0.623095,-0.044333,-0.044073,-2.30946,0.199491,5.25388,99.811,-0.368917,-0.0555633,-0.0122528,-2.32617,0.199491,5.37293,98.4866,-0.128366,-0.203675,0.173496,-0.660987,0.199491,5.0906,99.9655,1.3483,0.575002,-0.4662,-0.965725,0.199491,2.47896,99.267,5.18801,-1.4604,0.371935,0.00250353,0.199645,2.03398,104.555,-0.466816,-1.47405,-0.995559,-0.113646,0.199491,
0.1212,-0.00536535,99.3386,0.0826462,0.00156216,-0.00265039,-0.00132803,500.12,-0.00536535,99.3386,0.0826462,0.00156216,-0.00265039,-0.00132803,500.12,-0.00536535,99.3386,0.0826462,0.00156216,-0.00265039,-0.00132803,500.12,-0.00536535,99.3386,0.0826462,0.00156216,-0.00265039,-0.00132803,500.12,-0.00536535,99.3386,0.0826462,0.00156216,-0.00265039,-0.00132803,500.12,-5.10831,99.7791,0.659426,-0.0311052,-0.0323164,-2.30773,0.199491,5.25389,99.6961,-0.351919,-0.0149905,0.0255407,-2.32042,0.199491,5.37239,98.3589,-0.105728,-0.208723,0.181528,-0.65894,0.199491,5.09016,99.8453,1.36377,0.590116,-0.475756,-0.9723,0.199491,2.54927,99.1628,5.18848,-1.45599,0.866946,0.00388731,0.199645,2.14445,104.441,-0.349612,-1.52249,-0.691209,-0.0734507,0.199491,
0.1313,-0.0054336,99.2135,0.0825613,0.00177815,-0.00281013,-0.00136731,500.12,-0.0054336,99.2135,0.0825613,0.00177815,-0.00281013,-0.00136731,500.12,-0.0054336,99.2135,0.0825613,0.00177815,-0.00281013,-0.00136731,500.12,-0.0054336,99.2135,0.0825613,0.00177815,-0.00281013,-0.00136731,500.12,-0.0054336,99.2135,0.0825613,0.00177815,-0.00281013,-0.00136731,500.12,-5.10861,99.6937,0.678904,-0.074188,-0.0714425,-2.30376,0.199491,5.25394,99.574,-0.32913,0.0330199,0.0695367,-2.31563,0.199491,5.37241,98.2335,-0.0876553,-0.20457,0.177809,-0.654434,0.199491,5.08974,99.7204,1.37751,0.635558,-0.502676,-0.993458,0.199491,2.62148,99.1302,5.1894,-1.45557,0.28454,0.00269192,0.199645,2.24391,104.317,-0.211876,-1.55789,-0.221882,-0.0509125,0.199491,
0.1414,-0.00549619,99.0784,0.0825017,0.00201973,-0.002964,-0.00138802,500.12,-0.00549619,99.0784,0.0825017,0.00201973,-0.002964,-0.00138802,500.12,-0.00549619,99.0784,0.0825017,0.00201973,-0.002964,-0.00138802,500.12,-0.00549619,99.0784,0.0825017,0.00201973,-0.002964,-0.00138802,500.12,-0.00549619,99.0784,0.0825017,0.00201973,-0.002964,-0.00138802,500.12,-5.10906,99.5863,0.704252,-0.0439305,-0.0443986,-2.30353,0.199491,5.25387,99.4266,-0.30826,0.0129706,0.0506758,-2.3165,0.199491,5.3728,98.0914,-0.0749998,-0.215198,0.192545,-0.653338,0.199491,5.08934,99.5816,1.38662,0.634025,-0.501687,-0.992744,0.199491,2.68642,98.9872,5.19018,-1.45011,0.879272,0.00435626,0.199645,2.33636,104.183,-0.13108,-1.55524,-0.303222,-0.0454731,0.199491,
0.1515,-0.0055591,98.9333,0.0824524,0.00226064,-0.00311291,-0.00137121,500.12,-0.0055591,98.9333,0.0824524,0.00226064,-0.00311291,-0.00137121,500.12,-0.0055591,98.9333,0.0824524,0.00226064,-0.00311291,-0.00137121,500.12,-0.0055591,98.9333,0.0824524,0.00226064,-0.00311291,-0.00137121,500.12,-0.0055591,98.9333,0.0824524,0.00226064,-0.00311291,-0.00137121,500.12,-5.10953,99.4563,0.723799,-0.00460537,-0.00932086,-2.30374,0.199491,5.25397,99.2849,-0.276041,0.01653,0.053557,-2.31469,0.199491,5.3732,97.9507,-0.0513406,-0.212008,0.190661,-0.647676,0.199491,5.08891,99.4375,1.40426,0.716246,-0.546091,-1.03384,0.199491,2.74656,98.9424,5.19099,-1.44964,0.267519,0.00302649,0.199645,2.4343,104.038,-0.101355,-1.52965,-0.792253,-0.0546365,0.199491,
0.1616,-0.00562735,98.7783,0.0824063,0.00252822,-0.0032724,-0.00136832,500.12,-0.00562735,98.7783,0.0824063,0.00252822,-0.0032724,-0.00136832,500.12,-0.00562735,98.7783,0.0824063,0.00252822,-0.0032724,-0.00136832,500.12,-0.00562735,98.7783,0.0824063,0.00252822,-0.0032724,-0.00136832,500.12,-0.00562735,98.7783,0.0824063,0.00252822,-0.0032724,-0.00136832,500.12,-5.10993,99.314,0.740431,0.0293683,0.0208161,-2.3027,0.199491,5.25389,99.1214,-0.257295,0.0311853,0.0666323,-2.31399,0.199491,5.37356,97.7905,-0.0401584,-0.22092,0.203168,-0.647155,0.199491,5.08847,99.2792,1.41416,0.710628,-0.54322,-1.03084,0.199491,2.81589,98.7802,5.19175,-1.4457,0.732874,0.00414761,0.199645,2.53658,103.885,-0.0430085,-1.53107,-0.818154,-0.0510139,0.199491,
0.1717,-0.00568861,98.6132,0.0823345,0.00280878,-0.00343023,-0.00135591,500.12,-0.00568861,98.6132,0.0823345,0.00280878,-0.00343023,-0.00135591,500.12,-0.00568861,98.6132,0.0823345,0.00280878,-0.00343023,-0.00135591,500.12,-0.00568861,98.6132,0.0823345,0.00280878,-0.00343023,-0.00135591,500.12,-0.00568861,98.6132,0.0823345,0.00280878,-0.00343023,-0.00135591,500.12,-5.11033,99.1662,0.754763,0.0416104,0.0313624,-2.30181,0.199491,5.25396,98.962,-0.227441,0.0393345,0.0738512,-2.31428,0.199491,5.37387,97.6294,-0.0156988,-0.216616,0.19981,-0.641627,0.199491,5.088,99.119,1.42863,0.796619,-0.584576,-1.07674,0.199491,2.87063,98.6714,5.19222,-1.44608,0.458709,0.00361912,0.199645,2.63586,103.72,0.0533046,-1.55354,-0.41829,-0.0356847,0.199491,
0.1818,-0.00574291,98.4381,0.082293,0.00311058,-0.0035998,-0.00133787,500.12,-0.00574291,98.4381,0.082293,0.00311058,-0.0035998,-0.00133787,500.12,-0.00574291,98.4381,0.082293,0.00311058,-0.0035998,-0.00133787,500.12,-0.00574291,98.4381,0.082293,0.00311058,-0.0035998,-0.00133787,500.12,-0.00574291,98.4381,0.082293,0.00311058,-0.0035998,-0.00133787,500.12,-5.1108,99.0241,0.76078,-0.0354225,-0.0381173,-2.30045,0.199491,5.25393,98.7854,-0.207105,0.0482252,0.0818285,-2.31558,0.199491,5.37413,97.4521,0.00143124,-0.213154,0.196553,-0.638235,0.199491,5.08753,98.9467,1.43681,0.823555,-0.596424,-1.09163,0.199491,2.91874,98.5035,5.19284,-1.4454,0.517024,0.00391385,0.199645,2.72457,103.547,0.105054,-1.55468,-0.393394,-0.0340562,0.199491,
0.1919,-0.0057887,98.253,0.0822684,0.00341498,-0.00376981,-0.00131371,500.12,-0.0057887,98.253,0.0822684,0.00341498,-0.00376981,-0.00131371,500.12,-0.0057887,98.253,0.0822684,0.00341498,-0.00376981,-0.00131371,500.12,-0.0057887,98.253,0.0822684,0.00341498,-0.00376981,-0.00131371,500.12,-0.0057887,98.253,0.0822684,0.00341498,-0.00376981,-0.00131371,500.12,-5.11125,98.8623,0.769596,-0.0519661,-0.0532303,-2.29882,0.199491,5.25395,98.6068,-0.18858,0.0501659,0.0836764,-2.31903,0.199491,5.37423,97.2671,0.0182907,-0.21863,0.205268,-0.636548,0.199491,5.08708,98.7694,1.44343,0.868846,-0.615528,-1.11712,0.199491,2.95625,98.3257,5.19346,-1.44475,0.581171,0.00428664,0.199645,2.8026,103.363,0.115363,-1.54721,-0.57642,-0.0370694,0.199491,
0.202,-0.00582507,98.0579,0.0822429,0.00371784,-0.00393781,-0.00128966,500.12,-0.00582507,98.0579,0.0822429,0.00371784,-0.00393781,-0.00128966,500.12,-0.00582507,98.0579,0.0822429,0.00371784,-0.00393781,-0.00128966,500.12,-0.00582507,98.0579,0.0822429,0.00371784,-0.00393781,-0.00128966,500.12,-0.00582507,98.0579,0.0822429,0.00371784,-0.00393781,-0.00128966,500.12,-5.1117,98.6864,0.778738,-0.0596499,-0.0604216,-2.29771,0.199491,5.25391,98.4188,-0.175037,0.0524369,0.0858867,-2.32282,0.199491,5.37429,97.0731,0.0331813,-0.212632,0.198492,-0.633291,0.199491,5.0866,98.5837,1.44616,0.898334,-0.627399,-1.13396,0.199491,2.98353,98.1478,5.19402,-1.44505,0.468224,0.00420278,0.199645,2.86738,103.169,0.138299,-1.54977,-0.51119,-0.0354725,0.199491,
