time,0_rod(payload_bars compound_qY0).X,0_rod(payload_bars compound_qY0).Y,0_rod(payload_bars compound_qY0).Z,0_rod(payload_bars compound_qY0).Euler1,0_rod(payload_bars compound_qY0).Euler2,0_rod(payload_bars compound_qY0).Euler3,0_rod(payload_bars compound_qY0).mass,1_rod(payload_bars compound_qY0).X,1_rod(payload_bars compound_qY0).Y,1_rod(payload_bars compound_qY0).Z,1_rod(payload_bars compound_qY0).Euler1,1_rod(payload_bars compound_qY0).Euler2,1_rod(payload_bars compound_qY0).Euler3,1_rod(payload_bars compound_qY0).mass,2_rod(payload_bars compound_qY0).X,2_rod(payload_bars compound_qY0).Y,2_rod(payload_bars compound_qY0).Z,2_rod(payload_bars compound_qY0).Euler1,2_rod(payload_bars compound_qY0).Euler2,2_rod(payload_bars compound_qY0).Euler3,2_rod(payload_bars compound_qY0).mass,3_rod(payload_bars compound_qY0).X,3_rod(payload_bars compound_qY0).Y,3_rod(payload_bars compound_qY0).Z,3_rod(payload_bars compound_qY0).Euler1,3_rod(payload_bars compound_qY0).Euler2,3_rod(payload_bars compound_qY0).Euler3,3_rod(payload_bars compound_qY0).mass,4_rod(sense_bar compound_qY0).X,4_rod(sense_bar compound_qY0).Y,4_rod(sense_bar compound_qY0).Z,4_rod(sense_bar compound_qY0).Euler1,4_rod(sense_bar compound_qY0).Euler2,4_rod(sense_bar compound_qY0).Euler3,4_rod(sense_bar compound_qY0).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.000273,49.4011,0.00844492,-0.00100102,0.00136588,0.000604398,0.24652,-0.000273,49.4011,0.00844492,-0.00100102,0.00136588,0.000604398,0.24652,-0.000273,49.4011,0.00844492,-0.00100102,0.00136588,0.000604398,0.24652,-0.000273,49.4011,0.00844492,-0.00100102,0.00136588,0.000604398,0.24652,-0.000273,49.4011,0.00844492,-0.00100102,0.00136588,0.000604398,0.24652,-0.728133,49.3835,0.0152824,0.00646023,0.0142122,-2.35198,0.0592915,0.752984,49.3792,0.011146,0.00535915,0.0129352,-2.35199,0.0592915,0.0085485,48.8598,-0.512667,0.016862,0.00558756,-0.788904,0.0592915,0.0165979,49.9028,0.538999,0.0160608,0.00638148,-0.788931,0.0592915,0.0242877,48.8598,0.538729,-1.57367,-0.00347191,-0.00299121,0.0592915,0.00073272,49.9031,-0.512239,-1.57383,-0.00330466,-0.00283535,0.0592915,
0.1212,-0.000191484,49.2862,0.0085581,0.00034704,0.000114638,0.000123758,0.24652,-0.000191484,49.2862,0.0085581,0.00034704,0.000114638,0.000123758,0.24652,-0.000191484,49.2862,0.0085581,0.00034704,0.000114638,0.000123758,0.24652,-0.000191484,49.2862,0.0085581,0.00034704,0.000114638,0.000123758,0.24652,-0.000191484,49.2862,0.0085581,0.00034704,0.000114638,0.000123758,0.24652,-0.728605,49.2686,0.0153505,0.00582861,0.0135073,-2.35195,0.0592915,0.75323,49.2639,0.010906,0.0049885,0.0128144,-2.35196,0.0592915,0.00843158,48.7445,-0.512927,0.0175137,0.00493482,-0.788854,0.0592915,0.016655,49.788,0.539234,0.01419,0.0082365,-0.788934,0.0592915,0.0242585,48.7443,0.538807,-1.57378,-0.00367146,-0.00311319,0.0592915,0.000708071,49.7881,-0.512591,-1.57396,-0.00274029,-0.00294235,0.0592915,
0.1313,-0.000242533,49.1612,0.00850418,0.000934696,-0.000842969,-0.000427641,0.24652,-0.000242533,49.1612,0.00850418,0.000934696,-0.000842969,-0.000427641,0.24652,-0.000242533,49.1612,0.00850418,0.000934696,-0.000842969,-0.000427641,0.24652,-0.000242533,49.1612,0.00850418,0.000934696,-0.000842969,-0.000427641,0.24652,-0.000242533,49.1612,0.00850418,0.000934696,-0.000842969,-0.000427641,0.24652,-0.728256,49.1436,0.0154983,0.0045765,0.0124356,-2.35191,0.0592915,0.753026,49.1388,0.010839,0.00586644,0.0136164,-2.3519,0.0592915,0.00839518,48.6197,-0.512822,0.0148269,0.00763487,-0.788907,0.0592915,0.0167182,49.6627,0.539131,0.0156272,0.00683985,-0.788874,0.0592915,0.0242837,48.6195,0.538675,-1.57384,-0.00222273,-0.0031989,0.0592915,0.000723349,49.6629,-0.512319,-1.574,-0.0030557,-0.00303993,0.0592915,
0.1414,-0.000229641,49.0261,0.00854747,0.000600645,-0.000276211,-0.000273418,0.24652,-0.000229641,49.0261,0.00854747,0.000600645,-0.000276211,-0.000273418,0.24652,-0.000229641,49.0261,0.00854747,0.000600645,-0.000276211,-0.000273418,0.24652,-0.000229641,49.0261,0.00854747,0.000600645,-0.000276211,-0.000273418,0.24652,-0.000229641,49.0261,0.00854747,0.000600645,-0.000276211,-0.000273418,0.24652,-0.728234,49.0085,0.0153898,0.00533023,0.0131205,-2.35192,0.0592915,0.753011,49.0038,0.0108766,0.00615136,0.0139357,-2.35191,0.0592915,0.00839405,48.4847,-0.512792,0.0138695,0.00856269,-0.788889,0.0592915,0.0166664,49.5276,0.539085,0.01721,0.00524634,-0.788893,0.0592915,0.0242756,48.4844,0.538612,-1.57383,-0.00211891,-0.00312823,0.0592915,0.000723529,49.5278,-0.512348,-1.57396,-0.00315113,-0.00299553,0.0592915,
0.1515,-0.000201457,48.881,0.00851744,-0.000247874,0.000590608,0.000211652,0.24652,-0.000201457,48.881,0.00851744,-0.000247874,0.000590608,0.000211652,0.24652,-0.000201457,48.881,0.00851744,-0.000247874,0.000590608,0.000211652,0.24652,-0.000201457,48.881,0.00851744,-0.000247874,0.000590608,0.000211652,0.24652,-0.000201457,48.881,0.00851744,-0.000247874,0.000590608,0.000211652,0.24652,-0.728542,48.8634,0.0153073,0.00646236,0.0142065,-2.35194,0.0592915,0.753192,48.8589,0.0110051,0.00541714,0.013158,-2.35196,0.0592915,0.00846304,48.3394,-0.512879,0.016613,0.00583634,-0.788867,0.0592915,0.0166252,49.3828,0.539198,0.0161014,0.00634422,-0.788913,0.0592915,0.0242673,48.3393,0.538821,-1.57373,-0.00347213,-0.0030691,0.0592915,0.000714974,49.383,-0.512504,-1.5739,-0.00304937,-0.00289696,0.0592915,
0.1616,-0.000236548,48.7259,0.00847841,-0.000501617,0.00070592,0.000288297,0.24652,-0.000236548,48.7259,0.00847841,-0.000501617,0.00070592,0.000288297,0.24652,-0.000236548,48.7259,0.00847841,-0.000501617,0.00070592,0.000288297,0.24652,-0.000236548,48.7259,0.00847841,-0.000501617,0.00070592,0.000288297,0.24652,-0.000236548,48.7259,0.00847841,-0.000501617,0.00070592,0.000288297,0.24652,-0.728332,48.7083,0.0153357,0.0058161,0.0135343,-2.35196,0.0592915,0.753072,48.7038,0.0110548,0.00503295,0.012747,-2.35197,0.0592915,0.00849948,48.1845,-0.512763,0.018003,0.0044707,-0.788881,0.0592915,0.0166283,49.2276,0.539106,0.0147729,0.0076772,-0.788901,0.0592915,0.0242778,48.1843,0.538742,-1.57371,-0.0038641,-0.00305798,0.0592915,0.000720316,49.2278,-0.512366,-1.57387,-0.00305368,-0.00289828,0.0592915,
0.1717,-0.000221777,48.5609,0.00850078,-2.49117e-05,0.000292415,-6.58305e-05,0.24652,-0.000221777,48.5609,0.00850078,-2.49117e-05,0.000292415,-6.58305e-05,0.24652,-0.000221777,48.5609,0.00850078,-2.49117e-05,0.000292415,-6.58305e-05,0.24652,-0.000221777,48.5609,0.00850078,-2.49117e-05,0.000292415,-6.58305e-05,0.24652,-0.000221777,48.5609,0.00850078,-2.49117e-05,0.000292415,-6.58305e-05,0.24652,-0.728322,48.5433,0.0153697,0.00472262,0.0124527,-2.35194,0.0592915,0.753052,48.5387,0.0109762,0.00568175,0.0134152,-2.35193,0.0592915,0.00844838,48.0194,-0.512787,0.0154974,0.00695493,-0.788884,0.0592915,0.0166317,49.0625,0.539122,0.0157655,0.00668859,-0.7889,0.0592915,0.0242758,48.0193,0.538693,-1.57376,-0.00262234,-0.00308574,0.0592915,0.000718716,49.0627,-0.512356,-1.5739,-0.00311626,-0.00294338,0.0592915,
0.1818,-0.000202172,48.3858,0.00852011,0.000402535,-8.25913e-05,-0.000261693,0.24652,-0.000202172,48.3858,0.00852011,0.000402535,-8.25913e-05,-0.000261693,0.24652,-0.000202172,48.3858,0.00852011,0.000402535,-8.25913e-05,-0.000261693,0.24652,-0.000202172,48.3858,0.00852011,0.000402535,-8.25913e-05,-0.000261693,0.24652,-0.000202172,48.3858,0.00852011,0.000402535,-8.25913e-05,-0.000261693,0.24652,-0.728497,48.3682,0.0154054,0.00527797,0.0130243,-2.35192,0.0592915,0.753166,48.3636,0.0109049,0.00618781,0.0139372,-2.35191,0.0592915,0.00841564,47.8443,-0.512906,0.0137303,0.00870194,-0.78889,0.0592915,0.0166499,48.8875,0.539227,0.0170263,0.00542959,-0.788899,0.0592915,0.0242705,47.8441,0.538778,-1.57379,-0.00196745,-0.00312897,0.0592915,0.000716956,48.8877,-0.512472,-1.57396,-0.00305092,-0.0029624,0.0592915,
0.1919,-0.000217832,48.2007,0.00851393,0.000264109,3.28746e-07,-5.03659e-05,0.24652,-0.000217832,48.2007,0.00851393,0.000264109,3.28746e-07,-5.03659e-05,0.24652,-0.000217832,48.2007,0.00851393,0.000264109,3.28746e-07,-5.03659e-05,0.24652,-0.000217832,48.2007,0.00851393,0.000264109,3.28746e-07,-5.03659e-05,0.24652,-0.000217832,48.2007,0.00851393,0.000264109,3.28746e-07,-5.03659e-05,0.24652,-0.728372,48.1831,0.0153907,0.00637808,0.0141511,-2.35192,0.0592915,0.753079,48.1785,0.0109341,0.00561624,0.0133653,-2.35193,0.0592915,0.00842994,47.6592,-0.512821,0.0159367,0.00651372,-0.788881,0.0592915,0.0166568,48.7024,0.539134,0.0160251,0.00642585,-0.788897,0.0592915,0.0242728,47.6591,0.538716,-1.57378,-0.0030883,-0.00311476,0.0592915,0.000720572,48.7026,-0.51239,-1.57394,-0.00293952,-0.00296217,0.0592915,
0.202,-0.000219445,48.0056,0.00850213,-5.64194e-05,0.00030524,0.000182378,0.24652,-0.000219445,48.0056,0.00850213,-5.64194e-05,0.00030524,0.000182378,0.24652,-0.000219445,48.0056,0.00850213,-5.64194e-05,0.00030524,0.000182378,0.24652,-0.000219445,48.0056,0.00850213,-5.64194e-05,0.00030524,0.000182378,0.24652,-0.000219445,48.0056,0.00850213,-5.64194e-05,0.00030524,0.000182378,0.24652,-0.728384,47.988,0.0153713,0.00594941,0.0136679,-2.35195,0.0592915,0.753084,47.9835,0.0109791,0.00499683,0.0127527,-2.35196,0.0592915,0.0084632,47.4641,-0.51279,0.0179442,0.00452495,-0.788874,0.0592915,0.0166425,48.5073,0.539126,0.0147016,0.00774453,-0.788905,0.0592915,0.0242726,47.464,0.538728,-1.57375,-0.00392217,-0.00309131,0.0592915,0.000716456,48.5075,-0.512402,-1.57391,-0.00305026,-0.00293758,0.0592915,
0.2121,-0.000215196,47.8005,0.00850447,-0.000156645,0.000453406,0.000101489,0.24652,-0.000215196,47.8005,0.00850447,-0.000156645,0.000453406,0.000101489,0.24652,-0.000215196,47.8005,0.00850447,-0.000156645,0.000453406,0.000101489,0.24652,-0.000215196,47.8005,0.00850447,-0.000156645,0.000453406,0.000101489,0.24652,-0.000215196,47.8005,0.00850447,-0.000156645,0.000453406,0.000101489,0.24652,-0.728441,47.7829,0.0153383,0.0047888,0.0125452,-2.35196,0.0592915,0.75313,47.7784,0.0109986,0.00549777,0.0132209,-2.35195,0.0592915,0.00846156,47.259,-0.51284,0.0160032,0.00645078,-0.788877,0.0592915,0.0166354,48.3022,0.539159,0.0157309,0.0067208,-0.788907,0.0592915,0.0242745,47.2588,0.538774,-1.57374,-0.00290918,-0.00308109,0.0592915,0.0007169,48.3024,-0.512429,-1.5739,-0.00326562,-0.00291629,0.0592915,
0.2222,-0.000210858,47.5854,0.00851041,2.48515e-05,0.000256316,-0.000115076,0.24652,-0.000210858,47.5854,0.00851041,2.48515e-05,0.000256316,-0.000115076,0.24652,-0.000210858,47.5854,0.00851041,2.48515e-05,0.000256316,-0.000115076,0.24652,-0.000210858,47.5854,0.00851041,2.48515e-05,0.000256316,-0.000115076,0.24652,-0.000210858,47.5854,0.00851041,2.48515e-05,0.000256316,-0.000115076,0.24652,-0.72839,47.5678,0.0153638,0.00514688,0.0128787,-2.35193,0.0592915,0.753095,47.5633,0.0109647,0.00619258,0.0139314,-2.35192,0.0592915,0.0084331,47.044,-0.512828,0.0138697,0.00856713,-0.788895,0.0592915,0.0166271,48.0871,0.539157,0.0171683,0.00529176,-0.788895,0.0592915,0.0242739,47.0438,0.538721,-1.57377,-0.00201517,-0.00308942,0.0592915,0.000719691,48.0873,-0.512401,-1.57391,-0.00309215,-0.00294052,0.0592915,
