tgDataLogger2 started logging at time 01242019_105125, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.255404,9.66631,0.161109,-0.845044,0.235034,0.533729,0.0600995,-0.246115,9.35004,-0.158726,-1.54401,-0.803736,-0.779272,0.0610156,
0.2,0.252677,8.19791,0.162373,-0.861093,0.245375,0.537136,0.0600995,-0.24343,7.87646,-0.159971,-1.5422,-0.807736,-0.765271,0.0610156,
0.3,0.250609,5.74742,0.163675,-0.86684,0.248824,0.535229,0.0600995,-0.241392,5.42295,-0.161254,-1.54199,-0.808438,-0.752742,0.0610156,
0.4,0.263846,2.32962,0.168706,-0.891816,0.260548,0.514362,0.0600995,-0.244677,2.04507,-0.168735,-1.68206,-0.866082,-0.687616,0.0610156,
0.5,0.451817,2.18655,-0.0174752,-1.45403,0.502364,1.6987,0.0600995,-0.0452225,2.0784,-0.22393,2.23598,-0.444177,1.35211,0.0610156,
0.6,0.388402,1.80021,-0.122738,-1.16802,1.09842,2.06409,0.0600995,0.352886,1.99581,-0.340282,2.08209,-0.866954,0.721976,0.0610156,
0.7,0.378713,1.72992,-0.0450526,-0.0366239,0.840851,2.80231,0.0600995,0.310444,1.90082,-0.159089,-3.10441,-0.487655,0.500127,0.0610156,
0.8,0.245755,1.66809,-0.0359418,0.219789,0.298849,-3.07594,0.0600995,0.227817,1.79852,-0.046522,-2.86229,0.0493686,-0.0913808,0.0610156,
0.9,0.126593,1.74477,-0.0972181,-0.341643,-0.157539,-3.10346,0.0600995,0.174636,1.83324,-0.108821,2.75978,0.504339,-0.0239054,0.0610156,
1,0.116756,1.72424,-0.1663,-0.220424,-0.547927,3.01796,0.0600995,0.163416,1.81959,-0.187185,2.99,0.892005,0.219951,0.0610156,
1.1,0.204049,1.67887,-0.238454,0.255989,-0.962212,3.10544,0.0600995,0.20127,1.75773,-0.239326,-2.83198,1.30827,0.0828989,0.0610156,
1.2,0.272377,1.76036,-0.227842,-0.712116,-1.23368,-2.16302,0.0600995,0.268536,1.83237,-0.200973,1.29604,1.254,-2.06342,0.0610156,
1.3,0.296259,1.6785,-0.162008,-2.21681,-1.308,-0.997741,0.0600995,0.310696,1.75011,-0.135841,0.331019,1.03411,-2.69786,0.0610156,
1.4,0.24302,1.73119,-0.0709333,2.63459,-0.919807,0.516448,0.0600995,0.253915,1.80671,-0.0812882,-0.30142,0.603892,2.76907,0.0610156,
1.5,0.181057,1.73643,-0.071872,2.93244,-0.608519,0.397191,0.0600995,0.179355,1.81426,-0.0840526,-0.0714588,0.282206,2.80113,0.0610156,
1.6,0.135859,1.67245,-0.162387,-2.97834,-0.213117,-0.182189,0.0600995,0.122891,1.74356,-0.137363,0.100544,-0.131303,-2.96203,0.0610156,
1.7,0.162092,1.75879,-0.229012,2.90999,0.117008,-0.309729,0.0600995,0.168413,1.82917,-0.197092,-0.349598,-0.448682,-2.79899,0.0610156,
1.8,0.226503,1.68364,-0.237598,2.88081,0.515662,-0.0642549,0.0600995,0.234956,1.76401,-0.227658,-0.303898,-0.864819,-3.05428,0.0610156,
1.9,0.302754,1.72503,-0.161314,-2.66722,0.90178,0.281482,0.0600995,0.272601,1.79436,-0.172547,0.76062,-1.22643,2.60619,0.0610156,
