tgDataLogger2 started logging at time 01232019_205643, with 6 sensors on 1 senseable objects.
time,0_rod(rod compound_OLa9ER).X,0_rod(rod compound_OLa9ER).Y,0_rod(rod compound_OLa9ER).Z,0_rod(rod compound_OLa9ER).Euler1,0_rod(rod compound_OLa9ER).Euler2,0_rod(rod compound_OLa9ER).Euler3,0_rod(rod compound_OLa9ER).mass,1_rod(rod compound_OLa9ER).X,1_rod(rod compound_OLa9ER).Y,1_rod(rod compound_OLa9ER).Z,1_rod(rod compound_OLa9ER).Euler1,1_rod(rod compound_OLa9ER).Euler2,1_rod(rod compound_OLa9ER).Euler3,1_rod(rod compound_OLa9ER).mass,2_rod(rod compound_OLa9ER).X,2_rod(rod compound_OLa9ER).Y,2_rod(rod compound_OLa9ER).Z,2_rod(rod compound_OLa9ER).Euler1,2_rod(rod compound_OLa9ER).Euler2,2_rod(rod compound_OLa9ER).Euler3,2_rod(rod compound_OLa9ER).mass,3_rod(strut compound_OLa9ER).X,3_rod(strut compound_OLa9ER).Y,3_rod(strut compound_OLa9ER).Z,3_rod(strut compound_OLa9ER).Euler1,3_rod(strut compound_OLa9ER).Euler2,3_rod(strut compound_OLa9ER).Euler3,3_rod(strut compound_OLa9ER).mass,4_rod(strut compound_OLa9ER).X,4_rod(strut compound_OLa9ER).Y,4_rod(strut compound_OLa9ER).Z,4_rod(strut compound_OLa9ER).Euler1,4_rod(strut compound_OLa9ER).Euler2,4_rod(strut compound_OLa9ER).Euler3,4_rod(strut compound_OLa9ER).mass,5_rod(strut compound_OLa9ER).X,5_rod(strut compound_OLa9ER).Y,5_rod(strut compound_OLa9ER).Z,5_rod(strut compound_OLa9ER).Euler1,5_rod(strut compound_OLa9ER).Euler2,5_rod(strut compound_OLa9ER).Euler3,5_rod(strut compound_OLa9ER).mass,
1.1,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,2.47413,15.0029,3.80623,-0.104651,-0.0355981,-0.0137942,45.0463,
1.2,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,2.55879,10.6127,3.7863,-0.118206,-0.0394638,-0.015639,45.0463,
1.3,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,2.8689,11.0025,3.73774,-0.153177,-0.0458433,-0.0207359,45.0463,
1.4,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,3.17917,10.4134,3.68915,-0.188136,-0.0523984,-0.0258143,45.0463,
1.5,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,3.64515,10.343,3.61921,-0.240303,-0.0596323,-0.033177,45.0463,
1.6,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,4.24293,10.2132,3.53105,-0.307695,-0.0679608,-0.0425061,45.0463,
1.7,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,5.01309,9.98021,3.41888,-0.396227,-0.0781594,-0.0544219,45.0463,
1.8,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,5.99532,9.56556,3.27712,-0.513358,-0.0914772,-0.0694954,45.0463,
1.9,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,7.20946,8.83871,3.10295,-0.668627,-0.109926,-0.0879777,45.0463,
2,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,8.60944,7.59582,2.90286,-0.874158,-0.136848,-0.109125,45.0463,
