time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_hmTa4v).X,6_rod(payload_bars compound_hmTa4v).Y,6_rod(payload_bars compound_hmTa4v).Z,6_rod(payload_bars compound_hmTa4v).Euler1,6_rod(payload_bars compound_hmTa4v).Euler2,6_rod(payload_bars compound_hmTa4v).Euler3,6_rod(payload_bars compound_hmTa4v).mass,7_rod(payload_bars compound_hmTa4v).X,7_rod(payload_bars compound_hmTa4v).Y,7_rod(payload_bars compound_hmTa4v).Z,7_rod(payload_bars compound_hmTa4v).Euler1,7_rod(payload_bars compound_hmTa4v).Euler2,7_rod(payload_bars compound_hmTa4v).Euler3,7_rod(payload_bars compound_hmTa4v).mass,8_rod(payload_bars compound_hmTa4v).X,8_rod(payload_bars compound_hmTa4v).Y,8_rod(payload_bars compound_hmTa4v).Z,8_rod(payload_bars compound_hmTa4v).Euler1,8_rod(payload_bars compound_hmTa4v).Euler2,8_rod(payload_bars compound_hmTa4v).Euler3,8_rod(payload_bars compound_hmTa4v).mass,9_rod(payload_bars compound_hmTa4v).X,9_rod(payload_bars compound_hmTa4v).Y,9_rod(payload_bars compound_hmTa4v).Z,9_rod(payload_bars compound_hmTa4v).Euler1,9_rod(payload_bars compound_hmTa4v).Euler2,9_rod(payload_bars compound_hmTa4v).Euler3,9_rod(payload_bars compound_hmTa4v).mass,10_rod(payload_bars compound_hmTa4v).X,10_rod(payload_bars compound_hmTa4v).Y,10_rod(payload_bars compound_hmTa4v).Z,10_rod(payload_bars compound_hmTa4v).Euler1,10_rod(payload_bars compound_hmTa4v).Euler2,10_rod(payload_bars compound_hmTa4v).Euler3,10_rod(payload_bars compound_hmTa4v).mass,
0.1111,-0.557233,9.22135,0.0736168,0.431348,0.694077,2.95891,0.0199491,0.444915,9.86306,-0.234029,1.30269,-0.360345,-2.90156,0.0199491,0.319507,9.6892,-0.130738,0.467647,0.411566,-2.12955,0.0199491,-0.175936,9.87299,-0.016496,0.596959,0.184558,-1.58053,0.0199491,0.0471744,9.66044,0.356552,0.168756,-1.29083,-1.49025,0.0199645,-0.140639,9.65211,-0.289824,-0.40127,-1.16024,-0.611938,0.0199491,0.0160214,9.27095,0.0334118,0.485926,0.420415,-0.529787,0.256021,0.0160214,9.27095,0.0334118,0.485926,0.420415,-0.529787,0.256021,0.0160214,9.27095,0.0334118,0.485926,0.420415,-0.529787,0.256021,0.0160214,9.27095,0.0334118,0.485926,0.420415,-0.529787,0.256021,0.0160214,9.27095,0.0334118,0.485926,0.420415,-0.529787,0.256021,
0.1212,-0.550326,9.07962,0.0758028,0.46594,0.705685,2.92041,0.0199491,0.41784,9.76299,-0.250007,1.36785,-0.34472,-2.9177,0.0199491,0.301995,9.58747,-0.139125,0.514489,0.424008,-2.16333,0.0199491,-0.205151,9.74382,-0.0339914,0.636287,0.198156,-1.61293,0.0199491,0.0302116,9.55836,0.347951,0.362958,-1.2856,-1.62745,0.0199645,-0.151155,9.52006,-0.299079,-0.266415,-1.17028,-0.697139,0.0199491,0.023376,9.15721,0.037895,0.532403,0.433071,-0.562413,0.256021,0.023376,9.15721,0.037895,0.532403,0.433071,-0.562413,0.256021,0.023376,9.15721,0.037895,0.532403,0.433071,-0.562413,0.256021,0.023376,9.15721,0.037895,0.532403,0.433071,-0.562413,0.256021,0.023376,9.15721,0.037895,0.532403,0.433071,-0.562413,0.256021,
0.1313,-0.541215,8.92623,0.0747828,0.504951,0.708115,2.88742,0.0199491,0.391252,9.65417,-0.259514,1.43282,-0.325763,-2.93428,0.0199491,0.284377,9.47569,-0.144426,0.561501,0.428836,-2.1925,0.0199491,-0.233282,9.60279,-0.0481832,0.677395,0.203296,-1.64128,0.0199491,0.0105381,9.44226,0.341126,0.51637,-1.28214,-1.72386,0.0199645,-0.160137,9.37919,-0.306621,-0.149719,-1.18046,-0.760741,0.0199491,0.0305366,9.03386,0.0413541,0.58082,0.439267,-0.590685,0.256021,0.0305366,9.03386,0.0413541,0.58082,0.439267,-0.590685,0.256021,0.0305366,9.03386,0.0413541,0.58082,0.439267,-0.590685,0.256021,0.0305366,9.03386,0.0413541,0.58082,0.439267,-0.590685,0.256021,0.0305366,9.03386,0.0413541,0.58082,0.439267,-0.590685,0.256021,
0.1414,-0.529965,8.76218,0.0708884,0.546832,0.708167,2.86089,0.0199491,0.365087,9.5361,-0.263308,1.49731,-0.312576,-2.95322,0.0199491,0.266722,9.3541,-0.146243,0.610175,0.425937,-2.2165,0.0199491,-0.260179,9.45006,-0.0598236,0.719179,0.20116,-1.66594,0.0199491,-0.0112532,9.31197,0.336382,0.64408,-1.28397,-1.79435,0.0199645,-0.167179,9.23012,-0.312831,-0.0601529,-1.18831,-0.796445,0.0199491,0.0374183,8.9008,0.0438556,0.631241,0.438091,-0.614133,0.256021,0.0374183,8.9008,0.0438556,0.631241,0.438091,-0.614133,0.256021,0.0374183,8.9008,0.0438556,0.631241,0.438091,-0.614133,0.256021,0.0374183,8.9008,0.0438556,0.631241,0.438091,-0.614133,0.256021,0.0374183,8.9008,0.0438556,0.631241,0.438091,-0.614133,0.256021,
0.1515,-0.516875,8.58782,0.064232,0.590904,0.707538,2.83836,0.0199491,0.341761,9.40895,-0.26006,1.55593,-0.305326,-2.97663,0.0199491,0.248837,9.22303,-0.143845,0.64347,0.404711,-2.23495,0.0199491,-0.286041,9.28593,-0.0693928,0.759947,0.192362,-1.6872,0.0199491,-0.0345604,9.16732,0.333611,0.826918,-1.28915,-1.92308,0.0199645,-0.172735,9.07333,-0.318093,-0.00333415,-1.18939,-0.800282,0.0199491,0.043875,8.75792,0.045306,0.68408,0.431505,-0.633675,0.256021,0.043875,8.75792,0.045306,0.68408,0.431505,-0.633675,0.256021,0.043875,8.75792,0.045306,0.68408,0.431505,-0.633675,0.256021,0.043875,8.75792,0.045306,0.68408,0.431505,-0.633675,0.256021,0.043875,8.75792,0.045306,0.68408,0.431505,-0.633675,0.256021,
0.1616,-0.501914,8.40329,0.0531039,0.647181,0.675778,2.82947,0.0199491,0.313438,9.27081,-0.255612,1.61999,-0.320552,-2.99514,0.0199491,0.230689,9.08067,-0.140099,0.713025,0.402098,-2.24106,0.0199491,-0.3087,9.11201,-0.0769414,0.791456,0.174852,-1.70639,0.0199491,-0.0570713,9.00947,0.332514,0.922914,-1.30186,-1.96396,0.0199645,-0.176804,8.9083,-0.321736,0.0611413,-1.20747,-0.80676,0.0199491,0.0501683,8.60531,0.0464923,0.736275,0.4188,-0.649688,0.256021,0.0501683,8.60531,0.0464923,0.736275,0.4188,-0.649688,0.256021,0.0501683,8.60531,0.0464923,0.736275,0.4188,-0.649688,0.256021,0.0501683,8.60531,0.0464923,0.736275,0.4188,-0.649688,0.256021,0.0501683,8.60531,0.0464923,0.736275,0.4188,-0.649688,0.256021,
0.1717,-0.484624,8.20958,0.0419087,0.701507,0.653207,2.8196,0.0199491,0.285535,9.12339,-0.249102,1.68481,-0.3228,-3.01534,0.0199491,0.21191,8.92828,-0.13559,0.766974,0.386651,-2.25388,0.0199491,-0.330882,8.92609,-0.0821927,0.83068,0.154851,-1.72228,0.0199491,-0.0802612,8.8394,0.331625,1.0457,-1.31259,-2.02931,0.0199645,-0.180616,8.73344,-0.325226,0.143091,-1.23411,-0.827863,0.0199491,0.0562923,8.44289,0.0472565,0.79034,0.403982,-0.661984,0.256021,0.0562923,8.44289,0.0472565,0.79034,0.403982,-0.661984,0.256021,0.0562923,8.44289,0.0472565,0.79034,0.403982,-0.661984,0.256021,0.0562923,8.44289,0.0472565,0.79034,0.403982,-0.661984,0.256021,0.0562923,8.44289,0.0472565,0.79034,0.403982,-0.661984,0.256021,
0.1818,-0.464646,8.00686,0.0318123,0.751005,0.647202,2.80834,0.0199491,0.255827,8.96553,-0.241273,1.75085,-0.329412,-3.0348,0.0199491,0.191926,8.76554,-0.130144,0.823029,0.369992,-2.26396,0.0199491,-0.352808,8.72866,-0.0869428,0.872105,0.133901,-1.73082,0.0199491,-0.10284,8.65666,0.331236,1.16059,-1.32536,-2.08605,0.0199645,-0.184731,8.54952,-0.327334,0.176476,-1.24614,-0.802707,0.0199491,0.0623975,8.27069,0.0475735,0.846177,0.387675,-0.672394,0.256021,0.0623975,8.27069,0.0475735,0.846177,0.387675,-0.672394,0.256021,0.0623975,8.27069,0.0475735,0.846177,0.387675,-0.672394,0.256021,0.0623975,8.27069,0.0475735,0.846177,0.387675,-0.672394,0.256021,0.0623975,8.27069,0.0475735,0.846177,0.387675,-0.672394,0.256021,
0.1919,-0.442604,7.79478,0.0207324,0.805775,0.634372,2.80218,0.0199491,0.22427,8.79671,-0.232242,1.81804,-0.337524,-3.05401,0.0199491,0.170652,8.59218,-0.123782,0.881015,0.352244,-2.27125,0.0199491,-0.373696,8.52026,-0.0908513,0.912519,0.110275,-1.7339,0.0199491,-0.124546,8.46142,0.331629,1.27413,-1.33925,-2.14055,0.0199645,-0.188946,8.35607,-0.32886,0.210719,-1.26082,-0.77639,0.0199491,0.0684451,8.08879,0.0476301,0.903882,0.3702,-0.679971,0.256021,0.0684451,8.08879,0.0476301,0.903882,0.3702,-0.679971,0.256021,0.0684451,8.08879,0.0476301,0.903882,0.3702,-0.679971,0.256021,0.0684451,8.08879,0.0476301,0.903882,0.3702,-0.679971,0.256021,0.0684451,8.08879,0.0476301,0.903882,0.3702,-0.679971,0.256021,
0.202,-0.418418,7.57267,0.00735732,0.875254,0.593866,2.8067,0.0199491,0.191251,8.61647,-0.22201,1.88569,-0.34742,-3.07402,0.0199491,0.148018,8.40804,-0.116392,0.939984,0.333487,-2.27511,0.0199491,-0.392977,8.30101,-0.0947758,0.955073,0.0850811,-1.7329,0.0199491,-0.144945,8.25382,0.333161,1.38468,-1.35427,-2.19143,0.0199645,-0.193178,8.15328,-0.330105,0.248626,-1.27695,-0.753238,0.0199491,0.0743199,7.89725,0.0475826,0.96335,0.351913,-0.684058,0.256021,0.0743199,7.89725,0.0475826,0.96335,0.351913,-0.684058,0.256021,0.0743199,7.89725,0.0475826,0.96335,0.351913,-0.684058,0.256021,0.0743199,7.89725,0.0475826,0.96335,0.351913,-0.684058,0.256021,0.0743199,7.89725,0.0475826,0.96335,0.351913,-0.684058,0.256021,
