tgDataLogger2 started logging at time 01242019_105128, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.255404,9.66631,0.16111,-0.845044,0.235033,0.533737,0.0600995,-0.246115,9.35003,-0.158727,-1.54401,-0.803731,-0.779293,0.0610156,
0.2,0.252698,8.19793,0.162389,-0.861078,0.245365,0.537126,0.0600995,-0.24345,7.87644,-0.159987,-1.54221,-0.807726,-0.765296,0.0610156,
0.3,0.2506,5.74743,0.163652,-0.866917,0.248876,0.535529,0.0600995,-0.241383,5.42294,-0.161231,-1.5419,-0.808497,-0.752829,0.0610156,
0.4,0.263905,2.33043,0.168109,-0.892459,0.260779,0.514972,0.0600995,-0.244755,2.04446,-0.167829,-1.68627,-0.865641,-0.686125,0.0610156,
0.5,0.378128,2.13584,-0.016525,-1.43817,0.0213423,0.89048,0.0600995,-0.185622,1.99974,-0.366724,2.34596,-0.56806,0.929174,0.0610156,
0.6,0.460392,2.11342,-0.365353,-1.55098,-0.528149,0.635951,0.0600995,-0.0416768,1.88222,-0.737581,-2.69277,-1.01166,0.157247,0.0610156,
0.7,0.653879,2.12009,-0.64209,-1.97866,-0.946091,0.819797,0.0600995,0.0806831,1.91914,-0.915306,2.42064,-0.859791,1.09634,0.0610156,
0.8,0.78408,2.13002,-0.782631,-2.40289,-1.11655,1.08365,0.0600995,0.17787,1.99137,-1.01891,2.09196,-0.703218,1.28921,0.0610156,
0.9,0.804283,2.131,-0.803153,-2.39229,-1.18748,1.04281,0.0600995,0.194226,1.96968,-1.00557,2.1096,-0.800572,1.34612,0.0610156,
1,0.775366,2.12894,-0.714686,-1.84568,-1.16461,0.51644,0.0600995,0.192654,1.87269,-0.878215,-3.11442,-1.40322,0.542329,0.0610156,
1.1,0.666003,2.12159,-0.490809,-1.80134,-0.718681,0.739728,0.0600995,0.122138,1.90831,-0.788067,2.66665,-0.898314,0.962408,0.0610156,
1.2,0.499625,2.11925,-0.288752,-1.51058,-0.394118,0.648204,0.0600995,0.0128019,1.8951,-0.667009,-2.79718,-0.951532,0.300712,0.0610156,
1.3,0.35884,2.12562,-0.074509,-1.29243,-0.0691499,0.848343,0.0600995,-0.0428671,1.89998,-0.53551,-2.8209,-0.70493,0.368039,0.0610156,
1.4,0.234947,2.13077,0.04749,-1.08262,0.0723392,1.04623,0.0600995,-0.0894894,1.88947,-0.459708,-2.96788,-0.480511,0.503608,0.0610156,
1.5,0.173219,2.13286,0.097489,-0.992422,0.15102,1.07226,0.0600995,-0.133333,1.915,-0.427892,-2.73595,-0.492661,0.361433,0.0610156,
1.6,0.178217,2.13365,0.10026,-1.00103,0.142802,1.10157,0.0600995,-0.119907,1.90714,-0.420907,-2.83284,-0.46194,0.441787,0.0610156,
1.7,0.244152,2.1336,0.0635199,-1.11029,0.0715741,1.11479,0.0600995,-0.0686164,1.90169,-0.442116,-3.01587,-0.448952,0.563086,0.0610156,
1.8,0.351125,2.12898,-0.052054,-1.31041,-0.0392376,0.840337,0.0600995,-0.0367342,1.9322,-0.514267,-2.74001,-0.722061,0.35928,0.0610156,
1.9,0.475383,2.12759,-0.181815,-1.51788,-0.237336,0.873473,0.0600995,0.0512412,1.92022,-0.602262,3.03121,-0.696829,0.73163,0.0610156,
2,0.62257,2.12806,-0.329467,-1.7017,-0.509837,0.694533,0.0600995,0.146156,1.92512,-0.680396,3.07885,-0.988767,0.727199,0.0610156,
2.1,0.719769,2.13037,-0.4916,-1.83229,-0.790079,0.614463,0.0600995,0.203875,1.92668,-0.777436,2.83715,-1.13815,0.946775,0.0610156,
2.2,0.804831,2.13356,-0.617072,-2.0465,-0.97636,0.717043,0.0600995,0.269192,1.94223,-0.858437,2.40141,-1.07614,1.32254,0.0610156,
2.3,0.853853,2.13502,-0.696992,-2.14979,-1.11276,0.743841,0.0600995,0.305552,1.94367,-0.896879,2.19934,-1.11719,1.52238,0.0610156,
2.4,0.855854,2.13493,-0.703681,-2.18289,-1.1124,0.780712,0.0600995,0.308783,1.94729,-0.906877,2.19531,-1.0976,1.5226,0.0610156,
2.5,0.818312,2.13388,-0.641865,-2.04454,-1.02253,0.691447,0.0600995,0.283983,1.93952,-0.868879,2.40636,-1.16311,1.35443,0.0610156,
2.6,0.759877,2.13243,-0.532514,-1.87041,-0.856385,0.591386,0.0600995,0.245332,1.93635,-0.797846,2.91068,-1.2378,0.91491,0.0610156,
2.7,0.680644,2.13038,-0.402427,-1.78372,-0.615649,0.669276,0.0600995,0.196576,1.9498,-0.71924,2.92626,-1.00241,0.904008,0.0610156,
2.8,0.574993,2.12962,-0.277861,-1.65661,-0.38663,0.749304,0.0600995,0.127279,1.95243,-0.641419,3.11747,-0.872541,0.753419,0.0610156,
2.9,0.480249,2.13116,-0.152799,-1.50764,-0.186362,0.778944,0.0600995,0.0655598,1.95957,-0.548688,-2.90104,-0.800891,0.561739,0.0610156,
3,0.381546,2.13425,-0.0382371,-1.36079,-0.0165421,1.00544,0.0600995,0.0185758,1.95228,-0.473187,-3.0463,-0.529275,0.682737,0.0610156,
3.1,0.284106,2.13571,0.0398801,-1.21044,0.10049,1.09347,0.0600995,-0.0444305,1.95517,-0.417334,-2.88491,-0.469044,0.593572,0.0610156,
