time,0_rod(payload_bars compound_8RxQJo).X,0_rod(payload_bars compound_8RxQJo).Y,0_rod(payload_bars compound_8RxQJo).Z,0_rod(payload_bars compound_8RxQJo).Euler1,0_rod(payload_bars compound_8RxQJo).Euler2,0_rod(payload_bars compound_8RxQJo).Euler3,0_rod(payload_bars compound_8RxQJo).mass,1_rod(payload_bars compound_8RxQJo).X,1_rod(payload_bars compound_8RxQJo).Y,1_rod(payload_bars compound_8RxQJo).Z,1_rod(payload_bars compound_8RxQJo).Euler1,1_rod(payload_bars compound_8RxQJo).Euler2,1_rod(payload_bars compound_8RxQJo).Euler3,1_rod(payload_bars compound_8RxQJo).mass,2_rod(payload_bars compound_8RxQJo).X,2_rod(payload_bars compound_8RxQJo).Y,2_rod(payload_bars compound_8RxQJo).Z,2_rod(payload_bars compound_8RxQJo).Euler1,2_rod(payload_bars compound_8RxQJo).Euler2,2_rod(payload_bars compound_8RxQJo).Euler3,2_rod(payload_bars compound_8RxQJo).mass,3_rod(payload_bars compound_8RxQJo).X,3_rod(payload_bars compound_8RxQJo).Y,3_rod(payload_bars compound_8RxQJo).Z,3_rod(payload_bars compound_8RxQJo).Euler1,3_rod(payload_bars compound_8RxQJo).Euler2,3_rod(payload_bars compound_8RxQJo).Euler3,3_rod(payload_bars compound_8RxQJo).mass,4_rod(payload_bars compound_8RxQJo).X,4_rod(payload_bars compound_8RxQJo).Y,4_rod(payload_bars compound_8RxQJo).Z,4_rod(payload_bars compound_8RxQJo).Euler1,4_rod(payload_bars compound_8RxQJo).Euler2,4_rod(payload_bars compound_8RxQJo).Euler3,4_rod(payload_bars compound_8RxQJo).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.9279,14.6784,2.49167,0.174318,-0.202226,-1.77241,0.199491,3.085,16.4789,2.19564,-0.0399268,0.295877,-1.83675,0.199491,1.66641,15.2766,2.98347,0.269491,0.314053,-0.0774565,0.199491,2.13885,15.8075,4.80182,0.299197,5.0369e-06,-0.221879,0.199491,2.00403,14.2584,3.57068,-1.31522,0.544006,-0.169599,0.199645,0.363852,17.2165,2.66345,-1.31885,0.613797,-0.0795969,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.8406,15.5837,2.69297,0.303559,-0.154277,-1.76355,0.199491,3.13684,17.4247,2.59098,0.383778,0.3734,-1.71602,0.199491,1.81224,16.2954,3.36647,0.260607,0.51691,-0.118241,0.199491,2.29487,16.8487,4.94621,0.329911,-0.0332045,-0.173406,0.199491,2.08795,15.419,3.80752,-1.26822,0.630315,-0.160355,0.199645,0.441953,18.1927,2.97817,-1.30114,0.57109,-0.0711098,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-2.01096,16.5274,2.87145,0.320864,-0.116354,-1.74224,0.199491,3.40363,18.5505,2.81544,0.132342,0.301533,-1.81082,0.199491,1.89599,17.2979,3.61969,0.358772,0.27477,-0.0927941,0.199491,2.40455,17.8519,5.36262,0.31103,0.236649,-0.213989,0.199491,2.43376,16.362,4.13271,-1.24887,0.595091,-0.139943,0.199645,0.409074,19.1625,3.25591,-1.30042,0.714222,-0.0757345,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.92914,17.4152,3.13363,0.295129,-0.143694,-1.73334,0.199491,3.5422,19.7299,3.00677,0.473537,0.372984,-1.68611,0.199491,2.00713,18.3142,3.77432,0.403764,0.149712,-0.0617162,0.199491,2.46943,18.8917,5.9484,0.408797,-0.101342,-0.241418,0.199491,2.57882,17.1752,4.39373,-1.23889,0.585525,-0.146686,0.199645,0.470562,20.1541,3.47653,-1.28394,0.841239,-0.0932712,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.6224,18.2566,3.52009,0.386887,-0.184462,-1.76292,0.199491,3.58666,20.7448,3.24082,0.161805,0.321066,-1.77982,0.199491,2.09954,19.4262,4.02397,0.401183,0.286368,-0.0665625,0.199491,2.48801,19.8241,6.22987,0.35215,0.202716,-0.222271,0.199491,2.63477,18.0919,4.67192,-1.23008,0.566816,-0.157374,0.199645,0.555455,21.2046,3.72225,-1.20913,0.683361,-0.080057,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.23428,19.1555,3.90979,0.488201,-0.208354,-1.80395,0.199491,3.57639,21.7209,3.54899,0.440378,0.352225,-1.68643,0.199491,2.16812,20.3783,4.3111,0.396705,0.349993,-0.0602638,0.199491,2.54287,20.7861,6.35451,0.408953,0.0323721,-0.190295,0.199491,2.65709,19.1832,4.94029,-1.21083,0.601399,-0.163741,0.199645,0.634897,22.1319,4.0198,-1.16482,0.618513,-0.0658366,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.06687,20.1106,4.19841,0.449737,-0.217397,-1.79791,0.199491,3.55565,22.8102,3.85839,0.240727,0.289075,-1.76231,0.199491,2.29466,21.1552,4.53824,0.405336,0.312047,-0.00347486,0.199491,2.62918,21.8071,6.51758,0.448948,-0.0113378,-0.214813,0.199491,2.74362,20.3047,5.2849,-1.16457,0.589574,-0.15284,0.199645,0.791854,22.9158,4.36244,-1.13526,0.674847,-0.0619377,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-1.00541,21.0265,4.44349,0.394284,-0.225838,-1.7729,0.199491,3.63323,23.8939,4.11687,0.491977,0.309479,-1.6924,0.199491,2.41912,22.0959,4.78277,0.445548,0.290373,0.0181046,0.199491,2.72487,22.7614,6.82464,0.430994,0.177089,-0.254515,0.199491,2.92467,21.1965,5.61385,-1.13126,0.578489,-0.146397,0.199645,0.854525,23.8172,4.65384,-1.11386,0.719276,-0.0618427,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.914161,21.7952,4.6734,0.514397,-0.216058,-1.78403,0.199491,3.80395,24.819,4.38898,0.319148,0.302427,-1.74698,0.199491,2.48861,23.1294,5.07311,0.475396,0.196004,-0.0127356,0.199491,2.81465,23.7299,7.28897,0.520597,-0.0959968,-0.214499,0.199491,3.09571,22.1421,5.81167,-1.12118,0.605742,-0.147728,0.199645,0.86519,24.8035,4.87493,-1.08841,0.752049,-0.0595514,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.79809,22.6377,4.90209,0.516611,-0.218923,-1.76401,0.199491,3.89547,25.7144,4.70098,0.520002,0.336178,-1.69327,0.199491,2.61152,24.2129,5.43698,0.515653,0.37529,-0.0577572,0.199491,2.91445,24.6261,7.54945,0.47812,0.203474,-0.202084,0.199491,3.25833,23.0131,6.05287,-1.08635,0.563766,-0.135324,0.199645,0.875227,25.7825,5.14428,-1.055,0.594184,-0.0481191,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.749781,23.4742,5.07876,0.552295,-0.189767,-1.74831,0.199491,3.95762,26.6293,5.05384,0.397206,0.308981,-1.74929,0.199491,2.7372,25.1293,5.77214,0.561834,0.204047,-0.0675002,0.199491,3.06048,25.5811,7.78424,0.559229,-0.0626546,-0.192602,0.199491,3.41242,24.0189,6.32931,-1.04824,0.633894,-0.12446,0.199645,0.941913,26.6615,5.44389,-1.04743,0.645049,-0.0385214,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.720353,24.3541,5.25552,0.544786,-0.165829,-1.71988,0.199491,4.02989,27.5557,5.40189,0.589924,0.321256,-1.71499,0.199491,2.87663,25.9401,6.10682,0.584476,0.248507,-0.066468,0.199491,3.18133,26.5552,7.99643,0.571996,0.0439659,-0.194235,0.199491,3.56685,25.0951,6.60092,-0.995933,0.607416,-0.100264,0.199645,1.02847,27.4415,5.77615,-1.03405,0.746893,-0.0304356,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.543727,25.2075,5.52834,0.603628,-0.160847,-1.72657,0.199491,4.0575,28.4874,5.71478,0.491501,0.284592,-1.75059,0.199491,2.99415,26.82,6.39856,0.611504,0.16787,-0.0571195,0.199491,3.28004,27.4618,8.18018,0.583515,0.101358,-0.194386,0.199491,3.65551,26.0646,6.91089,-0.960648,0.629623,-0.0917171,0.199645,1.12232,28.288,6.08049,-1.00542,0.722751,-0.0188638,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.28588,26.0277,5.85247,0.631863,-0.193893,-1.73921,0.199491,4.10373,29.4186,5.9791,0.591993,0.296813,-1.71763,0.199491,3.0861,27.7542,6.64688,0.616314,0.286289,-0.0522692,0.199491,3.33126,28.3441,8.49208,0.645601,-0.123106,-0.18515,0.199491,3.73247,26.9324,7.17751,-0.941719,0.638158,-0.0952658,0.199645,1.20113,29.1797,6.34076,-0.964075,0.694202,-0.0140449,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-0.0685305,26.824,6.18091,0.665121,-0.228214,-1.75751,0.199491,4.19694,30.4175,6.20105,0.524751,0.283403,-1.7268,0.199491,3.15296,28.6808,6.85349,0.639579,0.258423,-0.035298,0.199491,3.35958,29.1966,8.8907,0.608507,0.171664,-0.191668,0.199491,3.87624,27.7423,7.45658,-0.934675,0.593871,-0.0970798,0.199645,1.25458,30.0631,6.5816,-0.917731,0.701188,-0.0111879,0.199491,
