time,0_rod(payload_bars compound_mG722N).X,0_rod(payload_bars compound_mG722N).Y,0_rod(payload_bars compound_mG722N).Z,0_rod(payload_bars compound_mG722N).Euler1,0_rod(payload_bars compound_mG722N).Euler2,0_rod(payload_bars compound_mG722N).Euler3,0_rod(payload_bars compound_mG722N).mass,1_rod(payload_bars compound_mG722N).X,1_rod(payload_bars compound_mG722N).Y,1_rod(payload_bars compound_mG722N).Z,1_rod(payload_bars compound_mG722N).Euler1,1_rod(payload_bars compound_mG722N).Euler2,1_rod(payload_bars compound_mG722N).Euler3,1_rod(payload_bars compound_mG722N).mass,2_rod(payload_bars compound_mG722N).X,2_rod(payload_bars compound_mG722N).Y,2_rod(payload_bars compound_mG722N).Z,2_rod(payload_bars compound_mG722N).Euler1,2_rod(payload_bars compound_mG722N).Euler2,2_rod(payload_bars compound_mG722N).Euler3,2_rod(payload_bars compound_mG722N).mass,3_rod(payload_bars compound_mG722N).X,3_rod(payload_bars compound_mG722N).Y,3_rod(payload_bars compound_mG722N).Z,3_rod(payload_bars compound_mG722N).Euler1,3_rod(payload_bars compound_mG722N).Euler2,3_rod(payload_bars compound_mG722N).Euler3,3_rod(payload_bars compound_mG722N).mass,4_rod(payload_bars compound_mG722N).X,4_rod(payload_bars compound_mG722N).Y,4_rod(payload_bars compound_mG722N).Z,4_rod(payload_bars compound_mG722N).Euler1,4_rod(payload_bars compound_mG722N).Euler2,4_rod(payload_bars compound_mG722N).Euler3,4_rod(payload_bars compound_mG722N).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.38236,8.80675,-0.55664,-0.000273393,0.00822825,-2.3504,0.199491,3.36167,8.79213,-0.602834,-0.00507032,-0.00421757,-2.35807,0.199491,0.465376,8.03048,-0.79957,-0.00332126,0.000236201,-0.781693,0.199491,0.84208,10.4085,1.95427,0.000237851,-0.00511246,-0.794146,0.199491,0.743659,8.42269,1.88108,-1.57259,-0.0074935,-0.00651275,0.199645,-0.293684,11.0686,-1.09643,-1.57033,0.00135974,-0.00258141,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37664,8.69083,-0.556586,-0.00116262,0.00831856,-2.34976,0.199491,3.3586,8.67851,-0.604145,-0.00567079,-0.0047917,-2.35827,0.199491,0.464937,7.91644,-0.798247,-0.00343986,4.51282e-06,-0.781276,0.199491,0.841527,10.2933,1.95145,-0.000121118,-0.00532206,-0.79514,0.199491,0.740048,8.30708,1.88053,-1.57215,-0.00885276,-0.00658752,0.199645,-0.291916,10.9519,-1.09412,-1.57029,0.00255683,-0.00286554,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37093,8.5649,-0.556535,-0.00205505,0.0084069,-2.34913,0.199491,3.35552,8.55489,-0.605456,-0.00627102,-0.00536607,-2.35848,0.199491,0.464498,7.79239,-0.796924,-0.00355859,-0.000227149,-0.780858,0.199491,0.840974,10.1681,1.94864,-0.000479955,-0.0055321,-0.796134,0.199491,0.736437,8.18146,1.87998,-1.57171,-0.0102072,-0.00666369,0.199645,-0.290147,10.8251,-1.09181,-1.57025,0.00375394,-0.00314968,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.36521,8.42895,-0.556485,-0.00295031,0.00849359,-2.34848,0.199491,3.35245,8.42126,-0.606766,-0.00687102,-0.00594069,-2.35869,0.199491,0.464059,7.65834,-0.795602,-0.00367746,-0.00045896,-0.780441,0.199491,0.840421,10.0329,1.94582,-0.00083866,-0.00574258,-0.797128,0.199491,0.732826,8.04585,1.87943,-1.57127,-0.0115575,-0.00674093,0.199645,-0.288378,10.6883,-1.0895,-1.57021,0.00495106,-0.00343382,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.3595,8.28299,-0.556439,-0.00385191,0.0085753,-2.34784,0.199491,3.34938,8.27762,-0.608077,-0.00747077,-0.00651555,-2.35889,0.199491,0.46361,7.51428,-0.79428,-0.00379748,-0.000698039,-0.780026,0.199491,0.839868,9.88761,1.94301,-0.00119723,-0.00595348,-0.798121,0.199491,0.729225,7.90023,1.87888,-1.57083,-0.0128991,-0.00682159,0.199645,-0.28661,10.5415,-1.08719,-1.57017,0.00614818,-0.00371797,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.35378,8.12701,-0.556396,-0.00475728,0.00865446,-2.34719,0.199491,3.3463,8.12397,-0.609387,-0.00807028,-0.00709066,-2.3591,0.199491,0.46316,7.36022,-0.79296,-0.00391775,-0.000937965,-0.779611,0.199491,0.839315,9.73236,1.94019,-0.00155567,-0.00616482,-0.799115,0.199491,0.725625,7.74461,1.87834,-1.5704,-0.0142354,-0.00690367,0.199645,-0.284841,10.3847,-1.08488,-1.57013,0.00734532,-0.00400213,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34807,7.96102,-0.556355,-0.00566739,0.00873016,-2.34655,0.199491,3.34323,7.96032,-0.610698,-0.00866956,-0.00766602,-2.3593,0.199491,0.462707,7.19615,-0.791639,-0.00403837,-0.00117997,-0.779198,0.199491,0.838762,9.56711,1.93737,-0.00191397,-0.0063766,-0.800108,0.199491,0.722028,7.57899,1.8778,-1.56998,-0.0155651,-0.00698755,0.199645,-0.283072,10.2179,-1.08257,-1.57009,0.00854247,-0.00428631,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34235,7.78501,-0.556316,-0.00658245,0.00880217,-2.3459,0.199491,3.34015,7.78665,-0.612009,-0.00926859,-0.00824162,-2.3595,0.199491,0.462251,7.02208,-0.790319,-0.00415935,-0.0014242,-0.778785,0.199491,0.838209,9.39184,1.93456,-0.00227214,-0.00658881,-0.801102,0.199491,0.718433,7.40336,1.87726,-1.56955,-0.0168877,-0.00707325,0.199645,-0.281304,10.041,-1.08026,-1.57006,0.00973962,-0.00457049,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33664,7.59899,-0.556281,-0.00750375,0.00886925,-2.34524,0.199491,3.33708,7.60299,-0.613319,-0.00986739,-0.00881746,-2.35971,0.199491,0.461781,6.83801,-0.788995,-0.00427526,-0.00167113,-0.778372,0.199491,0.837656,9.20657,1.93174,-0.00263018,-0.00680145,-0.802095,0.199491,0.714844,7.21774,1.87673,-1.56913,-0.0182014,-0.00716141,0.199645,-0.279526,9.85421,-1.07796,-1.57002,0.0109387,-0.00485166,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33092,7.40295,-0.55625,-0.00843055,0.00893437,-2.34459,0.199491,3.33401,7.40931,-0.61463,-0.010466,-0.00939355,-2.35991,0.199491,0.461305,6.64393,-0.787671,-0.00438994,-0.00192016,-0.777959,0.199491,0.8371,9.01129,1.92893,-0.002988,-0.00701239,-0.803087,0.199491,0.711259,7.02211,1.8762,-1.56871,-0.019507,-0.00725153,0.199645,-0.277746,9.65737,-1.07566,-1.56999,0.0121383,-0.005132,0.199491,
