tgDataLogger2 started logging at time 01232019_205900, with 1 sensors on 1 senseable objects.
time,0_rod(rod).X,0_rod(rod).Y,0_rod(rod).Z,0_rod(rod).Euler1,0_rod(rod).Euler2,0_rod(rod).Euler3,0_rod(rod).mass,
0.1,1.07212,9.78875,3.40404,-3.00843,-0.736072,2.57644,0.193414,
0.2,1.10434,12.6205,4.28418,1.21345,1.09335,1.41891,0.193414,
0.3,1.13656,14.4712,5.16431,-0.636349,-0.863896,0.661676,0.193414,
0.4,1.16877,15.341,6.04445,2.91238,0.240769,2.8097,0.193414,
0.5,1.20099,15.2297,6.92458,-0.074386,0.456356,0.381332,0.193414,
0.6,1.23321,14.1375,7.80472,-2.57289,-1.00187,2.23293,0.193414,
0.7,1.26542,12.0642,8.68486,2.00246,1.03022,2.08408,0.193414,
0.8,1.29764,9.01,9.56499,-0.346416,-0.549748,0.446117,0.193414,
0.9,1.37763,5.82212,10.4163,-2.47138,-0.912356,2.27741,0.193414,
1,1.3604,5.82789,10.806,0.155706,0.0962029,0.478295,0.193414,
1.1,1.42258,5.70636,10.8353,3.13203,0.263911,2.59951,0.193414,
1.2,1.6425,5.84061,10.6646,0.625397,0.691726,0.547484,0.193414,
1.3,1.88385,5.93148,10.6025,0.454851,0.427201,0.35127,0.193414,
1.4,1.9253,5.89787,10.7605,0.417791,0.141741,0.25525,0.193414,
1.5,1.76456,5.76386,11.022,0.266937,-0.876873,0.28185,0.193414,
1.6,1.84127,5.79399,11.1253,-2.65683,0.580643,3.11126,0.193414,
1.7,2.08867,5.91941,11.2992,-2.47996,1.24969,-2.90539,0.193414,
1.8,2.08095,5.93278,11.4426,-1.1879,1.40301,-1.59217,0.193414,
1.9,1.82475,5.83328,11.4687,-0.0215679,0.957714,-0.501842,0.193414,
2,1.6579,5.77127,11.469,1.73994,-1.15836,-1.43425,0.193414,
2.1,1.65143,5.8948,11.7522,-3.03887,-0.155093,-2.71313,0.193414,
2.2,1.5491,5.94632,11.9034,-2.99067,0.198834,-2.70714,0.193414,
2.3,1.41327,5.88467,11.7769,-2.86068,0.587612,-2.58245,0.193414,
2.4,1.34318,5.78092,11.5567,-0.580212,0.625484,-0.588664,0.193414,
2.5,1.17298,5.86079,11.637,0.78815,-1.17334,-1.13331,0.193414,
2.6,0.956632,5.94086,11.6724,2.08428,-1.19056,-2.40157,0.193414,
2.7,0.946083,5.91465,11.5511,2.48776,-0.954164,-2.85178,0.193414,
2.8,1.12013,5.81321,11.3842,2.65658,0.079251,-3.07971,0.193414,
2.9,1.08096,5.83749,11.2872,-0.405115,0.674617,0.111576,0.193414,
3,0.918105,5.93476,11.1061,-0.413013,-0.0821007,0.181484,0.193414,
3.1,0.957683,5.94276,11.0026,-0.456469,-0.396887,0.293569,0.193414,
3.2,1.16202,5.86065,11.0538,-0.911714,-0.972931,0.715509,0.193414,
3.3,1.27715,5.82544,11.0762,2.89569,0.173831,2.67042,0.193414,
3.4,1.353,5.92125,10.8629,1.72363,1.12362,1.72122,0.193414,
3.5,1.46867,5.96183,10.7865,0.924608,1.03659,0.898268,0.193414,
3.6,1.52907,5.9113,10.9358,0.518675,0.617627,0.487758,0.193414,
3.7,1.52507,5.84288,11.1131,-0.158981,-0.957619,0.602142,0.193414,
3.8,1.69438,5.90906,11.1141,-2.6761,-0.296581,2.93119,0.193414,
3.9,1.86502,5.97085,11.1684,-2.75518,0.237948,3.05189,0.193414,
4,1.82491,5.94974,11.2742,-2.69885,0.657204,-3.11585,0.193414,
4.1,1.64501,5.87431,11.3454,-0.185432,1.32368,-0.64295,0.193414,
4.2,1.63461,5.89152,11.44,0.581106,-0.640811,-0.342288,0.193414,
4.3,1.67877,5.96619,11.6316,1.73255,-1.23669,-1.4786,0.193414,
4.4,1.60831,5.97437,11.6974,2.57081,-1.02269,-2.33551,0.193414,
4.5,1.48448,5.91272,11.5871,2.99338,-0.378082,-2.66062,0.193414,
4.6,1.40951,5.87954,11.5177,-1.95847,1.10683,-1.81606,0.193414,
4.7,1.27978,5.94463,11.6264,-0.383958,0.380949,-0.396932,0.193414,
4.8,1.1688,5.97974,11.6451,-0.299342,-0.0274505,-0.278453,0.193414,
4.9,1.19121,5.94149,11.5422,-0.28842,-0.475706,-0.216779,0.193414,
5,1.28624,5.88673,11.4389,2.37504,-1.33837,-2.82063,0.193414,
5.1,1.20207,5.92841,11.3717,2.69031,0.259375,3.07276,0.193414,
5.2,1.09904,5.98233,11.2623,2.5745,0.834533,2.88384,0.193414,
5.3,1.15178,5.97287,11.2183,2.19246,1.12874,2.4609,0.193414,
5.4,1.28772,5.91566,11.2752,0.319797,0.929622,0.664474,0.193414,
5.5,1.34396,5.91542,11.2555,-0.444883,-0.631369,0.548652,0.193414,
5.6,1.40361,5.97738,11.1136,-1.77318,-1.14887,1.79302,0.193414,
5.7,1.47583,5.99749,11.086,-2.4237,-0.938475,2.48132,0.193414,
5.8,1.48425,5.95933,11.2014,-2.71744,-0.413492,2.78689,0.193414,
5.9,1.46714,5.92502,11.3005,-3.09985,0.957951,2.73626,0.193414,
6,1.58277,5.96863,11.3202,0.51011,0.820471,0.140539,0.193414,
6.1,1.68471,6.00806,11.3741,0.387739,0.302714,-0.0252488,0.193414,
6.2,1.63842,5.99296,11.423,0.396156,-0.111225,-0.141777,0.193414,
6.3,1.51595,5.94728,11.4205,0.780247,-1.00275,-0.508361,0.193414,
