time,0_rod(payload_bars compound_bKQiH2).X,0_rod(payload_bars compound_bKQiH2).Y,0_rod(payload_bars compound_bKQiH2).Z,0_rod(payload_bars compound_bKQiH2).Euler1,0_rod(payload_bars compound_bKQiH2).Euler2,0_rod(payload_bars compound_bKQiH2).Euler3,0_rod(payload_bars compound_bKQiH2).mass,1_rod(payload_bars compound_bKQiH2).X,1_rod(payload_bars compound_bKQiH2).Y,1_rod(payload_bars compound_bKQiH2).Z,1_rod(payload_bars compound_bKQiH2).Euler1,1_rod(payload_bars compound_bKQiH2).Euler2,1_rod(payload_bars compound_bKQiH2).Euler3,1_rod(payload_bars compound_bKQiH2).mass,2_rod(payload_bars compound_bKQiH2).X,2_rod(payload_bars compound_bKQiH2).Y,2_rod(payload_bars compound_bKQiH2).Z,2_rod(payload_bars compound_bKQiH2).Euler1,2_rod(payload_bars compound_bKQiH2).Euler2,2_rod(payload_bars compound_bKQiH2).Euler3,2_rod(payload_bars compound_bKQiH2).mass,3_rod(payload_bars compound_bKQiH2).X,3_rod(payload_bars compound_bKQiH2).Y,3_rod(payload_bars compound_bKQiH2).Z,3_rod(payload_bars compound_bKQiH2).Euler1,3_rod(payload_bars compound_bKQiH2).Euler2,3_rod(payload_bars compound_bKQiH2).Euler3,3_rod(payload_bars compound_bKQiH2).mass,4_rod(sense_bar compound_bKQiH2).X,4_rod(sense_bar compound_bKQiH2).Y,4_rod(sense_bar compound_bKQiH2).Z,4_rod(sense_bar compound_bKQiH2).Euler1,4_rod(sense_bar compound_bKQiH2).Euler2,4_rod(sense_bar compound_bKQiH2).Euler3,4_rod(sense_bar compound_bKQiH2).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.00267011,49.3883,0.0318828,0.280741,-0.301522,0.536188,0.24652,-0.00267011,49.3883,0.0318828,0.280741,-0.301522,0.536188,0.24652,-0.00267011,49.3883,0.0318828,0.280741,-0.301522,0.536188,0.24652,-0.00267011,49.3883,0.0318828,0.280741,-0.301522,0.536188,0.24652,-0.00267011,49.3883,0.0318828,0.280741,-0.301522,0.536188,0.24652,0.191715,49.5648,-0.409026,1.86776,-0.484964,-1.21081,0.00229658,-0.0397588,49.6429,-0.378274,2.58388,0.582591,-0.528425,0.00229658,-0.0492091,49.4835,-0.48265,2.24648,-1.01357,2.83133,0.00229525,0.140788,49.6778,-0.349859,0.00288192,-0.113856,0.505898,0.00229525,0.102704,49.5326,-0.491395,1.16143,0.869323,1.9544,0.00230071,0.014131,49.7683,-0.319891,-1.25561,1.04726,-0.809178,0.00230071,
0.1212,0.00261992,49.271,-0.0121897,-0.451646,-0.415315,2.73159,0.24652,0.00261992,49.271,-0.0121897,-0.451646,-0.415315,2.73159,0.24652,0.00261992,49.271,-0.0121897,-0.451646,-0.415315,2.73159,0.24652,0.00261992,49.271,-0.0121897,-0.451646,-0.415315,2.73159,0.24652,0.00261992,49.271,-0.0121897,-0.451646,-0.415315,2.73159,0.24652,0.0429491,49.5694,0.394493,-2.85532,-0.221114,-2.53656,0.00229658,-0.130502,49.5037,0.421818,2.98032,-0.580673,-2.56499,0.00229658,-0.127836,49.6155,0.297484,0.255934,0.2043,0.956039,0.00229525,0.0941963,49.4997,0.442823,0.447068,-0.350384,2.5467,0.00229525,-0.0159969,49.6806,0.302472,2.42949,-1.20809,2.35261,0.00230071,-0.0699907,49.3573,0.438766,1.60523,0.367403,1.4316,0.00230071,
0.1313,0.005535,49.1851,0.00893706,-0.249175,0.36019,-1.54573,0.24652,0.005535,49.1851,0.00893706,-0.249175,0.36019,-1.54573,0.24652,0.005535,49.1851,0.00893706,-0.249175,0.36019,-1.54573,0.24652,0.005535,49.1851,0.00893706,-0.249175,0.36019,-1.54573,0.24652,0.005535,49.1851,0.00893706,-0.249175,0.36019,-1.54573,0.24652,0.0117023,48.6664,-0.00261187,-2.95258,0.298436,1.6153,0.00229658,-0.186122,48.7331,-0.00648455,3.14051,0.0586331,1.75896,0.00229658,-0.194597,48.7731,0.117411,-0.866227,-0.911031,-2.58294,0.00229525,0.0480323,48.691,-0.0807189,-0.777681,-0.124046,-1.30722,0.00229525,-0.0380387,48.6727,0.139853,-1.55291,0.207541,0.628611,0.00230071,-0.160929,48.7376,-0.136467,-0.586102,-1.19721,-2.49587,0.00230071,
0.1414,0.00228619,49.0125,0.030897,0.39159,-0.0808688,0.563511,0.24652,0.00228619,49.0125,0.030897,0.39159,-0.0808688,0.563511,0.24652,0.00228619,49.0125,0.030897,0.39159,-0.0808688,0.563511,0.24652,0.00228619,49.0125,0.030897,0.39159,-0.0808688,0.563511,0.24652,0.00228619,49.0125,0.030897,0.39159,-0.0808688,0.563511,0.24652,0.080744,49.254,-0.414599,2.80082,-0.0725877,-0.440096,0.00229658,-0.130842,49.2479,-0.376827,-2.44736,-0.113731,-0.648436,0.00229658,-0.0909336,49.1336,-0.451189,2.05122,1.2952,1.01967,0.00229525,0.0641701,49.3355,-0.364962,0.0726876,0.258289,0.550147,0.00229525,0.0128873,49.1348,-0.457127,1.20548,0.669062,-2.96949,0.00230071,-0.107364,49.3885,-0.260737,-1.58634,0.617867,-1.26098,0.00230071,
0.1515,0.00379131,48.8694,-0.0135921,-0.394178,-0.4071,2.88592,0.24652,0.00379131,48.8694,-0.0135921,-0.394178,-0.4071,2.88592,0.24652,0.00379131,48.8694,-0.0135921,-0.394178,-0.4071,2.88592,0.24652,0.00379131,48.8694,-0.0135921,-0.394178,-0.4071,2.88592,0.24652,0.00379131,48.8694,-0.0135921,-0.394178,-0.4071,2.88592,0.24652,0.0271829,49.1082,0.440846,2.98452,0.065019,-2.37316,0.00229658,-0.154792,49.045,0.409306,-2.70797,0.354349,-2.53483,0.00229658,-0.116956,49.1472,0.311872,-0.0603164,-0.631243,0.994319,0.00229525,0.0409719,48.9998,0.478484,0.649827,-0.593647,2.7805,0.00229525,-0.014525,49.2117,0.372988,2.15053,-0.866536,3.05504,0.00230071,-0.114748,48.9057,0.434799,1.84157,0.151646,1.421,0.00230071,
0.1616,0.00829238,48.7481,0.014172,-0.304133,0.460201,-1.30845,0.24652,0.00829238,48.7481,0.014172,-0.304133,0.460201,-1.30845,0.24652,0.00829238,48.7481,0.014172,-0.304133,0.460201,-1.30845,0.24652,0.00829238,48.7481,0.014172,-0.304133,0.460201,-1.30845,0.24652,0.00829238,48.7481,0.014172,-0.304133,0.460201,-1.30845,0.24652,-0.041967,48.2492,-0.102961,2.76627,0.331813,1.28465,0.00229658,-0.231619,48.3513,-0.10454,3.11329,0.153436,1.28034,0.00229658,-0.214096,48.3465,0.0366992,-0.879699,-0.0342848,-2.70057,0.00229525,-0.0280327,48.2657,-0.186261,-0.871048,-0.147392,-1.37582,0.00229525,-0.111925,48.2494,0.0320789,-1.86206,-0.136595,0.455631,0.00230071,-0.188169,48.4039,-0.205751,-2.59318,-1.37102,-0.840185,0.00230071,
0.1717,0.00349586,48.5419,0.0259925,0.404455,-0.127866,0.900738,0.24652,0.00349586,48.5419,0.0259925,0.404455,-0.127866,0.900738,0.24652,0.00349586,48.5419,0.0259925,0.404455,-0.127866,0.900738,0.24652,0.00349586,48.5419,0.0259925,0.404455,-0.127866,0.900738,0.24652,0.00349586,48.5419,0.0259925,0.404455,-0.127866,0.900738,0.24652,0.0254821,48.8973,-0.335366,3.13664,-0.220874,-1.05952,0.00229658,-0.152597,48.8897,-0.280028,-3.03838,-0.38452,-0.713536,0.00229658,-0.154789,48.7599,-0.352702,-0.386961,0.481941,-1.27478,0.00229525,0.0616415,48.952,-0.249768,0.614378,0.670413,1.19706,0.00229525,0.0137361,48.82,-0.419658,0.279096,0.364862,2.51975,0.00230071,-0.0947226,48.9693,-0.161577,-1.58242,0.826299,-1.68288,0.00230071,
0.1818,0.00886693,48.3824,-0.0155883,-0.506527,-0.362866,-2.9762,0.24652,0.00886693,48.3824,-0.0155883,-0.506527,-0.362866,-2.9762,0.24652,0.00886693,48.3824,-0.0155883,-0.506527,-0.362866,-2.9762,0.24652,0.00886693,48.3824,-0.0155883,-0.506527,-0.362866,-2.9762,0.24652,0.00886693,48.3824,-0.0155883,-0.506527,-0.362866,-2.9762,0.24652,-0.0658231,48.4197,0.480661,2.96822,0.10416,3.07403,0.00229658,-0.258115,48.4152,0.422294,2.70682,0.955461,2.65209,0.00229658,-0.183358,48.5777,0.374586,0.120441,-0.552328,1.36243,0.00229525,-0.0604175,48.3475,0.482191,0.458808,-0.979199,2.75168,0.00229525,-0.0676141,48.5556,0.498401,-1.90987,-1.40079,0.291645,0.00230071,-0.242138,48.2533,0.404309,1.44844,-0.134946,1.67627,0.00230071,
0.1919,0.0101941,48.2161,0.0258891,0.0468675,0.559019,-0.582392,0.24652,0.0101941,48.2161,0.0258891,0.0468675,0.559019,-0.582392,0.24652,0.0101941,48.2161,0.0258891,0.0468675,0.559019,-0.582392,0.24652,0.0101941,48.2161,0.0258891,0.0468675,0.559019,-0.582392,0.24652,0.0101941,48.2161,0.0258891,0.0468675,0.559019,-0.582392,0.24652,-0.0291335,47.8105,-0.297998,1.79319,1.06996,-0.0704528,0.00229658,-0.294272,47.9795,-0.316278,2.51701,0.0694948,0.575245,0.00229658,-0.287279,47.8461,-0.132151,-0.301236,1.08323,-2.54435,0.00229525,-0.0684192,47.9381,-0.403622,-0.522437,0.11591,-0.981956,0.00229525,-0.150255,47.8103,-0.277007,-2.16118,1.42526,-1.02512,0.00230071,-0.190581,48.0572,-0.360808,-1.70533,-0.746296,-1.97882,0.00230071,
0.202,0.0100135,47.9811,0.00381507,0.169892,-0.661913,1.91506,0.24652,0.0100135,47.9811,0.00381507,0.169892,-0.661913,1.91506,0.24652,0.0100135,47.9811,0.00381507,0.169892,-0.661913,1.91506,0.24652,0.0100135,47.9811,0.00381507,0.169892,-0.661913,1.91506,0.24652,0.0100135,47.9811,0.00381507,0.169892,-0.661913,1.91506,0.24652,-0.0989045,48.4122,0.0234499,-0.0302021,-1.13602,0.681001,0.00229658,-0.242473,48.4199,0.111385,3.07504,-0.292739,-1.95559,0.00229658,-0.290034,48.4409,-0.0420519,1.34622,-0.0338066,-0.340182,0.00229525,-0.0342339,48.4081,0.185005,0.396943,0.77913,0.434624,0.00229525,-0.134048,48.5289,0.0595855,1.69878,-0.811612,-2.60062,0.00230071,-0.20085,48.343,0.242936,2.72623,1.11978,2.34125,0.00230071,
