tgDataLogger2 started logging at time 01242019_105119, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.255421,9.66632,0.161121,-0.845044,0.235034,0.53373,0.0600995,-0.246132,9.35003,-0.158738,-1.54401,-0.803734,-0.779277,0.0610156,
0.2,0.252679,8.19791,0.162374,-0.861088,0.245372,0.537129,0.0600995,-0.243431,7.87646,-0.159973,-1.5422,-0.807733,-0.765277,0.0610156,
0.3,0.250616,5.74745,0.163652,-0.867008,0.248931,0.535721,0.0600995,-0.241399,5.42292,-0.161231,-1.54182,-0.808545,-0.752865,0.0610156,
0.4,0.26389,2.3304,0.168116,-0.892506,0.260812,0.514977,0.0600995,-0.244762,2.04443,-0.167765,-1.68617,-0.865941,-0.686233,0.0610156,
0.5,0.395437,2.1356,-0.0101353,-1.47835,0.035515,0.974874,0.0600995,-0.163917,2.01026,-0.36818,2.32433,-0.549502,0.940285,0.0610156,
0.6,0.483135,2.1177,-0.347152,-1.61372,-0.489139,0.752635,0.0600995,0.0262674,1.90246,-0.772258,-2.70757,-0.951344,0.223139,0.0610156,
0.7,0.696038,2.12262,-0.619726,-2.08907,-0.885507,0.945754,0.0600995,0.163996,1.91865,-0.948958,2.51099,-0.849679,1.04419,0.0610156,
0.8,0.87344,2.13314,-0.816765,-2.66129,-1.16741,1.27302,0.0600995,0.289279,1.9534,-1.04539,2.14171,-0.867886,1.36148,0.0610156,
0.9,0.921864,2.13464,-0.881496,-2.95343,-1.18372,1.51302,0.0600995,0.327203,1.98177,-1.09834,2.0217,-0.787239,1.42458,0.0610156,
1,0.869162,2.13228,-0.828078,-2.66669,-1.14626,1.29586,0.0600995,0.290011,1.95392,-1.0645,2.16225,-0.867499,1.35072,0.0610156,
1.1,0.725807,2.12456,-0.654911,-2.09161,-0.942092,0.900352,0.0600995,0.195294,1.89834,-0.954465,2.70643,-1.04847,0.970161,0.0610156,
1.2,0.577943,2.1251,-0.411593,-1.73125,-0.575325,0.724002,0.0600995,0.102712,1.91221,-0.801391,-2.67516,-1.03024,0.203234,0.0610156,
1.3,0.48749,2.12899,-0.246028,-1.56038,-0.326378,0.640278,0.0600995,0.04599,1.95422,-0.685418,-2.39199,-0.874492,-0.0138773,0.0610156,
