time,0_rod(payload_bars compound_2TN9i4).X,0_rod(payload_bars compound_2TN9i4).Y,0_rod(payload_bars compound_2TN9i4).Z,0_rod(payload_bars compound_2TN9i4).Euler1,0_rod(payload_bars compound_2TN9i4).Euler2,0_rod(payload_bars compound_2TN9i4).Euler3,0_rod(payload_bars compound_2TN9i4).mass,1_rod(payload_bars compound_2TN9i4).X,1_rod(payload_bars compound_2TN9i4).Y,1_rod(payload_bars compound_2TN9i4).Z,1_rod(payload_bars compound_2TN9i4).Euler1,1_rod(payload_bars compound_2TN9i4).Euler2,1_rod(payload_bars compound_2TN9i4).Euler3,1_rod(payload_bars compound_2TN9i4).mass,2_rod(payload_bars compound_2TN9i4).X,2_rod(payload_bars compound_2TN9i4).Y,2_rod(payload_bars compound_2TN9i4).Z,2_rod(payload_bars compound_2TN9i4).Euler1,2_rod(payload_bars compound_2TN9i4).Euler2,2_rod(payload_bars compound_2TN9i4).Euler3,2_rod(payload_bars compound_2TN9i4).mass,3_rod(payload_bars compound_2TN9i4).X,3_rod(payload_bars compound_2TN9i4).Y,3_rod(payload_bars compound_2TN9i4).Z,3_rod(payload_bars compound_2TN9i4).Euler1,3_rod(payload_bars compound_2TN9i4).Euler2,3_rod(payload_bars compound_2TN9i4).Euler3,3_rod(payload_bars compound_2TN9i4).mass,4_rod(payload_bars compound_2TN9i4).X,4_rod(payload_bars compound_2TN9i4).Y,4_rod(payload_bars compound_2TN9i4).Z,4_rod(payload_bars compound_2TN9i4).Euler1,4_rod(payload_bars compound_2TN9i4).Euler2,4_rod(payload_bars compound_2TN9i4).Euler3,4_rod(payload_bars compound_2TN9i4).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.35378,98.127,-0.556396,-0.00475728,0.00865446,-2.34719,0.199491,3.3463,98.124,-0.609387,-0.00807028,-0.00709066,-2.3591,0.199491,0.46316,97.3602,-0.79296,-0.00391775,-0.000937965,-0.779611,0.199491,0.839315,99.7324,1.94019,-0.00155567,-0.00616482,-0.799115,0.199491,0.725625,97.7446,1.87834,-1.5704,-0.0142354,-0.00690367,0.199645,-0.284841,100.385,-1.08488,-1.57013,0.00734532,-0.00400213,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34807,97.961,-0.556355,-0.00566739,0.00873016,-2.34655,0.199491,3.34323,97.9603,-0.610698,-0.00866956,-0.00766602,-2.3593,0.199491,0.462707,97.1962,-0.791639,-0.00403837,-0.00117997,-0.779198,0.199491,0.838762,99.5671,1.93737,-0.00191397,-0.0063766,-0.800108,0.199491,0.722028,97.579,1.8778,-1.56998,-0.0155651,-0.00698755,0.199645,-0.283072,100.218,-1.08257,-1.57009,0.00854247,-0.00428631,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34235,97.785,-0.556316,-0.00658245,0.00880217,-2.3459,0.199491,3.34015,97.7867,-0.612009,-0.00926859,-0.00824162,-2.3595,0.199491,0.462251,97.0221,-0.790319,-0.00415935,-0.0014242,-0.778785,0.199491,0.838209,99.3918,1.93456,-0.00227214,-0.00658881,-0.801102,0.199491,0.718433,97.4034,1.87726,-1.56955,-0.0168877,-0.00707325,0.199645,-0.281304,100.041,-1.08026,-1.57006,0.00973962,-0.00457049,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33664,97.599,-0.556281,-0.00750375,0.00886925,-2.34524,0.199491,3.33708,97.603,-0.613319,-0.00986739,-0.00881746,-2.35971,0.199491,0.461781,96.838,-0.788995,-0.00427526,-0.00167113,-0.778372,0.199491,0.837656,99.2066,1.93174,-0.00263018,-0.00680145,-0.802095,0.199491,0.714844,97.2177,1.87673,-1.56913,-0.0182014,-0.00716141,0.199645,-0.279526,99.8542,-1.07796,-1.57002,0.0109387,-0.00485166,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33092,97.4029,-0.55625,-0.00843055,0.00893437,-2.34459,0.199491,3.33401,97.4093,-0.61463,-0.010466,-0.00939355,-2.35991,0.199491,0.461305,96.6439,-0.787671,-0.00438994,-0.00192016,-0.777959,0.199491,0.8371,99.0113,1.92893,-0.002988,-0.00701239,-0.803087,0.199491,0.711259,97.0221,1.8762,-1.56871,-0.019507,-0.00725153,0.199645,-0.277746,99.6574,-1.07566,-1.56999,0.0121383,-0.005132,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32518,97.1969,-0.55624,-0.0093654,0.0090082,-2.34394,0.199491,3.33093,97.2056,-0.61594,-0.0110643,-0.00996988,-2.36012,0.199491,0.460823,96.4398,-0.786347,-0.00450512,-0.00217348,-0.777548,0.199491,0.836527,98.806,1.92613,-0.00334516,-0.00720903,-0.804075,0.199491,0.707679,96.8165,1.87568,-1.5683,-0.0207981,-0.00734489,0.199645,-0.275966,99.4505,-1.07335,-1.56995,0.013338,-0.00541241,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31945,96.9808,-0.556233,-0.0103055,0.00907804,-2.34329,0.199491,3.32786,96.9919,-0.617251,-0.0116624,-0.0105465,-2.36032,0.199491,0.46034,96.2258,-0.785012,-0.00462294,-0.00242716,-0.777133,0.199491,0.835953,98.5907,1.92333,-0.0037022,-0.00740612,-0.805062,0.199491,0.704101,96.6009,1.87516,-1.56789,-0.0220819,-0.00743982,0.199645,-0.274187,99.2337,-1.07106,-1.56992,0.014543,-0.00569432,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31371,96.7547,-0.556231,-0.0112528,0.00914163,-2.34264,0.199491,3.32478,96.7682,-0.618562,-0.0122602,-0.0111233,-2.36052,0.199491,0.459848,96.0017,-0.783668,-0.00474045,-0.00268458,-0.776716,0.199491,0.835379,98.3654,1.92054,-0.00405914,-0.00760364,-0.80605,0.199491,0.70053,96.3752,1.87464,-1.56748,-0.0233537,-0.00753746,0.199645,-0.272405,99.0068,-1.06878,-1.56988,0.0157506,-0.00597702,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30798,96.5186,-0.556252,-0.012195,0.0092071,-2.342,0.199491,3.32171,96.5345,-0.619872,-0.0128578,-0.0117003,-2.36072,0.199491,0.459344,95.7676,-0.782321,-0.00485327,-0.00294384,-0.776299,0.199491,0.834805,98.1301,1.91774,-0.00441596,-0.00780161,-0.807037,0.199491,0.696964,96.1396,1.87413,-1.56707,-0.0246153,-0.00763719,0.199645,-0.27061,98.77,-1.06648,-1.56986,0.0169463,-0.00626948,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30225,96.2725,-0.556277,-0.0131441,0.0092677,-2.34135,0.199491,3.31864,96.2908,-0.621183,-0.0134552,-0.0122776,-2.36093,0.199491,0.458834,95.5235,-0.780974,-0.00496492,-0.00320592,-0.775883,0.199491,0.834231,97.8848,1.91495,-0.00477271,-0.00799908,-0.808024,0.199491,0.693401,95.894,1.87362,-1.56667,-0.0258662,-0.00773905,0.199645,-0.268812,98.5231,-1.06418,-1.56983,0.0181422,-0.00656156,0.199491,
