tgDataLogger2 started logging at time 01242019_105016, with 2 sensors on 1 senseable objects.
time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,
0.1,0.28224,2.20437,0.159021,-0.956045,0.291737,0.548559,0.0600995,-0.258693,1.96922,-0.166522,-1.92405,-0.933795,-0.611408,0.0610156,
0.2,0.342644,2.09614,0.0357578,-1.08478,0.0586243,0.44868,0.0600995,-0.210027,1.84548,-0.256628,2.71236,-0.949867,0.816534,0.0610156,
0.3,0.466731,2.10227,-0.233183,-1.24837,-0.364958,0.177884,0.0600995,-0.157685,1.86688,-0.3263,-1.50739,-1.24319,-1.17738,0.0610156,
0.4,0.483952,2.09916,-0.476252,-1.15122,-0.74191,-0.0350258,0.0600995,-0.145421,1.85982,-0.458773,1.76038,-1.22697,1.80545,0.0610156,
0.5,0.482001,2.09616,-0.663751,-0.849705,-0.99051,-0.357777,0.0600995,-0.126183,1.83715,-0.535102,0.935194,-1.30434,2.68083,0.0610156,
0.6,0.478153,2.08865,-0.678425,-0.840732,-1.00653,-0.328625,0.0600995,-0.129604,1.83045,-0.54472,0.873135,-1.30007,2.73341,0.0610156,
0.7,0.49981,2.08768,-0.547773,-1.04653,-0.820471,-0.104726,0.0600995,-0.116126,1.82168,-0.492678,1.17771,-1.39957,2.41667,0.0610156,
0.8,0.512295,2.08873,-0.341058,-1.14758,-0.500858,0.0395142,0.0600995,-0.102234,1.81665,-0.382635,-1.47615,-1.49495,-1.20772,0.0610156,
0.9,0.499282,2.0858,-0.179753,-1.14925,-0.253102,0.148963,0.0600995,-0.103466,1.81178,-0.302339,2.89906,-1.38432,0.691329,0.0610156,
1,0.489771,2.08849,-0.0817125,-1.14062,-0.109229,0.227215,0.0600995,-0.104854,1.82037,-0.247674,-2.46681,-1.3499,-0.211362,0.0610156,
1.1,0.488049,2.08729,-0.0685237,-1.1332,-0.100119,0.243933,0.0600995,-0.102044,1.81177,-0.237536,-2.93117,-1.34408,0.247397,0.0610156,
1.2,0.50598,2.08738,-0.130292,-1.1531,-0.200614,0.189911,0.0600995,-0.0919825,1.80952,-0.263587,-2.97177,-1.39885,0.282546,0.0610156,
1.3,0.52288,2.08838,-0.214878,-1.16419,-0.332268,0.122016,0.0600995,-0.082199,1.80869,-0.306233,2.86885,-1.4401,0.718538,0.0610156,
1.4,0.534002,2.08984,-0.282528,-1.16323,-0.43312,0.0731232,0.0600995,-0.0751298,1.8097,-0.339959,2.47647,-1.47077,1.10987,0.0610156,
1.5,0.538559,2.09064,-0.308591,-1.16232,-0.469993,0.0573732,0.0600995,-0.0716391,1.81034,-0.352966,2.28998,-1.48212,1.29732,0.0610156,
1.6,0.537857,2.09032,-0.293769,-1.16358,-0.444325,0.0671393,0.0600995,-0.0713721,1.80914,-0.345323,2.55429,-1.5011,1.03475,0.0610156,
1.7,0.53513,2.0899,-0.26027,-1.16612,-0.392683,0.0883429,0.0600995,-0.0725526,1.80882,-0.327903,-2.91424,-1.50779,0.222407,0.0610156,
1.8,0.534254,2.0895,-0.241821,-1.16577,-0.366901,0.0992627,0.0600995,-0.0724055,1.80847,-0.317876,-2.86385,-1.49489,0.17145,0.0610156,
1.9,0.535817,2.08949,-0.248501,-1.16568,-0.379372,0.0954999,0.0600995,-0.0708733,1.80781,-0.32166,-3.11775,-1.494,0.423919,0.0610156,
2,0.538775,2.08973,-0.262709,-1.16584,-0.401833,0.0874763,0.0600995,-0.0683705,1.80745,-0.32931,2.83865,-1.48955,0.748443,0.0610156,
2.1,0.540634,2.08988,-0.267376,-1.16609,-0.40826,0.0851017,0.0600995,-0.0665688,1.80725,-0.331918,2.76194,-1.48792,0.824175,0.0610156,
2.2,0.540443,2.0898,-0.258092,-1.16669,-0.393209,0.0912461,0.0600995,-0.0661111,1.80684,-0.32719,2.96445,-1.49252,0.622372,0.0610156,
2.3,0.539654,2.08969,-0.245061,-1.16729,-0.373588,0.099553,0.0600995,-0.0660959,1.8067,-0.320503,-3.06978,-1.49159,0.374092,0.0610156,
2.4,0.539969,2.08964,-0.240574,-1.1679,-0.368218,0.103684,0.0600995,-0.065398,1.80654,-0.318402,-3.04811,-1.4881,0.35219,0.0610156,
2.5,0.541892,2.08969,-0.246218,-1.1685,-0.378279,0.101745,0.0600995,-0.0635435,1.80616,-0.32168,3.0745,-1.48602,0.511547,0.0610156,
2.6,0.544064,2.08982,-0.253068,-1.16913,-0.389279,0.0989875,0.0600995,-0.0615268,1.80589,-0.325595,2.92821,-1.48327,0.656481,0.0610156,
2.7,0.545315,2.08988,-0.252856,-1.16977,-0.388821,0.10025,0.0600995,-0.0600637,1.80563,-0.325769,2.94884,-1.48376,0.635516,0.0610156,
2.8,0.545706,2.08988,-0.246177,-1.17032,-0.378833,0.104647,0.0600995,-0.0591284,1.80538,-0.3225,3.1026,-1.48564,0.482164,0.0610156,
2.9,0.546271,2.08991,-0.240737,-1.1711,-0.371605,0.108916,0.0600995,-0.0580955,1.80522,-0.319931,-3.06959,-1.48488,0.371254,0.0610156,
